cell,x,y,area µm²,PSD-95,NeuN,CD68,CD11c,E5,E9,CD8,H2A.x,CD3e,ATG7,CD163,ApoE,E7,Olig2,HLA-A,SMA,TMEM119,Vimentin,CD11b,Synaptophysin,a-Beta,Neurofilament,CD4,CD40,CD45,CD34,PCNA,Claudin-5,E2,E10,DAPI_1,CD31,HLA-DR,Gal3,AQP4,GFAP,E6,CD74,IBA1,CD14,P2Rx7,MAP2,CD44,E3,CollagenIV,S100B,E4,E1,E8,UMAP_1,UMAP_2,TSNE_1,TSNE_2
8124,24654,4226,88.83,20.98,18.693,142.582,130.033,1.0,2.535,36.964,20.313,340.996,489.171,526.578,111.662,1.0,48.694,206.035,1.0,18.599,252.717,533.389,1.0,1.0,61.241,480.438,399.272,344.656,287.318,323.841,177.894,101.332,113.669,120.227,106.934,275.235,359.435,233.988,120.23,73.032,168.233,411.677,825.175,508.314,1.0,65.452,1.0,254.026,249.773,12.483,1.0,6.964,-11.648987,34.327095,-15.554776,-24.968388
8125,9853,5358,190.31,336.22,14.61,241.122,74.589,43.72,5.604,51.949,18.557,125.875,236.846,5.012,92.372,20.232,33.226,2.091,1.0,457.538,7.555,201.417,197.837,1.0,53.711,324.055,535.349,214.786,15.523,199.671,2.134,43.075,96.769,177.959,31.842,91.724,68.269,237.341,197.91,114.362,448.79,341.663,77.923,439.791,104.123,52.791,1.0,9.065,376.113,28.887,1.0,54.678,24.212221,25.101755,5.42879,11.277775
8126,15608,10292,190.74,491.62,11.888,72.357,258.059,30.576,73.124,86.914,8.023,117.48,102.96,86.256,31.457,9.548,38.382,9.725,1.0,88.995,70.484,177.778,299.43,1.0,98.892,81.249,284.216,210.79,12.411,113.881,3.268,64.651,96.769,91.362,96.207,259.771,251.001,91.513,187.071,134.436,227.645,293.594,238.762,97.173,165.352,154.073,13.162,7.048,458.169,56.773,1.0,32.312,27.860249,13.271534,-1.4340545,13.024268
8127,22693,13856,62.96,127.54,2.361,54.235,253.018,212.959,37.829,93.907,15.046,167.85,535.516,19.054,18.259,103.571,82.209,42.443,1.0,184.236,35.087,217.861,197.837,19.203,26.101,227.344,431.355,156.844,5.15,155.647,2.134,70.045,237.605,81.322,100.23,182.449,141.563,473.681,181.651,280.862,78.015,212.086,138.862,350.83,7.445,20.566,4.475,4.024,374.811,68.256,4.518,167.997,-7.667515,3.4928875,1.9281144,7.4124026
8128,2204,12961,93.38,18.76,30.943,349.857,282.252,20.717,11.742,95.905,97.564,235.009,310.999,9.024,57.854,46.943,8.734,84.977,3.123,7.211,113.748,154.139,1.0,3.141,53.711,271.584,393.741,222.778,10.336,521.383,32.75,46.311,147.47,480.42,148.503,87.601,118.47,148.503,179.844,62.404,471.894,356.293,186.814,129.632,1.0,125.3,179.951,112.896,343.551,60.054,53.764,150.104,-12.839415,-40.009823,2.6063678,-8.183268
8129,19501,3069,130.47,229.66,7.805,91.612,219.752,178.454,140.645,76.924,8.023,169.949,374.853,8.021,127.905,99.297,25.492,11.906,1.0,14.458,21.976,39.028,155.506,1.0,141.563,110.057,221.156,87.913,8.262,117.268,1.0,130.46,168.126,98.892,11.728,109.251,237.949,292.654,105.778,185.213,125.325,196.411,101.899,253.455,97.677,58.546,6.212,7.048,394.348,9.202,2.173,282.807,-3.403452,-0.9992161,1.1385851,2.9391572
8131,6645,8348,133.46,307.36,15.971,178.827,190.518,132.447,163.664,119.881,37.87,217.17,217.278,11.03,54.808,70.449,49.983,12.997,2.062,47.585,45.575,455.278,168.206,1.0,71.281,260.267,463.439,390.61,87.103,311.424,3.268,164.983,260.139,284.636,45.251,62.858,78.31,143.475,185.264,243.074,291.458,406.452,170.83,348.426,181.465,55.093,37.485,11.081,472.497,61.695,9.208,175.452,27.88064,8.384426,-6.008897,17.405495
8132,16628,12083,176.38,429.46,37.748,72.357,264.107,14.145,182.078,67.933,8.023,106.986,295.551,7.018,45.671,12.753,38.382,3.181,2.062,237.033,4.933,108.917,360.809,1.0,88.852,152.239,287.535,173.827,9.299,205.315,7.804,103.489,301.451,137.798,100.23,173.17,240.961,161.913,51.582,76.574,310.162,410.632,109.891,219.794,371.597,18.264,9.687,10.073,382.626,64.975,1.0,163.524,36.798546,24.532171,-0.08593382,14.30636
8133,23530,7325,99.63,29.86,7.805,89.347,103.823,1.0,1.0,35.965,11.534,139.517,200.8,20.057,74.098,31.985,12.601,15.178,1.0,8.247,33.776,112.0,1.0,1.0,164.153,102.855,205.668,24.976,18.636,12.288,1.0,36.602,10.389,21.08,1.0,55.641,70.277,73.076,84.099,25.798,123.124,213.131,68.932,35.863,1.0,205.864,1.0,9.065,325.317,7.562,1.0,9.946,-10.375444,-12.116507,1.1007326,-1.1137291
8134,6559,12648,153.78,16.54,3.722,292.092,246.97,33.862,2.535,68.932,22.069,177.294,204.92,31.09,139.073,21.301,128.614,31.537,4.185,9.282,111.126,141.806,13.699,2.071,83.832,200.594,178.01,251.749,22.785,289.976,22.545,156.352,85.502,327.307,80.115,394.827,585.34,386.52,125.649,156.872,216.643,304.044,211.789,13.022,7.445,334.767,13.162,8.057,523.293,32.167,12.725,24.857,-37.390675,-24.328928,6.572915,-18.14325
