cell,x,y,area µm²,PSD-95,NeuN,CD68,CD11c,E5,E9,CD8,H2A.x,CD3e,ATG7,CD163,ApoE,E7,Olig2,HLA-A,SMA,TMEM119,Vimentin,CD11b,Synaptophysin,a-Beta,Neurofilament,CD4,CD40,CD45,CD34,PCNA,Claudin-5,E2,E10,DAPI_1,CD31,HLA-DR,Gal3,AQP4,GFAP,E6,CD74,IBA1,CD14,P2Rx7,MAP2,CD44,E3,CollagenIV,S100B,E4,E1,E8,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1,23330,6820,115.12,96.46,14.61,84.816,204.631,55.222,5.604,36.964,25.58,161.554,434.587,8.021,98.463,37.327,21.625,3.181,1.0,75.537,231.74,146.944,1.0,1.0,23.59,155.325,231.113,164.836,53.907,219.99,1.0,47.39,21.656,302.206,33.183,76.26,111.442,175.322,246.685,135.617,193.539,378.237,117.883,233.018,1.0,95.376,1.0,22.17,234.143,1.0,1.0,3.982,-8.596325,-2.985691,3.1359,1.370988
2,15619,3002,30.7,1.0,6.444,53.102,85.678,37.148,330.931,15.985,8.023,232.911,214.189,76.226,192.881,8.479,1.0,148.233,1.0,7.211,107.193,220.944,1.0,1.0,3.51,201.623,8.744,72.928,4.112,179.353,2.134,99.174,288.306,95.127,1.0,329.876,17.064,84.809,55.195,166.319,20.804,291.504,204.796,1.0,4.223,238.09,18.374,24.186,204.186,1.0,1.0,118.793,-10.868038,-15.599934,-4.2168193,-4.66585
3,2541,8797,213.62,427.24,48.636,305.684,167.332,457.78,464.438,48.952,18.557,185.689,356.314,37.108,6.076,193.321,51.272,55.531,7.37,234.963,8.866,638.222,415.839,5.283,166.663,315.824,450.163,301.699,17.598,245.953,37.286,18.261,534.301,149.093,184.709,80.384,57.225,217.227,11.839,300.936,284.857,295.684,228.772,550.39,339.371,1.0,166.052,12.089,377.416,160.118,85.423,488.572,67.63746,21.198822,-4.768231,27.856882
4,14307,7207,110.15,238.54,11.888,51.969,308.462,5.929,20.949,81.919,16.801,188.837,270.833,8.021,240.598,22.369,57.717,16.269,1.0,26.881,195.031,135.639,68.729,1.0,141.563,320.968,434.674,240.76,13.449,203.058,4.402,84.07,141.836,58.731,37.205,130.901,147.587,299.359,203.329,103.734,68.113,307.179,271.729,129.632,42.894,559.197,11.424,9.065,583.207,1.0,1.0,15.91,-28.568398,-23.123074,2.9001064,-15.90127
6,19686,2769,27.72,369.52,9.166,91.612,126.001,235.962,191.286,78.922,9.779,145.813,225.518,9.024,77.143,127.077,31.937,10.816,1.0,427.516,1.0,215.806,282.498,1.0,48.691,174.873,284.216,350.65,7.224,129.685,1.0,99.174,156.859,33.631,18.432,252.554,97.386,239.017,57.002,239.532,303.561,637.392,169.831,382.087,262.029,72.357,2.737,10.073,312.292,15.764,2.173,275.352,31.373184,29.158464,4.056124,14.475071
7,1384,15607,135.59,9.88,1.0,372.51,177.413,185.026,96.143,45.955,8.023,186.738,153.425,192.575,38.564,121.735,6.156,122.058,8.431,23.775,154.39,439.861,1.0,6.354,21.08,354.92,478.927,370.63,24.86,83.403,53.161,34.444,115.547,189.254,218.232,174.201,326.303,135.094,165.392,158.053,393.779,482.735,684.316,1.0,1.0,217.373,376.277,1.0,528.503,171.601,31.486,150.104,12.008972,-34.41938,-7.518387,-24.151812
8,18982,16299,37.81,267.4,26.86,868.612,101.807,17.431,7.138,37.963,4.511,139.517,146.215,5.012,8.107,1.0,2.289,19.54,2.062,341.592,40.331,136.667,437.004,2.071,1.0,79.192,80.654,98.902,9.299,154.519,4.402,2.079,205.682,125.247,186.05,16.464,67.265,27.819,362.302,96.649,17.503,158.792,29.971,33.458,223.358,5.604,54.859,169.348,254.983,42.01,1.0,8.455,24.766417,10.763763,-3.4027991,12.242617
9,4279,11798,281.27,120.88,2.361,350.99,264.107,201.457,33.226,24.976,16.801,201.43,331.597,7.018,95.418,111.05,12.601,52.259,8.431,94.171,75.728,193.194,3.117,4.212,412.648,283.93,233.326,419.581,7.224,153.39,47.491,35.523,139.959,125.247,194.095,213.378,116.462,274.216,93.132,108.457,152.83,510.95,186.814,50.289,20.335,189.751,296.357,2.008,395.651,125.67,65.489,103.882,-33.431484,-44.83688,-1.6484509,-20.125217
10,8297,2694,107.02,376.18,24.138,85.949,154.227,1.0,14.811,43.957,27.336,92.295,313.059,10.027,16.229,7.411,47.405,1.0,1.0,627.316,1.0,270.278,310.013,1.0,3.51,188.248,338.425,275.725,9.299,407.373,1.0,58.178,124.936,327.307,10.387,132.963,48.189,47.933,1.0,21.074,530.206,455.566,42.958,526.347,220.135,1.0,1.0,10.073,389.138,5.921,1.0,24.857,29.74451,43.978127,10.443489,16.088066
11,12112,5667,176.1,189.7,7.805,317.01,107.856,38.791,7.138,41.959,9.779,118.529,206.979,5.012,110.646,31.985,33.226,5.362,1.0,101.418,35.087,168.528,30.631,1.0,68.771,292.161,421.399,231.769,13.449,108.237,2.134,43.075,44.19,137.798,39.887,118.529,96.382,180.351,147.327,99.011,323.365,296.729,94.906,218.592,20.335,202.411,1.0,7.048,350.064,46.931,1.0,135.194,-12.761303,-12.850235,2.0506148,-2.990466
12,5221,11423,39.37,116.44,1.0,55.367,374.995,43.72,4.069,54.946,4.511,207.726,350.135,5.012,96.433,14.89,4.867,22.812,2.062,19.634,58.685,186.0,1.0,1.0,71.281,323.026,366.083,472.528,10.336,78.888,10.072,20.419,68.602,21.08,43.91,113.375,67.265,86.485,66.034,112.0,63.713,680.236,175.825,17.83,1.0,117.243,47.91,4.024,373.508,55.133,8.035,127.739,-30.435066,-21.775047,3.3088787,-15.242667
14,9320,6378,369.82,340.66,44.553,118.796,161.284,5.929,74.659,78.922,8.023,177.294,262.594,8.021,98.463,73.655,31.937,4.272,1.0,229.787,25.909,348.389,250.75,1.0,63.751,247.921,492.203,344.656,30.047,161.292,2.134,61.415,205.682,49.946,38.546,355.65,72.285,171.97,172.618,101.372,262.852,438.846,107.893,389.3,255.584,34.377,14.899,9.065,407.373,9.202,1.0,38.276,28.915085,18.307276,1.4477057,11.856885
15,12428,10441,60.69,167.5,21.416,116.531,126.001,45.363,200.493,77.923,167.793,201.43,128.707,163.488,140.088,84.339,298.766,33.718,3.123,19.634,157.012,188.056,3.117,2.071,86.342,267.469,293.066,227.773,27.972,431.078,30.482,52.784,181.271,578.312,98.889,175.232,159.635,213.874,149.134,70.67,152.83,373.013,407.593,19.032,1.0,329.013,98.294,8.057,607.954,35.448,6.863,8.455,-14.6719055,-23.84017,-6.4610267,-6.7596087
16,23120,14061,264.36,14.32,1.0,153.908,111.888,152.164,43.968,97.903,6.267,160.504,318.208,8.021,60.899,114.256,2.289,42.443,2.062,26.881,40.331,598.139,17.932,23.486,8.53,177.96,454.588,175.825,1.0,103.722,4.402,116.435,173.759,90.107,51.956,68.012,109.434,466.977,243.072,252.521,78.015,302.999,106.894,255.859,17.113,63.15,7.95,3.016,389.138,89.581,5.69,154.578,-11.233343,-0.6348753,-2.7539413,6.1136327
17,3963,13101,227.97,1.0,2.361,381.571,256.042,83.155,2.535,35.965,55.427,186.738,284.222,55.163,61.915,9.548,52.561,79.524,6.308,14.458,79.661,197.306,1.0,4.212,410.138,282.901,100.568,321.679,16.561,217.732,52.027,9.631,29.167,220.629,156.549,293.793,153.611,138.446,82.293,87.202,257.351,393.912,260.74,7.011,4.223,160.978,225.123,1.0,398.256,71.537,108.873,114.319,-31.248985,-46.313732,-2.8361223,-19.792923
19,12576,15618,119.53,3.22,1.0,144.847,230.841,47.007,7.138,63.937,23.824,160.504,169.903,9.024,176.637,6.342,59.006,53.349,4.185,2.035,11.488,98.639,1.0,2.071,146.583,156.354,173.585,196.804,7.224,219.99,21.411,54.942,19.778,239.455,101.57,253.585,124.494,225.607,91.325,80.117,345.369,376.147,142.858,7.011,1.0,96.526,112.193,2.008,589.72,122.389,10.38,26.348,-23.767658,-41.89232,-1.3037311,-16.094835
20,18816,7608,123.08,615.94,58.163,74.622,216.728,1.0,5.604,116.884,20.313,76.555,194.621,10.027,29.427,33.053,38.382,28.265,1.0,122.122,180.61,439.861,690.987,1.0,28.611,140.922,318.512,355.645,7.224,394.956,1.0,43.075,203.805,231.925,89.502,126.777,97.386,443.51,360.495,11.628,346.469,198.501,121.879,531.155,503.723,311.749,1.0,13.097,357.879,5.921,1.0,1.0,46.82081,21.536097,-2.378215,20.088018
21,6528,12954,156.63,16.54,2.361,228.663,215.719,24.003,2.535,77.923,6.267,156.307,133.857,10.027,96.433,2.068,4.867,10.816,2.062,4.106,171.433,112.0,1.0,2.071,68.771,290.103,360.551,269.731,6.187,195.156,16.875,82.991,40.434,195.529,69.388,207.192,179.716,260.807,141.908,122.628,229.846,417.947,191.809,13.022,4.223,250.75,7.95,1.0,568.88,19.044,3.345,38.276,-29.522419,-29.708187,1.9558553,-15.360012
23,13353,7773,24.73,87.58,6.444,328.337,251.002,1.0,13.276,85.915,8.023,154.208,275.982,14.039,101.509,7.411,43.538,48.987,1.0,23.775,63.929,194.222,3.117,1.0,201.804,300.391,259.877,288.712,10.336,139.844,1.0,115.356,123.058,73.791,46.592,148.427,178.712,195.436,105.778,162.777,200.14,599.773,207.793,41.874,17.113,189.751,2.737,6.04,428.213,10.842,1.0,96.427,-30.49831,-27.110184,2.6966007,-15.356672
25,17293,3960,133.46,98.68,7.805,221.867,72.573,53.579,82.332,43.957,16.801,142.665,58.674,7.018,77.143,4.205,19.046,5.362,1.0,7.211,32.465,60.611,3.117,1.0,206.824,200.594,330.681,150.85,10.336,199.671,3.268,46.311,83.624,392.568,9.046,22.65,52.205,91.513,87.712,69.489,218.844,331.213,120.88,91.162,1.0,102.281,13.162,6.04,249.773,79.739,1.0,17.401,-7.973978,-26.629194,-1.683606,-7.553024
26,25458,11393,102.76,862.36,48.636,45.173,201.606,51.936,62.382,85.915,8.023,152.109,425.318,6.015,11.152,18.095,46.116,2.091,1.0,226.681,1.0,184.972,724.852,9.566,126.503,116.23,291.96,254.746,6.187,172.58,6.67,179.008,173.759,22.335,176.663,37.084,95.378,44.581,11.839,167.5,98.92,346.888,29.971,562.412,316.813,1.0,1.0,16.121,213.304,1.0,10.38,39.767,49.796967,33.409363,3.3222146,21.178413
27,14618,6198,101.34,107.56,11.888,264.908,233.865,12.502,1.0,24.976,20.313,152.109,142.096,7.018,114.707,26.643,25.492,1.0,1.0,5.141,33.776,95.556,5.233,1.0,101.402,370.352,327.362,216.784,25.897,217.732,6.67,141.248,42.312,461.594,35.864,166.985,126.503,114.98,69.647,136.798,446.589,310.314,113.887,43.076,1.0,192.053,1.0,6.04,351.366,60.054,1.0,45.731,-7.763859,-34.098675,1.1665045,-8.030136
28,8087,3310,294.49,427.24,25.499,195.816,107.856,1.0,65.452,61.939,13.29,144.764,385.152,7.018,40.595,43.738,33.226,21.722,1.0,505.159,46.886,107.889,322.712,1.0,18.57,188.248,199.03,283.717,29.009,279.817,10.072,36.602,213.194,92.617,61.342,80.384,29.113,44.581,584.503,19.894,302.46,364.653,48.952,556.401,542.394,124.149,16.637,16.121,434.725,23.966,1.0,12.928,50.145264,44.79508,5.605371,26.076773
29,17775,1569,63.11,38.74,3.722,269.439,182.453,116.016,99.212,28.972,8.023,152.109,31.897,21.06,103.54,80.065,11.312,9.725,1.0,13.423,57.374,167.5,32.748,1.0,36.141,160.47,423.611,214.786,8.262,82.275,1.0,217.846,104.28,349.897,1.0,301.009,48.189,130.065,122.036,207.649,702.941,203.726,162.838,270.285,13.89,118.394,21.849,6.04,241.958,84.66,2.173,102.391,1.7100401,-24.214354,2.2592187,-5.9834876
30,4491,17188,186.62,7.66,1.0,121.061,134.066,114.373,22.484,106.894,2.756,93.345,106.049,204.611,51.762,74.723,56.428,170.045,6.308,1.0,246.161,208.611,1.0,5.283,73.791,178.989,372.721,180.82,1.0,127.427,49.759,226.476,79.868,116.462,149.844,421.632,724.898,99.894,80.486,174.585,192.438,268.515,233.767,1.0,1.0,180.544,98.294,1.0,370.904,125.67,166.327,85.99,-42.463573,-25.017399,7.019435,-19.85966
31,9246,6875,159.04,327.34,15.971,218.469,254.026,2.643,53.175,100.9,23.824,179.393,190.501,10.027,106.585,49.08,33.226,5.362,1.0,247.385,10.177,276.444,106.826,1.0,38.651,319.939,535.349,308.692,10.336,285.461,2.134,92.701,192.538,257.025,18.432,189.666,117.466,165.265,114.81,134.436,445.489,417.947,162.838,365.256,94.455,67.753,13.162,9.065,471.194,9.202,1.0,44.24,19.649946,11.90535,2.49376,10.340569
32,17555,11177,51.31,722.5,56.802,66.694,206.647,10.859,103.816,78.922,8.023,145.813,235.816,6.015,5.061,3.137,43.538,1.0,1.0,633.527,7.555,256.917,576.695,1.0,68.771,171.787,280.897,329.671,15.523,160.163,3.268,52.784,337.13,19.825,127.048,132.963,80.318,6.029,96.745,154.511,167.133,364.653,86.914,492.686,825.981,1.0,7.95,14.105,455.565,14.123,1.0,1.0,54.644386,38.103035,2.9355977,25.084139
33,22848,14762,81.44,7.66,2.361,151.643,66.525,12.502,71.59,33.967,2.756,121.678,12.329,14.039,38.564,83.271,1.0,5.362,2.062,7.211,46.886,112.0,1.0,4.212,16.06,146.066,337.319,11.989,1.0,1.0,10.072,100.253,85.502,44.926,55.979,156.675,76.302,230.636,111.197,48.234,101.12,147.297,147.853,1.0,4.223,47.037,44.435,1.0,467.287,32.167,11.553,32.312,-7.162163,-55.382664,12.654962,1.4186836
34,5607,3767,150.09,591.52,22.777,98.408,127.009,2.643,7.138,353.647,9.779,199.331,328.507,7.018,17.244,2.068,37.093,17.359,1.0,446.15,3.622,146.944,343.877,1.0,56.221,113.143,156.99,282.718,5.15,171.451,2.134,17.183,237.605,29.866,124.366,85.539,65.257,302.711,6.42,54.138,105.521,242.39,66.934,414.545,584.287,1.0,9.687,30.234,243.261,94.502,1.0,21.875,54.333294,43.274677,5.367751,24.435377
35,23818,8604,61.4,247.42,18.693,50.837,254.026,60.151,57.779,66.934,22.069,170.998,473.723,145.434,131.966,11.684,79.631,102.427,1.0,166.637,191.098,314.472,7.35,5.283,66.261,257.18,372.721,240.76,35.234,159.034,20.277,64.651,113.669,116.462,102.911,130.901,193.772,332.883,196.103,103.734,87.917,291.504,356.644,398.917,4.223,265.712,20.111,68.541,313.595,19.044,1.0,45.731,-8.904221,4.698021,2.246985,2.5628679
37,11730,16480,550.32,223.0,7.805,135.786,341.729,20.717,100.747,110.89,1.0,80.752,318.208,9.024,290.345,19.164,35.804,76.252,4.185,259.808,54.752,97.611,589.394,266.543,166.663,210.883,283.11,369.631,21.748,196.285,22.545,227.555,248.872,27.356,212.868,135.025,174.695,24.466,158.166,122.628,133.026,385.552,94.906,239.029,258.806,34.377,18.374,19.145,423.003,53.493,3.345,179.925,36.921944,25.573006,-6.0957947,11.432274
38,942,10330,63.82,245.2,13.249,36.112,62.492,272.11,97.677,55.945,8.023,153.159,224.488,5.012,43.64,185.842,17.757,70.799,9.493,31.022,15.421,123.306,172.439,5.283,364.957,195.45,254.346,131.869,4.112,68.729,52.027,40.917,263.895,32.376,188.732,41.207,30.117,212.198,266.557,188.755,46.109,166.107,46.954,204.166,123.458,21.717,237.285,11.081,550.645,215.892,58.454,270.879,-27.193558,-4.231205,-13.195368,-7.0608764
39,8263,14459,128.34,5.44,1.0,375.908,272.172,160.38,197.424,90.91,2.756,215.071,42.196,31.09,117.753,31.985,7.445,36.99,7.37,1.0,226.496,236.361,1.0,4.212,48.691,291.132,482.246,152.848,8.262,24.705,27.081,177.929,372.808,23.59,152.526,397.92,262.045,93.19,98.552,256.064,117.623,184.916,305.695,9.415,1.0,93.074,223.386,1.0,527.201,253.621,47.901,232.112,-39.66267,-34.65821,2.6643875,-22.218458
40,8434,692,503.28,74.26,6.444,237.724,602.819,55.222,1.0,29.971,4.511,130.072,289.371,33.096,313.695,2.068,17.757,72.98,1.0,187.342,61.307,260.0,170.322,572.775,11.04,366.237,72.91,375.625,19.673,117.268,1.0,347.306,2.878,140.308,6.364,383.486,152.607,76.428,170.812,201.745,156.131,348.978,45.955,229.412,75.119,37.829,1.0,4.024,393.046,1.0,174.535,221.675,-24.63068,12.026807,-10.37776,8.620442
41,3541,2116,89.26,389.5,15.971,42.908,261.083,2.643,66.986,20.98,6.267,191.985,475.782,94.28,23.335,107.845,20.335,51.168,2.062,393.353,7.555,90.417,384.091,2.071,58.731,210.883,284.216,374.626,1.0,182.739,11.205,12.867,164.37,16.06,207.505,96.879,58.229,9.381,53.389,2.181,192.438,247.615,149.851,495.09,300.7,1.0,9.687,8.057,256.286,122.389,8.035,15.91,47.6172,49.964664,8.708708,23.322887
42,779,14043,144.12,7.66,1.0,267.173,206.647,528.433,390.779,45.955,4.511,182.541,163.724,7.018,44.655,162.336,2.289,40.262,7.37,1.0,61.307,155.167,1.0,7.424,171.683,212.94,480.033,196.804,4.112,84.532,47.491,132.618,464.821,195.529,148.503,283.483,189.756,113.304,178.038,348.17,194.639,338.528,142.858,13.022,7.445,112.639,445.772,1.0,377.416,388.133,215.574,442.349,-57.35208,-49.710754,1.2423353,-28.973274
43,23016,4945,35.67,436.12,24.138,557.133,158.259,91.37,39.364,48.952,32.603,193.035,61.764,6.015,18.259,1.0,26.781,40.262,1.0,166.637,11.488,694.75,310.013,1.0,43.671,315.824,140.395,225.775,4.112,698.607,1.0,64.651,132.447,627.258,29.16,289.669,57.225,12.733,66.034,267.872,558.812,207.906,111.889,371.267,300.7,29.773,1.0,12.089,264.1,137.153,1.0,9.946,27.006197,5.903288,-6.4289885,15.660979
44,22399,11957,357.74,655.9,28.221,153.908,220.76,7.572,48.571,333.667,13.29,116.431,274.953,6.015,13.183,2.068,38.382,70.799,1.0,515.511,94.083,187.028,511.083,28.839,38.651,91.538,129.332,223.777,100.589,183.868,63.367,52.784,128.692,78.812,204.823,14.402,71.281,76.428,8.226,129.713,170.434,332.258,34.966,360.448,210.468,2.151,13.162,82.654,129.945,1.0,2.173,1.0,46.026337,37.789425,5.090876,20.594927
45,7054,9247,138.72,280.72,14.61,270.571,152.211,181.74,189.751,106.894,18.557,201.43,324.388,11.03,110.646,129.214,38.382,6.453,2.062,48.621,59.996,187.028,45.447,1.0,86.342,230.43,473.395,260.74,14.486,300.136,4.402,223.24,308.962,262.045,47.933,109.251,119.474,170.294,94.939,287.947,238.648,275.829,98.902,347.224,39.671,116.092,40.96,9.065,403.465,112.547,13.898,63.624,-21.492847,-10.131245,-8.8658085,-8.405162
46,22469,8611,151.37,123.1,11.888,75.755,186.485,24.003,137.576,43.957,11.534,158.405,386.181,194.581,51.762,43.738,29.359,16.269,1.0,35.163,74.417,167.5,1.0,1.0,101.402,177.96,284.216,127.873,13.449,67.6,4.402,87.307,254.506,221.884,46.592,107.189,116.462,126.713,107.584,193.479,260.652,161.927,255.745,279.903,4.223,67.753,14.899,14.105,550.645,10.842,1.0,142.649,-8.577709,-2.1663284,2.3692763,1.8961773
47,15779,4480,51.88,45.4,5.083,74.622,114.912,204.743,33.226,32.968,8.023,158.405,255.385,32.093,188.82,4.205,17.757,18.45,1.0,11.352,111.126,118.167,3.117,1.0,302.206,248.95,267.621,165.835,10.336,95.82,5.536,98.095,31.045,75.046,25.137,116.467,81.322,359.701,255.718,195.84,80.216,386.597,196.804,38.267,1.0,429.143,34.01,6.04,614.467,166.68,1.0,261.933,-32.522026,-34.020252,1.0739243,-17.66008
49,17372,6702,82.72,174.16,14.61,150.51,60.476,15.788,7.138,68.932,41.381,134.27,10.269,7.018,63.945,44.806,24.203,17.359,1.0,12.388,29.843,146.944,39.097,1.0,46.181,223.229,270.94,122.878,7.224,277.559,2.134,45.232,57.335,445.279,13.068,24.712,66.261,182.027,131.069,148.606,454.291,258.065,112.888,4.606,1.0,196.657,16.637,7.048,549.343,2.64,1.0,3.982,-10.820972,-32.826637,-0.038414184,-8.605728
50,20809,12610,175.67,549.34,6.444,89.347,242.937,66.724,36.295,95.905,2.756,84.95,314.089,6.015,22.32,15.958,2.289,7.544,1.0,542.427,1.0,204.5,540.714,2.071,86.342,144.008,339.532,302.698,1.0,107.108,1.0,147.721,230.094,18.57,194.095,84.508,90.358,6.029,1.0,278.5,162.732,236.12,43.957,557.603,500.5,1.0,1.0,5.032,326.619,37.089,1.0,94.936,50.85048,36.967712,4.225355,21.965878
51,4058,4837,241.76,402.82,25.499,273.969,178.421,73.296,17.88,19.981,15.046,57.666,495.351,13.036,3.03,41.601,25.492,22.812,2.062,645.95,3.622,292.889,428.538,2.071,113.952,170.758,156.99,367.633,5.15,299.007,8.938,12.867,153.103,90.107,169.958,95.848,77.306,26.143,46.163,108.457,289.258,311.359,64.936,497.495,378.042,1.0,7.95,14.105,365.694,128.951,5.69,90.463,43.60452,48.20476,9.508459,21.563198
52,17292,3066,62.11,18.76,3.722,118.796,418.342,106.158,294.101,10.99,13.29,210.874,76.182,13.036,165.47,73.655,10.023,26.084,1.0,41.374,105.882,337.083,3.117,1.0,48.691,320.968,341.744,314.686,2.037,43.895,3.268,106.726,271.406,16.06,7.705,284.514,17.064,9.381,179.844,201.745,237.547,302.999,185.815,1.0,4.223,221.977,11.424,7.048,299.267,2.64,6.863,205.273,-25.981125,-13.630573,-10.4254265,-12.123297
53,392,6408,168.85,147.52,40.47,225.265,151.203,17.431,143.714,33.967,25.58,304.268,815.648,833.5,4.046,176.226,42.249,126.42,64.698,25.846,129.48,391.556,51.797,2.071,91.362,620.359,548.625,401.599,44.57,338.515,50.893,146.643,246.994,282.126,220.914,35.022,117.466,386.52,449.014,71.851,191.338,524.535,841.159,141.653,26.781,1.0,230.336,72.573,472.497,156.837,24.451,97.918,-11.397934,34.097908,-16.33861,-25.885227
54,16277,7254,90.96,271.84,13.249,57.633,115.92,12.502,17.88,83.917,16.801,148.961,102.96,12.033,135.012,24.506,40.96,8.634,1.0,11.352,113.748,77.056,56.03,1.0,28.611,184.133,382.678,89.911,12.411,348.675,1.0,67.888,94.891,431.474,17.091,128.839,300.198,78.104,208.749,102.553,155.031,259.11,147.853,7.011,7.445,339.371,2.737,6.04,514.176,2.64,1.0,3.982,-14.686703,-28.891151,-0.032419316,-10.284151
55,8199,4780,214.9,500.5,29.582,216.204,137.09,155.451,116.092,85.915,15.046,55.567,266.713,8.021,28.412,44.806,26.781,22.812,1.0,633.527,6.244,326.806,413.722,1.0,11.04,272.613,456.801,330.67,7.224,353.19,1.0,119.672,139.959,200.549,45.251,225.749,45.177,131.742,282.816,305.66,480.696,443.026,51.949,535.964,320.035,80.414,1.0,11.081,344.854,60.054,1.0,251.496,34.43883,41.2205,8.959742,15.974097
56,7536,15228,63.96,7.66,5.083,449.531,127.009,372.339,416.866,96.904,2.756,296.922,146.215,768.304,74.098,69.381,15.179,342.361,9.493,2.035,408.728,613.556,1.0,6.354,11.04,756.166,663.681,541.459,91.252,230.149,193.77,345.148,474.211,51.201,330.871,395.858,303.21,126.713,60.615,452.085,446.589,658.292,913.087,154.877,1.0,177.091,378.014,115.92,577.997,383.212,175.708,375.252,-10.020664,28.210201,-13.391613,-28.089012
57,1604,2630,128.34,251.86,49.997,324.939,157.251,12.502,45.502,20.98,32.603,244.454,474.753,6.015,2.015,25.574,22.914,28.265,2.062,565.202,3.622,101.722,297.314,2.071,96.382,320.968,173.585,282.718,5.15,515.739,10.072,15.025,94.891,317.266,208.846,99.972,10.036,123.361,2.807,6.904,525.805,492.14,47.953,378.48,242.694,1.0,73.97,12.089,165.112,25.606,5.69,78.534,33.660477,50.82392,12.481893,19.894882
58,24657,5752,159.9,147.52,14.61,194.684,880.039,86.441,80.797,57.943,13.29,219.269,452.095,28.081,144.149,69.381,24.203,66.437,1.0,356.085,246.161,149.0,117.409,2.071,86.342,271.584,366.083,524.476,19.673,238.051,6.67,79.755,209.438,52.456,47.933,587.616,162.647,64.695,140.101,165.138,234.247,283.144,169.831,434.982,10.668,198.959,1.0,51.404,284.94,48.571,1.0,17.401,-25.807365,7.6769314,-9.907686,6.5621433
59,20298,16396,133.6,622.6,49.997,252.449,147.171,91.37,208.166,105.895,11.534,108.036,212.129,7.018,12.168,58.696,6.156,29.356,3.123,157.32,14.11,524.139,847.61,26.698,1.0,197.508,391.528,226.774,1.0,345.288,6.67,20.419,363.419,127.758,192.754,62.858,53.209,218.903,113.004,207.649,272.754,274.785,53.947,222.199,339.371,5.604,166.052,4.024,310.99,158.478,9.208,354.378,50.89489,19.780333,-3.4302523,21.556612
60,17392,1101,56.71,56.5,2.361,253.582,23.178,27.289,50.106,3.997,6.267,33.53,169.903,382.145,187.805,9.548,22.914,10.816,1.0,46.55,50.819,418.278,3.117,1.0,282.126,230.43,79.548,426.574,23.822,77.759,1.0,214.609,62.968,63.751,1.0,684.526,112.446,106.599,201.523,108.457,457.591,653.067,555.445,269.083,1.0,270.316,1.0,3.016,374.811,20.685,1.0,53.187,14.271733,-27.135162,-10.023614,-24.01445
61,1079,14762,143.55,7.66,3.722,330.602,256.042,608.944,470.576,49.951,44.893,316.86,33.957,8.021,35.518,180.499,75.764,41.353,9.493,1.0,105.882,189.083,3.117,7.424,18.57,295.247,426.93,174.826,24.86,164.678,62.233,168.219,714.571,262.045,145.821,336.062,165.659,103.247,123.843,514.67,332.166,235.075,161.839,10.617,10.668,142.563,518.743,1.0,480.312,575.138,78.387,557.16,-59.615456,-50.313705,1.4576571,-29.662052
62,2969,6537,317.8,396.16,45.914,169.765,139.106,84.798,100.747,46.954,18.557,222.417,375.882,29.084,3.03,83.271,59.006,39.171,4.185,686.324,7.555,254.861,441.237,1.0,184.234,343.602,512.116,373.627,17.598,284.332,18.009,16.104,295.818,141.563,188.732,85.539,67.265,168.617,38.937,75.394,335.467,455.566,202.798,522.74,358.706,18.264,145.203,12.089,325.317,73.177,12.725,74.061,59.410507,35.25759,0.5717555,26.802748
63,1695,11292,104.89,365.08,14.61,67.827,124.993,168.595,96.143,81.919,27.336,168.899,204.92,5.012,144.149,118.529,34.515,58.802,6.308,47.585,29.843,445.0,204.186,3.141,123.992,293.189,498.841,327.673,12.411,215.475,47.491,45.232,288.306,170.428,140.458,121.622,72.285,415.015,145.521,179.309,329.966,355.248,121.879,484.271,168.574,127.601,166.052,9.065,598.837,165.039,47.901,99.409,46.177704,12.205341,-5.923337,19.904613
64,23459,9301,294.49,245.2,11.888,152.776,168.34,68.367,74.659,64.936,15.046,148.961,300.7,6.015,32.473,4.205,29.359,15.178,1.0,459.608,18.043,209.639,115.292,2.071,116.462,134.749,355.02,200.8,9.299,138.715,2.134,68.967,132.447,108.932,43.91,91.724,87.346,262.483,122.036,189.936,317.863,390.777,120.88,334.0,36.448,48.188,6.212,12.089,363.089,7.562,1.0,96.427,15.203331,19.984436,5.2304955,9.345735
66,19041,610,239.35,136.42,5.083,255.847,280.236,84.798,39.364,6.994,6.267,27.234,486.081,15.042,209.125,57.628,30.648,8.634,1.0,146.968,206.831,130.5,51.797,5.283,189.254,222.2,224.475,397.603,2.037,83.403,1.0,119.672,19.778,39.906,3.682,811.334,207.828,126.713,154.553,93.106,147.329,485.87,177.823,362.852,49.339,253.052,1.0,5.032,492.034,2.64,5.69,93.445,-23.207249,2.3854866,-6.5327587,5.3692846
67,3182,13107,48.75,5.44,1.0,218.469,174.388,73.296,1.0,74.926,129.167,177.294,198.74,6.015,86.28,10.616,225.292,47.896,3.123,1.0,56.063,67.806,1.0,3.141,141.563,194.421,230.007,158.842,1.0,207.573,33.884,24.734,10.389,101.402,102.911,125.746,99.394,269.188,94.939,82.479,91.218,433.621,121.879,32.256,1.0,204.713,179.951,1.0,641.819,63.335,74.87,65.115,-32.69538,-42.51542,-0.78877765,-18.421999
