cell,x,y,area µm²,ATG7,P2Rx7(Park7),GalMac3,CD31,CD44,Trem2,TMEM119,CD74,AQP4,S100B,CD3e,SMA,CD8,CD14,Neurofilament,GFAP,HLA-A,P2Ry12,CD68,H2A.x,PSD-95,Synaptophysin,CD40,CollagenIV,DAPI_1,CD11c,IBA1,PCNA,CD45,ApoE,MAP2,Claudin5,CD4,CD11b,Vimentin,A-Beta,iNOS,CD34,NeuN,CD163,HLA-DR,UMAP_1,UMAP_2,TSNE_1,TSNE_2
5851,10014,11895,51.02,592.003,692.111,516.649,375.039,519.662,54.208,63.31,94.817,124.862,264.656,153.824,3.245,552.068,875.376,13.646,162.972,900.216,221.943,128.766,34.459,373.695,1.0,957.859,511.099,40.044,282.907,588.583,616.319,937.434,468.719,2.554,438.501,637.115,810.179,495.973,3.351,284.771,337.372,20.328,53.255,248.381,57.543022,-51.152588,-12.996975,-20.142246
5852,13628,5646,105.03,371.319,326.357,114.599,72.525,31.66,54.208,543.402,216.471,119.074,143.396,86.13,2.122,146.603,131.654,291.848,120.128,50.892,183.886,95.723,32.069,87.007,214.659,356.723,38.098,25.235,185.365,366.461,123.451,266.648,63.363,252.692,40.773,141.885,209.261,35.708,4.526,125.479,38.937,23.952,8.172,77.846,9.275379,-39.402443,9.79456,-14.371926
5853,10184,9685,88.26,317.494,367.846,100.12,85.423,25.272,39.005,227.767,113.375,121.389,87.773,133.311,2.122,294.229,125.624,178.038,38.619,35.808,242.029,60.477,33.264,192.861,349.399,100.156,11.599,29.274,161.783,211.085,149.983,293.315,366.78,283.765,4.509,188.846,224.446,7.036,177.294,157.127,1.0,16.704,11.246,102.058,21.839172,-68.13414,17.485289,6.7740192
5854,4813,18799,80.3,115.11,297.97,67.823,71.352,271.829,30.318,148.092,124.715,86.662,202.357,55.36,2.122,95.035,206.026,199.114,86.688,154.157,49.629,346.85,5.78,15.334,1.0,248.891,212.989,18.503,143.561,358.802,168.35,474.858,58.565,1.0,57.15,445.0,305.798,102.107,2.175,18.933,69.286,2.208,27.64,428.391,-6.550083,55.166924,-19.322254,4.2923512
5855,16407,15160,245.6,255.056,120.007,321.749,370.349,103.199,225.775,498.457,447.406,77.401,36.599,328.188,23.449,361.975,215.071,232.835,21.9,147.195,294.886,277.46,357.103,381.414,349.399,341.85,228.889,29.274,422.252,590.771,329.578,412.293,76.555,131.507,215.071,272.096,384.98,65.89,33.908,305.869,40.201,159.245,82.969,355.756,-1.1327696,-52.299694,-0.17620453,-17.758814
5856,9904,12449,188.18,172.165,281.593,47.776,12.725,165.797,31.404,372.816,198.944,18.364,123.372,108.695,2.122,146.603,228.137,131.671,108.633,48.571,205.029,144.186,22.51,36.285,2.925,139.819,12.924,33.313,115.692,382.874,142.84,304.598,24.986,1.0,6.849,235.808,361.117,17.6,1.0,99.107,17.439,4.624,58.378,123.112,0.99619675,39.148857,-7.1391487,2.8672674
5859,19672,11554,110.43,322.876,267.4,94.552,69.007,13.775,130.218,384.052,192.759,84.346,43.274,119.977,3.245,244.683,188.941,38.937,4.135,52.052,229.343,172.824,48.799,132.215,305.127,86.522,8.95,58.894,219.665,486.823,216.311,285.11,46.573,244.924,8.019,162.163,302.544,4.018,5.701,114.93,8.587,176.157,10.222,91.531,11.988434,-67.77664,14.588052,1.0866561
5860,12327,16093,120.95,167.859,79.61,65.595,115.908,3.555,98.728,349.322,354.619,56.564,77.761,155.876,4.367,244.683,170.85,34.722,34.439,55.533,84.514,146.389,82.258,160.884,439.867,198.073,24.849,176.027,279.691,413.512,305.088,358.958,64.562,187.439,46.622,231.538,343.762,8.545,6.876,102.271,35.143,13.08,10.222,244.171,31.007435,5.423314,7.5081224,6.7100916
5861,19367,12830,161.46,315.341,133.108,101.234,22.106,8.665,50.95,244.11,213.378,46.146,215.707,95.361,2.122,115.258,195.976,1.0,7.27,24.206,217.714,275.257,39.239,72.672,103.017,81.565,4.975,184.105,131.77,532.779,159.166,136.388,35.779,7.215,5.679,76.779,229.87,7.036,63.291,84.338,2.265,11.872,7.148,59.95,-4.352337,-12.896187,-1.5688859,-5.4444523
5862,9691,16207,157.76,329.335,289.236,239.334,142.877,245.001,46.607,20.408,75.229,141.068,451.551,87.156,1.0,219.405,547.736,13.646,217.311,340.962,54.914,117.752,35.654,60.543,2.925,317.061,133.493,369.903,149.992,432.113,458.152,554.86,81.352,1.0,139.035,384.163,298.205,188.124,2.175,130.754,217.239,14.288,106.535,250.487,-25.634853,-22.784824,-12.853912,-16.123991
5863,6870,6246,396.68,302.422,267.4,104.575,44.384,81.482,58.551,336.043,192.759,77.401,170.096,149.722,2.122,213.338,290.449,93.734,45.934,43.93,193.4,101.23,58.359,90.315,147.289,449.682,14.249,241.999,148.921,409.135,495.908,241.006,36.978,53.824,15.037,247.548,258.072,7.036,3.351,126.534,4.794,11.872,119.855,83.11,-8.160301,-41.03733,2.4925041,-15.255763
