cell,x,y,area µm²,SMA,NeuN,HLA-A,CD4,CD44,S100B,GalMac3,P2Ry12,CD11b,Claudin5,CD34,iNOS,ApoE,CD11c,CD40,PCNA,CollagenIV,CD8,Neurofilament,CD3e,DAPI_1,CD68,ATG7,Vimentin,AQP4,CD14,CD45,TMEM119,CD31,GFAP,P2Rx7(Park7),HLA-DR,Synaptophysin,A-Beta,PSD-95,H2A.x,CD163,MAP2,Trem2,CD74,IBA1,UMAP_1,UMAP_2,TSNE_1,TSNE_2
2371,189,13343,402.23,7.687,76.281,61.827,193.701,22.899,1.0,29.837,133.459,145.434,40.339,1.0,30.205,3.215,92.933,190.111,135.481,12.555,22.978,13.456,69.688,112.863,96.869,179.107,26.681,61.265,286.573,142.846,305.305,70.138,60.306,2.236,47.172,55.879,113.887,111.889,23.2,87.192,9.973,142.252,141.859,426.767,38.9088,10.789368,2.2445424,-26.195486
2372,19125,5566,51.02,18.386,13.208,140.18,249.482,88.595,139.211,129.737,217.383,511.533,84.854,4.315,244.708,38.656,390.181,246.639,287.151,22.009,192.808,172.898,198.982,39.841,322.379,304.696,202.598,115.734,114.018,611.95,423.423,156.311,89.959,422.608,279.083,27.423,279.721,154.846,31.273,21.769,90.731,231.302,481.519,401.265,-1.1135254,-67.26639,-2.5171614,23.265625
2373,13342,12426,84.99,9.024,17.277,231.935,169.359,22.899,22.823,210.069,176.937,437.31,225.646,26.417,259.814,115.076,171.586,283.639,457.021,302.486,236.764,1.0,94.94,451.56,288.607,251.035,625.054,2.159,86.773,365.746,46.045,138.275,12.248,9.655,54.518,5.065,100.9,140.86,52.464,19.692,1.0,115.639,74.926,118.529,-58.54487,51.784775,-24.659582,-10.33512
2374,3873,10723,140.85,9.024,12.19,89.663,284.98,15.599,1.0,86.481,124.358,255.765,43.445,3.21,161.122,58.592,365.666,202.444,132.447,27.262,133.867,115.599,161.608,143.936,250.478,166.549,13.841,61.265,138.236,351.562,108.107,94.187,36.788,22.019,388.217,137.181,121.879,123.877,43.382,96.538,30.91,109.498,168.832,461.139,-7.1563625,17.17614,-2.6813977,-6.745527
2375,9226,385,53.44,9.024,2.017,83.477,166.317,96.937,340.466,5.12,18.189,114.34,53.797,5.42,9.056,15.398,174.65,40.056,295.24,16.757,16.984,165.424,59.586,341.25,131.731,254.461,4.852,166.727,109.982,423.498,289.289,28.054,71.554,298.969,75.505,1.0,122.878,29.971,105.945,5.154,1.0,165.794,268.732,522.121,-24.755524,-54.97044,13.729262,19.023254
2377,8147,4950,145.97,33.096,15.242,171.108,263.681,10.385,71.318,115.319,118.291,298.895,63.114,57.36,106.741,88.496,319.699,145.917,406.465,138.612,147.853,143.002,242.417,173.456,146.983,288.712,165.36,45.039,299.691,251.257,349.349,74.146,71.554,201.295,151.06,80.27,12.988,40.96,39.345,224.269,48.856,14.306,172.828,438.963,-6.4828377,6.281475,-7.577056,-5.409342
2379,10917,7293,29.14,1.0,17.277,2.031,153.132,1.0,1.0,27.777,75.824,253.759,3.07,31.942,62.43,4.323,134.813,116.111,87.957,15.707,20.98,58.299,164.638,16.537,81.617,190.525,1.0,1.0,29.255,123.595,147.146,3.004,1.0,5.946,37.728,168.686,4.996,17.983,30.264,14.5,39.883,15.33,27.973,216.101,-20.919258,29.642727,8.157501,-12.672012
2380,3322,4386,110.01,9.024,9.138,113.375,211.956,533.87,306.519,139.006,135.481,211.633,39.304,9.841,194.355,293.39,328.893,103.778,291.195,20.959,233.767,50.825,198.982,106.649,331.095,368.632,234.699,673.181,549.945,331.298,332.332,126.251,334.341,258.168,509.944,7.098,134.866,150.85,20.173,257.5,1.0,202.642,446.554,608.605,-12.441496,-38.64229,6.7735534,11.820777
2381,1144,8106,127.63,9.024,18.294,99.972,205.871,18.728,16.761,92.661,111.214,140.419,74.502,18.681,131.917,72.99,496.414,176.75,351.863,133.36,173.827,220.232,130.294,161.026,213.437,418.867,171.78,74.013,370.327,338.39,432.432,164.327,75.644,109.802,433.34,118.888,127.873,118.882,44.391,98.615,69.793,117.686,292.708,542.079,-7.215992,-4.282339,-3.2529497,1.0288223
2383,3209,4712,69.5,7.687,7.104,44.3,154.146,146.992,42.221,25.718,92.002,170.509,17.564,31.942,111.776,112.861,194.058,105.833,127.392,19.909,82.918,265.075,152.517,30.519,196.007,150.565,35.67,101.827,128.145,97.253,199.198,14.026,90.982,9.655,40.876,2.016,64.936,43.957,16.136,14.5,3.991,72.65,83.917,395.721,-28.2122,-33.98819,15.364537,8.501486
2385,17772,1983,95.65,17.048,2.017,103.065,148.061,155.334,285.909,48.375,62.679,289.867,87.96,13.156,118.826,10.968,229.81,124.333,158.737,13.606,102.898,252.618,110.092,349.019,272.266,166.549,21.545,77.49,66.591,402.221,195.194,113.225,82.801,554.901,115.381,2.016,245.755,78.922,36.318,6.192,1.0,264.056,174.826,193.926,-22.189693,-64.540955,11.087643,22.861732
2386,2726,14051,119.53,65.193,20.329,268.019,296.136,106.323,1.0,183.292,214.349,161.482,107.629,12.051,208.454,440.693,68.417,299.056,243.672,85.038,62.938,1.0,67.667,210.743,128.462,128.872,464.546,7.954,729.564,111.437,4.003,134.267,1.0,1.0,29.333,1.0,270.73,213.787,21.182,462.077,1.0,230.279,86.914,471.118,67.64326,20.58934,-17.819107,-19.421892
2387,10492,11253,104.89,6.349,57.969,55.641,189.644,16.642,3.425,87.511,153.681,255.765,27.916,3.21,175.221,29.796,208.359,223.0,181.993,25.161,168.832,23.421,140.395,42.949,108.853,199.658,11.272,49.675,137.227,214.782,169.168,93.185,22.473,51.692,74.456,224.581,75.925,129.871,35.309,16.577,66.802,94.144,183.817,295.932,-9.777664,34.284546,3.1260757,-13.202219
2389,8818,1385,113.85,6.349,2.017,46.362,98.364,130.307,204.68,9.239,10.1,110.328,37.233,24.207,37.254,15.398,158.307,26.694,166.826,18.858,84.916,344.796,87.87,47.61,31.504,302.413,6.136,121.529,65.582,296.85,301.301,27.052,140.062,430.026,34.58,2.016,90.91,20.98,10.082,7.231,12.964,128.946,66.934,269.322,-29.657936,-48.02199,14.57225,14.555471
2390,16047,4836,55.29,13.036,19.312,123.684,311.349,22.899,271.36,111.199,212.327,647.943,66.22,34.153,296.068,87.388,536.252,256.917,375.119,41.968,241.759,50.825,251.508,577.406,527.191,209.934,16.409,62.423,292.627,691.992,427.427,128.255,28.608,337.297,246.553,139.214,203.797,194.806,79.709,25.923,171.488,166.818,423.577,690.654,1.9724426,-71.53647,-1.510893,26.189934
