cell,x,y,area µm²,CD4,CD34,H2A.x,E5,HLA-DR,E9,ApoE,HLA-A,S100B,Gal3,CD45,PSD-95,CD74,CD8,E3,CD40,E7,PCNA,Vimentin,CD44,ATG7,E6,E1,IBA1,GFAP,SMA,a-Beta,CollagenIV,CD14,Synaptophysin,CD31,TMEM119,Neurofilament,AQP4,CD68,E2,CD11c,DAPI_1,Olig2,CD163,E4,Claudin-5,P2Rx7,CD3e,E8,E10,CD11b,NeuN,MAP2,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1145,16174,20424,225.56,387.71,12.964,246.871,76.832,247.522,180.884,84.152,235.484,18.439,156.541,367.87,13.699,392.421,5.343,56.03,185.091,125.624,192.518,101.829,303.76,43.902,58.48,34.218,428.143,77.755,327.945,41.155,96.446,478.134,26.771,23.756,64.695,66.765,127.268,157.404,28.959,102.809,76.498,14.94,347.819,57.21,15.731,53.648,100.688,134.966,61.619,119.444,14.409,1.0,31.16748,-10.082691,-16.323444,-2.0859768
1146,24837,16024,109.58,252.764,52.446,40.387,101.559,215.826,238.704,97.035,218.386,293.724,322.197,394.61,74.02,151.726,207.315,60.263,370.409,173.865,391.283,68.661,19.581,324.602,95.267,57.594,417.639,77.755,5.192,64.274,245.341,189.511,281.448,184.188,291.537,202.992,38.138,125.462,64.446,294.761,141.211,92.769,21.223,63.597,124.201,602.506,100.688,87.121,102.84,172.086,45.251,37.818,-13.060623,-15.165314,6.2674546,-17.2583
1147,4276,17095,104.46,163.136,24.928,29.645,309.272,99.609,399.315,1.0,118.242,170.406,1.0,146.465,4.175,145.884,37.92,315.657,139.682,366.831,138.686,27.534,3.186,166.479,203.329,356.555,430.477,277.319,41.519,432.967,42.996,38.276,199.587,247.905,139.564,390.892,5.952,745.569,234.351,216.283,71.105,12.616,22.234,262.886,74.653,1.0,119.777,337.828,208.317,138.587,17.091,5.909,30.704918,17.91597,-20.678793,4.8400445
1148,23060,11403,97.36,156.087,5.786,11.742,101.559,96.087,206.582,72.441,87.71,332.339,80.667,391.401,224.293,87.463,202.972,80.017,262.409,117.584,192.518,11.614,26.139,492.533,104.464,73.587,283.428,61.223,5.192,59.407,32.815,124.544,472.455,76.096,285.95,76.16,128.506,73.695,68.747,234.312,53.579,42.819,79.868,75.095,6.357,677.53,127.201,215.345,137.999,143.372,23.796,149.5,-17.331083,63.25638,22.892872,-3.1186101
1149,10306,5284,403.5,221.545,16.553,21.29,93.317,105.478,151.974,25.594,42.523,227.706,19.968,314.391,205.245,203.137,188.855,68.729,246.455,107.533,319.852,11.614,14.116,477.823,74.574,53.903,309.103,60.043,3.794,55.756,25.18,123.479,308.734,49.926,458.037,18.224,10.903,188.244,55.843,173.863,150.648,28.879,117.28,71.262,6.357,112.877,103.869,117.741,94.353,123.034,124.366,144.591,21.960468,39.461845,3.5106292,15.988268
1150,20268,4705,157.62,209.461,4.589,54.71,86.723,158.304,187.309,12.712,77.94,414.551,55.376,289.79,58.146,247.537,195.371,96.949,252.591,105.523,135.58,20.9,39.255,349.118,72.275,73.587,316.105,94.287,6.589,83.743,20.089,117.088,305.703,40.823,428.983,82.423,301.814,85.81,81.651,135.685,49.534,38.172,56.612,89.147,9.035,57.597,115.535,121.569,117.388,158.926,7.705,31.682,21.60525,15.327553,-7.4596596,5.2202015
1151,24583,20426,140.14,164.143,2.196,23.677,147.718,120.739,222.643,30.279,136.561,13.456,11.116,306.904,57.088,93.305,3.172,64.496,80.773,149.744,125.228,11.614,3.186,282.926,152.747,67.436,215.738,89.564,3.794,70.358,41.724,142.649,401.206,36.272,212.198,237.44,69.086,100.129,62.295,189.771,33.356,9.131,8.078,100.645,10.374,186.585,116.596,121.569,136.786,173.283,13.068,36.591,42.16449,-20.541555,-34.490124,8.410476
1153,2735,19136,115.27,206.44,3.393,35.613,80.129,84.348,164.823,10.369,63.285,8.474,43.995,358.244,154.448,78.116,5.343,68.729,67.273,145.724,169.743,7.633,1.0,204.477,105.613,55.133,300.933,45.872,3.794,32.637,25.18,169.275,534.608,28.308,340.705,292.245,206.494,95.723,67.672,223.707,48.186,6.808,15.156,76.372,5.017,255.028,77.357,112.0,87.079,106.284,29.16,30.455,45.470047,-25.91545,-33.864086,9.969949
1154,23367,11803,495.6,272.905,33.303,17.71,119.693,99.609,225.855,60.729,109.693,338.567,121.133,340.061,117.409,293.105,192.113,102.593,382.682,165.825,258.773,47.434,17.395,366.279,128.605,72.357,394.298,84.84,5.192,69.141,69.721,189.511,311.766,77.233,345.174,60.502,55.468,135.375,89.179,181.287,165.478,42.819,79.868,100.645,49.209,349.794,93.264,173.241,108.902,131.408,29.16,63.591,-13.5947,5.5812874,15.82174,-6.767291
1156,8277,7858,100.77,232.623,54.838,5.774,66.941,130.13,257.977,17.396,40.081,248.882,7.323,338.991,58.146,177.432,106.329,48.975,219.455,119.594,241.174,1.0,6.465,338.086,76.873,13.303,374.458,38.787,3.794,24.119,27.725,186.316,392.111,41.961,394.342,33.882,1.0,162.911,19.281,166.439,118.291,17.263,118.291,53.377,6.357,57.597,121.898,117.741,135.574,106.284,129.73,75.864,16.73012,31.857529,2.2820916,9.515334
1157,11572,5781,205.23,205.432,8.178,20.097,134.53,148.913,213.006,53.702,132.897,271.303,21.233,306.904,154.448,351.526,205.143,104.004,255.045,161.805,305.359,7.633,17.395,392.02,96.417,79.739,278.759,88.383,6.589,101.995,26.452,211.876,334.505,39.686,300.477,18.224,92.606,203.664,80.576,120.838,220.753,28.879,172.893,82.76,7.696,14.162,115.535,144.534,100.415,96.713,14.409,64.818,12.297968,22.342014,-1.6809148,4.6274123
1159,4316,5886,123.94,325.272,65.606,43.968,116.396,217.0,354.344,44.333,165.872,362.234,80.667,290.86,107.885,179.768,216.002,149.157,307.818,262.308,390.248,107.135,18.488,380.988,119.409,82.2,346.449,133.255,6.589,89.827,138.442,122.414,336.021,60.166,430.101,8.829,67.848,107.839,118.213,226.889,257.154,210.093,52.568,109.587,49.209,154.996,173.863,196.207,154.972,161.319,17.091,63.591,-4.5142517,-5.746052,-2.5377567,-12.561789
1160,19605,8537,152.93,192.341,9.375,70.226,124.639,104.304,171.248,34.964,69.391,324.865,50.318,399.958,299.43,157.568,250.75,77.195,361.818,135.674,200.8,16.92,35.976,405.503,94.117,52.672,326.609,87.202,6.589,58.19,23.907,179.925,516.417,53.339,254.661,51.107,208.97,122.158,82.727,137.806,149.3,56.758,18.189,96.812,7.696,452.458,85.841,119.655,81.017,114.659,17.091,75.864,-9.714355,62.887222,22.258625,2.0450833
