cell,x,y,area µm²,ATG7,P2Rx7(Park7),GalMac3,CD31,CD44,Trem2,TMEM119,CD74,AQP4,S100B,CD3e,SMA,CD8,CD14,Neurofilament,GFAP,HLA-A,P2Ry12,CD68,H2A.x,PSD-95,Synaptophysin,CD40,CollagenIV,DAPI_1,CD11c,IBA1,PCNA,CD45,ApoE,MAP2,Claudin5,CD4,CD11b,Vimentin,A-Beta,iNOS,CD34,NeuN,CD163,HLA-DR,UMAP_1,UMAP_2,TSNE_1,TSNE_2
3462,12361,20295,82.29,87.44,39.297,193.807,95.905,1.0,24.976,36.964,28.972,13.863,303.411,71.923,2.279,78.922,73.912,24.233,239.255,86.914,58.287,33.032,16.0,66.934,87.358,41.332,271.271,155.592,204.611,60.626,199.801,66.934,65.206,12.193,99.901,211.155,121.604,143.98,6.406,34.966,140.86,29.957,5.103,90.07,65.423546,28.89481,-4.70898,-16.547915
3463,8058,12873,234.09,343.056,167.318,30.97,4.996,256.0,24.976,48.952,18.982,49.235,489.029,105.358,1.0,124.876,107.647,34.189,452.431,14.986,108.538,34.033,21.0,8.992,2.963,28.922,10.009,38.674,79.235,86.778,99.901,141.859,18.412,5.197,1.999,116.738,149.744,75.275,2.081,67.933,112.467,9.043,8.18,48.571,-55.007317,-38.51434,13.365119,15.715041
3464,20127,10800,206.37,444.314,341.295,201.799,41.959,9.0,51.949,57.943,23.977,66.385,478.601,104.345,2.279,137.863,63.029,35.849,153.567,13.987,149.744,25.024,145.0,81.919,303.251,21.683,7.006,133.507,198.593,31.336,79.921,126.874,28.206,42.975,7.993,46.686,91.453,101.271,8.568,96.904,49.373,29.957,7.154,51.608,-36.845535,28.485958,11.771194,-1.3272573
3465,8424,14663,87.55,184.994,289.867,14.986,11.989,172.0,37.963,22.978,3.997,49.235,238.758,52.672,2.279,40.96,18.412,118.822,272.695,9.991,41.201,17.016,10.0,6.994,1.0,58.913,8.007,30.879,49.145,12.507,47.953,49.951,2.088,1.0,5.995,92.372,62.307,62.277,3.162,1.999,4.155,4.217,3.051,38.45,-68.99671,-36.60031,7.3702455,22.639856
3466,13047,125,129.76,130.66,1.0,51.949,35.965,431.0,198.802,21.979,17.983,275.403,487.986,68.883,3.558,18.982,205.588,35.849,430.486,19.981,62.307,30.029,88.0,47.953,187.454,56.845,10.009,214.051,88.262,42.843,42.958,85.915,19.5,38.777,15.985,68.006,58.287,214.541,6.406,91.909,35.702,5.826,11.257,51.608,34.237095,16.02821,-22.690966,2.502604
3468,9112,20537,323.06,192.403,362.084,226.774,62.938,1.0,21.979,47.953,8.992,7.431,352.423,68.883,2.279,151.849,49.971,22.573,206.861,63.937,63.312,19.018,160.0,35.965,161.939,69.255,103.102,177.676,165.494,29.244,178.822,126.874,19.5,28.983,41.959,89.326,73.362,56.706,8.568,12.988,131.396,75.0,4.077,58.693,-52.447296,-1.9524536,10.749486,4.800443
3470,3641,5526,33.54,581.383,549.192,227.773,7.993,1.0,52.948,45.955,6.994,8.503,548.469,83.068,1.0,52.948,24.941,5.978,76.238,8.992,96.478,23.022,140.0,19.981,32.403,174.739,8.007,177.676,178.533,25.06,45.955,61.939,23.853,31.782,7.993,130.951,83.412,21.426,3.162,56.944,75.662,21.913,9.205,42.498,-44.14662,20.770351,15.728009,-7.930262
3471,14159,472,180.65,82.501,1.0,130.87,81.919,26.0,184.816,18.982,44.956,221.809,114.665,66.857,2.279,16.984,256.735,1.0,335.393,127.873,84.418,33.032,27.0,21.979,4.925,120.963,45.044,149.096,96.286,24.014,107.893,14.986,52.147,2.399,112.888,75.113,64.317,257.249,9.649,127.873,127.189,33.174,13.308,39.462,50.290146,30.908054,-8.710761,-13.842288
3473,23165,19196,397.68,441.844,116.985,95.905,70.93,277.0,69.931,134.866,13.987,56.738,281.513,54.699,2.279,58.942,110.912,168.606,445.116,41.959,56.277,26.025,145.0,129.871,316.99,53.742,44.043,108.824,248.744,57.488,204.796,323.677,86.971,147.912,26.974,104.555,72.357,264.677,12.893,27.973,68.301,49.261,6.128,88.046,-12.545517,26.319996,3.245524,-7.5534177
3474,1576,11464,83.71,187.464,528.402,271.729,227.773,13.0,41.959,37.963,52.948,41.732,201.217,132.714,2.279,195.805,73.912,7.638,212.086,266.734,170.85,25.024,26.0,51.949,26.515,157.158,134.133,43.87,179.536,15.645,103.897,70.93,73.912,13.592,228.772,79.174,117.584,201.543,5.325,149.851,160.84,17.087,9.205,56.669,75.63727,20.53804,-2.0375829,-21.517235
3476,10946,17809,279.85,298.601,191.39,112.888,52.948,1.0,19.981,43.957,12.988,18.15,469.216,76.989,2.279,98.902,42.353,40.827,221.491,22.978,71.352,20.019,132.0,60.94,366.057,75.46,27.026,123.114,162.485,43.889,92.908,106.894,23.853,41.576,23.977,77.143,76.377,62.277,4.244,14.986,76.714,18.696,5.103,63.754,-26.461597,38.688538,8.557046,1.2266357
3477,23136,14489,33.4,113.372,1.0,51.949,2.998,746.0,265.735,23.977,2.998,337.573,90.681,78.002,1.0,1.0,467.853,1.0,735.62,10.99,97.483,20.019,26.0,92.908,34.365,83.733,6.005,82.843,50.148,99.331,37.963,224.776,48.882,9.395,5.995,109.631,54.267,273.961,10.731,16.984,1.0,2.609,7.154,58.693,27.968044,-20.239998,-32.239277,-8.314915
3478,13729,9257,171.98,580.148,453.997,249.751,27.973,7.0,60.94,28.972,14.986,107.117,670.476,110.424,4.837,123.877,47.794,135.417,154.612,11.989,145.724,32.031,381.0,49.951,120.723,156.124,9.008,143.9,154.461,20.875,80.92,93.907,22.765,54.168,14.986,90.341,97.483,10.284,3.162,74.926,35.702,17.087,9.205,62.742,-53.874355,23.358423,20.768204,-4.9374046
3479,16975,20798,40.36,146.713,42.579,77.923,3.997,584.0,115.885,8.992,45.955,185.365,336.781,47.606,1.0,15.985,462.412,1.0,525.579,20.98,67.332,62.061,28.0,42.958,1.0,72.357,7.006,13.991,118.352,103.515,19.981,63.937,115.265,1.0,1.0,162.424,76.377,158.835,25.867,24.976,1.0,1.0,6.128,124.483,29.286297,-12.516754,-29.469501,-6.322176
3480,12321,2143,255.69,17.053,1.0,4.996,9.991,121.0,102.898,8.992,9.991,145.705,61.482,84.081,3.558,12.988,203.412,17.595,187.006,11.989,75.372,15.014,128.0,23.977,55.955,85.801,3.002,324.473,59.175,16.691,32.968,14.986,34.735,5.197,12.988,64.96,62.307,121.697,4.244,26.974,80.92,9.043,4.077,35.413,32.686142,44.484,-14.294928,9.922456
3481,1753,18716,343.24,101.023,95.101,1.0,2.998,168.0,29.971,16.984,30.97,1.0,302.368,54.699,1.0,4.996,30.382,15.935,252.84,9.991,36.176,14.013,15.0,3.997,1.0,34.093,5.004,46.468,42.123,65.857,59.941,80.92,4.265,6.597,5.995,88.311,98.488,39.994,3.162,3.997,100.9,2.609,3.051,48.571,-73.10219,-33.73152,5.7966623,20.420713
3482,6434,15186,143.83,336.881,660.8,50.95,16.984,123.0,55.945,16.984,5.995,22.438,629.807,70.91,1.0,170.83,153.353,10.957,281.054,11.989,87.433,28.027,103.0,31.969,1.0,93.04,7.006,163.386,75.223,33.428,151.849,131.869,35.824,1.0,7.993,137.043,66.327,110.556,5.325,38.962,38.857,4.217,5.103,51.608,-48.181675,-53.014996,19.792873,19.328503
3484,4051,1440,88.12,376.397,5.377,171.829,11.989,40.0,114.886,7.993,10.99,243.247,456.703,126.635,86.702,16.984,193.618,1.0,389.732,25.975,55.272,28.027,22.0,36.964,20.627,153.022,14.013,25.683,135.404,40.751,22.978,67.933,76.088,5.197,19.981,123.845,75.372,97.558,18.299,60.94,1.0,4.217,16.385,54.644,46.100998,20.819029,-5.382587,-9.420732
