cell,x,y,area µm²,ATG7,P2Rx7(Park7),GalMac3,CD31,CD44,Trem2,TMEM119,CD74,AQP4,S100B,CD3e,SMA,CD8,CD14,Neurofilament,GFAP,HLA-A,P2Ry12,CD68,H2A.x,PSD-95,Synaptophysin,CD40,CollagenIV,DAPI_1,CD11c,IBA1,PCNA,CD45,ApoE,MAP2,Claudin5,CD4,CD11b,Vimentin,A-Beta,iNOS,CD34,NeuN,CD163,HLA-DR,UMAP_1,UMAP_2,TSNE_1,TSNE_2
4786,8646,15448,38.66,223.355,320.379,3.035,12.089,237.323,20.076,151.452,76.682,47.411,163.602,62.477,1.0,68.337,132.263,210.468,62.794,60.087,115.051,25.897,12.011,20.29,18.257,146.664,12.162,45.712,79.392,175.157,159.217,219.752,15.028,2.532,7.129,171.224,188.846,16.159,2.171,9.016,12.211,3.362,8.114,103.488,31.426882,40.206955,12.511262,-15.032484
4787,16095,2132,48.18,279.741,5.301,115.956,91.727,3.148,146.583,395.184,116.036,237.697,83.415,79.895,2.114,63.312,197.393,21.141,72.063,90.724,155.18,152.458,17.016,27.396,71.946,309.532,100.342,644.857,289.444,534.156,146.032,324.591,31.06,4.064,51.052,236.121,274.231,61.637,5.685,86.171,19.685,58.862,22.342,88.995,-11.700718,5.091778,-6.7026687,10.252332
4789,2587,9697,51.02,244.633,91.329,62.039,17.129,48.265,22.084,56.166,243.182,20.725,37.753,116.782,3.227,57.282,125.249,5.028,94.721,32.732,104.49,562.224,21.02,16.229,43.184,122.577,6.581,76.372,171.855,197.595,61.853,210.679,20.038,20.919,4.064,63.77,95.99,29.803,60.729,61.12,5.983,9.266,33.521,169.743,4.0648823,18.343151,19.453371,0.80324113
4791,3400,13271,133.17,303.147,221.447,379.44,253.018,210.468,98.39,39.114,154.382,31.167,44.435,172.111,3.227,300.499,645.29,13.085,45.286,383.968,247.054,248.935,33.032,74.098,20.175,392.113,340.325,400.855,169.845,433.722,753.546,758.063,29.056,4.064,190.994,315.914,585.885,322.378,2.171,216.431,169.161,48.234,444.097,163.532,37.220627,10.172169,-20.917358,-7.478634
4792,7077,11468,201.4,278.677,278.44,81.368,48.379,18.187,33.129,470.41,214.927,48.571,136.873,96.289,2.114,267.333,201.401,162.129,47.345,55.71,217.485,69.467,74.073,108.616,225.344,96.197,13.278,48.267,171.855,358.93,387.415,346.769,43.084,137.367,5.086,177.607,295.577,10.096,1.0,115.229,22.176,17.532,19.293,98.312,37.59748,-17.393717,-3.721806,4.4001513
4793,17173,8922,186.19,381.875,355.865,110.87,75.597,11.742,77.306,441.322,328.955,123.99,145.783,133.175,3.227,211.051,387.774,395.766,32.927,54.616,219.597,93.327,92.091,96.433,277.115,370.32,12.162,179.849,197.986,369.615,190.658,386.084,103.205,77.61,23.472,270.166,209.125,14.643,4.513,118.235,7.228,15.17,82.302,158.355,-20.475645,-17.760977,-14.332735,17.31467
4794,10746,4617,220.02,314.85,344.037,97.645,41.323,45.042,58.229,556.669,331.982,78.739,165.829,90.142,3.227,100.498,138.275,129.903,49.405,38.203,167.852,137.935,39.038,65.976,227.261,217.775,13.278,107.032,134.669,303.371,110.535,232.857,46.09,118.98,18.365,164.84,168.567,8.58,4.513,103.205,10.965,5.723,15.228,121.087,-25.634071,-6.1187477,-15.063626,16.020023
4795,12599,12091,119.67,204.204,140.795,91.541,6.04,79.416,55.217,92.274,127.136,133.272,727.14,107.56,60.027,142.709,444.889,5.028,156.514,28.355,184.748,64.28,48.047,49.732,14.422,44.584,43.416,270.551,92.458,221.101,213.985,193.542,23.044,1.0,2.021,137.179,309.452,22.223,1.0,111.221,8.474,12.809,57.911,137.651,25.06889,39.13857,-5.29074,-6.9187493
4796,11064,13824,64.67,209.524,180.583,37.623,22.17,78.342,29.113,235.705,244.191,139.073,142.441,55.305,2.114,205.021,123.245,170.185,19.538,39.297,125.611,39.383,26.025,92.372,259.858,138.635,9.93,20.162,108.538,253.154,168.345,286.285,13.024,53.095,7.129,213.78,364.952,4.032,1.0,111.221,27.158,2.181,9.13,133.51,29.076382,-26.445816,2.6914375,2.1276577
4797,5556,9834,154.07,233.994,184.885,91.541,49.387,35.374,69.273,277.831,399.591,83.38,106.803,138.298,3.227,269.343,143.285,117.819,27.777,66.652,243.886,228.187,56.055,96.433,71.946,189.101,8.813,262.886,214.066,279.865,216.013,339.712,360.72,114.383,6.107,228.674,339.337,43.446,442.528,175.349,1.0,13.989,31.488,349.874,-9.336674,-33.417027,3.5091891,17.77526
4798,19474,5683,65.1,493.585,114.987,80.35,32.25,9.594,146.583,617.852,30.264,111.226,163.602,96.289,2.114,105.523,71.14,17.113,74.123,16.319,141.451,38.346,39.038,123.845,162.067,177.631,12.162,82.76,187.936,379.231,178.487,289.309,27.052,358.005,7.129,169.096,95.99,7.064,5.685,53.104,19.685,267.872,16.244,52.762,-29.096241,-2.083498,-13.118453,23.201664
4799,12496,5186,253.56,176.543,173.056,41.692,26.202,10.668,68.269,202.605,232.082,38.129,61.14,86.043,1.0,102.508,51.1,77.536,5.12,11.942,128.779,90.215,41.04,45.671,171.655,191.395,8.813,71.262,114.568,215.758,131.834,152.211,35.068,108.255,6.107,129.732,113.067,2.516,2.171,60.118,40.86,155.691,8.114,77.607,-15.145781,7.6917553,17.369406,-1.9128468
4800,669,18901,203.1,77.601,147.248,28.467,12.089,1.0,20.076,99.295,185.664,91.502,91.211,44.034,1.0,22.106,115.229,17.113,11.299,16.319,94.986,90.215,34.033,117.753,160.15,114.549,8.813,135.137,68.337,194.389,155.16,210.679,24.046,56.16,5.086,146.754,256.087,2.516,1.0,9.016,1.0,10.447,4.049,80.713,10.874905,11.7425,12.928701,-2.834876
4801,17816,17359,70.92,290.38,188.111,67.125,87.694,2.074,22.084,288.864,57.509,91.502,124.622,40.96,3.227,123.614,94.187,13.085,18.508,11.942,69.642,41.458,22.021,215.216,553.23,105.373,11.046,13.775,125.624,180.499,103.436,228.824,36.07,94.465,9.172,49.939,60.769,10.096,9.198,14.026,1.0,9.266,5.065,50.691,14.988701,-55.388428,14.228451,7.432981
4802,12464,9093,302.88,279.741,277.365,68.143,59.468,13.89,45.177,218.654,361.245,103.105,60.027,110.634,2.114,229.142,131.261,226.581,7.179,28.355,242.83,88.14,83.082,131.966,280.95,347.381,16.627,113.419,164.82,553.388,305.264,330.64,52.102,194.058,13.258,192.502,377.76,1.0,2.171,114.227,7.228,22.255,15.228,158.355,-8.445721,-15.636765,-12.294668,12.522852
4803,5218,17438,93.38,51.003,122.515,4.052,8.057,215.839,23.088,93.277,401.609,43.93,122.395,56.329,1.0,85.423,80.158,238.665,67.943,28.355,89.706,254.121,10.009,9.122,2.917,130.606,6.581,122.362,98.488,382.436,188.629,267.131,8.014,1.0,11.215,243.569,335.067,25.255,10.369,12.022,20.93,3.362,4.049,181.131,31.621647,60.997192,4.130937,-15.4934
4804,14845,18991,227.26,372.3,39.713,212.601,170.356,92.306,36.141,144.431,290.609,81.059,129.077,74.772,2.114,140.699,362.724,85.593,58.674,258.136,88.65,265.533,19.018,100.494,267.528,207.452,253.261,173.462,248.237,647.412,628.798,561.488,31.06,25.515,105.19,332.936,481.288,231.422,3.342,146.291,125.564,19.894,158.523,334.345,31.70794,7.8438606,-18.86408,-7.977402
4805,4519,19461,200.97,97.815,76.274,1.0,3.016,125.606,75.297,93.277,399.591,12.603,65.595,57.354,1.0,47.231,119.237,69.48,25.718,18.507,97.098,185.654,35.034,4.046,1.0,123.724,9.93,153.022,96.478,293.755,237.312,335.68,13.024,4.064,10.193,238.249,430.058,2.516,2.171,11.02,18.439,5.723,5.065,152.144,32.771816,67.17565,2.5082688,-16.081617
4806,12032,15887,53.3,264.847,234.351,35.589,83.662,1.0,18.068,189.566,105.945,34.648,27.729,60.428,2.114,214.066,116.231,121.847,1.0,19.601,71.754,24.86,27.026,199.988,488.036,155.839,14.394,13.775,170.85,156.994,181.53,289.309,31.06,411.632,6.107,109.518,247.548,2.516,2.171,17.032,2.246,31.702,14.212,101.418,21.214876,-52.08506,12.961616,8.554164
4807,6555,15790,98.07,53.131,150.474,3.035,4.024,123.458,16.06,80.238,197.773,31.167,141.328,66.575,1.0,135.674,77.152,101.706,42.196,23.978,52.745,96.439,14.013,20.29,8.67,126.018,5.465,422.573,44.216,213.621,186.601,232.857,12.022,7.129,5.086,189.31,255.019,1.0,1.0,19.036,20.93,6.904,3.033,92.101,40.862717,41.313137,10.414607,-10.521444
4808,8760,6532,166.58,259.527,260.159,103.748,38.299,13.89,31.121,270.81,196.764,89.181,195.9,95.265,2.114,156.78,412.824,49.339,31.897,65.558,207.981,89.178,14.013,95.418,75.781,372.614,17.743,15.052,116.578,528.814,161.246,214.711,22.042,7.129,30.623,163.776,208.058,22.223,2.171,129.257,9.719,5.723,142.262,107.629,-14.700359,-6.998476,-11.013262,9.448297
4809,1726,413,46.48,127.604,1.0,7.104,44.347,142.794,134.535,81.241,249.236,57.854,1.0,52.231,4.341,7.03,144.287,65.452,87.511,32.732,153.068,65.318,31.03,13.183,52.772,115.696,12.162,18.885,53.262,227.511,8.099,191.526,53.104,16.322,32.666,199.949,177.106,29.803,175.503,47.092,1.0,6.904,26.407,77.607,-10.561813,24.353447,16.377705,-4.3323197
4811,12195,19746,45.91,155.265,18.206,75.264,47.371,1.0,60.237,72.214,134.2,68.296,124.622,64.526,2.114,123.614,170.339,121.847,23.658,45.862,64.362,302.879,17.016,84.25,252.188,57.201,19.975,40.602,197.986,296.96,173.416,219.752,106.211,92.933,5.086,212.716,274.231,37.382,563.157,13.024,4.737,32.883,17.26,144.897,1.6193295,-40.378906,6.540918,15.51956
4812,1907,14395,109.44,122.284,188.111,22.364,40.315,1.0,35.137,120.358,166.491,7.962,4.341,49.157,2.114,105.523,115.229,278.948,14.389,46.956,78.09,169.056,32.031,93.387,236.848,156.986,11.046,160.687,112.558,194.389,197.757,222.776,46.09,83.739,6.107,157.393,166.433,2.516,29.108,20.038,1.0,18.713,23.358,81.748,14.634697,-26.991188,11.470875,-1.863681
4813,20949,6533,95.08,123.348,7.452,99.679,33.258,516.613,340.359,270.81,160.436,712.251,371.866,119.855,2.114,87.433,580.159,21.141,662.194,53.521,198.477,98.514,38.037,59.884,37.432,309.532,6.581,15.052,147.734,403.805,58.81,373.987,51.1,1.0,17.344,265.911,148.288,125.307,87.666,126.251,5.983,3.362,66.042,127.298,-67.49829,8.161758,25.258442,-10.877582
