cell,x,y,area µm²,Neurofilament,CD3e,CD45,CD4,NeuN,ATG7,A-Beta,S100B,IBA1,CD68,MAP2,CD31,HLA-A,GFAP,CD11b,SMA,DAPI_1,GalMac3,CollagenIV,CD14,PSD-95,CD11c,CD34,Synaptophysin,AQP4,P2Ry12,CD40,Claudin5,HLA-DR,Trem2,iNOS,CD163,CD74,ApoE,H2A.x,PCNA,TMEM119,CD44,P2Rx7(Park7),CD8,Vimentin,UMAP_1,UMAP_2,TSNE_1,TSNE_2
5077,13287,17161,259.39,34.162,225.879,445.677,374.332,167.5,611.227,8.744,130.448,382.084,121.938,321.154,206.818,122.856,184.043,247.371,5.274,222.342,139.226,337.134,150.545,110.245,341.466,111.191,106.394,136.571,184.327,221.292,186.783,100.9,26.355,22.323,16.0,311.079,75.275,130.0,451.82,318.91,3.103,40.783,148.0,123.087,51.23816,-17.037235,11.326505,8.567681
5078,1509,11872,212.2,133.647,165.773,252.78,184.047,47.901,149.866,3.581,16.477,392.849,113.12,297.439,123.769,19.663,13.89,232.818,3.137,183.282,46.028,15.104,140.372,145.783,121.955,2.04,183.758,38.782,218.867,253.312,12.125,117.883,11.142,128.94,26.0,497.905,35.662,83.5,270.857,229.402,1.0,300.111,311.0,2.174,31.754192,-11.057207,7.977364,-0.08869027
5079,8330,9776,72.49,233.133,169.918,65.976,65.118,40.866,104.345,4.872,2.407,116.186,36.274,229.258,132.194,14.174,107.99,154.852,22.369,6.918,32.415,9.227,66.108,297.146,78.277,1.0,325.03,22.113,148.459,75.285,21.024,55.945,24.327,173.719,24.0,82.736,31.948,8.5,8.408,204.71,1.0,224.965,151.0,1.0,66.92098,-8.753144,9.38321,14.260199
5080,848,3338,340.83,32.089,154.373,289.329,94.075,22.106,328.259,46.174,8.035,260.439,160.991,158.113,163.488,66.868,34.515,249.451,3.137,133.569,92.104,75.044,100.697,119.458,152.194,32.186,105.273,71.008,104.62,70.162,53.286,123.877,15.199,40.448,19.0,241.019,35.662,52.0,207.361,344.631,1.0,222.018,105.0,40.913,48.221684,-8.870182,9.854313,6.507185
5081,14586,10156,136.87,19.654,182.354,95.418,215.071,3.345,68.666,17.779,12.256,309.958,178.628,95.861,109.325,30.641,28.07,347.168,4.205,94.508,36.604,50.362,102.731,119.458,28.999,2.04,275.697,72.119,172.371,221.292,19.912,87.913,20.27,106.551,91.0,290.321,25.758,58.0,40.156,133.72,1.0,1.0,60.0,10.391,59.266033,6.8129616,3.24408,12.079976
5082,10217,1983,18.48,1.0,69.396,4.046,125.099,5.69,4.691,6.163,1.0,449.904,17.377,1.0,161.081,143.714,31.937,6.198,5.274,139.487,77.443,673.268,1.0,4.949,30.119,235.937,14.455,15.446,1.0,88.092,235.732,29.971,12.156,34.051,14.0,2.297,29.472,2.5,120.584,2.029,1.0,1.0,1.0,544.522,-110.64242,-17.89222,-26.98976,10.232321
5085,7178,13501,135.59,61.106,207.225,340.091,317.453,8.035,183.084,1.0,53.061,452.057,100.522,21.751,21.461,62.477,24.203,546.76,1.0,256.668,5.189,16.279,262.449,29.957,171.233,9.316,273.455,12.112,177.685,248.188,2.112,197.803,19.256,101.22,46.0,731.438,76.513,326.5,442.296,530.851,111.416,182.235,122.0,39.739,3.0206776,14.451799,0.5169097,-6.9793267
5086,2887,14851,102.76,67.324,218.624,170.546,270.916,5.69,99.424,7.453,89.644,516.648,205.083,1.0,11.833,21.858,28.07,337.812,5.274,341.891,12.519,12.753,48.814,8.897,44.678,113.271,399.03,111.012,193.626,222.573,13.237,100.9,24.327,111.882,32.0,521.258,13.379,187.0,234.876,287.016,107.209,48.15,98.0,25.652,-9.2216,21.923492,-2.7269835,-14.977167
5087,14098,17350,161.32,13.436,219.661,186.79,209.901,5.69,267.974,10.035,58.689,364.86,254.214,143.291,151.452,82.237,113.146,208.908,4.205,184.466,53.358,126.756,141.389,106.296,107.396,44.661,161.333,176.575,237.465,262.277,78.873,133.867,29.398,18.059,21.0,461.578,40.613,103.0,172.439,111.085,4.155,1.0,72.0,77.304,53.82,8.72295,2.2055852,10.939346
5089,9693,7359,37.95,235.205,148.156,305.573,199.559,26.796,392.234,92.64,1.0,205.537,163.511,401.193,111.733,24.054,17.757,264.004,4.205,199.853,28.226,15.104,217.687,143.15,232.831,1.0,376.606,135.459,88.678,113.708,11.012,225.775,13.171,57.507,112.0,661.378,26.996,85.0,194.662,247.921,1.0,270.642,187.0,1.0,38.861244,-10.073662,5.0967617,2.1597357
5091,10598,5003,44.2,1.0,264.222,99.479,489.124,139.359,141.254,2.291,5.221,512.342,96.743,1.0,383.749,396.209,22.914,288.953,54.422,551.397,720.406,393.548,73.229,315.573,117.475,309.744,170.303,8.779,358.355,260.996,600.622,56.944,188.629,421.07,53.0,85.331,61.658,65.5,540.714,4.087,1.0,1.0,3.0,818.043,-90.360275,-29.243225,-29.451242,1.8672066
5092,9914,7904,157.19,3.073,147.119,17.244,231.618,17.415,165.86,6.163,5.221,542.484,28.715,9.893,218.854,279.842,33.226,39.463,1.0,140.671,269.075,327.732,16.26,1.0,222.751,333.653,35.758,25.447,1.0,100.9,323.617,49.951,66.924,41.514,15.0,1.0,102.509,4.0,285.673,1.0,1.0,3.947,11.0,293.304,-103.40592,-15.871151,-25.838873,7.9607925
5093,7143,18409,101.05,160.591,108.776,206.079,218.174,8.035,162.169,4.872,164.217,148.482,47.612,57.323,56.366,30.641,74.475,226.581,3.137,17.571,3.094,18.629,76.281,57.597,34.599,5.158,258.879,151.017,2.328,304.542,12.125,145.855,8.099,8.463,22.0,124.253,23.283,8.5,65.554,224.257,110.364,294.217,60.0,9.217,-16.981205,-5.770894,6.6543813,-16.075098
5095,4751,12469,224.99,131.575,158.519,215.216,211.969,31.486,211.381,2.291,113.563,270.127,129.497,196.65,74.42,27.347,83.498,276.479,3.137,163.16,33.462,15.104,130.199,111.561,111.876,14.514,164.697,86.565,218.867,228.977,13.237,105.895,20.27,103.352,26.0,399.303,39.375,119.5,244.4,323.026,163.995,354.628,215.0,28.0,10.688131,-7.3280334,6.9841948,-5.05958
5097,13877,10873,429.94,160.591,188.572,230.445,266.78,151.085,181.853,115.872,41.804,232.449,125.718,208.507,128.583,15.271,65.452,282.716,8.479,35.326,48.123,15.104,135.285,182.636,155.554,1.0,144.515,81.009,212.225,218.731,11.012,75.925,27.37,122.543,30.0,187.826,46.803,37.0,132.225,314.795,1.0,173.394,221.0,4.522,48.863968,-16.899559,11.257746,5.9429564
5098,3032,15396,155.35,90.122,208.261,355.32,250.233,31.486,261.823,1.0,205.021,469.281,177.368,15.822,15.443,59.184,65.452,365.879,2.068,36.509,29.274,35.084,95.61,11.53,156.674,15.554,356.424,174.353,164.4,291.735,8.787,134.866,13.171,78.83,27.0,148.904,39.375,11.5,219.002,113.143,159.788,127.717,108.0,52.652,-22.231834,3.770275,4.216914,-19.95844
5099,11499,2631,86.41,59.033,91.159,176.637,131.304,261.303,56.363,4.872,30.548,135.564,116.899,338.941,112.936,5.391,37.093,155.892,4.205,37.693,19.849,9.227,44.744,131.304,105.156,1.0,539.182,36.56,145.802,104.742,6.562,58.942,27.37,58.573,24.0,82.736,24.52,29.5,62.379,249.978,9.413,59.938,64.0,2.174,63.947594,-4.840644,8.823829,13.859646
5102,7827,10983,200.4,34.162,175.1,189.835,259.54,622.444,79.739,1.0,1.0,560.784,255.474,258.902,73.217,13.076,19.046,247.371,3.137,210.506,22.991,11.578,78.316,93.134,107.396,22.83,282.424,53.228,139.16,127.796,9.9,146.854,34.469,62.838,28.0,613.374,13.379,122.5,310.013,245.863,1.0,235.279,177.0,4.522,43.0137,-1.1972961,3.58537,5.8608394
5103,7322,18503,45.05,1.0,169.918,16.229,298.839,24.451,45.291,2.291,172.659,694.272,48.871,6.929,268.202,439.023,104.123,34.265,5.274,87.406,144.462,589.822,215.653,22.059,36.839,206.829,215.152,95.455,10.299,559.415,409.277,55.945,122.706,35.117,17.0,19.164,74.037,16.0,476.16,1.0,25.186,369.363,669.0,630.217,-71.64374,-2.7901459,-21.754848,-4.918917
5104,10112,48,31.13,1.0,197.898,1.0,244.028,5.69,126.49,4.872,2.407,441.292,35.014,1.0,269.406,500.5,28.07,36.344,4.205,122.916,144.462,51.538,1.0,8.897,112.996,7.237,390.061,1.0,1.0,149.569,292.468,30.97,472.609,22.323,49.0,15.271,213.922,5.5,75.078,1.0,1.0,1.0,1.0,103.13,-103.364845,-12.32782,-22.875635,10.104295
5105,5649,4970,127.06,27.944,166.809,317.756,102.348,406.697,261.823,208.802,1.0,188.312,90.444,229.258,115.343,7.587,4.867,262.965,3.137,56.632,40.792,16.279,149.527,161.577,224.991,1.0,209.545,33.226,43.511,63.758,3.225,97.903,27.37,57.507,32.0,108.684,44.327,103.0,203.128,460.89,1.0,373.783,222.0,1.0,40.065468,-24.266151,13.24062,2.5645924
5107,9528,12449,272.32,34.162,209.298,172.576,187.149,71.352,206.459,1.0,50.246,320.723,76.586,223.329,199.596,345.71,102.834,202.671,3.137,206.955,119.33,232.533,89.506,54.964,213.791,60.254,196.091,29.892,86.021,177.746,189.008,175.825,46.64,95.889,96.0,134.632,65.372,20.5,272.974,124.46,1.0,163.08,110.0,138.348,30.99302,10.1996155,-18.424892,5.430451
5108,2730,6603,83.15,88.05,213.443,250.75,221.276,5.69,202.768,96.512,117.785,450.981,265.552,27.68,88.864,56.988,138.926,467.754,4.205,64.917,62.783,12.753,261.432,83.921,167.873,1.0,363.152,167.685,143.145,262.277,16.575,181.819,56.782,106.551,200.0,427.845,87.654,65.5,184.079,165.614,232.347,123.296,128.0,28.0,-3.7412052,8.272789,-1.9982868,-4.3344665
5109,4879,16817,148.81,83.905,185.463,192.881,230.584,5.69,192.926,1.0,200.8,222.761,86.665,1.0,8.222,9.782,35.804,262.965,2.068,172.629,5.189,10.402,50.848,3.632,115.235,81.045,295.879,21.002,132.517,200.8,5.45,258.742,4.043,58.573,15.0,135.93,4.714,100.0,173.497,138.864,131.396,138.031,135.0,9.217,-23.555904,4.4763985,4.15891,-18.125086
5110,9060,5463,103.75,1.0,154.373,34.503,224.379,99.493,156.017,2.291,1.0,442.369,19.897,15.822,277.831,401.698,4.867,54.017,1.0,161.976,300.491,465.241,10.156,15.478,324.667,321.179,120.97,12.112,3.657,123.954,349.204,37.963,90.251,78.83,21.0,3.595,34.424,16.0,285.673,3.058,1.0,21.628,20.0,479.957,-102.62706,-21.6428,-27.72921,7.3207397
5113,7004,8598,167.71,67.324,178.209,169.53,139.578,12.725,181.853,6.163,36.176,345.483,239.097,39.537,92.475,35.032,13.89,239.055,2.068,230.628,50.217,33.908,100.697,43.119,189.152,4.119,280.182,35.448,189.641,248.188,13.237,424.576,18.242,111.882,66.0,606.887,51.755,97.0,108.943,182.075,1.0,164.553,137.0,9.217,23.546963,1.9355354,1.4380586,-2.9110997
