cell,x,y,area µm²,CD40,SMA,MAP2,CD8,CD31,Synaptophysin,AQP4,CD34,PCNA,IBA1,S100B,CD163,Claudin5,GFAP,PSD-95,Trem2,NeuN,HLA-DR,CD14,CD11b,CD3e,P2Rx7(Park7),DAPI_1,CD11c,CD4,GalMac3,ApoE,CD45,HLA-A,CD68,Vimentin,A-Beta,H2A.x,TMEM119,CD74,P2Ry12,CollagenIV,CD44,Neurofilament,ATG7,iNOS,UMAP_1,UMAP_2,TSNE_1,TSNE_2
5037,16021,8954,103.19,33.729,2.516,213.791,313.833,171.738,135.353,72.123,6.158,175.15,53.031,368.717,3.978,32.527,119.064,140.536,162.849,74.098,79.73,41.555,68.729,138.947,126.013,155.76,160.076,155.873,98.2,29.79,143.327,8.305,73.483,38.791,3.783,298.609,102.511,6.477,19.081,25.208,5.238,67.332,214.701,63.929,-3.0000381,-9.441124,6.106529,-2.741618
5038,5750,19398,285.54,32.17,2.516,108.516,163.319,6.449,333.557,190.296,76.656,125.2,61.703,603.588,2.489,1.0,478.931,55.601,93.087,13.183,91.977,82.11,21.84,49.949,543.093,77.846,86.901,140.525,503.2,74.414,108.084,10.132,57.726,484.069,1.0,155.435,25.169,15.24,48.464,12.297,50.791,85.423,362.009,10.833,-9.567713,-45.57523,-11.896677,-2.3942635
5039,7620,9027,287.67,75.808,2.516,83.877,209.064,88.185,181.911,282.208,109.325,104.95,72.109,479.245,2.489,14.793,331.351,112.225,125.177,5.569,41.24,130.775,36.167,112.247,134.864,75.712,86.901,115.411,119.8,26.911,89.107,4.653,79.785,191.599,14.914,293.783,91.232,14.145,55.244,13.911,13.713,15.07,192.916,58.03,62.036057,-10.434549,0.05826923,-12.890859
5040,8397,108,202.53,136.59,2.516,180.193,511.567,39.144,420.021,91.818,107.606,325.0,13.141,701.363,5.466,22.675,254.156,207.271,100.063,10.137,79.73,141.59,59.611,114.472,569.645,121.606,207.799,220.054,181.9,44.184,216.524,26.569,60.877,135.734,14.914,210.13,97.677,13.049,73.326,28.436,359.072,266.328,345.411,89.494,-45.109955,57.075455,-18.761677,12.478384
5043,4598,4193,166.43,119.446,4.032,260.83,372.858,166.289,220.487,101.666,61.181,241.3,150.156,551.513,5.466,32.527,90.683,124.358,40.067,31.457,91.977,76.702,127.34,170.096,254.346,102.394,533.906,253.541,239.95,97.445,273.455,13.784,309.839,63.437,240.315,345.261,207.245,37.148,41.683,26.822,4.178,151.755,383.794,73.762,8.105095,25.226807,9.132416,9.835281
5044,544,13672,279.28,22.819,4.032,148.834,495.335,42.776,253.743,21.79,62.9,266.95,49.563,602.526,8.444,2.97,332.486,51.557,7.976,13.183,65.734,88.869,57.007,161.196,410.336,86.385,325.516,95.877,154.9,65.777,147.393,2.826,136.511,60.151,12.131,268.043,91.232,11.954,107.229,17.139,12.653,167.835,353.71,130.791,-12.599075,7.85618,-0.1727768,7.574782
5045,8504,4839,225.27,47.755,2.516,121.955,412.7,100.9,151.316,1.0,183.262,156.25,72.109,519.63,5.466,12.822,159.932,100.091,13.557,8.614,46.489,53.721,38.772,134.497,246.601,104.529,373.239,90.296,130.6,35.548,190.769,11.958,101.845,28.933,12.131,158.652,65.452,14.145,21.342,17.139,3.119,103.513,303.916,136.691,-5.4673615,-1.9209156,0.31014732,3.2663803
5046,15886,2499,138.72,295.557,2.516,200.352,505.665,191.718,318.924,215.462,85.253,244.0,68.641,721.555,6.955,52.231,253.02,316.474,69.367,22.32,147.963,110.498,96.081,270.218,473.395,53.298,344.605,271.679,184.6,88.808,287.009,21.09,249.962,160.38,26.045,239.087,160.518,11.954,30.382,30.05,20.069,336.68,660.776,176.022,-34.48059,30.419296,-8.185921,14.714843
5048,9589,6857,216.32,41.521,2.516,79.397,244.479,77.287,284.338,1.0,116.203,130.6,105.062,364.466,3.978,22.675,221.234,57.623,7.976,10.137,51.737,45.61,42.679,123.372,340.638,134.413,347.787,88.901,82.0,57.14,170.437,2.826,60.877,22.36,14.914,202.087,79.953,5.382,34.903,13.911,1.0,103.513,349.561,18.699,-0.8101635,-10.356443,0.48772448,0.21234874
5049,11454,11578,107.45,163.084,2.516,1.0,39.366,13.715,131.362,610.467,1.0,144.1,14.875,435.671,5.466,6.911,685.542,87.957,344.232,1.0,44.739,387.622,32.259,132.272,4.319,7.404,10.545,115.411,61.75,26.911,301.92,26.569,95.543,102.872,45.524,44.435,5.834,3.191,202.156,9.069,494.673,1.0,2.037,71.795,-67.702675,-67.23499,3.1119692,-31.269615
