class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,E3,Vimentin,CD163,P2Ry12,a-BetaPSD-95,CD11c,HLA-A,TMEM119,CD31,Gal3,HLA-DR,CD8,ATG7,MAP2,GFAP,CollagenIV,CD3e,CD4,NeuN,Neurofilament,CD74,Claudin-5,CD40,CD11b,E1,E10,Synaptophysin,CD34,ApoE,E2,PCNA,Olig2,E4,DAPI_1,H2A.x,E5,E6,E9,S100B,SMA,CD44,CD45,E8,CD68,AQP4,IBA1,CD14,E7,None,UMAP_1,UMAP_2,TSNE_1,TSNE_2
diffuse,1000087,15521,898,882.69,225.15,0.22,0.79,9.538,13.87,1.0,1.0,598.642,39.106,89.447,22.392,149.393,28.627,94.728,4.779,3.273,210.718,170.83,5.078,1.0,1.0,30.382,33.488,206.233,1.0,1.0,28.175,16.757,12.271,22.655,419.067,1.0,494.788,3.112,91.329,11.991,13.102,110.202,190.044,1.0,8.153,44.672,302.14,3.302,1.0,155.757,16.456,1.0,106.791,45.259,77.157,10.583,69.76364,-11.690262,3.6629794,-6.0734277
diffuse,1000088,23999,869,257.75,94.95,0.36,0.81,9.538,23.522,1.0,1.0,633.798,1.0,1.0,12.766,19.549,31.942,1.0,1.0,1.0,246.876,270.73,6.097,1.0,1.0,11.171,1.0,58.344,1.0,5.132,2.294,13.606,12.271,38.535,387.006,1.0,107.628,1.0,5.301,1.0,12.002,21.223,97.152,1.0,4.576,35.574,227.51,9.056,8.002,43.778,17.861,1.0,234.22,2.054,99.556,9.385,43.280025,23.614,10.746034,2.120696
diffuse,1000089,26454,899,763.3,282.83,0.12,0.59,10.606,9.043,1.0,1.0,293.962,101.93,56.563,9.557,175.891,91.617,42.149,1.0,1.0,290.266,313.188,6.097,1.0,1.0,25.862,14.198,236.414,1.0,11.331,20.411,8.353,10.222,39.978,204.904,1.0,72.085,1.0,71.973,3.443,7.601,49.534,46.631,1.0,3.384,41.033,274.645,11.358,1.0,120.528,16.456,1.0,144.058,27.345,69.317,8.187,23.133564,33.837227,19.356848,3.180248
diffuse,1000090,26847,890,263.37,105.21,0.3,0.75,40.49,15.478,1.0,1.0,484.387,3.06,1.0,27.74,1.0,115.929,1.0,1.0,1.0,229.313,318.183,28.523,1.0,1.0,4.39,8.107,206.233,1.0,36.125,1.0,1.0,58.378,44.309,281.849,1.0,34.004,1.0,1.0,1.0,23.004,41.445,1.0,1.0,9.345,33.754,93.961,11.358,1.0,3.516,22.076,1.0,83.949,1.0,1.0,10.583,29.127487,28.071827,16.383438,1.4225366
diffuse,1000091,10538,946,1382.2,334.28,0.16,0.75,11.673,70.174,1.0,1.0,337.906,112.229,105.322,4.209,163.967,54.044,103.872,1.0,8.956,297.497,408.093,7.116,5.083,1.0,29.252,13.183,336.012,1.0,4.099,39.821,22.009,7.148,38.535,522.942,8.161,259.953,1.0,173.056,20.54,9.802,69.757,261.75,1.0,6.961,51.951,303.45,2.151,1.0,202.31,15.051,1.0,156.079,32.614,70.437,11.781,50.029625,3.196535,9.469449,7.2010202
diffuse,1000092,24940,936,2122.55,339.25,0.23,0.81,8.471,25.13,1.0,1.0,296.891,16.448,38.42,6.348,40.748,48.519,10.144,8.559,1.0,246.876,173.328,5.078,15.971,1.0,15.691,10.137,118.707,1.0,6.165,8.764,15.707,8.172,24.098,304.932,1.0,177.443,1.0,32.185,1.0,8.702,81.891,49.891,1.0,4.576,35.574,173.828,6.755,1.0,96.622,13.646,1.0,147.664,23.13,58.118,9.385,38.34996,-3.9727364,17.029055,5.362209
diffuse,1000093,8571,901,199.26,77.78,0.41,0.79,14.875,86.261,1.0,1.0,487.317,21.598,61.099,8.487,148.068,8.736,140.449,3.52,2.137,249.975,443.057,9.155,26.86,1.0,29.252,5.061,426.556,1.0,5.132,24.293,16.757,14.32,64.52,174.126,52.919,35.273,1.0,149.398,40.081,8.702,49.534,196.563,1.0,8.153,70.148,423.906,2.151,484.161,167.081,20.671,1.0,374.874,9.43,128.675,14.176,-0.7689514,-25.027061,-0.6160216,6.0714326
diffuse,1000094,19139,949,1320.09,268.33,0.23,0.82,13.808,81.435,1.0,1.0,375.991,49.405,84.911,5.278,133.493,56.254,65.009,1.0,1.0,233.446,250.75,6.097,2.361,1.0,24.732,31.457,166.997,3.137,2.033,13.94,18.858,12.271,34.204,454.974,2.79,75.893,1.0,119.288,22.983,10.902,53.579,294.344,1.0,5.768,44.672,270.717,5.604,97.866,150.724,19.266,1.0,309.957,60.013,199.232,9.385,41.386707,5.9596252,5.206283,1.5237349
diffuse,1000095,23713,987,583.94,300.43,0.08,0.47,9.538,36.391,1.0,1.0,214.862,1.0,4.402,8.487,20.874,31.942,1.0,1.0,1.0,214.85,400.6,6.097,1.0,1.0,14.561,1.0,200.196,1.0,3.066,2.294,11.505,8.172,38.535,483.187,1.0,69.546,1.0,4.226,1.0,8.702,29.312,61.299,1.0,4.576,33.754,139.786,4.453,80.36,68.942,13.646,1.0,240.231,10.484,114.115,8.187,27.202347,8.084467,13.22574,-4.6122127
diffuse,1000096,26396,996,827.97,272.92,0.14,0.69,10.606,36.391,1.0,1.0,217.792,80.302,41.822,19.183,141.443,79.461,19.288,1.0,1.0,239.644,218.282,6.097,25.499,1.0,25.862,16.229,194.16,1.0,21.662,29.469,10.454,7.148,34.204,372.9,29.645,150.787,1.0,51.541,2.221,7.601,33.356,18.927,1.0,5.768,39.213,176.447,4.453,1.0,104.171,16.456,1.0,136.845,24.184,58.118,9.385,19.187283,19.090076,16.819357,4.17392
diffuse,1000097,25448,1078,3844.23,675.18,0.11,0.7,10.606,18.696,6.182,1.0,255.877,33.957,5.536,9.557,56.647,59.57,2.143,4.779,1.0,254.108,200.8,7.116,1.0,1.0,17.951,12.168,188.124,1.0,7.199,15.234,10.454,8.172,25.542,253.635,1.0,68.277,1.0,20.356,1.0,9.802,45.49,35.223,1.0,4.576,39.213,122.765,5.604,2.167,79.008,15.051,1.0,182.527,7.323,59.238,8.187,40.62966,-16.105194,15.9218445,9.3444
diffuse,1000098,25560,971,367.69,115.07,0.35,0.8,8.471,23.522,1.0,1.0,346.695,33.957,4.402,11.696,46.048,47.414,1.0,1.0,1.0,283.034,175.825,5.078,1.0,1.0,20.212,10.137,145.87,1.0,6.165,17.823,66.129,6.123,24.098,435.738,2.79,77.163,1.0,30.034,37.638,8.702,211.316,30.334,1.0,4.576,41.033,148.952,3.302,6.835,87.815,13.646,2.212,138.047,36.829,54.758,10.583,23.385061,21.234535,15.092117,-0.14876121
diffuse,1000099,13817,997,528.79,190.0,0.18,0.7,10.606,5.826,1.0,1.0,563.487,81.332,125.733,4.209,212.989,72.831,75.296,2.26,2.137,236.545,215.785,5.078,1.0,1.0,22.472,11.152,278.668,1.0,2.033,21.705,18.858,12.271,22.655,587.063,2.79,51.775,1.0,109.61,16.877,10.902,29.312,129.746,1.0,4.576,37.393,342.729,3.302,1.0,155.757,13.646,1.0,39.469,45.259,76.037,6.989,51.370872,16.76386,7.428395,5.5189443
diffuse,1000100,27074,989,297.26,122.07,0.25,0.71,74.644,13.87,1.0,1.0,288.103,1.0,1.0,41.645,1.0,107.088,1.0,1.0,1.0,141.501,143.358,67.26,1.0,1.0,2.13,2.015,173.033,1.0,39.224,1.0,1.0,105.511,41.422,395.983,1.0,7.347,1.0,1.0,1.0,48.309,33.356,2.63,1.0,24.842,62.869,80.868,12.509,1.0,1.0,31.911,1.0,9.415,1.0,1.0,23.759,14.365578,21.919397,17.81986,-2.8911128
diffuse,1000101,27144,1001,226.91,123.84,0.19,0.64,94.923,12.261,1.0,1.0,332.047,11.299,1.0,54.48,1.0,123.665,1.0,1.0,1.0,176.626,208.292,87.648,29.582,1.0,5.52,9.122,121.725,2.068,44.39,3.588,1.0,131.126,44.309,349.816,1.0,37.812,1.0,1.0,1.0,58.211,21.223,1.0,1.0,30.803,62.869,92.651,14.811,1.0,3.516,34.722,3.425,45.48,1.0,2.12,28.55,15.500782,22.995283,16.86826,-1.318651
diffuse,1000102,17816,1038,731.75,175.44,0.3,0.81,8.471,23.522,1.0,1.0,545.909,36.016,45.224,2.07,88.446,25.312,71.867,1.0,1.0,225.181,155.845,4.058,1.0,1.0,16.821,29.427,191.142,1.0,1.0,21.705,10.454,5.098,28.429,404.96,4.581,284.071,1.0,31.11,11.991,8.702,37.401,193.303,1.0,5.768,35.574,304.759,2.151,9.169,106.688,19.266,1.0,103.184,17.861,61.478,10.583,58.40853,0.04787922,4.905904,-3.331343
diffuse,1000103,26023,1020,376.43,118.62,0.34,0.77,7.404,17.087,1.0,1.0,548.839,52.495,15.741,8.487,120.244,60.675,3.286,1.0,1.0,240.677,235.765,5.078,1.0,1.0,17.951,6.076,106.634,1.0,8.232,19.117,9.404,8.172,25.542,380.594,1.0,73.355,1.0,35.411,1.0,5.401,13.134,25.445,1.0,3.384,30.115,148.952,5.604,3.334,90.331,9.43,1.0,140.451,12.592,52.518,8.187,39.60332,27.40646,12.597728,1.9319241
diffuse,1000104,23888,1050,1056.59,274.39,0.18,0.75,9.538,46.043,1.0,1.0,499.035,1.0,4.402,18.113,47.373,24.207,2.143,3.52,1.0,249.975,248.253,7.116,1.0,1.0,93.667,1.0,70.417,1.0,2.033,3.588,15.707,13.295,41.422,288.261,1.0,374.197,1.0,5.301,1.0,9.802,65.713,170.488,1.0,5.768,46.492,244.531,11.358,104.868,86.557,16.456,17.973,269.083,16.807,137.635,8.187,63.829712,-9.202852,4.619967,-4.8901215
diffuse,1000105,10327,1165,4089.55,819.45,0.08,0.67,11.673,18.696,12.399,1.0,715.827,82.362,110.992,8.487,206.365,48.519,101.586,23.676,6.683,237.578,305.695,7.116,7.805,1.0,33.773,26.381,378.266,11.684,4.099,35.939,50.372,10.222,32.76,575.521,11.742,278.994,1.0,156.926,30.311,9.802,69.757,214.489,1.0,6.961,53.77,300.831,3.302,1.0,197.277,17.861,2.212,126.025,48.421,121.955,11.781,50.04219,-18.469978,12.435432,11.048701
diffuse,1000106,23601,1110,843.39,328.12,0.1,0.7,9.538,42.826,1.0,1.0,302.751,2.03,1.0,11.696,7.625,35.258,1.0,1.0,1.0,207.618,333.168,7.116,1.0,1.0,15.691,1.0,121.725,3.137,3.066,3.588,15.707,8.172,38.535,447.28,2.79,69.546,1.0,8.527,1.0,8.702,49.534,85.744,1.0,4.576,35.574,139.786,5.604,115.371,76.491,13.646,1.0,237.827,21.022,114.115,6.989,29.36621,7.6549625,9.968365,-1.2903033
diffuse,1000107,24554,1067,334.57,126.87,0.26,0.71,6.337,39.609,1.0,1.0,165.059,5.12,4.402,5.278,51.347,42.993,1.0,1.0,1.0,214.85,305.695,3.039,1.0,1.0,20.212,21.305,136.816,1.0,3.066,3.588,4.151,5.098,39.978,251.071,1.0,320.883,1.0,20.356,1.0,6.501,37.401,115.078,1.0,3.384,42.852,151.57,4.453,1.0,106.688,15.051,1.0,165.697,2.054,61.478,8.187,23.795837,17.992111,10.387171,-7.5225863
diffuse,1000108,27167,1073,264.86,107.88,0.29,0.71,130.144,13.87,2.036,1.0,217.792,89.571,2.134,75.872,2.325,105.983,1.0,1.0,2.137,128.07,170.83,113.133,67.691,1.0,7.781,47.701,260.559,41.601,44.39,10.058,3.101,180.308,67.408,313.909,1.0,36.543,2.056,1.0,4.664,85.717,29.312,1.0,1.0,49.877,62.869,83.486,17.113,1.0,2.258,27.696,49.495,45.48,1.0,3.24,30.946,13.161474,23.44897,18.58321,-3.1389556
