class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,E3,Vimentin,CD163,P2Ry12,a-BetaPSD-95,CD11c,HLA-A,TMEM119,CD31,Gal3,HLA-DR,CD8,ATG7,MAP2,GFAP,CollagenIV,CD3e,CD4,NeuN,Neurofilament,CD74,Claudin-5,CD40,CD11b,E1,E10,Synaptophysin,CD34,ApoE,E2,PCNA,Olig2,E4,DAPI_1,H2A.x,E5,E6,E9,S100B,SMA,CD44,CD45,E8,CD68,AQP4,IBA1,CD14,E7,None,UMAP_1,UMAP_2,TSNE_1,TSNE_2
dense,1,25717,31,219.38,74.43,0.5,0.89,8.676,21.182,1.0,1.0,171.561,74.361,37.075,10.946,115.356,66.125,3.362,1.0,1.0,620.552,377.931,6.28,1.0,1.0,32.415,8.992,62.414,1.0,8.585,42.625,20.9,11.527,109.139,654.862,1.0,54.23,1.0,109.195,1.0,9.91,99.802,37.643,1.0,4.417,40.761,201.161,11.194,1.0,161.554,17.813,1.0,262.643,15.221,69.151,11.104,-7.0387926,10.943756,-7.4603004,0.7455708
dense,2,26903,53,562.4,193.18,0.19,0.72,31.705,138.909,1.0,1.0,315.32,1.0,1.0,26.417,3.158,58.753,1.0,1.0,1.0,641.989,188.148,24.233,1.0,1.0,34.509,1.0,123.828,1.0,10.752,17.65,6.97,51.529,129.737,563.036,1.0,57.944,1.0,1.0,1.0,24.388,83.335,47.286,1.0,14.669,39.104,184.931,13.742,1.0,54.518,24.819,1.0,219.269,1.0,2.662,17.418,-2.8039455,13.302155,-4.0315046,-3.7173157
dense,3,27046,52,268.98,73.16,0.63,0.91,90.921,229.727,1.0,1.0,588.217,1.0,1.0,76.146,80.834,48.923,5.723,1.0,1.0,526.225,235.594,88.65,1.0,1.0,55.453,45.755,156.582,9.95,22.67,117.55,48.761,134.691,186.381,631.114,1.0,101.271,1.0,4.606,1.0,66.709,50.401,28.0,1.0,38.591,65.612,192.144,22.662,10.07,115.681,37.429,1.0,276.634,36.552,10.973,32.574,1.4033375,12.749895,12.717946,-9.801736
dense,4,25606,64,282.48,101.79,0.34,0.77,8.676,48.091,1.0,1.0,366.488,22.577,14.875,6.525,37.68,55.066,2.181,1.0,1.0,545.519,261.953,6.28,1.0,1.0,38.698,52.149,258.939,1.0,9.668,38.462,24.88,10.474,103.99,806.849,1.0,85.178,1.0,199.357,75.954,7.682,237.027,26.071,1.0,6.696,27.507,242.635,9.92,2.296,161.554,13.61,1.0,146.513,8.11,49.205,9.841,-30.512787,0.9641056,-6.5650287,1.4009359
dense,5,26724,83,342.32,114.98,0.33,0.78,11.966,68.273,1.0,1.0,459.078,10.71,17.65,8.736,82.991,95.616,1.0,1.0,1.0,569.101,188.148,8.392,1.0,1.0,55.453,53.747,119.734,1.0,9.668,34.3,10.95,16.79,98.84,374.635,1.0,74.037,1.0,65.917,1.0,12.137,61.379,49.214,1.0,7.835,37.448,193.948,9.92,1.0,184.49,23.418,1.0,140.916,4.555,24.271,13.63,-1.7584534,12.962452,-3.41995,-4.299679
dense,6,12130,103,808.0,180.23,0.31,0.81,8.676,21.182,1.0,1.0,953.705,85.149,381.175,12.051,331.123,61.21,117.904,63.83,3.467,605.545,372.66,6.28,2.376,6.176,76.396,24.976,426.803,5.475,2.084,163.338,62.691,17.843,93.691,814.765,1.0,397.134,2.129,520.336,19.739,12.137,121.758,188.071,1.0,6.696,45.731,332.798,7.371,2.296,495.403,16.412,1.0,184.29,164.537,137.303,11.104,-60.704697,-9.659699,-20.902124,-7.9081306
dense,7,17148,95,453.46,120.38,0.39,0.78,7.58,4.364,1.0,1.0,510.246,32.286,311.8,2.105,279.339,79.642,60.043,1.0,1.0,541.232,327.85,4.168,1.0,1.0,28.226,82.518,467.746,1.0,2.084,55.113,22.89,6.263,73.093,824.265,15.294,45.565,1.0,199.357,4.513,7.682,77.846,130.214,1.0,4.417,49.045,376.076,4.823,1.0,370.528,17.813,1.0,101.739,125.431,95.747,11.104,-44.055717,-7.689869,-17.140743,-5.370809
dense,8,12221,113,424.18,122.26,0.36,0.78,10.869,34.636,1.0,1.0,756.341,73.282,281.275,6.525,300.916,40.321,114.362,1.0,7.167,551.951,261.953,7.336,2.376,1.0,53.358,15.386,369.484,1.0,2.084,150.85,36.821,13.632,93.691,547.204,4.176,492.454,1.0,459.025,17.396,12.137,110.78,222.786,1.0,6.696,58.985,318.372,4.823,6.183,390.916,16.412,1.0,185.689,107.655,130.654,9.841,-69.71831,7.4158916,-22.948984,2.140574
dense,9,16927,90,296.84,134.63,0.21,0.65,7.58,7.727,1.0,1.0,329.939,51.705,322.9,4.315,333.281,72.269,87.202,1.0,1.0,494.069,177.604,4.168,1.0,1.0,32.415,45.755,455.463,7.712,2.084,80.087,46.771,7.316,57.644,745.105,1.0,52.993,1.0,224.603,10.369,7.682,77.846,74.286,1.0,4.417,40.761,419.354,3.548,1.0,370.528,15.011,1.0,42.975,168.093,105.72,11.104,-43.299774,-4.245433,-16.974247,-4.4185863
dense,10,25178,128,513.3,137.78,0.34,0.7,5.386,98.545,11.142,1.0,271.461,15.025,39.85,6.525,61.415,52.609,2.181,4.142,1.0,509.075,214.507,6.28,1.0,1.0,44.981,79.322,160.676,1.0,4.251,25.975,28.861,5.211,103.99,517.124,1.0,335.238,1.0,145.26,1.0,7.682,149.203,78.143,1.0,6.696,47.388,255.258,9.92,1.0,238.008,23.418,1.0,324.206,32.996,130.654,13.63,-42.75701,23.377502,-2.2472548,-3.7928784
dense,11,26559,118,288.88,99.97,0.36,0.81,16.352,98.545,1.0,1.0,69.224,147.721,464.425,25.312,363.488,138.624,74.213,129.802,1.0,596.97,240.865,9.448,2.376,1.0,153.887,48.952,152.488,43.511,12.919,96.738,188.064,13.632,140.036,111.824,1.0,334.0,1.0,668.202,13.883,8.796,171.159,45.357,1.0,7.835,68.925,271.487,8.645,1.0,393.464,38.83,17.762,168.899,278.302,132.316,12.367,-50.359097,11.63378,-14.46522,2.0152047
dense,12,14613,127,322.42,109.52,0.34,0.81,9.773,1.0,1.0,1.0,500.5,47.39,278.5,4.315,385.065,71.041,50.596,1.0,1.0,545.519,219.778,4.168,2.376,1.0,51.264,34.566,570.102,2.119,2.084,84.25,48.761,13.632,67.943,585.201,1.0,260.963,1.0,347.224,4.513,11.023,121.758,139.857,1.0,6.696,40.761,320.175,3.548,1.0,452.079,16.412,1.0,7.996,192.979,110.707,13.63,-48.19882,-7.492484,-18.394424,-5.256926
dense,13,15621,155,638.44,156.7,0.33,0.75,9.773,4.364,1.0,1.0,707.61,34.444,286.825,5.42,326.808,61.21,74.213,1.0,1.0,449.049,159.153,6.28,1.0,1.0,40.792,24.976,353.107,1.0,1.0,88.413,34.831,18.896,73.093,626.365,4.176,299.338,1.0,202.964,5.685,13.251,121.758,124.429,1.0,8.974,52.358,619.514,6.097,1.0,383.27,13.61,1.0,35.979,143.206,125.667,12.367,-43.882282,-10.4738865,-17.252995,-7.3067055
dense,14,26718,149,642.35,177.05,0.26,0.81,11.966,112.0,11.142,1.0,325.066,37.68,253.525,21.997,391.538,123.878,4.543,101.528,1.0,646.277,240.865,7.336,1.0,1.0,139.226,60.141,140.205,9.95,11.835,59.275,96.522,14.685,129.737,140.322,1.0,476.361,1.0,368.863,1.0,6.569,297.407,83.929,1.0,4.417,55.672,206.57,13.742,1.0,487.758,24.819,37.876,216.471,566.27,143.952,12.367,-65.31931,21.177471,-22.051294,7.5109396
dense,15,17013,138,191.38,80.39,0.37,0.79,6.483,4.364,1.0,1.0,144.759,61.415,278.5,3.21,257.762,83.328,61.223,1.0,1.0,547.663,174.968,6.28,1.0,1.0,30.321,108.093,312.164,1.0,2.084,55.113,14.93,7.316,88.541,968.336,5.765,36.9,1.0,264.274,6.856,9.91,105.291,56.929,1.0,7.835,39.104,341.814,3.548,1.0,324.656,13.61,1.0,44.374,104.1,102.396,9.841,-40.88456,-1.473465,-16.025198,-3.428461
dense,16,15833,153,330.88,100.82,0.41,0.84,6.483,64.909,1.0,1.0,485.88,62.494,389.5,3.21,417.43,91.93,62.404,7.283,1.0,549.807,341.029,3.112,1.0,1.0,49.17,15.386,418.615,3.237,2.084,96.738,88.562,11.527,78.242,819.515,2.588,34.424,1.0,285.913,6.856,8.796,66.868,205.429,1.0,3.278,42.418,397.715,3.548,1.0,490.306,9.407,1.0,37.378,299.633,115.694,8.578,-46.280766,-8.397507,-18.012123,-5.274117
dense,17,17075,164,420.56,114.13,0.41,0.73,7.58,7.727,1.0,1.0,212.983,41.996,309.025,3.21,253.447,89.472,43.511,1.0,1.0,416.893,201.327,4.168,1.0,1.0,28.226,74.526,361.295,1.0,2.084,55.113,18.91,7.316,37.046,754.604,5.765,31.948,1.0,148.866,4.513,8.796,50.401,78.143,1.0,5.556,27.507,291.323,3.548,1.0,299.171,17.813,1.0,42.975,136.096,82.449,7.315,-40.495834,-0.7255554,-14.735432,-3.2727852
dense,18,12597,152,356.89,110.36,0.37,0.84,8.676,4.364,1.0,1.0,719.793,70.045,286.825,4.315,294.443,68.583,114.362,1.0,2.233,461.912,272.496,6.28,1.0,1.0,30.321,13.787,459.557,1.0,2.084,113.388,26.871,10.474,67.943,741.938,4.176,35.662,1.0,404.928,18.567,8.796,55.89,124.429,1.0,3.278,20.881,484.271,6.097,1.0,322.107,13.61,1.0,63.962,111.21,125.667,7.315,-48.154533,-13.319439,-18.906248,-6.774512
dense,19,8344,191,869.55,302.27,0.12,0.68,21.835,270.091,92.279,1.0,412.783,29.05,597.625,48.519,652.616,26.804,132.074,607.311,4.7,590.539,98.528,14.728,34.025,6.176,151.792,7.394,496.406,63.647,5.334,229.938,347.267,18.896,273.923,29.498,47.059,56.706,1.0,747.545,122.801,15.478,632.236,238.214,1.0,5.556,67.269,641.153,3.548,587.961,839.446,30.424,125.037,419.349,736.918,381.651,13.63,-35.787895,-30.329628,-16.423645,-13.277874
dense,20,14428,169,343.45,115.21,0.33,0.82,11.966,31.273,61.853,1.0,865.988,49.548,345.1,16.471,367.803,64.897,93.106,290.019,1.0,569.101,507.09,6.28,1.0,1.0,84.774,16.984,213.902,23.374,2.084,80.087,110.452,23.106,103.99,639.03,1.0,267.152,1.0,354.437,11.54,13.251,138.225,78.143,1.0,8.974,45.731,507.713,7.371,1.0,436.788,16.412,1.0,69.559,313.854,185.507,13.63,-54.147293,-14.461922,-21.381676,-8.342827
dense,21,16631,195,434.84,138.59,0.28,0.77,5.386,4.364,1.0,1.0,354.305,47.39,311.8,4.315,300.916,47.694,84.84,1.0,1.0,461.912,145.974,4.168,1.0,1.0,40.792,7.394,361.295,1.0,1.0,67.6,44.781,8.369,57.644,684.943,1.0,212.684,1.0,163.292,11.54,8.796,66.868,134.071,1.0,4.417,39.104,390.502,6.097,2.296,365.431,16.412,7.705,125.525,274.747,127.329,8.578,-42.6124,-2.3013744,-16.424618,-4.158077
dense,22,16181,190,236.08,79.86,0.47,0.81,13.063,17.818,1.0,1.0,766.088,39.838,295.15,7.631,361.33,68.583,64.766,10.425,1.0,571.245,298.855,7.336,5.128,1.0,36.604,24.976,512.783,3.237,3.167,92.575,36.821,15.738,57.644,735.605,2.588,61.658,1.0,184.931,6.856,12.137,77.846,143.714,1.0,6.696,47.388,340.011,6.097,1.0,370.528,19.215,1.0,112.933,114.765,105.72,9.841,-45.87749,-11.866501,-17.856247,-6.569936
dense,23,26649,233,704.46,241.28,0.15,0.69,13.063,132.182,1.0,1.0,27.802,68.967,142.525,21.997,298.758,120.192,10.447,1.0,1.0,656.996,225.05,11.56,12.008,1.0,70.113,56.944,144.299,1.0,21.587,30.138,22.89,25.212,186.381,338.222,1.0,127.268,1.0,271.487,5.685,11.023,83.335,29.929,1.0,7.835,73.896,197.554,7.371,1.0,255.847,40.231,1.0,161.903,114.765,69.151,11.104,-22.99308,12.528358,-9.179124,-0.6666883
dense,24,16888,213,249.93,91.88,0.37,0.76,6.483,17.818,1.0,1.0,583.344,48.469,203.575,2.105,335.438,67.354,63.585,1.0,1.0,434.043,188.148,5.224,1.0,1.0,28.226,7.394,324.447,1.0,2.084,55.113,24.88,8.369,47.345,840.097,2.588,56.706,1.0,152.473,5.685,6.569,39.423,72.357,1.0,5.556,37.448,370.666,4.823,1.0,327.204,16.412,1.0,76.555,100.544,94.085,6.052,-41.62861,-7.8230553,-16.426056,-5.69057
dense,25,18204,223,231.74,91.94,0.34,0.75,6.483,21.182,1.0,1.0,315.32,40.917,161.95,3.21,246.974,45.236,62.404,1.0,1.0,485.494,211.871,4.168,2.376,1.0,24.038,34.566,353.107,1.0,2.084,50.95,24.88,5.211,98.84,743.521,1.0,75.275,1.0,163.292,6.856,9.91,33.934,249.786,1.0,4.417,47.388,509.516,3.548,1.0,266.041,15.011,1.0,245.853,104.1,115.694,14.893,-38.026546,-3.64108,-14.11402,-5.1284394
dense,26,18843,282,1989.1,548.5,0.08,0.66,11.966,138.909,1.0,1.0,71.661,30.129,142.525,5.42,225.397,29.262,57.681,10.425,1.0,554.094,261.953,7.336,2.376,1.0,44.981,15.386,402.238,2.119,2.084,71.763,38.811,9.421,109.139,472.794,4.176,342.665,1.0,138.047,16.225,12.137,110.78,352.0,1.0,7.835,49.045,473.451,3.548,13.957,235.459,23.418,1.0,327.004,132.541,142.29,13.63,-55.07641,19.580133,-15.689321,6.963539
dense,27,16743,235,358.66,113.6,0.35,0.79,6.483,4.364,1.0,1.0,351.868,62.494,314.575,3.21,249.132,69.812,89.564,1.0,1.0,455.481,222.414,4.168,1.0,1.0,32.415,16.984,549.631,1.0,2.084,59.275,22.89,8.369,93.691,816.349,7.353,76.513,1.0,321.978,64.243,5.455,302.896,99.357,1.0,3.278,49.045,637.547,4.823,1.0,311.913,13.61,1.0,26.185,118.32,109.045,8.578,-44.663254,-5.178562,-17.55848,-4.801767
dense,28,26904,220,301.67,102.93,0.36,0.75,14.159,199.455,1.0,1.0,541.922,1.0,1.0,12.051,50.626,77.185,1.0,1.0,1.0,702.015,209.235,11.56,1.0,1.0,32.415,2.598,111.545,1.0,12.919,9.325,8.96,19.948,109.139,528.206,4.176,85.178,1.0,1.0,1.0,11.023,72.357,41.5,1.0,6.696,35.791,143.457,11.194,1.0,95.293,16.412,1.0,241.655,8.11,7.649,12.367,-0.9177761,12.960915,-3.2411215,-3.657729
dense,29,12427,240,304.3,85.45,0.52,0.85,11.966,1.0,1.0,1.0,914.72,66.809,428.35,16.471,402.326,64.897,116.723,70.113,2.233,414.749,475.459,7.336,1.0,1.0,97.34,34.566,238.467,16.662,2.084,105.063,112.442,18.896,119.438,756.187,1.0,212.684,1.0,469.845,15.054,11.023,66.868,209.286,1.0,2.139,54.015,601.482,7.371,1.0,500.5,19.215,1.0,112.933,246.306,173.872,16.155,-53.443848,-15.678726,-20.489922,-8.201979
dense,30,16011,293,1383.84,256.67,0.26,0.8,8.676,75.0,26.355,1.0,444.459,35.523,375.625,7.631,320.335,45.236,99.011,164.358,1.0,601.258,190.784,5.224,2.376,1.0,63.83,12.189,275.316,4.356,2.084,125.875,66.671,12.58,67.943,596.284,1.0,602.628,5.515,235.422,18.567,14.365,220.56,336.571,1.0,7.835,42.418,514.926,4.823,6.183,434.24,15.011,21.114,124.126,232.085,150.601,12.367,-65.33437,17.848202,-20.84754,3.9113896
dense,31,16439,271,488.92,174.02,0.2,0.66,7.58,7.727,1.0,1.0,427.402,59.257,267.4,4.315,283.654,71.041,58.862,1.0,1.0,410.461,248.773,5.224,2.376,1.0,28.226,15.386,443.18,1.0,2.084,63.438,28.861,9.421,88.541,765.686,2.588,45.565,1.0,195.751,10.369,8.796,66.868,137.929,1.0,4.417,49.045,327.388,4.823,1.0,322.107,16.412,1.0,16.391,128.986,105.72,9.841,-43.076176,-5.296357,-16.719492,-4.84117
dense,32,16971,237,196.85,76.4,0.42,0.74,7.58,24.545,1.0,1.0,471.261,51.705,311.8,2.105,326.808,78.413,77.755,1.0,1.0,547.663,290.947,4.168,2.376,1.0,34.509,53.747,430.898,1.0,1.0,42.625,28.861,8.369,52.495,898.675,2.588,60.42,1.0,264.274,9.198,7.682,77.846,66.571,1.0,4.417,35.791,372.469,4.823,1.0,352.689,15.011,1.0,128.324,139.651,102.396,7.315,-43.989925,-7.1473656,-16.998177,-5.3297157
dense,33,15031,248,203.74,76.31,0.44,0.83,11.966,14.455,1.0,1.0,276.334,61.415,278.5,3.21,270.708,80.871,69.489,4.142,1.0,541.232,235.594,5.224,3.752,1.0,38.698,21.779,451.369,1.0,2.084,75.925,22.89,9.421,73.093,805.266,1.0,48.041,1.0,260.668,8.027,12.137,66.868,128.286,1.0,8.974,42.418,475.255,3.548,1.0,388.367,23.418,1.0,90.546,153.872,107.383,11.104,-43.1171,-3.6869736,-16.920319,-4.2154107
dense,34,17811,318,1873.47,311.28,0.24,0.81,8.676,21.182,11.142,1.0,373.798,50.626,281.275,8.736,331.123,34.177,104.915,26.132,1.0,532.657,214.507,5.224,1.0,1.0,59.642,18.582,201.619,5.475,1.0,109.225,64.681,8.369,103.99,542.455,1.0,610.056,2.129,181.325,13.883,8.796,132.736,313.429,1.0,5.556,42.418,682.628,6.097,13.957,337.398,19.215,4.352,220.668,189.423,192.156,11.104,-63.769066,21.573824,-19.415733,6.442253
dense,35,11785,320,1532.08,374.5,0.14,0.74,9.773,7.727,1.0,1.0,568.724,66.809,314.575,4.315,294.443,56.295,90.745,4.142,2.233,496.212,375.296,6.28,1.0,1.0,51.264,66.534,361.295,1.0,2.084,100.9,54.731,9.421,88.541,708.691,23.235,319.145,1.0,473.451,13.883,11.023,94.313,195.786,1.0,5.556,50.701,386.895,4.823,1.0,390.916,17.813,1.0,90.546,139.651,127.329,9.841,-61.736526,-1.9714146,-21.455564,-0.2035183
dense,36,12671,271,246.66,117.6,0.22,0.73,6.483,7.727,310.335,1.0,220.293,87.307,375.625,7.631,393.695,78.413,103.734,390.547,1.0,421.18,235.594,6.28,1.0,1.0,57.547,16.984,439.086,63.647,2.084,134.2,118.412,5.211,67.943,748.271,5.765,17.093,1.0,433.78,16.225,8.796,50.401,116.714,1.0,1.0,37.448,424.764,3.548,1.0,454.628,13.61,1.0,181.492,285.413,242.023,14.893,-51.981537,-0.66649437,-18.434013,-1.7921875
dense,37,10911,314,699.13,257.2,0.13,0.65,8.676,27.909,1.0,1.0,381.107,75.44,272.95,6.525,257.762,42.779,117.904,1.0,3.467,566.957,409.562,7.336,24.393,1.0,55.453,55.346,492.311,1.0,7.501,100.9,34.831,10.474,98.84,664.361,21.647,29.472,1.0,581.646,51.36,7.682,198.604,190.0,1.0,10.113,52.358,630.334,3.548,1.0,426.594,16.412,1.0,122.727,93.434,137.303,14.893,-56.053654,-8.119827,-21.34933,-4.158412
dense,38,15695,342,1236.52,308.23,0.16,0.71,8.676,1.0,1.0,1.0,468.824,38.759,272.95,3.21,311.704,72.269,64.766,4.142,1.0,502.644,264.588,6.28,1.0,1.0,36.604,84.117,430.898,2.119,2.084,50.95,30.851,12.58,67.943,792.601,2.588,38.138,1.0,303.946,11.54,11.023,88.824,80.071,1.0,6.696,47.388,455.419,6.097,6.183,355.237,15.011,1.0,115.731,157.427,112.369,11.104,-44.521515,-6.321476,-17.504427,-4.947962
dense,39,24878,350,1478.0,300.14,0.21,0.8,5.386,162.455,1.0,1.0,173.998,5.315,39.85,19.787,95.937,46.465,13.989,7.283,1.0,466.2,188.148,4.168,36.777,1.0,42.887,42.558,62.414,2.119,25.921,25.975,36.821,8.369,88.541,536.122,23.235,330.286,1.0,228.209,1.0,6.569,127.247,70.429,1.0,3.278,37.448,233.619,21.388,2.296,199.781,15.011,37.876,250.05,36.552,109.045,8.578,-45.064,24.341854,-13.512048,4.510904
dense,40,16625,397,2502.47,521.36,0.12,0.65,6.483,58.182,26.355,1.0,261.715,46.311,311.8,7.631,417.43,51.38,91.926,13.566,1.0,474.775,169.697,4.168,1.0,1.0,51.264,16.984,299.881,12.187,1.0,96.738,90.552,7.316,83.392,653.279,5.765,385.993,2.129,307.552,16.225,8.796,121.758,114.786,1.0,3.278,44.075,347.224,4.823,1.0,375.625,15.011,11.057,166.101,288.968,138.965,9.841,-58.762814,12.403629,-18.762745,2.3836763
dense,41,10668,388,2252.46,363.48,0.21,0.82,10.869,17.818,1.0,1.0,717.356,101.332,334.0,6.525,322.492,53.838,130.894,7.283,5.933,588.395,449.1,9.448,5.128,1.0,74.302,39.362,447.275,3.237,3.167,130.038,86.572,34.686,119.438,768.853,13.706,130.981,1.0,639.35,38.477,9.91,121.758,292.214,1.0,6.696,52.358,511.319,8.645,10.07,454.628,19.215,4.352,275.235,125.431,153.925,12.367,-57.888233,-12.017138,-21.568014,-6.4039397
dense,42,25422,345,340.54,103.47,0.4,0.84,7.58,61.545,1.0,1.0,127.702,26.892,3.775,7.631,46.311,55.066,1.0,1.0,1.0,479.062,201.327,5.224,1.0,1.0,26.132,7.394,258.939,1.0,8.585,25.975,10.95,7.316,73.093,509.208,1.0,35.662,1.0,26.245,1.0,8.796,44.912,12.571,1.0,3.278,34.134,85.753,4.823,1.0,118.23,12.209,4.352,139.517,1.0,27.596,8.578,-5.875454,14.506121,-5.314795,-3.3275483
dense,43,12036,387,1107.4,227.21,0.27,0.83,9.773,14.455,1.0,1.0,812.383,64.651,311.8,7.631,318.177,45.236,93.106,1.0,2.233,496.212,288.311,6.28,2.376,1.0,59.642,76.125,299.881,2.119,2.084,125.875,52.741,13.632,83.392,661.195,5.765,283.245,1.0,502.303,15.054,12.137,110.78,253.643,1.0,6.696,54.015,341.814,6.097,1.0,388.367,17.813,1.0,122.727,153.872,133.978,11.104,-61.12892,-8.15213,-19.95058,-7.457975
dense,44,12740,369,210.42,68.84,0.56,0.88,7.58,1.0,158.203,1.0,641.822,99.174,375.625,8.736,508.052,90.701,82.479,117.236,2.233,464.056,406.926,6.28,2.376,1.0,57.547,16.984,520.971,43.511,2.084,121.713,118.412,7.316,93.691,724.523,1.0,24.52,1.0,430.173,13.883,8.796,28.445,85.857,1.0,2.139,42.418,249.848,4.823,1.0,457.176,17.813,1.0,59.765,281.858,275.268,12.367,-53.33022,-11.9360695,-21.130768,-6.3506765
dense,45,18207,436,963.56,299.37,0.14,0.73,5.386,189.364,16.213,1.0,166.688,49.548,267.4,7.631,244.816,41.55,88.383,16.708,1.0,605.545,219.778,4.168,35.401,1.0,40.792,24.976,291.693,2.119,10.752,80.087,44.781,5.211,93.691,661.195,15.294,530.829,1.0,242.635,10.369,6.569,160.181,317.286,1.0,4.417,40.761,543.778,3.548,20.436,352.689,17.813,11.057,332.601,150.317,140.627,9.841,-60.70685,21.057842,-18.785387,5.199292
dense,46,26498,395,576.26,185.34,0.21,0.69,11.966,78.364,1.0,1.0,305.573,143.406,350.65,15.366,415.272,141.081,35.245,1.0,1.0,577.676,330.485,6.28,2.376,1.0,93.151,32.968,234.373,1.0,14.002,55.113,34.831,12.58,134.887,65.911,1.0,191.639,1.0,459.025,2.171,7.682,99.802,166.857,1.0,4.417,47.388,231.816,12.468,1.0,334.849,23.418,1.0,142.315,235.641,90.76,9.841,-47.582977,10.795271,-12.850393,0.89975774
dense,47,17252,410,874.45,194.52,0.29,0.78,9.773,38.0,1.0,1.0,381.107,50.626,281.275,6.525,445.479,51.38,104.915,1.0,1.0,569.101,206.599,5.224,1.0,1.0,57.547,7.394,349.012,4.356,2.084,96.738,72.641,11.527,98.84,627.948,2.588,254.773,1.0,145.26,11.54,11.023,77.846,218.929,1.0,5.556,47.388,437.386,6.097,4.887,378.173,20.616,1.0,164.702,203.644,145.614,12.367,-44.04501,-0.06707859,-17.56796,0.3179714
dense,48,25725,436,1620.2,403.0,0.13,0.64,7.58,38.0,1.0,1.0,122.829,6.394,3.775,7.631,57.099,62.439,1.0,1.0,1.0,558.382,153.881,6.28,12.008,1.0,28.226,23.378,193.43,1.0,9.668,13.488,18.91,7.316,67.943,621.615,2.588,45.565,1.0,19.032,3.342,7.682,94.313,14.5,1.0,4.417,37.448,118.211,7.371,1.0,133.52,16.412,1.0,170.298,15.221,37.569,9.841,-3.895584,14.724779,4.7859635,10.873154
dense,49,15356,417,516.78,160.03,0.25,0.78,9.773,4.364,1.0,1.0,558.978,35.523,189.7,3.21,272.866,48.923,70.67,1.0,1.0,449.049,203.963,7.336,1.0,1.0,21.943,16.984,344.918,1.0,2.084,71.763,16.92,16.79,42.196,677.027,5.765,45.565,1.0,170.505,5.685,12.137,33.934,41.5,1.0,6.696,37.448,493.287,6.097,1.0,311.913,17.813,1.0,69.559,86.324,110.707,9.841,-41.74006,-8.327503,-16.542654,-5.8821497
dense,50,14944,413,380.05,127.5,0.29,0.75,7.58,17.818,1.0,1.0,710.046,48.469,259.075,2.105,331.123,83.328,62.404,1.0,1.0,581.964,222.414,4.168,3.752,1.0,36.604,36.165,369.484,1.0,2.084,67.6,22.89,13.632,98.84,696.025,4.176,38.138,1.0,242.635,5.685,7.682,88.824,139.857,1.0,3.278,35.791,408.534,4.823,1.0,413.852,12.209,1.0,17.79,160.982,89.098,8.578,-45.024025,-11.288601,-17.621862,-6.4137926
dense,51,24996,424,460.0,135.0,0.32,0.83,7.58,51.455,1.0,1.0,371.361,21.498,20.425,6.525,201.663,61.21,2.181,1.0,1.0,466.2,174.968,5.224,1.0,1.0,32.415,7.394,74.697,2.119,5.334,30.138,36.821,10.474,67.943,458.545,1.0,78.989,1.0,148.866,2.171,7.682,72.357,31.857,1.0,3.278,29.164,201.161,18.839,3.591,238.008,12.209,1.0,210.874,50.772,90.76,7.315,-17.378765,8.032633,-9.994622,-3.6309922
dense,52,16018,448,514.22,154.18,0.27,0.82,13.063,14.455,1.0,1.0,697.863,36.602,322.9,7.631,296.6,48.923,95.468,29.274,1.0,584.107,238.23,7.336,2.376,1.0,49.17,24.976,377.672,1.0,2.084,71.763,78.612,19.948,57.644,635.864,1.0,82.703,1.0,246.242,11.54,12.137,99.802,240.143,1.0,6.696,37.448,453.616,7.371,4.887,390.916,20.616,1.0,100.34,132.541,130.654,9.841,-45.38164,-12.2644005,-18.00071,-6.886182
dense,53,13349,482,1376.02,244.61,0.29,0.77,9.773,135.545,61.853,1.0,688.117,39.838,406.15,23.102,402.326,57.524,147.426,101.528,2.233,575.532,269.86,5.224,6.504,1.0,65.925,40.96,263.033,24.493,2.084,96.738,130.353,14.685,78.242,654.862,5.765,511.022,2.129,448.206,13.883,8.796,187.626,199.643,1.0,4.417,47.388,392.305,6.097,2.296,469.918,17.813,7.705,47.172,349.406,197.143,13.63,-69.91119,8.002964,-22.989542,2.6141195
dense,54,27056,494,1555.96,375.56,0.14,0.74,25.125,24.545,1.0,1.0,212.983,1.0,1.0,21.997,67.888,47.694,1.0,1.0,1.0,444.762,159.153,17.896,1.0,1.0,17.755,4.197,103.357,4.356,12.919,1.0,30.851,31.528,109.139,639.03,1.0,322.859,1.0,1.0,2.171,16.592,182.137,4.857,1.0,10.113,40.761,136.244,8.645,1.0,36.679,23.418,4.352,70.958,29.441,10.973,14.893,47.570934,-10.207704,18.170237,8.224366
dense,55,16954,493,1122.32,246.56,0.23,0.74,7.58,81.727,1.0,1.0,495.627,31.207,297.925,15.366,378.592,42.779,107.277,38.698,1.0,461.912,124.887,4.168,49.161,1.0,57.547,10.59,308.07,4.356,11.835,92.575,64.681,12.58,88.541,494.959,16.882,340.19,1.0,260.668,23.252,8.796,99.802,284.5,1.0,4.417,50.701,426.567,6.097,2.296,378.173,16.412,4.352,133.92,267.637,128.992,9.841,-63.349854,11.6138,-20.909845,2.824034
