cell,x,y,area µm²,Neurofilament,CD3e,CD45,CD4,NeuN,ATG7,A-Beta,S100B,IBA1,CD68,MAP2,CD31,HLA-A,GFAP,CD11b,SMA,DAPI_1,GalMac3,CollagenIV,CD14,PSD-95,CD11c,CD34,Synaptophysin,AQP4,P2Ry12,CD40,Claudin5,HLA-DR,Trem2,iNOS,CD163,CD74,ApoE,H2A.x,PCNA,TMEM119,CD44,P2Rx7(Park7),CD8,Vimentin,UMAP_1,UMAP_2,TSNE_1,TSNE_2
6569,13499,18286,23.02,175.124,194.55,274.936,233.489,63.914,451.122,9.078,201.898,131.806,14.371,357.247,152.659,27.033,410.789,122.307,5.569,5.315,49.355,16.569,150.538,113.893,249.092,1.0,99.696,206.893,124.207,249.991,7.555,82.839,37.071,2.337,12.597,14.763,87.664,40.176,260.037,124.392,10.027,128.375,224.776,36.679,-30.88595,-32.384045,-3.2812815,2.1115527
6571,12732,15116,60.26,31.988,186.485,94.688,210.945,69.634,453.201,7.732,190.92,131.806,27.742,51.892,98.396,4.254,295.605,125.875,2.523,45.232,67.874,15.271,73.692,60.642,225.211,95.044,181.542,5.202,110.859,155.86,14.11,56.03,16.683,114.675,37.448,11.323,30.938,37.565,62.245,27.102,1.0,113.638,165.835,86.629,-39.55871,-18.337265,0.16932754,-2.825501
6572,9150,6680,124.79,18.708,228.824,162.917,271.533,65.821,392.907,11.771,67.966,99.746,56.394,12.309,378.06,464.705,174.884,182.961,4.046,283.654,304.507,648.404,175.462,40.406,505.143,386.05,141.823,177.479,63.63,281.874,391.685,72.962,91.961,101.301,35.791,49.172,109.724,34.953,382.528,95.917,1.0,271.541,172.828,574.711,6.430496,-47.812363,-15.354782,-3.1539745
6574,7142,18882,165.72,57.074,102.815,9.147,263.079,8.626,129.903,2.346,291.918,45.884,39.203,8.54,55.263,46.557,222.508,47.382,5.569,54.942,43.182,12.677,79.923,13.78,12.94,258.291,215.243,15.707,1.0,198.371,21.976,39.097,30.797,22.398,27.507,38.85,16.757,97.635,64.253,88.798,12.033,474.709,93.907,79.493,10.167914,59.17074,9.03795,13.647205
6576,8648,15784,202.25,107.245,191.526,129.312,201.082,62.008,326.377,2.346,220.56,88.204,33.472,142.368,90.047,5.881,257.949,147.282,2.523,49.548,53.471,13.974,64.346,89.398,157.55,176.668,193.578,10.454,89.298,169.524,10.177,53.208,16.683,114.675,39.104,9.029,21.484,66.294,116.462,100.663,1.0,290.489,139.861,53.804,-53.413105,-26.496847,4.3040395,2.6773016
6577,3030,16852,200.97,29.037,226.808,46.826,320.849,6.719,235.937,1.0,527.945,39.472,64.034,1.0,39.958,12.389,187.067,95.548,4.046,167.14,99.768,12.677,142.231,15.91,19.574,126.984,436.708,277.274,148.848,231.772,10.177,60.263,26.093,165.494,44.075,33.115,13.606,243.894,247.989,95.917,16.045,468.393,312.688,129.443,27.854359,68.10094,5.414972,21.780586
6578,2814,6918,158.05,77.733,241.929,36.642,189.81,4.813,224.502,9.078,486.229,170.279,50.663,21.734,60.829,23.779,373.133,129.443,5.569,92.701,91.538,13.974,142.231,56.382,96.522,116.337,216.447,72.432,43.096,96.649,8.866,70.14,27.661,66.53,40.761,19.351,48.271,418.882,108.43,107.781,7.018,168.377,63.937,173.684,-62.259163,-30.565481,8.350605,5.8223677
6582,671,3437,45.05,9.854,152.211,204.67,117.949,20.065,479.189,6.385,130.541,62.556,25.832,142.368,135.962,12.389,158.271,120.523,5.569,59.257,119.316,13.974,124.577,85.138,487.896,1.0,141.823,55.625,8.187,10.109,7.555,64.496,10.41,35.771,30.821,13.617,38.817,57.153,186.744,273.886,1.0,487.341,190.81,65.221,-36.924927,-39.128326,-1.4258975,5.197992
6583,9860,13344,244.6,55.598,211.687,117.092,206.718,100.137,356.523,110.055,431.338,121.547,29.652,99.015,81.699,20.524,337.692,116.955,4.046,85.149,74.047,13.974,88.231,68.097,178.777,315.073,227.28,53.524,76.977,99.685,7.555,44.742,37.071,126.711,37.448,26.233,34.09,190.353,125.498,117.273,1.0,234.697,156.844,82.347,-59.93242,-28.864775,7.448547,5.89543
6584,3263,14969,271.04,49.696,210.679,83.486,289.85,10.532,262.965,11.771,635.53,45.884,48.753,4.77,13.522,27.033,216.97,111.604,2.523,52.784,42.153,11.379,96.538,5.26,75.295,164.247,399.396,51.423,101.619,146.751,14.11,63.085,38.639,132.06,37.448,25.086,73.483,85.882,116.462,84.052,101.301,486.289,170.83,90.91,23.56491,67.156876,5.652831,20.929193
6585,14070,15592,236.5,42.318,217.736,161.899,746.375,153.519,220.343,3.693,204.093,92.051,44.933,132.943,140.136,41.676,285.637,166.905,5.569,45.232,50.384,56.788,461.038,79.812,359.207,2.774,200.8,301.435,156.035,269.728,10.177,61.674,104.507,156.133,35.791,20.498,100.27,45.4,235.941,169.477,17.048,14.685,126.874,42.387,14.379124,-22.439274,-6.221943,-11.309887
6586,5325,13665,111.29,21.659,167.332,84.505,241.944,2.906,124.706,1.0,585.031,115.135,39.203,31.158,16.305,12.389,264.594,154.418,1.0,16.104,56.557,8.784,52.923,5.26,46.108,707.22,357.27,80.836,84.164,128.532,12.799,48.975,21.388,121.361,30.821,35.409,24.636,3.612,37.145,124.392,75.223,348.387,26.974,179.393,13.0318775,58.571415,8.49314,16.891426
6587,13358,18962,211.49,20.183,94.751,39.697,322.258,16.252,65.452,29.274,84.433,68.968,14.371,61.317,85.873,20.524,233.583,33.111,5.569,139.091,1.0,13.974,159.885,27.626,10.287,95.044,171.913,35.666,1.0,215.071,12.799,47.564,77.846,15.711,29.164,15.91,49.847,335.306,34.133,5.746,22.063,1.0,1.0,133.724,-48.85842,26.524853,-1.008611,-16.457941
6588,6373,2062,122.66,20.183,56.444,2.018,40.453,1.0,22.83,7.732,88.824,61.273,20.101,23.619,52.481,4.254,170.453,13.487,2.523,76.518,10.26,4.892,30.077,31.886,7.633,238.773,179.135,121.804,3.053,19.219,6.244,19.343,13.546,17.048,19.224,4.441,19.909,131.588,1.0,3.373,2.003,1.0,1.0,89.483,-37.036423,17.205929,4.2918115,-13.120671
6590,2832,18050,294.49,30.513,227.816,115.055,370.165,6.719,207.869,2.346,659.681,67.685,109.878,1.0,31.61,35.168,209.217,88.412,4.046,99.174,58.615,11.379,95.5,14.845,67.335,48.909,403.007,137.562,2.027,219.626,15.421,99.771,35.502,13.036,22.537,53.76,24.636,144.647,136.543,190.834,96.286,479.973,250.75,102.327,27.521034,77.384445,5.879411,24.631786
6591,6934,16489,66.94,58.549,219.752,189.394,494.159,10.532,385.631,5.039,314.971,335.71,123.249,2.885,135.962,236.92,336.584,245.398,4.046,116.435,151.21,253.994,221.154,8.455,169.49,142.954,174.32,163.823,53.363,251.509,157.012,298.725,55.89,9.024,27.507,85.875,57.726,74.129,424.696,188.461,63.187,479.973,191.809,373.484,-1.8534355,-48.12001,-13.958148,0.5351729
6592,5221,17366,138.58,20.183,254.026,123.202,496.977,27.691,168.366,2.346,243.614,215.163,117.518,1.0,387.799,606.257,185.959,327.459,4.046,202.742,289.074,439.522,247.115,14.845,101.829,517.357,303.107,158.571,137.554,556.675,361.531,401.729,115.485,74.554,49.045,107.667,93.967,15.365,307.226,126.765,190.569,273.646,369.631,511.917,3.204525,-51.14114,-15.90309,-1.9500337
6593,2022,7551,67.94,12.805,186.485,251.514,127.812,20.065,540.522,5.039,301.798,249.788,33.472,89.591,134.571,22.151,727.545,97.332,5.569,7.473,136.806,19.164,174.423,121.349,395.028,8.098,141.823,120.754,88.271,212.035,12.799,64.496,41.776,113.337,37.448,21.645,54.574,14.059,271.081,205.071,71.211,446.287,307.693,511.917,23.195494,35.17382,-5.4246464,8.422899
6596,9808,13952,199.12,62.976,201.606,134.404,150.357,100.137,299.349,6.385,377.546,88.204,39.203,146.138,95.613,14.016,220.293,150.85,4.046,68.967,53.471,15.271,82.0,62.772,217.251,121.661,175.524,1.0,72.871,113.35,8.866,57.441,29.229,99.964,40.761,14.763,38.817,267.4,115.458,98.29,1.0,271.541,188.812,13.844,-56.1025,-32.47709,5.622759,4.8804884
6597,6979,17797,311.69,46.744,209.671,178.193,310.986,2.906,274.4,5.039,614.671,74.098,23.922,1.0,14.914,22.151,272.347,122.307,4.046,26.892,29.807,12.677,45.654,6.325,20.9,272.487,266.999,49.322,101.619,174.079,11.488,58.852,24.524,3.675,17.567,23.939,30.938,49.318,42.165,50.831,65.193,508.395,71.929,156.559,19.064297,63.361183,7.279255,18.427103
6598,1131,2086,210.64,34.939,119.953,19.33,117.949,18.158,326.377,14.464,318.265,65.121,23.922,65.087,99.787,20.524,242.443,43.814,8.614,138.012,92.566,12.677,99.654,114.958,205.311,2.774,123.769,100.795,29.748,23.774,15.421,46.153,24.524,46.47,34.134,13.617,70.331,285.682,33.129,72.188,1.0,111.532,63.937,103.754,-41.346027,-9.314091,2.4207406,-5.2114406
6599,3579,14073,240.77,85.111,216.728,117.092,388.482,8.626,402.263,23.888,509.282,36.908,75.495,21.734,55.263,48.184,203.68,122.307,5.569,79.755,137.835,16.569,173.385,44.666,157.55,38.263,322.365,240.508,157.062,210.517,16.732,70.14,54.322,144.096,42.418,36.556,92.391,114.612,206.824,136.257,224.672,585.241,246.754,222.207,31.719578,57.58986,1.0420048,19.096579
6600,7963,14540,46.76,9.854,305.438,49.881,278.578,25.784,177.722,2.346,32.836,15.107,71.675,221.534,45.524,14.016,32.011,157.986,5.569,577.097,20.548,17.866,47.731,95.788,87.235,52.458,422.265,19.909,181.703,239.363,7.555,74.373,29.229,180.205,45.731,22.792,16.757,194.271,346.383,93.544,21.06,216.801,242.758,5.281,-57.2909,22.54074,10.239685,-14.125894
6603,504,18691,177.95,33.464,192.534,205.688,408.209,6.719,293.111,6.385,495.011,59.991,37.293,1.0,20.479,9.135,211.432,61.654,5.569,62.494,51.413,12.677,110.038,13.78,92.542,25.842,517.351,189.035,2.027,228.736,14.11,75.784,33.934,13.036,25.851,28.527,16.757,70.212,260.037,214.563,32.093,426.286,328.672,58.086,29.167835,77.11394,5.345033,26.010313
6604,8331,17103,112.0,18.708,272.172,424.633,356.075,58.195,422.015,1.0,97.607,122.829,96.507,236.613,272.316,521.651,139.442,810.904,2.523,196.269,226.315,582.236,215.962,92.593,259.705,286.682,133.398,51.423,163.222,492.909,244.85,68.729,90.392,59.843,24.194,28.527,86.088,46.706,470.881,55.577,1.0,205.221,400.6,520.48,2.003254,-47.341286,-14.366935,-0.57372427
6606,14189,18354,121.24,20.183,133.058,32.569,188.401,4.813,103.915,11.771,154.692,58.709,18.191,102.785,109.526,10.762,296.713,45.598,7.091,47.39,6.144,11.379,138.077,64.902,31.514,71.977,129.787,217.397,17.428,215.071,7.555,46.153,52.754,5.012,24.194,21.645,40.393,127.671,17.064,8.119,1.0,1.0,7.993,110.89,-43.880478,19.925852,-1.1992131,-14.101173
6607,4384,5151,60.26,1.0,175.397,78.394,65.815,6.719,434.489,9.078,324.852,162.584,39.203,1.0,38.567,43.303,770.739,38.462,7.091,10.71,110.057,8.784,448.577,34.016,351.247,1.0,400.6,748.937,115.993,161.933,6.244,48.975,126.463,144.096,44.075,13.617,127.057,6.224,62.245,214.563,365.093,45.213,48.952,66.649,31.464745,-20.343418,-11.782103,-15.884204
6608,4440,12240,207.08,62.976,206.647,183.284,216.581,10.532,450.082,1.0,377.546,101.028,52.574,112.209,97.004,15.643,293.39,156.202,4.046,47.39,106.97,19.164,170.269,106.438,295.526,71.977,211.633,95.543,65.683,120.941,7.555,143.513,22.956,97.289,115.313,26.233,34.09,199.494,238.953,238.292,1.0,565.24,272.728,106.609,-34.65641,-48.16414,-0.4162163,9.987657
6610,12565,3629,153.36,27.561,168.34,42.752,150.357,12.439,194.355,6.385,189.822,58.709,31.562,104.67,73.351,7.508,139.442,63.438,5.569,166.062,59.644,12.677,31.115,41.471,137.649,75.526,144.23,17.808,9.214,52.62,8.866,56.03,32.366,77.229,39.104,23.939,27.787,164.235,10.036,69.815,2.003,13.632,12.988,50.95,-43.2686,-3.444395,4.1648884,-6.933376
6611,5526,9331,112.0,113.148,192.534,176.156,226.444,54.382,258.806,18.503,8.685,198.492,79.315,266.772,169.355,113.265,292.283,375.625,4.046,20.419,85.365,80.142,144.308,109.633,292.873,15.195,254.963,53.524,72.871,210.517,42.953,106.826,29.229,132.06,62.299,140.929,52.998,36.259,184.736,449.482,1.0,354.703,325.675,83.774,-29.429552,-35.975334,-5.6470857,3.1759942
6612,7740,6786,209.78,76.257,163.3,52.936,105.268,31.504,288.953,9.078,152.497,184.385,14.371,57.547,56.655,7.508,317.756,68.789,2.523,101.332,41.125,8.784,20.731,31.886,152.243,267.163,152.655,4.151,3.053,60.211,6.244,34.864,10.41,21.06,20.881,5.588,24.636,138.118,29.113,107.781,1.0,150.482,46.954,122.307,-53.575764,-10.59911,6.932805,-3.1087725
6614,669,12717,242.19,42.318,206.647,304.468,308.168,18.158,536.364,5.039,493.913,63.838,73.585,87.706,80.308,22.151,284.53,134.795,5.569,48.469,102.855,20.461,116.269,70.227,218.578,98.593,292.275,136.511,92.378,139.16,16.732,80.017,63.732,130.723,40.761,39.997,43.544,72.824,339.355,219.309,72.214,591.557,365.635,138.006,32.639732,51.1923,0.40143225,17.203426
6615,14758,9305,252.14,42.318,183.461,28.495,248.989,2.906,117.429,10.425,121.758,67.685,52.574,53.777,113.701,33.541,302.251,100.9,7.091,77.597,20.548,20.461,154.692,77.682,46.108,160.698,376.528,67.18,72.871,183.188,20.665,53.208,88.824,125.373,42.418,17.057,43.544,159.012,16.06,24.729,11.03,1.0,20.98,103.754,-44.59263,23.120148,-0.47869098,-15.1970625
6617,11092,15128,125.22,6.903,244.954,155.789,292.669,126.828,331.574,11.771,50.401,95.899,52.574,17.964,489.369,967.459,160.486,140.146,7.091,175.771,309.651,414.871,96.538,72.357,356.554,116.337,159.877,41.968,133.447,523.274,385.13,68.729,201.741,214.976,40.761,22.792,286.203,44.094,318.27,17.61,1.0,288.384,274.726,277.866,5.645859,-49.944107,-15.646716,-3.185809
6621,6763,13421,251.14,65.928,184.469,49.881,265.897,4.813,189.157,2.346,576.248,81.792,31.562,2.885,1.0,12.389,235.798,118.739,1.0,49.548,54.499,12.677,64.346,4.195,52.741,412.666,282.646,14.656,37.962,90.576,4.933,68.729,32.366,57.169,39.104,10.176,24.636,50.624,98.39,53.204,94.28,367.335,14.986,143.714,13.129032,59.82788,8.173258,17.429392
6622,2846,14971,40.08,17.232,247.978,184.303,515.295,12.439,276.479,5.039,369.862,220.293,115.608,1.0,162.398,440.3,239.121,273.941,5.569,169.298,118.287,444.712,213.885,34.016,105.809,219.254,393.378,324.546,96.485,300.093,185.854,164.678,393.072,172.181,57.328,45.731,245.235,143.341,389.556,335.582,117.349,130.481,334.666,276.439,0.7180176,-50.567818,-15.306584,-0.66610044
6626,14324,15615,113.7,5.427,249.994,63.119,236.307,12.439,89.361,3.693,138.225,99.746,46.843,34.928,99.787,20.524,393.069,91.98,4.046,167.14,7.173,11.379,283.462,51.057,58.048,135.856,182.746,23.06,85.191,190.78,10.177,54.619,184.49,160.145,44.075,19.351,48.271,480.259,163.651,3.373,41.12,1.0,2.998,265.021,-50.396378,33.039375,-1.6808356,-18.416458
6627,711,10505,146.82,33.464,187.493,99.78,150.357,254.563,82.084,71.011,39.423,145.913,37.293,40.583,85.873,2.627,288.96,91.98,4.046,66.809,25.692,11.379,43.577,34.016,153.57,306.201,109.325,1.0,26.668,82.985,15.421,46.153,35.502,93.277,30.821,12.47,18.333,78.047,123.49,91.171,1.0,172.588,131.869,39.533,-57.543724,-11.768875,8.929393,-2.297507
6628,6427,7986,211.49,70.355,166.324,89.596,112.313,31.504,360.682,53.508,137.127,139.501,29.652,180.066,83.091,7.508,242.443,122.307,2.523,109.962,69.932,12.677,72.654,58.512,237.151,126.984,151.452,23.06,27.695,45.029,6.244,47.564,7.273,65.193,35.791,7.882,26.211,121.141,116.462,183.715,1.0,246.276,167.833,92.337,-42.74783,-25.053139,1.3943752,0.47915357
6629,292,870,120.24,1.0,82.654,22.385,43.271,1.0,351.326,9.078,261.179,284.413,8.641,1.0,52.481,36.795,723.115,13.487,8.614,4.237,81.249,4.892,293.846,26.561,211.944,1.0,158.673,237.356,5.107,55.657,16.732,17.932,71.573,13.036,12.597,10.176,10.454,2.306,8.028,1.0,4.009,23.106,6.994,92.337,-4.221958,-20.025959,-3.7184372,-10.175568
6631,1929,13147,186.19,80.684,204.631,63.119,175.719,12.439,299.349,2.346,286.429,88.204,31.562,38.698,48.306,23.779,233.583,127.659,4.046,40.917,71.99,13.974,61.231,37.211,59.375,224.577,251.352,68.23,71.844,105.758,12.799,56.03,38.639,124.036,37.448,30.821,21.484,28.424,160.639,76.933,6.015,274.699,198.802,123.734,-62.5148,-20.937412,7.5842166,12.230202
6632,13341,9797,92.1,5.427,273.18,166.991,326.485,27.691,371.077,5.039,311.678,260.047,81.226,2.885,112.309,241.801,339.907,516.555,8.614,253.447,290.103,558.883,222.192,53.187,726.701,371.854,275.424,199.539,88.271,315.275,145.213,223.941,52.754,201.602,378.731,45.731,108.148,7.529,187.748,15.238,1.0,188.378,118.882,219.353,-0.6563072,-41.70852,-12.49196,-0.11210372
6633,4063,11467,158.76,62.976,167.332,97.743,157.402,140.174,243.213,7.732,69.064,86.922,25.832,127.289,131.788,7.508,270.132,88.412,2.523,87.307,70.961,15.271,91.346,118.154,165.51,59.556,171.913,3.101,84.164,149.787,12.799,47.564,26.093,133.398,35.791,21.645,37.241,114.612,145.579,84.052,1.0,438.918,302.698,82.347,-48.574726,-34.399776,2.1584117,3.4697704
6634,13652,13467,130.33,33.464,193.542,83.486,244.762,119.202,364.84,18.503,320.46,116.417,43.023,97.13,127.614,9.135,256.841,129.443,4.046,87.307,80.22,13.974,60.192,79.812,119.076,146.503,350.048,68.23,94.432,117.904,11.488,68.729,41.776,125.373,37.448,29.674,57.726,80.659,77.306,93.544,2.003,82.057,112.888,56.659,-38.75256,-15.427067,1.1411542,-3.8967412
6636,14742,10438,148.38,20.183,219.752,33.587,267.306,4.813,137.18,6.385,153.595,56.144,46.843,12.309,88.656,31.914,292.283,91.98,11.66,126.145,15.404,19.164,109.0,52.122,26.207,265.389,329.587,275.174,125.233,171.043,23.287,54.619,70.005,157.47,50.701,20.498,29.363,386.235,16.06,22.356,23.066,1.0,7.993,130.87,-46.535385,33.656174,-0.35675925,-18.95609
6637,10394,997,63.11,111.672,139.106,36.642,102.45,1.0,1.0,3.693,96.509,36.908,25.832,31.158,88.656,22.151,347.66,17.055,8.614,144.485,4.087,8.784,197.269,103.243,18.247,64.879,269.406,253.114,10.24,69.321,8.866,36.275,123.327,26.41,19.224,12.47,13.606,418.882,17.064,24.729,173.518,1.0,1.0,302.127,-37.09579,42.059387,1.700449,-20.5571
6638,14929,19282,60.55,1.0,47.371,18.312,217.99,1.0,16.593,9.078,239.223,336.992,193.924,1.0,42.741,46.557,705.395,59.87,11.66,5.315,2.029,4.892,359.269,13.78,1.0,1.0,260.981,437.997,37.962,204.444,10.177,15.11,311.521,23.735,15.91,59.495,97.118,11.447,4.012,1.0,250.75,1.0,1.0,80.92,35.62873,-15.14098,-9.7265415,-19.10156
6639,6201,14058,199.12,20.183,178.421,110.982,309.577,2.906,256.727,2.346,450.001,117.7,65.945,1.0,6.565,9.135,230.261,138.362,1.0,50.626,57.586,11.379,66.423,3.13,66.008,529.778,303.107,53.524,75.951,139.16,6.244,54.619,44.912,107.988,34.134,21.645,24.636,96.329,154.615,105.409,185.554,547.345,45.955,185.101,14.452299,57.8976,7.48945,16.928354
6640,3733,15468,272.46,36.415,207.655,68.211,287.032,6.719,257.767,5.039,594.911,44.602,65.945,1.0,16.305,27.033,273.455,115.171,2.523,99.174,63.759,12.677,128.731,16.975,92.542,194.412,403.007,54.574,107.779,161.933,6.244,53.208,43.344,144.096,37.448,21.645,45.12,122.447,178.712,155.24,90.268,502.079,220.78,62.367,24.299976,65.563324,5.148443,20.70096
