cell,x,y,area µm²,PSD-95,NeuN,CD68,CD11c,E5,E9,CD8,H2A.x,CD3e,ATG7,CD163,ApoE,E7,Olig2,HLA-A,SMA,TMEM119,Vimentin,CD11b,Synaptophysin,a-Beta,CD4,CD40,CD45,CD34,PCNA,Claudin-5,E2,E10,DAPI_1,CD31,HLA-DR,Gal3,AQP4,GFAP,E6,CD74,IBA1,CD14,P2Rx7,MAP2,CD44,E3,CollagenIV,S100B,E4,E1,E8,None,UMAP_1,UMAP_2,TSNE_1,TSNE_2
3274,25947,9003,265.78,239.891,33.594,55.142,213.579,115.231,195.496,74.293,36.802,177.834,387.511,7.732,25.794,15.478,41.167,5.763,4.364,134.31,44.7,99.541,360.495,6.904,21.131,115.244,248.909,115.092,60.854,73.927,9.744,91.259,112.252,85.555,123.519,24.356,168.003,138.14,271.879,193.553,47.441,25.47,70.617,370.957,115.041,1.0,10.689,12.433,596.704,74.519,5.158,79.836,-16.57076,-34.51896,14.328071,-4.1480675
3275,13690,5201,274.02,32.025,10.778,58.635,73.498,35.269,1.0,49.193,43.732,229.507,275.138,6.385,169.394,2.114,80.039,2.191,1.0,5.937,130.067,106.337,1.0,1.0,21.131,201.562,115.136,62.22,40.903,183.817,3.186,75.874,3.27,157.583,13.566,66.821,42.248,26.644,230.705,128.334,27.833,36.109,75.258,93.197,1.0,265.957,3.153,9.575,382.555,74.519,1.0,34.259,22.561527,20.85234,-19.161963,9.855095
3276,1332,9871,281.13,171.637,27.075,49.902,148.454,115.231,341.367,80.318,50.661,252.472,538.163,7.732,26.827,278.314,42.463,102.21,14.455,66.832,69.091,107.469,179.844,6.904,197.277,215.525,369.182,74.742,97.907,145.855,92.812,46.129,299.565,115.828,157.028,36.034,163.979,135.91,380.23,109.699,28.865,30.789,77.578,675.558,158.377,4.093,198.001,55.309,460.823,159.932,119.508,255.985,54.54856,-26.004217,18.50487,12.195808
3277,10491,15786,226.13,105.45,7.519,69.114,90.701,42.538,14.261,91.362,110.717,129.607,115.842,6.385,19.596,28.843,29.506,22.433,6.045,53.666,62.993,68.959,362.302,3.362,86.557,102.55,307.818,65.003,6.7,152.848,14.116,45.104,73.655,97.038,116.189,11.616,106.634,193.887,189.531,77.607,12.352,33.981,125.15,194.731,178.904,17.495,61.284,1.0,547.787,52.896,11.395,65.054,7.986616,-35.596817,2.297816,-12.573269
3278,15814,8853,283.69,119.929,17.297,83.086,105.446,36.308,233.069,70.277,188.096,150.276,236.858,45.43,120.839,140.214,26.914,5.763,2.682,17.458,220.516,92.745,28.098,1.0,46.295,211.717,333.591,251.446,113.583,188.812,2.093,50.232,133.822,88.687,53.358,57.267,92.55,225.106,236.123,116.946,67.05,87.176,265.544,142.214,21.527,289.669,1.0,11.004,422.776,84.25,1.0,41.65,46.747612,12.223055,-34.728233,4.215191
3279,16078,492,223.57,13.41,2.63,278.694,131.251,5.154,23.102,4.012,11.394,87.121,543.103,3.693,244.81,1.0,12.661,11.716,1.0,81.644,101.611,182.224,6.42,41.149,111.72,244.72,186.318,333.536,79.381,53.947,1.0,112.798,12.352,131.486,2.047,67.883,44.26,122.53,252.375,85.889,177.476,320.169,376.93,297.432,3.281,265.957,4.23,8.146,381.468,18.299,1.0,55.2,11.71559,21.934866,-15.08135,9.7494135
3280,5394,15482,240.91,4.102,4.259,175.65,159.513,63.308,100.458,76.302,170.772,182.428,81.266,9.078,132.203,19.933,2.296,37.912,7.727,5.937,178.848,90.48,1.0,4.543,126.819,196.484,207.182,131.788,97.907,138.862,41.441,77.925,117.928,121.047,112.0,67.883,100.598,160.439,153.775,134.545,38.153,81.856,220.293,5.668,3.281,274.204,58.055,1.0,289.069,131.821,114.31,52.736,35.56342,30.847094,-26.271324,1.6776289
3281,18816,3290,45.91,181.978,45.002,35.93,20.661,62.269,261.801,64.253,7.929,123.866,44.22,6.385,105.342,8.796,17.844,4.572,1.0,24.041,160.555,84.816,69.647,1.0,126.819,103.82,236.636,70.568,96.482,48.952,2.093,57.412,119.064,33.361,16.708,16.925,61.363,231.796,285.964,46.55,29.897,33.981,148.355,282.261,5.562,216.471,54.825,8.146,362.988,65.87,3.079,7.159,8.359394,12.114006,-11.471356,15.69533
3282,17789,7244,110.86,259.54,25.445,48.156,68.583,6.192,49.624,58.229,13.704,156.017,96.084,5.039,58.853,38.866,61.899,2.191,1.0,89.873,34.537,110.867,458.047,1.0,300.448,134.285,212.091,90.047,45.178,107.893,1.0,48.181,77.06,67.809,31.368,24.356,75.447,306.498,228.538,108.664,37.121,40.364,237.697,173.724,178.904,78.322,2.077,12.433,389.077,7.487,1.0,3.464,1.6441698,-33.615368,1.5467232,-7.663542
3284,14033,3530,370.53,39.264,9.148,70.86,105.446,2.038,120.35,40.157,12.549,137.645,388.745,10.425,211.751,9.91,64.49,2.191,1.0,33.916,284.541,57.633,2.807,1.0,68.942,157.133,136.0,144.311,157.762,156.844,1.0,142.542,157.661,74.072,6.236,33.911,44.26,276.394,321.72,52.762,37.121,47.812,161.118,393.131,5.562,243.276,5.306,9.575,347.769,16.136,1.0,1.0,3.1060486,13.589439,-9.302477,12.997917
3285,6803,11937,419.71,104.416,2.63,67.367,112.819,46.692,3.21,64.253,59.901,191.614,259.085,7.732,133.236,16.592,16.549,11.716,2.682,7.583,240.841,97.276,8.226,1.0,48.811,221.872,246.455,201.357,53.729,136.864,16.302,63.566,47.544,84.511,64.877,32.849,101.604,210.612,204.701,124.193,13.384,75.473,235.376,104.868,7.842,260.802,12.842,9.575,389.077,53.977,2.04,99.545,23.985893,27.34377,-18.85786,4.7126617
3286,21322,13606,473.43,109.587,14.038,53.395,227.096,96.538,122.56,91.362,21.788,143.386,819.711,9.078,39.224,102.348,2.296,51.01,1.0,101.394,146.328,105.204,196.103,8.085,26.164,140.632,255.045,259.794,75.106,168.832,15.209,57.412,187.177,63.633,114.094,43.465,169.009,8.805,398.65,183.201,26.801,33.981,35.808,502.834,158.377,43.269,2.077,29.584,306.461,81.006,1.0,141.427,-32.124767,-33.44519,21.175798,0.8938074
3288,3485,4361,154.07,140.612,139.524,67.367,122.649,55.0,40.783,22.084,58.746,85.972,492.473,9.078,2.033,63.368,24.323,18.861,9.409,172.163,32.505,109.735,293.655,3.362,116.753,157.133,75.864,216.662,8.126,164.836,19.581,18.436,92.953,61.545,161.217,40.281,33.193,325.452,300.05,98.312,43.313,52.067,40.449,353.451,105.918,14.402,14.995,13.863,312.984,119.929,34.265,99.545,-39.482704,-48.874664,28.257301,8.136421
3289,14116,11232,172.54,90.972,18.927,93.565,176.716,38.385,168.973,73.289,480.289,252.472,210.926,10.425,150.798,29.957,32.097,3.381,2.682,35.562,175.8,75.755,20.872,2.181,58.877,149.517,244.0,247.272,106.458,277.723,10.837,46.129,169.014,133.574,62.783,44.527,121.725,101.346,168.945,91.065,36.089,31.853,165.76,138.713,19.247,410.291,36.525,12.433,311.897,7.487,1.0,1.0,25.851658,16.508358,-19.774496,-0.8059566
3290,19218,1577,404.78,60.981,10.778,42.916,90.701,45.654,286.113,12.044,211.194,205.393,238.093,21.195,224.148,21.047,4.887,4.572,1.0,40.499,183.93,64.429,64.228,1.0,76.491,98.742,104.091,158.224,113.583,101.899,1.0,107.669,112.252,113.74,2.047,17.986,28.163,184.968,204.701,125.228,13.384,33.981,191.286,562.354,80.829,140.18,2.077,8.146,333.638,42.084,1.0,179.613,-10.884497,-0.92272186,2.346527,14.962847
3292,17103,14641,283.12,6.171,20.556,55.142,149.683,98.615,9.841,40.157,34.492,181.279,55.334,11.771,190.056,54.458,19.14,1.0,6.045,14.166,66.042,87.082,10.033,2.181,121.786,163.48,261.182,49.698,58.004,64.936,18.488,115.875,23.705,53.194,133.991,19.048,52.308,200.577,267.544,164.567,23.705,21.214,103.105,5.668,1.0,7.186,70.973,2.429,530.394,59.383,57.135,10.855,20.207787,-13.068869,-4.1957273,-17.6732
3293,21976,6063,381.9,146.817,27.075,67.367,193.919,5.154,76.146,57.225,32.183,191.614,294.896,41.391,24.761,39.98,64.49,1.0,1.0,152.414,30.472,67.827,203.329,1.0,31.196,125.399,185.091,176.312,58.004,203.797,1.0,46.129,49.815,126.266,12.519,33.911,59.35,67.897,276.213,64.149,15.448,63.77,61.334,391.964,119.603,1.0,1.0,16.721,259.718,10.731,1.0,5.927,-17.115974,-51.288803,7.081204,1.9653815
