cell,x,y,area µm²,SMA,NeuN,HLA-A,CD4,CD44,S100B,GalMac3,P2Ry12,CD11b,Claudin5,CD34,iNOS,ApoE,CD11c,CD40,PCNA,CollagenIV,CD8,Neurofilament,CD3e,DAPI_1,CD68,ATG7,Vimentin,AQP4,CD14,CD45,TMEM119,CD31,GFAP,P2Rx7(Park7),HLA-DR,Synaptophysin,A-Beta,PSD-95,H2A.x,CD163,MAP2,Trem2,CD74,IBA1,UMAP_1,UMAP_2,TSNE_1,TSNE_2
3611,7599,5059,63.96,2.471,27.401,31.471,184.341,5.158,23.173,67.041,91.91,187.871,9.511,7.906,85.452,56.316,301.853,96.345,240.76,33.33,163.325,310.514,185.664,65.511,92.357,412.837,2.318,24.376,154.928,324.112,388.39,80.799,57.135,347.489,133.705,286.133,47.046,68.677,28.523,11.56,112.72,20.84,202.742,270.285,-3.4139557,-11.282028,-6.878324,5.284644
3613,8927,11132,93.95,8.356,9.448,81.529,210.384,150.694,23.173,60.751,157.567,176.759,36.109,3.302,216.248,83.973,163.482,203.343,197.645,16.087,150.299,13.582,136.218,271.946,157.613,203.389,27.359,53.903,248.711,191.689,207.46,62.617,116.389,43.995,112.472,108.442,101.1,147.466,72.357,45.353,7.476,151.55,262.078,439.791,-34.28009,-35.91189,-7.9913974,-11.134401
3614,10275,2929,357.45,11.299,6.28,200.147,248.927,138.22,230.117,167.675,68.677,370.701,116.965,119.545,169.903,103.887,394.101,94.226,417.425,119.544,217.433,179.662,249.236,117.12,368.803,384.597,298.855,135.102,423.027,496.792,499.39,178.78,251.53,448.653,728.221,13.397,135.134,110.092,34.64,112.939,33.382,183.061,454.11,584.051,20.778856,10.651007,10.165813,13.658926
3616,500,4533,48.18,8.356,14.728,68.471,118.713,5.158,3.464,54.462,102.011,151.507,28.661,17.113,124.588,20.914,232.667,99.523,321.732,19.32,132.263,53.844,140.255,231.397,79.306,297.523,37.902,28.067,166.141,219.233,584.86,77.768,98.717,127.456,89.116,97.078,95.094,77.768,77.454,16.84,154.817,94.364,520.998,317.17,-17.850924,-14.091973,-2.8184936,7.056983
3617,4993,13496,156.91,6.885,11.56,42.353,172.882,36.344,2.232,33.496,190.901,160.598,41.428,1.0,10.269,19.807,77.524,220.293,63.043,11.777,12.022,26.164,51.455,26.804,29.475,121.021,24.723,130.181,136.579,113.295,157.51,74.738,124.706,19.968,76.376,124.971,114.113,137.365,20.368,17.896,4.238,104.868,106.726,216.188,61.04586,39.08162,-18.339207,-13.741792
3618,7263,11277,248.58,8.356,9.448,84.794,197.883,95.598,39.186,120.503,170.699,149.486,40.364,4.453,199.77,69.591,207.509,236.183,194.491,40.874,176.351,28.68,137.227,71.041,110.154,205.742,43.174,83.43,312.933,226.649,205.24,87.87,112.231,129.985,235.622,180.758,109.108,160.598,36.679,59.081,10.715,135.211,217.846,437.386,-36.628838,-34.50846,-7.063509,-10.105132
3620,4150,11451,147.39,8.356,16.84,104.382,187.466,26.989,8.391,85.91,132.314,118.173,53.131,7.906,170.933,37.508,265.164,208.639,157.685,37.641,159.317,6.033,138.236,58.138,85.239,126.905,22.087,56.363,303.758,207.58,386.17,129.284,33.226,42.73,178.293,190.056,122.121,121.203,21.388,89.706,13.953,115.371,175.771,327.989,-33.523006,-37.273647,-6.8952837,-7.2649293
3622,3515,14003,36.39,12.77,7.336,66.294,189.55,419.935,37.954,38.738,218.174,123.223,58.45,2.151,43.226,96.143,46.076,275.381,64.095,7.466,12.022,1.0,48.427,190.847,354.565,46.89,87.984,255.671,394.484,96.345,94.24,63.627,169.406,7.323,126.273,1.0,189.188,146.456,52.989,298.799,1.0,232.077,260.999,560.007,-48.653645,-28.75911,-10.676049,-14.177774
3623,12024,9400,72.34,3.943,26.345,40.176,171.84,6.198,10.855,42.931,90.9,179.79,15.895,45.886,71.033,16.488,151.951,185.333,108.261,16.087,69.136,1.0,141.264,71.041,178.969,199.859,8.908,165.86,77.454,127.067,144.19,21.202,12.435,40.201,58.328,115.673,31.03,49.485,30.562,89.706,9.096,47.682,89.464,260.668,-13.73592,-35.866547,-14.4776945,-6.535708
3624,8369,848,86.41,6.885,173.132,57.588,120.797,61.293,177.149,10.434,12.111,88.88,41.428,88.47,8.209,28.658,139.371,17.95,431.096,15.01,72.142,66.426,91.818,539.207,92.357,248.102,7.59,88.351,126.385,298.687,280.72,45.445,100.796,247.589,61.513,1.0,80.079,18.172,262.983,6.28,141.864,195.898,427.139,660.989,15.5778675,27.146248,6.1977987,23.461224
3626,15150,12319,154.35,5.414,8.392,41.265,190.591,6.198,74.909,40.834,130.294,297.973,63.77,21.717,154.455,33.083,235.812,205.461,79.868,11.777,96.191,8.549,94.845,155.827,178.969,244.572,4.954,13.303,31.582,144.017,80.92,40.394,13.475,65.492,88.054,64.019,84.083,97.971,21.388,14.728,69.003,115.371,82.991,135.643,-22.722609,-49.778076,-14.963152,-6.351441
3627,2396,8128,112.0,6.885,14.728,301.353,176.007,30.107,2.232,444.418,132.314,421.206,326.553,126.45,187.411,165.841,221.136,224.53,666.649,249.942,221.441,1.0,168.509,257.201,245.411,255.163,453.054,25.606,341.476,591.077,26.53,144.436,50.898,38.937,116.718,1.0,92.091,117.163,29.543,15.784,1.0,118.873,67.888,190.942,-78.16252,-62.89863,8.514886,-20.821259
3628,16592,10351,131.47,12.77,23.177,128.324,136.422,7.237,40.418,90.103,167.668,205.042,73.345,143.714,261.564,43.04,232.667,160.967,265.998,80.748,184.367,18.615,154.382,189.004,131.511,395.187,62.943,21.915,91.726,332.587,401.71,164.638,12.435,320.933,70.006,211.751,146.145,190.901,43.814,29.513,203.391,183.061,337.596,346.022,11.877068,-49.862015,11.766016,1.0324677
3632,6629,7587,142.56,1.0,21.064,204.5,217.676,68.57,3.464,328.06,95.95,339.387,199.949,131.054,90.601,36.402,292.419,207.58,826.489,237.01,101.201,71.458,218.964,301.437,304.734,708.184,385.839,13.303,910.294,690.66,86.47,121.203,60.254,52.847,234.56,10.298,3.002,27.263,75.415,144.619,9.096,3.334,76.518,667.0,-78.65713,-48.86911,4.7760034,-21.55414
3633,16789,2321,71.63,12.77,11.56,92.412,202.05,138.22,214.104,107.923,175.749,336.357,68.026,20.566,267.743,55.209,354.267,207.58,217.625,19.32,276.552,149.466,234.1,122.649,226.428,252.809,24.723,146.175,105.997,405.685,224.11,95.95,105.994,411.981,113.533,4.099,190.189,185.85,68.28,14.728,1.0,169.056,242.659,190.942,28.700806,-31.786694,13.675507,9.095269
3634,12951,666,118.68,9.828,2.056,52.147,118.713,123.666,142.658,32.448,17.162,173.729,66.962,38.98,21.598,22.02,172.916,48.672,314.371,16.087,63.124,189.728,97.873,354.889,174.223,182.208,44.492,157.248,57.066,325.172,169.72,54.536,104.954,367.722,167.677,1.0,124.123,59.586,27.504,3.112,1.0,180.727,255.605,164.495,12.329468,30.414864,4.7961364,19.398928
3635,347,14554,71.49,8.356,8.392,125.059,679.153,150.694,1.0,143.565,157.567,170.699,36.109,10.207,51.465,181.329,57.607,303.984,48.321,19.32,17.032,1.0,69.618,32.334,273.886,162.205,19.451,1.0,800.2,127.067,3.22,25.243,1.0,6.058,31.787,1.0,72.071,178.78,11.194,867.997,1.0,111.87,39.838,275.094,-82.41281,-26.252811,-2.7464604,-23.160854
3636,6322,1552,100.2,2.471,2.056,18.412,115.588,139.259,140.195,9.386,23.222,104.031,19.086,13.66,33.957,36.402,260.971,45.494,145.066,21.476,28.054,250.121,98.882,65.511,65.069,257.516,15.497,89.581,64.202,287.034,249.64,21.202,177.722,251.382,180.417,2.033,42.041,12.111,11.194,9.448,5.857,100.2,105.647,183.729,1.1343594,27.78228,0.24185444,17.647284
3637,19508,8938,51.31,14.242,14.728,88.059,146.839,36.344,151.281,95.344,209.083,258.578,71.217,11.358,282.162,56.316,216.943,155.67,195.542,13.932,199.397,89.073,170.527,177.945,49.645,286.933,14.179,88.351,67.26,270.084,258.52,142.416,74.807,409.452,70.006,227.247,200.199,166.658,22.407,15.784,187.199,197.065,202.742,124.823,17.012356,-44.151264,12.440034,2.5928593
3638,16501,11295,236.64,9.828,12.616,93.5,186.424,15.554,108.168,84.861,183.83,244.437,45.684,73.508,245.086,54.103,246.295,190.63,290.184,16.087,178.355,38.746,159.427,189.004,133.884,346.943,23.405,19.454,90.706,325.172,331.78,103.021,42.582,265.292,165.554,130.137,138.137,165.648,29.543,15.784,85.194,157.386,284.733,422.96,11.491215,-46.17751,12.98124,0.8530729
3639,18219,13054,113.28,1.0,8.392,12.971,261.428,60.254,167.295,43.979,128.274,253.528,1.0,2.151,122.528,22.02,165.578,148.255,156.634,11.777,51.1,3.516,54.482,196.376,136.257,443.431,1.0,21.915,72.357,333.647,131.98,1.0,10.356,117.339,426.716,3.066,3.002,56.556,63.183,73.866,43.097,26.675,52.784,178.921,89.49309,36.792442,-25.432524,-6.821932
3640,3667,12464,254.84,9.828,45.353,103.294,183.299,20.751,1.0,132.034,133.325,135.345,73.345,21.717,186.381,35.296,202.268,177.917,198.697,100.146,145.289,6.033,136.218,95.002,131.511,135.141,78.759,79.739,199.781,190.63,448.33,121.203,31.147,37.672,90.177,83.647,148.147,118.173,24.446,20.008,13.953,138.713,257.762,444.599,-36.10164,-31.257778,-5.8635283,-7.4235554
3641,1188,9918,102.19,11.299,18.952,108.735,216.634,13.475,9.623,203.316,116.153,127.264,91.431,33.226,183.292,55.209,395.149,249.955,182.923,118.466,172.343,380.972,126.127,96.845,88.798,199.859,109.071,92.042,184.49,199.105,431.68,148.476,131.982,49.053,537.126,123.938,169.168,113.122,18.33,119.275,146.721,187.729,125.066,220.996,-23.200897,-0.04888916,-2.2721546,0.6265191
3643,8626,5104,116.83,2.471,13.672,53.235,193.716,11.395,198.09,106.875,151.507,201.002,13.767,24.018,182.262,65.166,306.046,151.433,391.136,33.33,225.449,207.343,179.609,148.454,116.087,375.184,15.497,46.521,126.385,323.053,420.58,64.637,148.615,308.287,89.116,109.475,45.044,96.961,62.163,15.784,39.859,65.188,249.132,430.173,5.1208134,-5.4236984,5.0967975,7.357585
3644,18638,3484,38.52,321.739,1000.0,587.559,697.904,413.698,4.695,688.664,664.643,771.715,696.789,438.35,1000.0,340.638,796.636,817.786,993.691,728.427,950.902,403.62,733.6,126.336,756.776,519.915,516.315,434.064,191.626,726.679,1000.0,679.795,235.937,56.641,625.242,609.491,677.677,1000.0,1000.0,635.671,1.0,893.798,868.382,689.841,37.709515,-25.062462,5.8828864,-17.188608
3646,16300,1291,121.52,8.356,3.112,77.176,230.176,166.287,110.631,100.586,66.657,265.649,56.323,11.358,105.02,38.615,372.087,71.979,400.6,13.932,136.271,71.458,104.936,281.162,438.804,181.032,105.117,92.042,142.695,582.602,400.6,93.93,88.322,571.315,587.023,2.033,111.11,75.748,19.349,7.336,1.0,197.065,330.044,526.347,23.611763,17.326317,9.86358,15.972703
3648,3972,6805,119.96,20.127,27.401,133.765,301.013,31.147,4.695,191.785,71.708,180.8,44.62,15.962,83.392,96.143,243.15,137.661,276.514,96.913,126.251,36.229,175.573,106.061,143.375,289.286,155.199,66.206,444.434,172.62,94.24,60.597,226.581,54.111,67.883,101.21,25.024,45.445,24.446,426.578,183.961,26.675,60.336,195.751,-70.110634,-28.442905,-2.908467,-19.748241
3649,6923,2203,107.59,5.414,6.28,349.235,155.173,54.017,26.868,579.644,78.779,394.943,281.869,185.147,227.577,133.757,184.447,151.433,670.856,246.709,407.814,1.0,133.191,384.38,284.564,283.403,571.669,98.193,262.983,790.242,40.96,345.448,31.147,253.911,39.219,1.0,91.09,77.768,48.911,11.56,1.0,156.218,73.282,150.069,-79.874954,-64.10564,7.988364,-21.426456
3652,19201,13862,120.38,2.471,13.672,367.735,311.43,55.056,81.068,243.15,148.476,687.876,148.882,56.244,3.06,78.442,112.116,202.283,509.964,148.641,1.0,1.0,68.609,297.751,214.563,550.509,567.715,2.23,753.308,598.493,14.32,90.9,20.751,11.116,23.294,1.0,8.007,41.404,21.388,173.132,1.0,13.838,17.183,135.643,-77.39728,-56.361534,6.2283134,-20.9943
3653,9986,9134,27.15,6.885,16.84,256.735,176.007,26.989,41.65,418.211,231.305,714.139,263.783,134.507,220.368,46.359,179.206,297.628,504.706,308.136,197.393,1.0,165.482,542.893,186.088,292.816,425.377,50.212,92.745,409.923,54.28,193.931,48.819,33.878,41.342,1.0,124.123,110.092,55.028,15.784,5.857,110.703,79.755,154.877,-77.227875,-65.62851,9.5494995,-20.828398
