cell,x,y,area µm²,Neurofilament,CD3e,CD45,CD4,NeuN,ATG7,A-Beta,S100B,IBA1,CD68,MAP2,CD31,HLA-A,GFAP,CD11b,SMA,DAPI_1,GalMac3,CollagenIV,CD14,PSD-95,CD11c,CD34,Synaptophysin,AQP4,P2Ry12,CD40,Claudin5,HLA-DR,Trem2,iNOS,CD163,CD74,ApoE,H2A.x,PCNA,TMEM119,CD44,P2Rx7(Park7),CD8,Vimentin,UMAP_1,UMAP_2,TSNE_1,TSNE_2
975,4766,981,99.06,1.0,279.308,330.898,770.261,12.836,9.698,1.0,17.861,877.471,104.3,1.0,6.946,270.819,1.0,544.759,1.0,320.973,15.025,49.902,679.952,1.0,12.225,1.0,79.485,104.036,1.0,80.181,1.0,219.437,7.079,248.864,958.0,247.052,6.058,309.752,47.091,1.0,15.722,1.0,77.276,182.854,20.169216,26.893326,-2.0717604,8.07621
976,10430,19175,41.79,1.0,145.346,36.161,223.462,48.346,84.25,3.585,3.81,442.547,27.152,10.395,229.343,178.278,22.484,33.668,8.568,407.683,210.294,474.885,8.158,35.221,43.654,346.449,62.667,7.72,1.0,333.56,323.512,40.078,19.237,36.563,20.0,48.059,22.497,38.18,266.828,1.0,1.0,12.805,28.544,249.853,59.774555,83.39041,-5.1680617,20.884521
977,11995,9584,80.45,219.325,176.5,283.326,133.022,55.448,270.631,22.97,1.0,134.568,33.69,282.85,131.821,9.92,2.343,213.867,5.325,9.549,39.838,12.643,83.824,161.577,218.76,1.0,402.394,15.559,143.331,134.288,8.866,81.16,10.119,99.068,27.0,77.639,19.968,15.549,66.385,288.654,1.0,368.431,266.906,2.196,-42.02498,11.981955,-7.5697923,-13.647587
978,3407,16380,224.14,47.311,234.654,336.068,282.716,5.735,109.101,1.0,81.089,339.887,259.903,4.132,25.975,43.368,94.992,299.225,2.081,114.578,13.946,10.315,86.892,3.632,98.655,26.935,347.455,14.439,188.984,329.601,5.495,191.381,13.158,93.68,32.0,501.172,11.116,67.277,183.221,555.538,99.848,60.025,157.789,67.999,1.2856979,-46.82292,11.848954,-2.3640337
979,4541,7842,434.77,36.285,184.808,288.497,191.236,62.55,478.134,20.386,82.494,318.914,91.224,135.661,297.132,391.234,250.75,113.756,3.162,162.208,278.26,150.035,285.26,51.016,464.581,64.28,221.879,121.955,57.395,194.993,230.242,225.449,183.373,71.049,259.0,87.051,113.546,20.398,404.03,61.231,75.662,250.381,204.402,188.836,24.312176,40.61019,-3.5568042,12.915352
981,6589,10040,539.66,98.033,145.346,176.807,89.361,90.957,27.093,392.587,1.0,274.759,182.755,126.266,122.307,66.782,88.278,186.468,5.325,98.702,57.099,28.944,168.693,118.142,262.536,7.224,255.515,27.879,49.339,136.927,35.836,122.243,45.58,132.476,113.0,120.665,205.858,38.18,61.026,33.192,1.0,157.417,167.323,90.731,-51.386715,-5.201149,-11.296072,-7.699193
984,10148,13154,53.87,12.026,329.154,107.519,176.683,90.957,178.683,11.339,26.291,134.568,58.534,82.423,254.318,526.144,53.367,110.595,38.841,380.815,305.231,384.066,66.441,128.672,259.169,70.505,180.394,35.719,179.585,267.576,323.512,56.11,69.897,160.495,41.0,73.606,94.577,130.32,405.102,18.654,1.0,46.744,152.492,252.246,54.96383,75.28167,-1.9731659,19.632105
985,1116,15005,98.92,133.318,173.385,197.491,226.581,8.102,336.485,96.635,211.759,136.776,71.61,7.263,14.082,29.989,92.306,203.329,6.406,19.319,18.261,21.958,57.238,33.905,88.553,22.785,303.727,170.113,158.101,126.37,8.866,131.261,20.251,69.971,27.0,103.186,45.259,7.466,175.718,383.154,163.995,119.05,105.879,14.16,15.308979,-31.230366,12.420952,-7.6059422
988,1996,13889,79.17,106.854,244.0,362.957,266.083,45.979,105.373,8.754,45.962,339.887,410.276,13.527,69.979,63.438,30.54,281.31,4.244,390.586,35.523,52.231,79.734,23.375,125.594,14.486,305.97,45.798,262.835,324.322,25.722,281.562,28.356,147.563,32.0,663.863,66.757,217.612,391.167,418.462,44.115,93.965,278.559,10.571,-6.010439,-51.183067,12.596197,1.0315355
989,8467,5039,146.11,95.828,129.769,60.981,65.452,22.306,206.019,4.877,50.177,123.529,17.999,113.74,85.439,6.575,3.685,85.304,3.162,63.285,37.68,6.822,34.743,82.605,96.41,15.523,209.545,5.48,56.052,39.271,5.495,72.142,7.079,50.573,21.0,93.774,18.704,49.495,2.072,97.577,1.0,204.637,57.147,6.982,-60.35541,-4.9847927,-13.421207,-7.365625
990,6558,15954,84.42,1.0,110.038,7.205,566.511,38.877,68.097,1.0,22.076,473.455,27.152,1.0,297.132,234.026,25.169,114.81,2.081,406.462,184.402,508.65,35.766,1.0,6.612,109.925,61.545,79.397,74.851,457.61,394.307,48.094,140.819,18.243,12.0,7.723,65.492,31.714,231.456,1.0,22.032,8.378,110.117,407.778,54.64602,83.92043,-5.6107373,22.35823
991,4409,16572,109.16,78.185,222.192,245.062,244.253,15.204,178.683,2.292,95.139,395.081,495.27,38.58,4.568,15.494,23.827,476.263,2.081,208.616,6.394,12.643,36.788,12.846,133.452,38.346,285.788,123.075,187.641,198.952,3.247,300.6,4.04,54.883,20.0,310.246,13.646,72.126,291.482,103.808,108.261,30.513,148.255,4.589,12.528622,-52.559128,18.52026,-4.2230597
992,2500,8478,14.5,25.258,124.577,114.758,59.214,27.04,189.866,57.864,33.316,135.672,25.844,260.928,53.329,4.345,1.0,144.316,3.162,40.081,78.676,6.822,60.306,111.561,169.371,89.178,162.455,82.757,52.024,40.59,4.371,50.098,4.04,38.718,26.0,19.824,22.497,159.417,83.535,150.538,1.0,228.247,67.741,50.053,-57.761196,-2.5724144,-12.9847555,-8.527044
995,1582,11954,139.0,217.119,192.077,287.463,195.394,36.509,199.806,6.169,19.266,232.812,252.058,185.768,130.632,16.609,9.056,237.051,3.162,20.54,46.311,18.465,118.59,135.253,166.003,2.037,150.121,30.119,199.726,241.182,13.361,106.211,6.066,127.087,27.0,263.187,36.408,22.015,220.737,260.615,1.0,315.309,330.469,3.393,-22.758781,0.16967964,-1.0870522,-11.650593
996,11237,10789,78.17,1.0,202.462,14.444,212.027,36.509,35.791,6.169,12.241,412.743,45.458,163.846,116.361,248.52,22.484,34.722,3.162,416.232,199.505,282.769,13.27,49.7,143.554,428.402,94.061,5.48,29.198,27.394,161.694,57.112,8.092,130.32,19.0,6.378,50.318,36.563,297.913,1.0,1.0,9.854,30.663,182.854,59.135796,87.39811,-6.06574,19.722017
997,15271,7956,221.44,1.0,240.885,18.581,583.144,55.448,40.761,2.292,1.0,605.919,57.226,1.0,843.014,655.479,1.0,279.203,532.935,244.033,419.587,385.231,14.293,10.213,25.694,791.486,288.03,1.0,29.198,293.97,895.493,66.13,795.337,237.01,37.0,58.816,422.097,13.932,304.344,1.0,1.0,1.0,1.0,375.475,47.378635,72.18599,-1.746573,27.661097
998,10456,13770,58.42,1.0,339.538,53.742,307.665,154.874,196.078,6.169,23.481,402.808,169.679,104.345,236.479,405.729,41.282,147.478,118.847,356.39,227.555,611.112,41.901,276.087,75.083,49.757,77.242,3.24,359.512,319.044,252.717,114.227,24.303,385.728,65.0,186.548,18.704,75.359,401.886,2.038,1.0,23.134,39.138,413.76,56.343292,80.37883,-3.295585,19.122402
999,10160,11493,321.21,126.702,171.308,375.366,124.706,45.979,407.31,331.846,83.899,204.112,59.842,389.326,100.9,19.954,245.379,263.396,4.244,15.655,44.153,23.122,142.107,128.672,265.903,3.075,456.212,49.158,193.012,162.001,5.495,150.299,26.33,90.447,26.0,127.388,94.577,17.165,212.162,370.692,100.9,479.103,239.362,8.178,-37.003548,12.1085415,-7.297884,-15.515978
1000,11148,18072,3.27,208.298,209.731,350.547,358.602,98.059,601.146,82.419,9.43,106.971,70.302,514.592,131.821,19.954,125.875,193.845,4.244,3.443,31.207,16.136,92.004,119.458,380.396,1.0,170.303,23.399,218.524,255.699,18.98,76.15,18.224,54.883,24.0,31.925,341.166,22.015,300.057,154.692,1.0,418.603,379.2,11.768,-27.204453,13.118618,-3.2985883,-16.731598
1001,2052,4852,66.94,1.0,235.692,174.739,234.897,29.408,65.612,2.292,67.038,227.293,142.22,1.0,563.532,531.719,78.879,543.706,34.516,471.189,94.859,136.063,395.692,249.763,105.39,168.019,260.0,216.031,440.077,176.518,356.1,212.423,63.817,352.32,287.0,355.961,246.324,59.194,89.967,21.769,8.361,3.951,1.0,96.713,21.020267,35.680023,-4.5795746,10.059975
1003,259,14289,292.22,111.265,233.615,516.012,345.088,15.204,450.799,1.0,82.494,573.907,238.982,110.608,105.657,54.518,54.71,432.003,6.406,140.225,22.577,17.301,179.941,65.494,216.515,11.374,335.121,81.637,162.129,268.896,16.732,396.792,17.211,102.301,128.0,494.45,90.784,127.087,504.788,467.269,126.138,114.623,349.538,38.089,-6.186199,-42.583782,7.496866,-0.84881693
1004,14295,5618,42.21,3.205,238.808,210.935,394.986,8.102,8.455,143.16,50.177,501.052,191.908,22.922,109.225,36.679,222.552,397.228,11.812,416.232,15.025,21.958,260.72,107.613,141.309,7.224,359.788,244.03,237.323,147.485,7.742,103.205,49.633,152.951,35.0,593.946,76.873,519.898,196.084,333.308,78.817,1.0,4.178,113.462,-56.51756,-27.745792,-10.926485,0.4148434
1005,2441,18285,103.33,29.669,315.654,39.264,411.619,143.038,50.701,1.0,138.696,516.506,116.068,1.0,402.979,361.131,57.395,37.883,23.705,551.793,371.04,571.524,206.526,65.494,35.797,189.804,331.758,62.598,53.367,416.7,513.423,118.235,40.514,163.728,22.0,181.17,74.344,41.413,768.472,6.192,100.9,29.037,702.313,653.042,47.693928,51.045532,5.3056045,19.715267
1009,3124,12584,26.86,1.0,221.154,53.742,220.343,48.346,305.422,2.292,234.241,358.653,66.38,398.721,507.636,657.709,121.847,47.367,5.325,126.791,316.019,343.315,161.535,56.281,226.617,346.449,159.091,147.714,85.593,497.201,653.89,46.09,168.175,145.408,21.0,18.479,111.016,44.646,548.735,13.462,1.0,340.394,656.759,481.956,47.882927,54.250786,4.3941526,20.50183
1010,8680,17124,287.24,173.013,178.577,350.547,206.829,109.896,351.396,2.292,54.392,132.36,75.533,248.401,112.793,13.265,132.589,411.981,3.162,85.268,50.626,17.301,123.702,193.166,203.045,5.15,137.788,137.635,238.665,338.839,8.866,98.195,14.171,13.932,19.0,135.455,40.201,64.044,266.828,101.731,35.702,371.383,297.628,6.982,-19.922176,5.252348,-1.2439579,-15.1260805
1011,3439,17247,103.33,18.642,271.0,238.857,299.349,22.306,130.224,1.0,238.456,396.185,381.509,1.0,113.982,142.599,92.306,246.535,2.081,363.718,129.381,238.524,162.558,6.265,91.92,65.318,367.636,114.115,209.125,391.626,65.053,488.977,28.356,138.942,33.0,322.347,42.73,102.84,410.461,300.077,80.92,170.697,283.856,156.533,-5.140505,-44.19399,9.267513,3.3353908
1012,12733,5809,30.84,1.0,291.769,65.118,161.089,93.325,229.627,4.877,17.861,175.411,58.534,32.317,334.0,220.646,13.085,51.582,2.081,870.545,322.492,583.168,8.158,7.581,158.146,367.196,62.667,218.271,84.25,214.789,275.191,46.09,18.224,199.291,29.0,15.79,17.439,80.209,573.388,1.0,1.0,5.427,22.188,469.992,63.395737,73.257126,-1.8462315,21.725275
1013,5249,10452,408.19,278.868,171.308,280.224,170.445,79.121,156.317,13.924,6.62,270.344,174.91,480.144,122.307,26.644,58.738,356.13,6.406,109.693,37.68,14.972,147.22,108.929,188.453,1.0,197.212,16.679,179.585,204.231,11.114,123.245,11.132,89.369,33.0,256.464,37.672,57.578,182.149,389.385,1.0,259.235,261.609,3.393,-30.349628,4.240183,-3.8128715,-12.710275
1014,14664,12123,110.15,38.49,196.231,52.708,157.971,3.367,75.552,97.928,45.962,322.225,82.071,47.975,102.089,22.184,132.589,185.415,7.487,165.872,33.365,11.479,149.265,102.348,31.307,1.0,325.03,193.632,217.181,229.305,17.856,79.156,22.277,116.311,29.0,226.884,50.318,67.277,8.503,60.192,9.413,1.0,41.257,11.768,-58.444366,-18.29367,-11.326434,-2.9644396
1020,13395,12967,166.72,27.464,285.538,311.248,455.28,48.346,425.948,118.605,140.101,527.545,147.45,94.95,127.064,36.679,117.819,282.364,69.114,267.237,57.099,34.766,232.089,185.269,265.903,1.0,240.939,118.595,354.141,317.724,17.856,131.261,52.672,255.33,78.0,493.105,275.409,162.65,426.54,252.308,1.0,6.903,165.205,18.946,-29.033352,-21.526543,0.75766826,-1.8461759
1021,11445,17468,112.14,166.397,207.654,536.696,256.727,150.14,471.922,243.965,3.81,305.667,82.071,326.693,146.093,45.598,29.198,394.066,3.162,10.77,20.419,17.301,260.72,154.996,350.089,7.224,231.97,23.399,193.012,249.1,6.619,300.6,16.198,6.388,89.0,307.557,68.022,31.714,326.854,188.962,1.0,399.419,326.231,9.375,-15.419388,-0.49020195,1.8212068,-13.379819
1023,12769,6345,85.28,139.934,168.192,183.012,240.095,282.709,111.586,41.063,10.835,242.747,67.687,292.245,113.982,8.805,49.339,248.642,3.162,99.923,20.419,11.479,70.531,91.818,105.39,12.411,378.848,28.999,170.185,144.845,8.866,77.152,28.356,90.447,29.0,303.524,18.704,68.893,95.326,287.615,1.0,136.758,182.155,4.589,-43.263092,-8.908404,-7.508819,-6.4876776
1025,3186,15023,109.44,177.424,174.423,290.565,255.688,5.735,188.623,1.0,189.278,482.286,140.912,1.0,5.757,37.794,92.306,447.81,2.081,331.965,20.419,13.808,88.937,12.846,172.738,13.449,369.879,121.955,219.867,283.412,16.732,178.355,24.303,127.087,29.0,282.011,49.053,217.612,216.45,28.0,152.427,119.05,146.136,24.928,15.488918,-47.914715,18.677326,-5.8184776
1026,7572,867,98.92,7.616,97.577,67.186,87.282,1.0,2.243,46.233,9.43,328.849,168.372,32.317,89.007,9.92,108.419,130.617,5.325,236.705,2.079,5.657,110.409,119.458,3.245,1.0,166.939,115.235,25.169,26.074,9.99,50.098,33.422,24.709,24.0,311.591,52.847,167.5,21.366,69.538,26.238,1.0,1.0,24.928,-65.033875,-18.304726,-12.7817545,-3.1814132
1028,10237,17565,196.0,1.0,312.538,393.981,528.048,48.346,92.948,4.877,8.025,421.573,99.069,1.0,309.025,410.189,152.73,565.835,625.916,178.084,203.821,247.839,576.678,28.64,121.104,232.336,438.273,7.72,171.528,806.007,262.83,152.303,76.989,334.0,364.0,327.725,150.218,110.922,395.455,2.038,1.0,12.805,191.689,594.418,26.166534,32.452225,-0.8689492,10.281558
1029,4189,11286,67.37,1.0,237.769,57.879,252.569,150.14,94.19,2.292,20.671,288.006,54.611,32.317,389.896,521.684,85.593,97.949,4.244,454.092,314.941,509.815,61.329,31.273,130.084,231.299,155.727,15.559,39.94,407.462,365.09,49.096,293.81,106.612,25.0,9.067,266.557,97.99,639.845,2.038,1.0,79.208,174.739,411.368,54.74547,68.11892,-0.23585792,22.664488
1030,5912,6985,48.04,27.464,184.808,38.23,128.864,36.509,34.549,2.292,1.0,440.339,27.152,1.0,229.343,286.429,10.399,39.991,3.162,204.952,268.551,486.528,11.225,16.794,164.881,152.458,59.303,4.36,2.343,117.132,213.386,52.102,17.211,69.971,15.0,6.378,16.175,7.466,335.429,2.038,1.0,9.854,31.722,358.726,52.989136,89.01562,-7.1231093,22.008808
1031,682,2902,78.31,5.411,131.846,41.332,86.242,67.284,162.53,2.292,1.0,210.735,19.306,7.263,311.404,307.613,18.456,34.722,2.081,498.057,313.862,375.916,4.068,15.478,153.656,155.57,75.0,45.798,1.0,28.713,336.997,37.072,7.079,9.621,16.0,1.0,7.323,65.66,366.514,6.192,1.0,6.903,1.0,265.406,60.175465,80.539856,-4.1495733,21.072363
1033,2408,13438,27.29,1.0,274.115,78.562,286.874,64.917,198.563,3.585,71.253,431.508,80.763,1.0,800.2,967.666,47.996,39.991,5.325,435.773,692.532,549.402,47.013,8.897,94.165,360.972,209.545,93.956,92.306,586.939,829.192,86.171,174.255,142.175,34.0,48.059,183.096,59.194,816.707,2.038,24.135,60.025,219.233,867.199,51.160843,65.9649,0.22668019,25.256447
1034,12437,10523,101.2,157.576,211.808,371.23,275.439,36.509,206.019,46.233,1.0,455.793,160.526,257.796,133.011,27.759,25.169,450.972,3.162,197.625,37.68,18.465,111.432,116.826,190.698,1.0,364.273,20.039,198.383,200.272,6.619,101.201,18.224,94.757,31.0,489.071,31.349,122.238,216.45,416.385,1.0,318.26,266.906,4.589,-29.57222,-12.855635,-2.1021168,-7.443512
1036,4031,16642,232.67,31.874,211.808,304.009,287.914,5.735,225.899,2.292,144.316,473.455,363.203,1.0,2.189,33.334,25.169,552.136,2.081,224.493,3.158,11.479,65.419,2.316,210.902,23.822,292.515,56.998,113.79,167.28,4.371,729.458,7.079,55.961,30.0,249.742,28.82,85.058,279.691,95.5,150.324,26.086,66.682,17.75,3.3885078,-46.942497,9.065929,2.277846
1038,2782,19269,107.73,1.0,269.962,233.686,371.077,15.204,59.399,1.0,241.266,537.48,299.131,1.0,68.789,71.242,27.855,191.737,3.162,308.76,36.602,225.717,87.914,6.265,51.511,29.009,358.667,8.84,18.456,470.807,43.702,252.504,8.092,17.165,22.0,260.498,21.233,94.757,441.546,156.769,119.828,49.696,223.471,169.693,9.753021,-57.270363,16.696392,-0.97396135
