cell,x,y,area µm²,ATG7,ApoE,TMEM119,E_9,IBA1,PSD95,HLA-DR,Neurofilament,CD163,CD14,CD11b,CD34,AQP4,E_8,CD3e,CD68,P2Rx7,Vimentin,Synaptophysin,Olig-2,DAPI_1,CD45,Gal3,SMA,E_7,PCNA,MAP2,E_1,GFAP,CD8,CD44,A-Beta,CD31,E_4,E_5,NeuN,E_3,CD40,S100B,HLA-A,E_10,E_6,H2A.x,CD74,Claudin5,E_2,CollagenIV,CD11c,CD4,UMAP_1,UMAP_2,TSNE_1,TSNE_2
7198,21246,16686,109.87,188.225,28.58,1.0,6.078,445.241,1.0,6.286,1.0,479.495,508.091,19.109,306.139,40.015,21.619,10.298,52.176,1.0,431.675,1.0,29.748,274.219,7.141,429.484,255.576,102.939,133.191,1.0,28.688,65.087,1.0,2.116,17.398,206.274,80.92,96.269,12.018,79.379,29.105,79.619,304.938,13.849,59.114,10.0,13.097,289.967,24.561,448.055,2.184,32.894,5.6640472,-54.53482,-12.331453,12.255991
7199,12009,2746,131.33,286.029,34.709,555.277,268.839,268.628,54.644,41.171,390.406,9.197,130.556,140.84,3.653,110.859,10.279,17.529,84.161,568.889,14.556,383.87,42.924,57.045,337.753,49.935,9.446,114.059,147.318,197.006,23.151,112.838,19.829,75.785,18.659,65.692,59.691,57.897,8.346,19.598,99.367,509.311,39.749,58.82,43.893,21.0,82.654,18.692,18.671,18.312,73.203,60.673,8.898922,32.01753,15.64935,-8.450048
7200,13006,5796,168.28,70.86,22.451,382.811,131.746,507.001,23.267,94.029,282.351,11.246,165.982,179.069,20.9,65.683,10.279,23.728,171.587,407.872,62.525,1.0,59.694,219.575,281.457,32.032,9.446,95.525,210.891,4.161,43.086,73.883,11.461,236.518,16.136,64.448,28.472,87.007,4.673,38.197,336.981,348.007,84.553,71.669,41.126,34.0,96.767,43.46,16.315,33.587,66.101,77.134,-37.997112,2.9349003,10.54615,9.266384
7202,17204,15086,93.52,172.856,42.88,148.518,37.812,615.352,7.073,18.971,3.039,3.049,241.894,35.205,30.187,65.683,7.186,8.232,36.184,39.09,23.942,216.565,3.396,226.581,118.71,29.645,2.207,51.043,97.873,23.13,17.613,121.634,1.0,1.0,23.705,13.441,15.985,14.232,8.346,26.241,1.0,703.147,28.851,45.971,35.591,22.0,92.735,21.051,4.534,57.009,77.937,37.009,67.92023,-21.471006,-14.438056,-10.526353
7203,753,1713,232.81,202.197,6.107,237.463,42.889,281.63,6.061,168.029,418.949,86.043,162.945,100.598,12.94,23.588,5.124,13.397,139.602,317.841,17.685,1.0,48.914,141.112,523.018,53.516,3.413,128.887,117.045,1.0,15.398,24.875,6.23,198.568,45.148,15.929,18.482,47.311,3.449,11.628,95.535,484.912,96.662,463.559,63.265,16.0,140.114,8.077,41.054,9.147,132.385,79.192,-68.73925,-13.879021,5.440822,21.84603
7204,6353,4775,100.06,501.199,300.291,1.0,113.975,272.962,36.426,237.8,3.039,157.766,442.301,805.834,582.092,70.817,12.341,37.158,159.859,478.858,605.823,1.0,153.126,599.279,823.947,449.774,4.62,60.31,459.127,1.0,6.538,130.43,31.336,117.085,31.273,246.085,12.239,44.665,20.588,26.241,687.014,371.05,400.6,420.195,46.661,37.0,46.363,418.528,69.328,265.771,37.693,109.028,-2.888115,109.30713,-24.893564,3.8030052
7205,13831,9774,243.61,171.459,23.472,223.362,70.816,269.711,23.267,26.371,70.318,8.172,68.815,70.417,52.741,92.378,5.124,20.629,28.72,207.033,27.07,202.087,16.572,138.31,149.417,20.097,5.826,88.111,41.364,143.263,12.075,163.102,7.276,72.437,11.091,27.126,39.711,51.281,7.121,30.226,210.509,468.646,15.531,66.85,42.51,25.0,72.573,13.974,9.246,13.22,30.591,31.865,41.52062,4.5716915,4.985389,-3.4898283
7206,18373,5864,73.05,98.804,218.574,3.169,92.395,188.448,41.486,10.514,45.853,15.345,199.383,717.302,303.486,65.683,22.65,34.059,119.345,80.643,517.185,140.957,46.518,407.325,444.204,169.29,5.826,62.163,302.718,108.487,19.828,26.132,25.06,55.694,6.045,190.101,20.98,52.604,21.813,22.255,330.593,514.733,292.829,37.941,31.44,32.0,10.073,400.836,11.603,292.248,61.366,25.692,3.4111433,107.914375,-25.540596,6.6529355
7207,9218,8275,154.78,126.748,19.387,211.43,94.934,415.986,34.401,126.8,266.041,14.32,292.502,162.973,7.633,66.71,7.186,23.728,406.144,506.56,8.3,91.087,50.112,272.818,367.436,20.097,8.239,78.844,108.973,45.259,25.366,56.291,13.553,109.272,14.875,45.787,40.96,51.281,7.121,50.153,293.546,507.955,80.92,62.032,82.636,34.0,171.364,15.153,8.068,14.239,98.059,120.345,-35.698784,4.3775644,6.452022,7.9761305
7208,15016,13256,503.42,158.884,47.988,157.195,80.971,258.876,50.596,21.086,64.202,9.197,111.325,63.375,16.92,40.015,10.279,24.761,38.316,165.48,4.128,428.913,36.935,71.056,170.912,32.032,5.826,45.482,14.118,313.978,8.753,17.336,19.829,14.394,19.92,45.787,32.219,47.311,20.588,26.241,340.813,429.336,15.531,57.214,24.522,28.0,57.452,11.615,12.781,14.239,94.508,58.615,57.32204,20.348248,-2.9418237,-20.428925
