class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,Neurofilament,CD3e,CD45,CD4,NeuN,ATG7,A-Beta,S100B,IBA1,CD68,MAP2,CD31,HLA-A,GFAP,CD11b,SMA,DAPI_1,GalMac3,CollagenIV,CD14,PSD-95,CD11c,CD34,Synaptophysin,AQP4,P2Ry12,CD40,Claudin5,HLA-DR,Trem2,iNOS,CD163,CD74,ApoE,H2A.x,PCNA,TMEM119,CD44,P2Rx7_Park7,CD8,Vimentin,UMAP_1,UMAP_2,TSNE_1,TSNE_2
dense,927,13369,15725,222.22,100.91,0.27,0.67,98.84,482.151,484.891,325.501,145.042,735.072,263.751,215.071,190.733,36.408,423.371,198.421,80.286,122.202,240.76,43.814,44.435,186.688,79.455,274.572,326.989,311.099,1.0,140.322,239.118,190.085,301.584,26.291,72.57,80.92,264.94,69.114,114.748,85.641,90.341,467.2,225.152,1.0,219.987,511.904,80.63,-79.90701,64.80927,-20.483435,11.9395275
dense,928,209,15855,314.82,121.85,0.27,0.79,155.485,571.857,302.038,360.269,19.586,431.508,269.225,423.654,237.198,71.815,147.912,115.171,199.214,416.026,312.688,58.086,44.435,164.405,63.764,268.425,274.411,95.701,9.452,352.471,567.556,202.691,299.374,76.873,176.943,134.2,301.835,106.955,188.931,101.138,9.122,531.421,441.003,422.596,436.889,605.418,145.783,-83.99382,59.67289,-24.770002,15.576928
dense,929,12158,15879,283.12,85.63,0.49,0.84,243.026,465.841,623.145,251.329,140.395,611.807,441.655,113.525,221.709,43.995,482.136,238.857,104.071,199.331,436.564,43.814,32.025,156.978,37.613,323.754,414.621,370.519,1.0,165.653,159.745,177.479,336.947,32.614,99.409,107.56,296.159,129.659,139.475,88.025,57.854,450.55,416.097,1.0,478.601,568.925,37.196,-81.10385,68.27724,-22.860182,11.65077
dense,930,9626,15904,264.08,95.04,0.37,0.79,1000.0,547.392,375.625,262.919,66.051,319.282,430.707,44.912,47.465,31.349,386.643,188.907,119.929,214.022,328.672,15.271,44.435,149.55,121.298,299.163,355.032,285.102,1.0,198.9,22.896,215.297,425.354,83.196,66.606,67.6,296.159,91.818,124.639,71.335,17.244,291.186,294.335,1.0,516.142,603.137,22.717,-74.0813,70.494026,-25.726238,6.986492
dense,931,14219,15924,278.29,98.3,0.36,0.81,191.531,592.245,647.674,770.531,19.586,440.707,323.964,313.874,256.558,54.111,305.842,231.721,207.143,636.393,276.724,72.357,75.46,116.126,32.382,867.825,442.663,260.963,1.0,170.403,690.721,201.115,299.374,32.614,123.266,427.24,335.892,99.386,104.856,184.587,236.537,303.079,197.479,447.8,1.0,16.966,334.0,-49.02741,2.9439583,-15.301673,-13.8821
dense,932,13578,15955,510.46,163.5,0.24,0.78,103.99,461.763,663.283,369.541,358.781,663.32,313.016,256.239,438.547,74.344,551.919,236.479,64.429,184.64,492.508,58.086,125.099,164.405,42.843,286.868,365.547,316.669,1.0,138.739,419.759,193.237,310.425,13.646,102.391,167.5,264.94,76.682,243.332,70.143,179.683,671.757,546.161,1.0,190.789,516.466,22.717,-82.91354,65.91992,-20.454971,12.8274555
dense,933,10905,15941,306.79,111.39,0.31,0.8,449.005,457.686,574.087,235.104,93.93,567.652,425.233,83.335,90.058,33.878,269.114,193.664,88.214,67.11,368.632,29.543,44.435,142.123,53.304,253.055,393.589,474.504,1.0,187.818,146.06,188.509,372.31,38.937,108.355,54.28,301.835,99.386,104.856,76.104,33.488,343.514,380.122,1.0,543.255,621.384,37.196,-75.83209,69.15676,-23.016357,11.532653
dense,934,9533,16036,573.21,188.01,0.2,0.7,618.938,494.384,464.821,265.237,233.326,322.961,460.814,83.335,59.081,36.408,390.316,222.207,64.429,203.004,368.632,15.271,38.23,160.691,53.304,314.532,414.621,392.801,4.381,168.819,53.003,188.509,423.144,51.582,69.588,80.92,335.892,114.523,139.475,67.759,49.732,383.95,310.939,1.0,511.971,630.507,22.717,-76.23568,71.34856,-24.984154,8.484241
dense,935,10300,16060,280.21,110.53,0.29,0.73,773.423,518.849,781.469,323.183,200.8,602.608,603.137,86.08,179.116,49.053,291.151,219.829,88.214,19.364,604.396,15.271,44.435,164.405,63.764,283.794,414.621,535.781,1.0,160.903,47.529,207.418,387.781,26.291,111.337,54.28,287.645,114.523,129.584,78.488,90.341,455.307,634.715,1.0,489.029,584.89,1.0,-78.344475,70.077965,-23.59173,12.334209
dense,936,7895,16099,384.39,128.16,0.29,0.82,222.428,645.253,547.328,464.573,56.758,541.895,419.759,640.47,364.977,129.985,276.46,184.15,254.714,559.265,648.352,72.357,44.435,249.822,79.455,631.138,372.558,494.929,7.761,208.399,542.923,229.478,443.035,45.259,302.191,220.78,392.653,137.227,342.243,128.557,17.244,681.271,659.62,35.369,724.701,753.671,22.717,-85.17467,62.64733,-25.10796,14.516325
dense,937,9508,16106,211.06,76.71,0.45,0.82,582.892,502.539,420.223,214.244,79.991,427.829,521.027,102.547,90.058,33.878,496.827,193.664,88.214,250.75,392.608,29.543,25.82,164.405,68.995,296.089,404.105,402.086,2.69,156.154,105.005,177.479,471.768,57.905,81.516,60.94,327.378,106.955,124.639,82.064,33.488,345.893,382.889,1.0,470.259,646.473,8.239,-76.83291,70.711395,-23.321295,12.115654
