class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,Neurofilament,CD3e,CD45,CD4,NeuN,ATG7,A-Beta,S100B,IBA1,CD68,MAP2,CD31,HLA-A,GFAP,CD11b,SMA,DAPI_1,GalMac3,CollagenIV,CD14,PSD-95,CD11c,CD34,Synaptophysin,AQP4,P2Ry12,CD40,Claudin5,HLA-DR,Trem2,iNOS,CD163,CD74,ApoE,H2A.x,PCNA,TMEM119,CD44,P2Rx7_Park7,CD8,Vimentin,UMAP_1,UMAP_2,TSNE_1,TSNE_2
dense,1,3002,39,339.83,147.86,0.2,0.69,26.747,86.629,27.759,89.079,5.647,138.983,326.701,72.357,31.977,8.587,173.621,108.036,48.571,225.04,32.968,58.086,44.435,138.409,16.691,219.243,319.979,47.422,1.0,203.65,786.515,1.0,31.942,32.614,15.91,40.96,12.352,31.273,20.782,66.567,25.366,62.843,136.598,3.291,1.0,1.0,109.587,-39.156075,3.6901016,-12.051062,-11.652263
dense,2,2240,77,387.8,191.06,0.13,0.6,170.933,111.094,197.232,126.165,419.186,150.022,307.542,1.0,97.802,8.587,434.39,210.314,88.214,96.493,44.956,72.357,118.894,56.706,16.691,80.92,337.505,164.405,1.0,187.818,244.592,1.0,20.892,95.842,30.821,147.52,6.676,16.136,25.728,76.104,130.951,312.593,225.152,1.0,1.0,7.842,80.63,-26.09539,22.153011,-10.389855,-4.5038705
dense,3,3381,68,218.17,84.56,0.38,0.8,11.299,58.086,7.69,123.847,1.0,2.84,332.175,3.745,43.593,6.058,144.239,103.279,119.929,651.085,12.988,58.086,50.64,26.996,1.0,406.748,232.347,1.0,1.0,295.475,556.608,2.576,40.783,45.259,12.928,114.22,20.866,23.705,30.673,104.715,74.098,1.0,20.371,92.651,1.0,1.0,181.978,-40.732662,-0.7517986,-11.619882,-12.957996
dense,4,1648,157,198.41,69.48,0.52,0.79,98.84,98.861,183.853,61.265,131.102,245.691,36.581,1.0,124.907,16.175,280.132,200.8,56.5,140.566,48.952,72.357,94.075,19.569,68.995,22.517,376.063,162.548,1.0,273.311,217.222,5.727,12.051,108.487,42.749,100.9,3.838,23.705,45.51,42.724,41.61,203.179,194.712,1.0,1.0,3.281,44.435,-28.383488,18.050127,-10.452563,-5.764157
dense,5,803,226,257.47,121.95,0.22,0.67,6.149,196.722,355.556,133.118,154.335,365.276,313.016,1.0,136.523,18.704,265.441,241.236,119.929,30.382,112.888,129.443,87.87,38.138,48.073,28.665,495.242,283.245,1.0,184.651,140.586,13.606,9.841,165.392,57.66,127.54,18.028,23.705,85.074,98.754,74.098,381.571,363.518,1.0,1.0,1.0,51.674,-25.673834,24.900913,-9.884718,-3.916755
dense,6,1178,273,282.98,88.52,0.45,0.84,78.242,86.629,219.531,49.675,47.465,334.0,427.97,1.0,90.058,6.058,460.099,188.907,80.286,30.382,48.952,72.357,63.05,26.996,21.921,19.443,404.105,195.972,1.0,190.984,72.162,1.0,7.631,114.81,27.839,67.6,1.0,1.0,15.837,61.798,41.61,343.514,327.543,1.0,1.0,1.0,44.435,-23.889526,25.647291,-8.562625,-4.110303
dense,7,2108,428,227.76,87.98,0.37,0.8,150.335,45.853,79.047,126.165,572.521,32.276,340.386,11.978,109.419,1.0,265.441,162.743,64.429,114.857,36.964,72.357,125.099,19.569,11.461,47.108,214.821,93.844,1.0,246.396,121.427,1.0,7.631,95.842,15.91,154.18,3.838,16.136,20.782,42.724,139.073,184.15,147.668,1.0,1.0,3.281,29.957,-29.358166,18.29029,-10.686943,-6.223319
dense,8,1276,666,465.54,144.62,0.28,0.78,129.737,66.241,163.783,68.218,140.395,183.138,252.803,1.0,93.93,1.0,188.312,210.314,127.857,34.055,48.952,86.629,63.05,97.558,11.461,22.517,362.042,177.403,1.0,186.235,113.216,1.0,12.051,95.842,24.857,107.56,94.656,1.0,40.564,612.56,65.976,350.65,178.108,1.0,1.0,3.281,44.435,-26.376617,18.295364,-10.138694,-5.7030945
dense,9,1699,867,442.45,150.72,0.24,0.64,78.242,33.62,32.219,1.0,98.577,50.674,263.751,1.0,90.058,1.0,180.967,188.907,88.214,89.147,8.992,58.086,44.435,101.271,6.23,99.363,446.168,45.565,1.0,140.322,211.748,1.0,29.732,57.905,18.893,94.24,32.219,1.0,65.292,77.296,49.732,65.221,139.366,1.0,3.086,28.37,37.196,-32.525562,13.772076,-10.076958,-8.096575
dense,10,635,962,359.16,122.4,0.3,0.75,52.495,107.016,114.725,82.125,298.377,59.873,211.748,1.0,136.523,49.053,162.603,219.829,88.214,19.364,60.94,86.629,211.969,8.428,16.691,47.108,369.053,90.13,1.0,222.648,61.214,1.0,7.631,114.81,42.749,160.84,6.676,16.136,40.564,52.261,147.195,203.179,180.875,1.0,1.0,14.685,8.239,-30.269508,18.08644,-10.258195,-6.383642
dense,11,8120,976,265.5,91.22,0.4,0.8,26.747,74.396,121.415,184.111,1.0,37.796,321.227,42.168,93.93,3.529,430.717,136.579,96.143,559.265,4.996,72.357,87.87,12.141,11.461,468.225,400.6,106.842,1.0,314.474,540.186,21.484,31.942,19.968,42.749,147.52,52.085,8.568,30.673,134.518,147.195,10.514,119.994,30.787,1.0,1.0,181.978,-41.653175,-0.5082283,-12.325717,-12.821843
dense,12,916,1115,655.71,205.81,0.19,0.7,57.644,78.473,217.301,102.986,270.498,159.221,304.805,1.0,272.047,119.868,188.312,231.721,104.071,37.728,152.848,86.629,174.739,75.275,21.921,87.068,383.074,210.827,1.0,217.899,102.268,1.0,23.102,108.487,129.23,154.18,29.381,31.273,287.842,175.05,179.683,219.829,349.681,1.0,1.0,16.966,80.63,-28.555655,20.334476,-10.28339,-5.23329
dense,13,615,1105,560.98,215.89,0.15,0.65,165.784,102.939,215.071,68.218,52.112,115.066,345.86,1.0,213.965,21.233,147.912,224.586,112.0,30.382,144.856,86.629,25.82,41.851,16.691,139.323,326.989,121.697,1.0,197.317,151.534,1.0,9.841,121.133,78.534,107.56,29.381,16.136,60.347,266.844,25.366,198.421,424.399,1.0,5.171,5.562,44.435,-28.733047,19.47866,-10.064825,-5.864871
dense,14,9582,1106,277.93,100.73,0.34,0.79,52.495,94.784,52.288,100.668,1.0,2.84,438.918,36.679,70.698,16.175,118.529,91.386,96.143,610.684,1.0,72.357,69.255,8.428,1.0,348.345,358.537,38.138,56.782,344.555,594.926,21.484,45.204,19.968,30.821,174.16,46.409,8.568,50.455,121.405,139.073,3.379,64.648,55.991,1.0,1.0,319.522,-41.00515,-0.8818722,-11.772406,-13.102034
dense,15,10302,1106,270.68,109.83,0.28,0.76,88.541,196.722,52.288,239.74,1.0,2.84,458.077,127.247,124.907,6.058,52.419,117.55,191.286,706.176,20.98,86.629,38.23,15.855,6.23,754.092,302.453,26.996,6.071,388.884,739.986,10.454,60.675,19.968,24.857,194.14,40.733,8.568,45.51,207.237,187.805,3.379,95.089,546.326,1.0,1.0,334.0,-41.252888,-1.938015,-12.784157,-14.10138
dense,16,9493,1152,427.31,153.64,0.23,0.75,134.887,143.714,23.299,91.397,1.0,1.0,496.395,33.934,101.674,31.349,37.728,74.736,96.143,673.121,44.956,58.086,162.329,8.428,1.0,336.049,274.411,19.569,28.046,621.615,485.447,13.606,49.624,26.291,15.91,227.44,57.761,23.705,80.129,124.981,220.293,3.379,36.975,26.204,1.0,1.0,109.587,-40.272175,-2.6363087,-11.441152,-13.5552435
dense,17,9223,1209,390.14,157.95,0.2,0.69,88.541,90.706,45.598,123.847,1.0,6.519,381.441,36.679,59.081,86.99,111.184,96.143,112.0,621.702,20.98,72.357,106.484,15.855,1.0,437.486,305.958,82.703,2.69,468.044,611.348,13.606,58.465,26.291,30.821,160.84,54.923,23.705,85.074,158.36,130.951,5.757,78.485,104.108,1.0,1.0,160.261,-41.363167,-1.584755,-12.159185,-13.305046
dense,18,8254,1247,304.3,107.29,0.33,0.78,67.943,90.706,25.529,114.575,5.647,43.315,354.071,146.459,43.593,18.704,232.386,141.336,127.857,489.482,28.972,72.357,44.435,90.13,21.921,299.163,421.632,51.136,1.0,350.887,668.825,18.333,96.038,26.291,12.928,174.16,83.304,23.705,60.347,107.099,49.732,27.164,70.183,19.33,3.086,1.0,73.391,-41.801697,0.07727432,-12.435229,-12.641759
dense,19,721,1282,455.59,167.4,0.2,0.64,67.943,131.482,168.243,61.265,107.87,229.133,323.964,1.0,152.012,11.116,214.022,207.936,64.429,56.092,108.892,86.629,13.41,75.275,21.921,59.403,400.6,197.829,1.0,254.312,58.477,1.0,31.942,146.424,54.678,120.88,23.705,38.841,55.401,58.222,65.976,167.5,250.058,1.0,13.514,21.527,8.239,-29.002434,19.731781,-9.900886,-6.016035
dense,20,966,1272,202.32,67.39,0.56,0.88,11.299,70.318,79.047,26.497,66.051,155.541,655.14,1.0,62.953,6.058,239.732,215.071,104.071,59.765,92.908,100.9,19.615,138.409,21.921,102.437,319.979,132.838,1.0,187.818,170.693,1.0,31.942,133.778,39.767,127.54,46.409,8.568,70.238,121.405,65.976,169.879,167.039,1.0,32.284,44.336,116.826,-31.856453,16.496574,-11.132798,-7.2039146
dense,21,223,1281,211.42,71.03,0.53,0.88,11.299,192.645,248.52,102.986,154.335,192.337,496.395,1.0,194.605,38.937,118.529,231.721,88.214,70.783,248.752,100.9,56.845,60.42,32.382,105.511,397.095,173.69,1.0,178.319,261.014,2.576,36.363,152.747,87.481,120.88,9.514,31.273,99.911,71.335,74.098,184.15,482.512,1.0,3.086,10.123,58.913,-28.367485,20.799202,-10.959732,-5.2092133
dense,22,8868,1296,295.7,127.72,0.23,0.77,165.784,139.637,47.828,121.529,1.0,48.834,329.438,94.313,117.163,8.587,177.294,138.957,143.714,629.048,72.928,58.086,50.64,19.569,16.691,391.378,326.989,32.567,2.69,468.044,523.764,5.727,60.675,26.291,33.803,207.46,94.656,46.409,40.564,115.444,130.951,39.057,125.529,72.03,1.0,1.0,124.065,-41.76569,-1.19067,-12.212292,-13.160371
dense,23,9692,1332,450.9,166.26,0.2,0.78,57.644,119.249,9.92,54.311,1.0,12.039,263.751,11.978,16.488,8.587,129.548,136.579,127.857,408.68,40.96,72.357,38.23,19.569,6.23,256.129,386.579,10.284,1.0,354.054,406.074,13.606,124.77,26.291,18.893,154.18,182.636,46.409,94.965,77.296,57.854,1.0,34.208,14.748,1.0,3.281,95.109,-39.801605,0.6003399,-11.476942,-12.650466
dense,24,8597,1359,423.05,168.15,0.19,0.71,134.887,172.257,94.656,98.35,1.0,124.265,198.063,105.291,109.419,18.704,258.096,162.743,127.857,474.79,64.936,72.357,44.435,86.416,32.382,345.271,638.958,104.985,1.0,233.731,564.819,32.514,80.566,19.968,42.749,160.84,117.361,61.545,99.911,90.409,90.341,43.814,139.366,12.456,1.0,10.123,102.348,-41.985405,1.5162582,-12.945024,-12.523697
dense,25,8190,1377,277.58,155.01,0.15,0.6,196.68,41.776,41.138,58.947,5.647,91.149,225.433,234.283,55.209,6.058,239.732,148.471,119.929,371.952,36.964,58.086,81.665,134.695,21.921,283.794,369.053,65.991,2.69,289.143,641.455,13.606,84.987,26.291,9.946,127.54,71.952,23.705,50.455,79.68,179.683,20.029,114.46,14.748,13.514,5.562,181.978,-41.321762,1.3420963,-12.236552,-12.520723
dense,26,9930,1431,379.34,191.16,0.13,0.58,93.691,184.49,87.967,123.847,61.405,52.514,244.592,86.08,93.93,18.704,280.132,162.743,151.643,467.445,84.916,86.629,174.739,34.424,21.921,271.498,453.179,99.414,1.0,311.307,499.132,21.484,80.566,19.968,30.821,227.44,151.418,76.682,60.347,97.562,390.854,77.114,197.479,39.952,1.0,5.562,124.065,-42.06669,0.9290314,-12.641051,-12.743475
dense,27,6927,1475,337.84,122.66,0.28,0.72,62.794,98.861,14.379,142.39,24.233,58.033,427.97,173.904,260.43,23.762,125.875,122.307,334.0,691.485,96.904,72.357,311.248,134.695,152.681,508.185,298.947,62.277,6.071,377.802,901.468,37.241,122.56,114.81,30.821,227.44,114.523,38.841,208.713,127.365,187.805,8.136,161.504,44.534,1.0,1.0,196.457,-42.64553,-0.6281719,-13.195156,-13.53613
dense,28,8888,1502,199.41,95.3,0.28,0.7,57.644,143.714,141.484,77.49,1.0,122.425,299.332,36.679,66.826,16.175,276.46,191.286,112.0,320.533,40.96,72.357,25.82,12.141,63.764,210.022,540.811,95.701,2.69,246.396,389.652,23.06,67.305,19.968,24.857,160.84,69.114,46.409,35.619,82.064,82.22,62.843,214.083,7.874,1.0,1.0,51.674,-40.035492,3.3008137,-12.387802,-11.523862
dense,29,11472,1531,442.87,170.25,0.19,0.72,103.99,143.714,38.908,96.032,1.0,10.199,326.701,129.992,20.36,13.646,166.276,117.55,143.714,526.21,36.964,72.357,25.82,78.989,16.691,326.828,397.095,90.13,1.0,870.177,622.296,10.454,87.197,26.291,27.839,220.78,157.094,61.545,40.564,105.907,41.61,10.514,92.321,10.165,1.0,1.0,102.348,-39.9121,-5.1016407,-11.8273945,-13.766789
dense,30,11610,1552,962.85,285.93,0.15,0.75,103.99,111.094,79.047,119.211,1.0,15.718,258.277,124.503,28.105,18.704,225.04,138.957,119.929,529.882,44.956,72.357,38.23,64.134,11.461,388.305,467.2,91.987,1.0,846.429,622.296,12.03,91.617,26.291,33.803,214.12,154.256,53.977,55.401,93.986,49.732,10.514,150.435,46.826,1.0,3.281,87.87,-39.99276,-4.6719723,-12.087187,-13.713592
dense,31,7994,1537,407.77,147.34,0.24,0.75,284.222,66.241,108.036,84.443,33.526,181.298,269.225,119.014,82.314,31.349,313.187,172.257,80.286,346.243,48.952,58.086,63.05,93.844,16.691,231.538,432.147,93.844,1.0,209.983,531.975,13.606,65.095,19.968,39.767,134.2,60.599,23.705,45.51,70.143,74.098,50.95,128.296,10.165,28.113,19.247,58.913,-39.729744,3.5350046,-12.396362,-11.678322
dense,32,446,1627,487.72,129.93,0.36,0.73,52.495,188.567,199.462,82.125,93.93,218.094,170.693,1.0,202.349,13.646,169.949,200.8,24.786,48.746,188.812,58.086,1.0,67.848,21.921,53.255,319.979,134.695,17.904,167.236,36.581,1.0,14.261,95.842,153.087,74.26,9.514,31.273,40.564,46.301,41.61,177.014,269.429,1.0,26.027,14.685,66.152,-28.18559,18.887278,-9.967219,-5.881806
dense,33,6630,1623,283.69,113.56,0.28,0.76,119.438,49.931,12.15,68.218,1.0,10.199,323.964,55.89,39.721,28.82,111.184,112.793,151.643,522.537,20.98,58.086,162.329,90.13,6.23,409.822,418.126,10.284,2.69,290.726,772.83,59.301,96.038,32.614,9.946,167.5,106.009,38.841,55.401,104.715,334.0,1.0,39.742,5.583,1.0,1.0,116.826,-41.949234,-0.054985046,-12.259688,-12.98901
dense,34,9968,1625,446.71,150.98,0.25,0.72,103.99,127.404,63.437,56.629,103.223,70.912,288.384,140.97,31.977,13.646,243.404,131.821,112.0,261.768,48.952,72.357,106.484,56.706,32.382,173.135,358.537,117.983,2.69,358.803,479.973,13.606,76.146,26.291,21.875,167.5,140.065,69.114,55.401,78.488,90.341,62.843,100.623,5.583,5.171,5.562,44.435,-40.44651,1.7854652,-11.933099,-11.966655
dense,35,10120,1627,218.81,97.53,0.29,0.79,114.289,164.102,83.507,54.311,5.647,59.873,244.592,22.956,59.081,21.233,210.349,148.471,96.143,390.316,56.944,58.086,25.82,52.993,27.152,179.283,449.674,73.418,1.0,252.729,337.649,23.06,40.783,19.968,21.875,147.52,106.009,53.977,45.51,90.409,57.854,34.3,136.598,12.456,3.086,5.562,116.826,-39.834717,2.188631,-11.892188,-11.995053
dense,36,10981,1661,224.99,96.74,0.3,0.75,62.794,131.482,29.989,102.986,1.0,80.11,362.282,198.604,35.849,6.058,158.93,131.821,135.786,405.007,40.96,86.629,56.845,112.413,37.613,228.465,404.105,88.273,2.69,711.857,548.397,5.727,107.088,32.614,15.91,167.5,154.256,61.545,55.401,110.675,49.732,41.436,75.717,10.165,21.856,7.842,80.63,-39.7712,-5.0797653,-11.855819,-13.343233
dense,37,10911,1670,231.53,87.45,0.38,0.79,124.588,135.559,81.277,91.397,5.647,67.232,496.395,99.802,59.081,13.646,291.151,177.014,135.786,371.952,56.944,86.629,69.255,116.126,32.382,329.902,533.8,114.27,1.0,642.197,553.871,15.181,73.936,32.614,15.91,187.48,145.741,38.841,65.292,116.636,90.341,77.114,197.479,14.748,9.342,30.651,80.63,-40.564156,-4.1946564,-12.490603,-13.064724
dense,38,1323,1687,236.08,95.17,0.33,0.8,145.186,127.404,221.761,49.675,38.172,345.039,206.274,17.467,128.779,8.587,393.989,167.5,40.643,89.147,104.896,58.086,25.82,186.688,27.152,237.686,418.126,296.243,1.0,121.323,195.326,1.0,54.044,57.905,42.749,34.3,40.733,31.273,55.401,73.72,65.976,329.243,319.241,1.0,386.835,226.801,80.63,-56.180367,48.909103,-15.799282,2.626422
dense,39,10113,1694,243.18,80.3,0.47,0.8,356.314,111.094,268.589,89.079,14.94,78.271,277.436,55.89,237.198,31.349,584.974,188.907,112.0,158.93,148.852,72.357,25.82,64.134,27.152,203.874,439.158,129.125,1.0,271.727,315.753,4.151,71.726,19.968,96.427,140.86,108.847,69.114,287.842,76.104,65.976,108.036,341.38,7.874,23.942,10.123,51.674,-28.917812,22.560387,-12.651365,-4.495438
dense,40,7972,1746,224.42,96.74,0.3,0.77,145.186,29.543,61.208,72.854,5.647,208.895,225.433,113.525,31.977,11.116,287.478,153.229,56.5,125.875,28.972,58.086,38.23,130.981,27.152,219.243,334.0,77.132,1.0,176.735,526.501,12.03,73.936,13.646,1.0,54.28,91.818,31.273,55.401,77.296,25.366,34.3,78.485,1.0,82.338,53.459,51.674,-37.428696,5.8736677,-11.608225,-10.797014
dense,41,6299,1757,468.39,147.06,0.27,0.79,103.99,25.465,27.759,156.297,5.647,1.0,241.855,97.058,144.267,26.291,59.765,103.279,135.786,614.357,68.932,115.171,32.025,56.706,105.607,631.138,414.621,28.853,1.0,301.808,646.929,78.21,111.509,38.937,39.767,240.76,151.418,38.841,85.074,128.557,65.976,20.029,39.742,149.933,1.0,1.0,203.696,-42.052135,-0.9276848,-12.621201,-13.519777
dense,42,8134,1755,275.23,121.37,0.23,0.71,83.392,25.465,152.634,72.854,28.879,179.459,323.964,47.657,167.5,26.291,331.551,174.636,48.571,195.658,72.928,58.086,38.23,104.985,32.382,240.76,383.074,97.558,1.0,189.401,427.97,13.606,71.726,26.291,21.875,100.9,63.438,31.273,85.074,72.527,41.61,138.957,208.548,3.291,59.397,53.459,44.435,-35.7352,8.067001,-11.484437,-10.026833
dense,43,11627,1765,450.34,217.61,0.12,0.66,78.242,119.249,110.266,116.893,1.0,76.431,261.014,215.071,90.058,11.116,180.967,134.2,72.357,625.375,52.948,86.629,38.23,90.13,16.691,357.566,358.537,108.699,16.213,684.943,515.553,8.879,45.204,26.291,30.821,214.12,114.523,53.977,45.51,109.483,90.341,50.95,216.85,81.195,5.171,1.0,167.5,-40.687977,-3.7962494,-12.160669,-13.60604
dense,44,9784,1783,205.09,81.11,0.39,0.82,150.335,135.559,273.049,144.708,107.87,65.392,523.764,22.956,70.698,56.641,309.515,186.529,56.5,169.949,72.928,72.357,81.665,34.424,37.613,173.135,379.568,173.69,1.0,198.9,302.068,1.0,67.305,26.291,30.821,120.88,94.656,69.114,35.619,84.449,106.585,253.129,211.316,7.874,1.0,7.842,73.391,-28.073578,20.905087,-11.552036,-6.344787
dense,45,11095,1861,389.93,171.04,0.17,0.7,150.335,139.637,148.174,65.9,28.879,186.818,356.808,113.525,20.36,11.116,390.316,124.686,88.214,269.114,44.956,72.357,44.435,75.275,37.613,145.471,386.579,132.838,1.0,797.35,386.915,5.727,47.414,19.968,21.875,174.16,108.847,69.114,20.782,105.907,65.976,143.714,205.781,7.874,9.342,1.0,73.391,-36.815754,-8.796282,-6.7702155,-12.871898
dense,46,6923,1886,297.26,160.87,0.14,0.6,289.371,17.31,45.598,47.357,5.647,181.298,277.436,75.102,55.209,26.291,250.75,148.471,48.571,280.132,44.956,58.086,44.435,130.981,11.461,200.8,376.063,71.561,1.0,167.236,548.397,29.363,87.197,19.968,30.821,80.92,74.79,31.273,60.347,74.912,25.366,12.893,78.485,10.165,9.342,10.123,66.152,-38.402695,4.5054016,-11.7458935,-11.349674
dense,47,10859,1888,347.43,175.75,0.14,0.61,47.345,139.637,72.357,116.893,312.316,100.348,241.855,77.846,113.291,11.116,305.842,127.064,104.071,375.625,60.94,58.086,317.453,67.848,32.382,123.954,288.432,97.558,1.0,659.612,211.748,4.151,38.573,19.968,21.875,267.4,100.332,53.977,35.619,84.449,171.561,196.043,128.296,21.622,78.167,23.808,29.957,-37.01583,-7.099514,-7.4099803,-12.165288
dense,48,10041,1965,1257.84,387.79,0.11,0.61,191.531,111.094,319.877,130.8,256.558,98.508,285.647,17.467,86.186,16.175,544.574,205.557,96.143,125.875,68.932,58.086,143.714,52.993,58.534,102.437,379.568,197.829,9.452,262.228,252.803,4.151,49.624,38.937,27.839,167.5,97.494,53.977,45.51,70.143,122.829,343.514,277.731,1.0,17.685,23.808,58.913,-25.461622,23.237,-10.758778,-3.8799877
dense,49,12777,2000,299.04,172.02,0.13,0.62,57.644,139.637,99.116,216.561,1.0,4.68,354.071,171.159,105.547,26.291,52.419,105.657,135.786,680.467,28.972,72.357,50.64,52.993,11.461,443.634,309.463,82.703,1.0,453.796,1000.0,37.241,78.356,26.291,39.767,400.6,188.312,69.114,55.401,169.089,98.463,1.0,61.881,509.665,1.0,1.0,261.609,-41.790768,-2.0194092,-12.819056,-13.979674
dense,50,11354,2035,433.49,180.93,0.17,0.71,73.093,143.714,195.002,72.854,10.293,104.028,252.803,151.948,39.721,16.175,327.879,136.579,48.571,353.588,56.944,72.357,13.41,64.134,37.613,151.618,383.074,175.546,1.0,794.184,469.025,5.727,54.044,19.968,24.857,140.86,111.685,69.114,35.619,95.178,25.366,127.064,214.083,28.495,11.428,5.562,29.957,-37.308216,-8.281948,-7.2112384,-13.044108
dense,51,10099,2062,415.44,134.28,0.29,0.81,119.438,143.714,302.038,102.986,149.688,173.939,332.175,11.978,105.547,11.116,386.643,193.664,104.071,107.511,80.92,72.357,44.435,30.71,32.382,90.142,418.126,253.535,1.0,235.314,214.485,1.0,49.624,13.646,45.731,154.18,97.494,61.545,35.619,92.794,65.976,338.757,388.424,1.0,23.942,16.966,37.196,-27.217033,24.254147,-10.329737,-4.1023283
dense,52,12581,2101,301.24,166.33,0.14,0.67,42.196,131.482,79.047,153.979,1.0,10.199,299.332,187.626,152.012,8.587,56.092,96.143,135.786,665.776,80.92,58.086,32.025,49.279,16.691,548.145,186.779,49.279,12.832,930.339,611.348,19.909,76.146,38.937,42.749,320.68,193.989,84.25,109.802,123.789,17.244,10.514,111.693,340.11,1.0,1.0,196.457,-40.502453,-4.2954273,-12.215026,-14.282953
dense,53,8023,2124,352.34,110.49,0.36,0.78,309.969,49.931,208.382,72.854,172.921,240.171,323.964,11.978,59.081,31.349,386.643,191.286,40.643,56.092,44.956,43.814,56.845,82.703,32.382,133.175,383.074,145.836,1.0,170.403,181.641,10.454,73.936,19.968,9.946,80.92,60.599,31.273,40.564,73.72,65.976,188.907,169.806,1.0,159.505,92.233,44.435,-24.860523,20.187294,-10.56687,-4.251378
dense,54,10006,2149,361.58,116.76,0.33,0.75,150.335,274.196,389.004,188.747,182.214,199.696,488.184,9.234,353.36,99.635,518.864,179.393,96.143,89.147,228.772,172.257,106.484,26.996,37.613,133.175,453.179,301.814,1.0,339.805,209.011,71.907,82.777,19.968,51.696,160.84,196.827,84.25,258.168,104.715,114.707,405.357,584.903,3.291,71.91,19.247,51.674,-55.0963,50.287804,-15.894223,0.6034146
dense,55,11658,2141,217.39,93.06,0.32,0.8,119.438,70.318,130.335,63.582,5.647,87.47,556.608,47.657,39.721,8.587,280.132,148.471,56.5,283.805,40.96,72.357,38.23,86.416,37.613,117.806,344.516,119.84,1.0,727.689,479.973,2.576,67.305,26.291,6.964,160.84,125.875,61.545,35.619,96.37,33.488,108.036,172.573,21.622,26.027,10.123,58.913,-36.479538,-9.119482,-7.4389277,-13.161878
dense,56,11147,2199,347.93,112.31,0.35,0.82,119.438,135.559,275.279,75.172,56.758,76.431,663.351,17.467,39.721,8.587,511.518,160.364,72.357,96.493,72.928,72.357,19.615,45.565,27.152,127.028,379.568,201.543,1.0,762.52,170.693,1.0,73.936,13.646,36.785,147.52,114.523,69.114,25.728,113.06,41.61,317.35,341.38,1.0,9.342,10.123,87.87,-11.142096,-30.201988,1.8856786,-9.2048
dense,57,7703,2190,196.92,83.77,0.35,0.8,330.567,1.0,181.623,63.582,117.163,232.812,370.493,25.701,97.802,8.587,368.279,181.771,56.5,48.746,48.952,43.814,25.82,86.416,21.921,133.175,344.516,130.981,1.0,192.567,291.121,1.0,49.624,19.968,21.875,60.94,46.409,46.409,55.401,79.68,25.366,160.364,233.454,1.0,128.221,42.055,37.196,-25.472252,18.760063,-10.717538,-5.2304244
dense,58,10171,2215,293.57,111.15,0.3,0.81,361.464,123.327,239.6,65.9,93.93,295.365,403.337,22.956,93.93,18.704,592.32,188.907,72.357,122.202,68.932,72.357,32.025,38.138,48.073,142.397,449.674,316.669,1.0,346.138,250.066,8.879,65.095,19.968,36.785,127.54,100.332,69.114,35.619,96.37,33.488,279.293,344.147,3.291,55.225,23.808,29.957,-27.938438,25.124943,-15.615104,-3.27218e-05
dense,59,9899,2242,421.55,160.96,0.2,0.73,258.474,131.482,308.728,75.172,38.172,251.21,444.392,14.723,74.57,18.704,588.647,191.286,40.643,144.239,84.916,72.357,13.41,78.989,32.382,157.766,453.179,216.398,1.0,205.233,187.115,23.06,91.617,13.646,42.749,114.22,134.389,69.114,70.238,98.754,49.732,291.186,305.404,3.291,107.365,48.897,66.152,-28.415031,25.68024,-14.877628,0.03751029
dense,60,888,2269,251.78,88.11,0.41,0.8,42.196,127.404,264.129,93.715,126.456,431.508,277.436,9.234,124.907,8.587,438.062,188.907,40.643,103.838,204.796,58.086,44.435,171.833,58.534,228.465,428.642,247.965,1.0,164.07,365.019,1.0,58.465,32.614,57.66,74.26,37.895,46.409,45.51,77.296,98.463,374.436,413.33,1.0,365.979,162.938,37.196,-56.428776,49.284702,-16.131536,2.3790386
dense,61,10139,2311,241.26,114.35,0.23,0.67,263.624,160.024,219.531,86.761,98.577,288.006,329.438,47.657,74.57,21.233,485.809,191.286,24.786,78.129,156.844,72.357,19.615,90.13,32.382,151.618,421.632,203.4,1.0,551.954,252.803,54.574,118.139,26.291,36.785,114.22,154.256,76.682,80.129,79.68,41.61,188.907,227.92,1.0,222.073,126.445,116.826,-55.49547,53.52661,-17.12286,0.2808717
dense,62,11803,2349,485.94,191.54,0.17,0.66,140.036,78.473,281.969,107.622,103.223,129.785,365.019,20.212,39.721,21.233,467.445,169.879,8.929,107.511,168.832,58.086,63.05,93.844,48.073,114.732,393.589,147.693,1.0,637.447,277.436,116.027,177.814,19.968,27.839,100.9,128.713,53.977,85.074,82.064,57.854,162.743,225.152,3.291,113.622,101.356,44.435,-28.424911,-15.106737,1.6997622,-9.88548
dense,63,6106,2330,293.07,105.78,0.33,0.79,273.923,172.257,27.759,68.218,5.647,164.74,510.079,124.503,78.442,31.349,122.202,112.793,127.857,412.353,80.92,72.357,112.689,179.26,11.461,345.271,277.916,51.136,12.832,221.065,660.614,30.938,42.993,38.937,27.839,100.9,117.361,61.545,60.347,97.562,187.805,5.757,111.693,3.291,3.086,3.281,239.891,-41.023113,1.1064796,-12.337213,-12.524181
