class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,CD40,SMA,MAP2,CD8,CD31,Synaptophysin,AQP4,CD34,PCNA,IBA1,S100B,CD163,Claudin5,GFAP,PSD-95,Trem2,NeuN,HLA-DR,CD14,CD11b,CD3e,P2Rx7_Park7,DAPI_1,CD11c,CD4,GalMac3,ApoE,CD45,HLA-A,CD68,Vimentin,A-Beta,H2A.x,TMEM119,CD74,P2Ry12,CollagenIV,CD44,Neurofilament,ATG7,iNOS,UMAP_1,UMAP_2,TSNE_1,TSNE_2
dense,1,409,192,216.82,100.99,0.27,0.76,1.0,7.631,377.912,501.698,311.867,477.409,1.0,20.98,358.667,1.0,153.671,1.0,334.0,33.226,190.466,22.484,88.632,118.529,153.788,74.839,97.677,485.722,9.122,519.804,262.835,74.752,47.311,370.251,40.176,1.0,5.921,1.0,205.097,335.125,23.966,1.0,49.29,1.0,304.661,521.278,1.0,-21.123596,50.16289,-4.05237,-1.7834706
dense,2,337,347,316.17,118.62,0.28,0.77,132.943,5.42,246.176,281.295,157.943,307.263,23.913,620.38,625.889,49.562,200.136,1.0,309.333,13.89,26.836,602.548,1000.0,37.728,12.753,113.93,97.677,420.698,55.146,346.065,464.246,1.0,57.235,355.076,20.588,30.673,1.0,144.213,301.774,355.375,12.483,36.426,13.073,1.0,159.432,335.108,1.0,-28.633194,21.46423,-3.434834,-4.753084
dense,3,756,603,270.33,111.24,0.27,0.71,114.094,9.841,396.209,523.259,326.958,210.036,60.573,1.0,399.778,306.25,259.877,30.382,272.333,65.452,233.526,33.226,88.632,118.529,459.365,322.417,22.484,518.234,14.537,488.435,327.286,135.094,60.543,408.187,59.765,99.911,5.921,105.79,194.355,595.0,448.828,1.0,37.218,1.0,124.225,514.629,1.0,10.974728,-20.635065,1.2058481,-4.8678102
dense,4,781,1018,552.74,171.19,0.24,0.79,48.123,5.42,308.385,446.597,133.798,353.445,143.06,140.86,428.556,146.688,319.618,1.0,87.333,149.239,121.569,269.548,386.579,45.074,353.588,131.304,22.484,465.033,76.805,242.304,274.919,215.55,245.788,286.79,40.176,40.564,5.921,235.031,473.645,422.875,150.276,8.085,22.127,1.0,97.819,418.22,1.0,-30.88964,20.818691,1.5520306,-3.2644048
dense,5,499,1334,190.67,77.06,0.4,0.8,33.986,5.42,538.923,511.281,203.215,144.409,129.312,20.98,436.778,21.812,253.239,1.0,112.0,59.006,323.953,11.742,106.158,67.11,59.765,74.839,162.129,494.589,6.415,469.13,194.355,182.027,27.464,393.013,1.0,90.02,5.921,25.451,248.065,335.125,12.483,1.0,34.199,1.0,256.251,522.94,1.0,-22.121973,49.617043,2.0813987,-4.7860556
dense,6,556,1408,215.89,91.97,0.32,0.76,302.585,9.841,286.429,568.777,296.776,793.394,253.041,200.8,399.778,236.875,316.299,1.0,383.333,52.561,306.728,86.935,272.658,118.529,142.035,148.678,226.581,574.391,22.659,425.696,331.315,161.913,103.546,375.309,118.529,109.802,45.291,179.143,269.548,470.125,184.724,29.34,52.308,54.518,177.035,546.211,13.54,-22.87783,50.54462,1.8637867,-5.471791
dense,7,1747,1441,289.59,92.38,0.43,0.8,114.094,7.631,293.747,499.302,296.776,98.226,179.72,180.82,449.111,7.938,220.05,1.0,198.333,284.587,358.401,43.968,79.868,67.11,106.776,48.778,215.839,467.988,9.122,403.978,125.875,215.55,328.487,362.663,236.059,99.911,50.212,689.122,258.806,402.625,115.828,22.255,37.218,143.714,291.458,529.589,67.879,-13.109903,30.904144,3.2020578,-4.6569653
dense,8,4150,1450,269.26,87.1,0.45,0.85,222.476,7.631,436.462,647.835,278.668,309.693,271.372,420.58,601.222,146.688,259.877,30.382,235.333,239.471,255.056,97.677,263.895,169.949,259.565,196.457,291.032,586.213,22.659,329.174,258.806,228.96,189.553,468.886,59.765,80.129,30.527,392.217,323.258,480.25,242.138,50.596,25.145,36.679,502.7,483.047,80.418,10.45211,-24.693863,3.672663,-5.7418714
dense,9,1677,1490,382.68,128.84,0.29,0.78,114.094,7.631,451.099,475.345,299.795,83.642,74.321,220.78,383.333,42.625,230.007,1.0,210.667,323.258,345.483,43.968,71.105,45.074,59.765,48.778,172.871,482.766,9.122,394.326,125.875,155.208,259.02,400.6,40.176,70.238,55.133,469.063,269.548,355.375,150.276,8.085,28.163,18.839,375.075,493.02,46.979,-13.938895,31.821213,2.9277484,-5.096771
dense,10,4392,1513,262.16,112.84,0.26,0.76,175.354,7.631,685.297,518.468,402.411,100.657,106.399,280.72,424.444,209.125,269.834,30.382,247.667,52.561,250.75,65.452,88.632,177.294,283.071,244.235,355.484,491.633,14.537,452.239,287.004,182.027,163.089,587.754,138.118,99.911,5.921,214.073,312.516,473.5,322.517,86.021,34.199,18.839,427.885,526.265,76.238,11.133293,-23.853899,3.638691,-5.85549
dense,11,1670,1795,416.79,175.49,0.17,0.67,156.505,7.631,425.484,365.144,296.776,32.599,129.312,280.72,412.111,160.563,246.601,1.0,136.667,155.684,336.871,86.935,176.263,111.184,118.529,148.678,269.548,426.609,9.122,483.609,303.117,195.436,93.623,433.478,79.353,119.693,30.527,151.199,323.258,439.75,425.862,15.17,40.236,18.839,335.467,524.602,76.238,11.563061,-21.797285,3.3039541,-6.8705072
dense,12,1213,1834,510.1,171.57,0.22,0.69,189.491,7.631,440.121,415.453,284.704,132.255,248.459,340.66,453.222,174.438,286.429,1.0,87.333,175.019,358.401,54.71,141.211,111.184,130.282,170.396,237.323,465.033,41.61,408.804,323.258,182.027,103.546,408.187,59.765,60.347,35.448,98.804,334.0,426.25,230.655,8.085,40.236,54.518,304.661,531.251,72.059,11.789932,-22.466057,3.0776641,-5.707604
dense,13,1623,1981,623.88,236.15,0.14,0.69,180.066,7.631,473.055,439.41,308.849,44.752,390.518,260.74,469.667,49.562,226.688,1.0,87.333,78.342,422.991,33.226,97.395,67.11,59.765,74.839,215.839,447.299,11.829,432.935,178.242,222.255,156.474,393.013,20.588,40.564,30.527,353.794,334.0,362.125,184.724,29.34,34.199,72.357,344.269,539.562,88.778,13.310513,-22.365026,3.40637,-5.0893006
dense,14,1689,1993,319.51,135.17,0.22,0.73,260.175,9.841,564.538,563.986,378.266,59.336,344.693,200.8,449.111,431.125,173.585,30.382,149.0,129.903,401.461,162.129,158.737,118.529,271.318,313.73,269.548,479.811,9.122,715.261,432.02,188.732,209.401,468.886,138.118,159.257,35.448,392.217,473.645,537.625,356.966,22.255,46.272,54.518,331.066,546.211,92.958,13.021095,-26.842594,4.223069,-5.5603867
dense,15,4926,2166,421.06,156.35,0.22,0.74,132.943,9.841,473.055,717.309,450.701,307.263,1.0,240.76,465.556,299.312,213.412,30.382,395.667,97.677,233.526,162.129,220.079,147.912,330.082,252.922,334.0,589.169,49.732,457.065,234.637,128.389,252.404,580.167,196.882,129.584,5.921,406.189,473.645,497.125,322.517,71.851,40.236,18.839,348.67,444.815,72.059,9.49398,-24.727997,3.586789,-6.0857415
dense,16,2192,2208,228.26,94.92,0.32,0.79,142.368,7.631,443.78,520.863,302.813,258.65,367.606,140.86,428.556,306.25,253.239,30.382,173.667,258.806,401.461,183.613,149.974,221.368,247.812,218.174,280.29,541.879,6.415,582.543,359.512,282.597,173.013,453.711,314.412,248.277,45.291,207.087,430.677,466.75,356.966,15.17,34.199,143.714,309.062,521.278,34.439,13.244377,-25.937698,4.0782223,-6.1714983
dense,17,1658,2233,265.78,132.41,0.19,0.59,269.599,7.631,484.033,477.741,293.758,86.073,285.119,360.64,391.556,556.0,303.023,30.382,124.333,84.787,354.095,129.903,211.316,169.949,341.835,296.357,323.258,405.92,19.951,556.0,524.669,269.188,73.775,471.415,236.059,268.059,45.291,77.846,376.968,514.0,598.103,43.511,31.181,36.679,379.476,524.602,84.598,12.44239,-25.28976,3.2007322,-5.844389
dense,18,2635,2710,1342.27,536.18,0.06,0.64,142.368,7.631,553.56,437.014,266.595,124.964,147.642,200.8,556.0,160.563,283.11,1.0,112.0,181.465,388.543,43.968,167.5,162.603,142.035,157.365,334.0,482.766,17.244,604.261,287.004,208.846,179.629,562.463,20.588,169.149,45.291,343.315,387.71,443.125,276.586,15.17,46.272,36.679,322.264,619.349,13.54,12.862888,-23.709496,3.883245,-5.476777
dense,19,1965,2919,288.45,91.18,0.44,0.85,231.901,9.841,505.989,451.388,305.831,56.905,349.275,240.76,391.556,306.25,376.04,1.0,186.0,490.832,457.44,108.419,97.395,177.294,189.047,187.77,344.742,423.654,11.829,534.283,287.004,202.141,278.868,499.235,118.529,109.802,55.133,486.528,462.903,460.0,379.931,36.426,43.254,215.071,335.467,514.629,88.778,13.3046875,-29.994984,4.3313174,-5.486846
dense,20,5518,3666,264.72,98.91,0.34,0.81,279.024,5.42,451.099,530.446,408.447,98.226,88.069,380.62,473.778,125.875,316.299,30.382,198.333,7.445,354.095,54.71,246.368,111.184,236.059,153.022,538.097,541.879,22.659,592.196,266.863,302.711,364.874,554.876,40.176,109.802,15.764,758.983,484.387,490.375,345.483,114.362,31.181,54.518,590.718,468.087,343.753,10.685104,-28.649586,4.237854,-6.0230308
dense,21,3407,3955,242.12,92.74,0.35,0.81,500.5,9.841,751.165,413.058,320.921,90.934,651.725,200.8,560.111,798.812,306.342,59.765,186.0,123.458,509.112,76.194,106.158,515.191,447.612,426.661,505.871,429.565,3.707,671.826,464.246,275.893,189.553,552.347,294.824,564.792,40.369,221.059,430.677,601.75,827.759,185.213,43.254,72.357,300.26,501.331,247.615,10.345608,-34.91745,5.5775795,-6.296929
dense,22,2933,4006,278.15,121.72,0.24,0.74,241.325,7.631,813.374,470.554,275.65,44.752,601.317,440.56,609.444,181.375,422.505,30.382,210.667,252.361,457.44,76.194,106.158,155.257,189.047,148.678,334.0,506.411,17.244,517.391,274.919,349.644,126.702,511.881,59.765,297.733,60.054,214.073,484.387,392.5,322.517,121.447,43.254,304.268,278.256,564.496,276.874,16.803955,-31.357536,4.5177283,-5.3997555
dense,23,4441,4028,444.15,151.42,0.24,0.77,382.693,7.631,560.879,516.072,390.338,52.044,280.537,280.72,490.222,139.75,286.429,30.382,235.333,117.013,453.134,43.968,53.579,169.949,95.024,187.77,452.161,459.121,11.829,739.391,234.637,202.141,146.55,501.765,40.176,169.149,40.369,339.822,452.161,392.5,288.069,142.702,46.272,72.357,247.449,574.469,331.213,13.623116,-28.878086,4.1950216,-6.225178
dense,24,4166,4689,267.2,120.97,0.23,0.71,307.297,12.051,659.681,489.719,375.248,32.599,390.518,440.56,576.556,153.625,389.316,30.382,161.333,142.794,491.888,33.226,97.395,96.493,165.541,157.365,409.194,450.254,14.537,625.978,194.355,215.55,159.781,509.352,40.176,258.168,25.606,308.385,484.387,416.125,334.0,128.532,37.218,72.357,348.67,599.403,201.636,15.410103,-29.717094,4.2919693,-5.710369
dense,25,4374,4708,248.16,109.11,0.26,0.73,279.024,9.841,637.725,506.489,402.411,76.35,706.716,360.64,469.667,216.063,376.04,30.382,161.333,239.471,513.418,86.935,79.868,169.949,294.824,157.365,419.935,482.766,11.829,688.717,198.383,282.597,381.414,542.23,98.941,287.842,30.527,675.15,484.387,399.25,414.379,213.553,34.199,143.714,335.467,562.834,347.933,15.856514,-33.335865,4.858891,-5.550228
dense,26,6665,5157,255.33,109.7,0.27,0.78,283.736,9.841,557.22,535.237,474.846,81.212,10.165,280.72,601.222,153.625,495.522,59.765,284.667,245.916,448.828,162.129,202.553,228.713,142.035,144.335,484.387,491.633,33.488,744.217,186.298,182.027,116.778,564.992,98.941,258.168,20.685,287.427,484.387,463.375,334.0,156.872,46.272,72.357,630.326,621.012,368.833,12.192833,-29.599201,4.496526,-6.21217
dense,27,6237,5411,957.88,325.64,0.11,0.66,165.929,3.21,484.033,468.158,203.215,146.839,230.128,80.92,457.333,195.25,243.282,30.382,62.667,97.677,237.832,11.742,263.895,125.875,177.294,109.587,323.258,450.254,17.244,493.261,202.411,175.322,126.702,496.706,40.176,287.842,5.921,357.287,387.71,419.5,127.31,57.681,34.199,108.036,207.841,486.371,63.699,13.843391,-24.011078,3.5676532,-5.658083
dense,28,4779,5658,203.74,79.19,0.41,0.81,203.627,9.841,773.121,528.05,311.867,47.182,550.908,180.82,638.222,146.688,445.738,1.0,87.333,336.148,461.746,162.129,185.026,59.765,142.035,83.526,301.774,530.056,11.829,625.978,154.073,383.168,434.341,544.759,20.588,238.386,69.897,549.402,495.129,358.75,242.138,114.362,37.218,232.911,612.722,607.714,255.975,16.816765,-33.51572,4.7350335,-5.185077
dense,29,1683,6014,2585.33,430.78,0.18,0.73,1000.0,487.239,1.0,96.827,115.689,95.796,10.165,1000.0,387.444,7.938,57.422,353.588,1000.0,1.0,246.444,699.226,106.158,214.022,1.0,496.157,1000.0,51.246,1000.0,153.022,464.246,1000.0,454.189,13.646,1000.0,436.208,911.419,713.573,1.0,4.375,242.138,1000.0,812.876,197.232,1.0,1.0,1000.0,104.84566,11.4509945,2.4920888,-10.482262
dense,30,5929,6073,902.09,327.02,0.11,0.61,255.462,9.841,725.549,535.237,354.121,190.591,413.431,520.48,502.556,153.625,435.781,59.765,284.667,233.026,461.746,108.419,176.263,96.493,224.306,74.839,312.516,589.169,41.61,568.065,170.185,369.758,196.169,575.109,196.882,297.733,114.187,353.794,495.129,443.125,299.552,163.957,70.417,125.875,291.458,592.754,322.854,15.593346,-30.836937,4.542531,-5.7440343
dense,31,5540,6131,206.73,104.99,0.24,0.77,472.226,9.841,681.637,561.59,351.103,35.029,537.161,260.74,597.111,889.0,356.126,412.353,149.0,303.923,440.216,65.452,167.5,294.824,565.141,239.891,387.71,462.077,22.659,500.5,472.302,282.597,225.94,668.686,373.176,1000.0,74.818,269.962,505.871,750.25,1000.0,142.702,43.254,304.268,533.507,634.309,368.833,9.282883,-35.516487,5.8294873,-6.2476535
dense,32,5109,6279,434.91,174.46,0.18,0.72,274.311,7.631,326.681,532.842,233.396,173.577,908.349,220.78,498.444,292.375,518.754,89.147,124.333,407.045,328.259,129.903,114.921,89.147,400.6,100.9,334.0,500.5,28.073,435.348,150.044,376.463,427.725,479.003,118.529,386.752,84.66,455.091,495.129,446.5,276.586,178.128,31.181,411.304,159.432,522.94,272.695,18.193829,-33.00028,5.0235786,-4.572699
dense,33,9424,6583,236.93,106.28,0.26,0.71,118.807,3.21,348.637,607.108,269.613,285.387,42.243,200.8,486.111,250.75,465.651,59.765,186.0,194.355,216.302,43.968,167.5,177.294,377.094,166.052,441.419,707.393,36.195,592.196,254.778,161.913,255.712,570.051,79.353,218.604,5.921,531.937,559.581,497.125,150.276,100.191,46.272,18.839,621.524,614.363,109.678,9.09536,-27.296982,4.0012503,-5.942067
dense,34,17083,6903,411.96,208.9,0.12,0.6,198.915,9.841,388.89,499.302,411.465,22.876,156.807,40.96,329.889,840.438,1000.0,147.912,494.333,593.955,470.358,634.774,97.395,390.316,541.635,626.461,645.516,574.391,17.244,276.087,468.274,175.322,179.629,582.696,862.882,693.376,79.739,413.175,785.161,713.125,678.483,135.617,37.218,54.518,555.511,695.812,389.732,5.8900375,-35.039146,6.145857,-6.335011
dense,35,7501,7049,345.52,126.43,0.27,0.76,274.311,9.841,732.868,525.655,438.628,30.168,262.206,280.72,420.333,174.438,392.635,30.382,149.0,252.361,547.866,97.677,228.842,147.912,189.047,83.526,323.258,465.033,14.537,553.587,162.129,215.55,219.325,572.58,20.588,228.495,30.527,423.654,688.484,446.5,299.552,248.979,37.218,215.071,295.859,537.9,393.912,14.192787,-32.212196,4.617878,-5.863625
dense,36,7133,7281,189.46,88.7,0.3,0.73,260.175,9.841,630.407,453.784,408.447,47.182,445.509,480.52,482.0,125.875,482.246,30.382,87.333,155.684,491.888,97.677,71.105,206.676,212.553,61.809,376.968,488.678,30.78,654.935,162.129,215.55,354.95,557.405,40.176,218.604,89.581,657.685,688.484,412.75,311.034,171.043,40.236,161.554,300.26,554.522,373.013,14.926407,-32.650295,4.770382,-5.6389623
dense,37,7152,7448,252.42,106.15,0.28,0.75,401.542,5.42,480.374,736.475,320.921,1000.0,1000.0,600.4,572.444,340.938,535.349,59.765,210.667,278.142,534.948,108.419,290.184,155.257,377.094,122.617,409.194,1000.0,17.244,642.87,238.665,430.101,407.877,564.992,196.882,218.604,60.054,643.713,624.032,611.875,253.621,348.17,82.489,215.071,300.26,692.488,243.435,16.21373,-31.766373,5.3900514,-4.803134
dense,38,16497,7632,723.72,260.84,0.13,0.68,147.08,5.42,524.286,508.885,541.245,71.489,198.05,60.94,465.556,264.625,591.771,59.765,309.333,374.819,534.948,452.161,237.605,272.787,259.565,270.296,430.677,674.882,44.317,401.565,214.496,182.027,381.414,537.172,196.882,228.495,30.527,867.266,989.258,449.875,276.586,178.128,40.236,36.679,551.11,700.799,439.891,7.8370667,-33.491783,5.5839076,-5.848339
dense,39,15011,7772,477.7,155.43,0.25,0.76,264.887,3.21,564.538,638.252,215.287,591.65,294.284,260.74,399.778,153.625,595.09,59.765,210.667,426.381,410.073,205.097,307.711,140.566,412.353,170.396,667.0,837.441,17.244,297.804,242.694,222.255,503.808,413.246,20.588,248.277,60.054,1000.0,591.806,308.125,127.31,256.064,40.236,179.393,546.709,640.958,418.992,8.402756,-29.770084,5.671874,-5.163917
dense,40,16193,8148,931.51,364.92,0.09,0.63,241.325,3.21,451.099,520.863,405.429,30.168,28.495,100.9,494.333,327.063,688.02,59.765,210.667,529.503,556.478,129.903,71.105,309.515,330.082,296.357,484.387,574.391,22.659,321.935,218.524,202.141,282.175,577.638,157.706,564.792,30.527,472.556,795.903,470.125,207.69,142.702,61.363,179.393,687.537,697.474,356.293,8.436775,-33.86469,5.2083397,-6.2570186
dense,41,12177,8175,479.83,189.02,0.17,0.7,363.844,3.21,337.659,549.612,194.16,360.737,106.399,380.62,292.889,216.063,312.98,30.382,136.667,226.581,328.259,33.226,53.579,199.331,318.329,161.709,441.419,618.725,19.951,423.283,194.355,195.436,206.093,524.527,20.588,208.713,35.448,528.444,376.968,345.25,196.207,241.894,64.381,90.196,471.894,534.576,214.176,8.647591,-26.787525,4.029589,-6.345689
dense,42,12725,8161,249.93,110.4,0.26,0.69,312.009,3.21,743.846,547.216,163.979,377.752,5.583,180.82,338.111,160.563,249.92,30.382,161.333,162.129,345.483,65.452,176.263,155.257,283.071,153.022,387.71,512.322,25.366,314.696,182.27,101.57,321.871,491.648,40.176,218.604,5.921,493.514,430.677,402.625,138.793,199.383,49.29,54.518,617.123,549.536,226.715,7.5358047,-26.20818,3.7768893,-5.950829
dense,43,12689,8228,307.28,120.97,0.26,0.75,392.118,3.21,546.242,463.367,185.106,346.153,1.0,420.58,395.667,271.562,276.472,206.676,112.0,175.019,298.116,119.161,202.553,294.824,388.847,239.891,441.419,624.636,49.732,411.217,282.976,94.866,288.791,552.347,79.353,248.277,5.921,458.584,452.161,483.625,173.241,256.064,43.254,54.518,322.264,489.696,235.075,7.8174515,-27.701408,4.2002106,-6.459111
dense,44,16515,8284,724.29,231.46,0.17,0.7,377.981,5.42,557.22,432.223,553.317,15.584,88.069,20.98,424.444,1000.0,578.495,324.206,284.667,690.632,569.397,301.774,228.842,537.228,823.706,583.026,409.194,580.302,11.829,464.304,548.839,148.503,216.017,691.448,647.412,436.208,64.975,385.231,795.903,834.625,598.103,135.617,40.236,54.518,546.709,635.972,318.674,6.708866,-35.77296,6.274216,-6.1164007
dense,45,12677,8371,387.44,152.67,0.21,0.72,557.047,3.21,546.242,501.698,281.686,193.022,5.583,260.74,391.556,320.125,279.791,89.147,149.0,123.458,384.237,76.194,132.447,228.713,294.824,218.174,409.194,497.544,17.244,435.348,327.286,168.617,305.331,539.701,177.294,277.95,15.764,703.094,441.419,490.375,207.69,220.638,46.272,54.518,537.907,652.594,255.975,9.173111,-29.523499,4.51819,-6.1414247
dense,46,12538,8403,298.26,125.14,0.24,0.72,491.075,3.21,575.516,489.719,329.976,134.686,1.0,220.78,412.111,340.938,279.791,59.765,99.667,129.903,435.909,43.968,71.105,280.132,365.341,248.578,398.452,580.302,55.146,500.5,278.948,114.98,182.937,597.871,40.176,277.95,5.921,514.472,484.387,487.0,425.862,256.064,31.181,72.357,370.674,586.105,276.874,9.981518,-30.365864,4.39231,-6.26579
dense,47,12804,8475,508.61,157.86,0.26,0.74,429.816,3.21,487.692,583.151,287.722,421.504,1.0,140.86,305.222,195.25,259.877,30.382,87.333,194.355,392.849,119.161,202.553,140.566,341.835,157.365,323.258,636.459,49.732,399.152,238.665,155.208,345.026,537.172,20.588,218.604,5.921,814.871,484.387,345.25,184.724,227.723,37.218,90.196,287.057,597.74,239.255,9.050884,-28.503555,4.508046,-6.144244
dense,48,9413,8516,319.79,111.69,0.32,0.78,255.462,3.21,538.923,573.568,348.085,69.058,129.312,140.86,457.333,139.75,266.515,30.382,50.333,226.581,590.927,54.71,79.868,191.985,118.529,135.648,376.968,524.145,22.659,722.5,182.27,168.617,225.94,676.273,20.588,188.931,30.527,758.983,570.323,429.625,161.759,199.383,43.254,143.714,269.454,725.732,230.895,12.850388,-31.726936,4.564488,-5.600051
dense,49,15613,8616,1416.67,525.79,0.06,0.54,312.009,5.42,509.648,655.022,547.281,103.088,23.913,120.88,572.444,209.125,558.581,147.912,297.0,452.161,629.681,301.774,351.526,294.824,377.094,318.074,495.129,719.216,44.317,495.674,359.512,483.738,361.566,564.992,98.941,297.733,30.527,626.248,924.806,439.75,150.276,213.553,64.381,54.518,326.665,694.15,318.674,8.784935,-32.861347,5.451397,-6.0027575
dense,50,14639,8568,300.39,115.55,0.28,0.72,354.42,3.21,392.549,511.281,248.486,197.883,1.0,120.88,494.333,472.75,541.987,206.676,124.333,426.381,306.728,97.677,193.789,221.368,576.894,396.257,516.613,609.858,95.756,341.239,375.625,88.161,292.099,562.463,216.471,228.495,15.764,559.881,634.774,618.625,115.828,163.957,43.254,143.714,370.674,629.323,151.477,7.606716,-30.787464,5.380275,-6.0504417
dense,51,16536,8601,213.9,82.87,0.39,0.84,255.462,3.21,787.758,463.367,505.027,18.015,239.294,60.94,395.667,382.563,505.478,118.529,247.667,374.819,608.151,237.323,404.105,243.404,494.624,318.074,269.548,565.524,11.829,502.913,254.778,175.322,265.636,542.23,196.882,357.079,69.897,661.178,731.452,530.875,253.621,121.447,49.29,54.518,1000.0,609.376,310.314,6.9976273,-32.427128,5.4286475,-6.291124
dense,52,9583,8826,207.44,95.27,0.29,0.73,269.599,1.0,538.923,511.281,124.743,511.438,216.381,240.76,687.556,271.562,372.721,30.382,13.333,162.129,358.401,86.935,553.079,103.838,224.306,131.304,248.065,698.527,22.659,674.239,331.315,208.846,348.334,719.268,1.0,188.931,30.527,720.559,559.581,466.75,69.897,114.362,46.272,72.357,243.048,571.145,51.159,11.149963,-27.079136,4.2904835,-4.4551773
dense,53,16680,8856,377.14,139.08,0.25,0.73,208.34,5.42,838.989,350.77,523.136,1.0,225.546,100.9,362.778,209.125,505.478,59.765,408.0,471.497,608.151,516.613,193.789,346.243,224.306,239.891,376.968,479.811,3.707,396.739,230.609,101.57,252.404,524.527,412.353,198.822,89.581,514.472,667.0,368.875,345.483,142.702,49.29,125.875,995.599,614.363,435.711,6.536148,-33.054363,5.0660458,-6.8314795
dense,54,10682,8860,255.19,97.09,0.34,0.78,491.075,3.21,743.846,487.324,348.085,42.321,14.748,60.94,601.222,465.812,273.153,59.765,50.333,233.026,466.052,22.484,202.553,316.86,447.612,252.922,248.065,467.988,17.244,898.652,395.766,182.027,202.785,731.914,157.706,208.713,10.842,629.741,527.355,595.0,253.621,192.298,40.236,161.554,401.48,596.078,201.636,11.291416,-32.42326,5.0480933,-5.9431844
dense,55,11693,8908,242.61,100.51,0.3,0.77,321.434,3.21,601.132,504.094,366.193,73.92,14.748,200.8,449.111,202.188,329.575,59.765,75.0,245.916,444.522,54.71,79.868,206.676,236.059,192.113,344.742,479.811,6.415,727.326,311.173,195.436,192.861,650.982,20.588,198.822,15.764,605.29,613.29,473.5,138.793,149.787,43.254,36.679,533.507,594.416,214.176,11.139343,-30.93901,4.443179,-5.7938933
dense,56,12876,8951,206.8,92.29,0.31,0.76,439.241,3.21,487.692,516.072,278.668,251.358,5.583,180.82,313.444,223.0,306.342,59.765,112.0,220.135,414.379,33.226,27.289,125.875,330.082,283.326,409.194,524.145,14.537,408.804,250.75,108.275,189.553,529.585,20.588,446.099,10.842,374.752,441.419,382.375,196.207,248.979,52.308,72.357,718.344,562.834,251.795,8.352661,-28.128338,4.181524,-6.358766
dense,57,16473,8950,215.97,98.59,0.28,0.73,184.778,3.21,388.89,425.036,523.136,25.307,51.408,100.9,387.444,229.938,654.831,30.382,321.667,316.813,608.151,194.355,53.579,221.368,153.788,218.174,301.774,544.834,33.488,312.283,190.327,135.094,139.934,514.41,118.529,169.149,55.133,357.287,838.871,395.875,184.724,71.851,49.29,125.875,260.652,632.647,272.695,10.233742,-32.328564,4.3887887,-6.779397
dense,58,11410,8987,228.76,130.24,0.17,0.65,373.269,3.21,516.967,489.719,308.849,144.409,60.573,120.88,395.667,118.938,253.239,30.382,62.667,168.574,453.134,291.032,334.0,118.529,236.059,126.961,409.194,467.988,25.366,582.543,262.835,188.732,275.56,537.172,20.588,188.931,5.921,483.035,624.032,352.0,138.793,192.298,34.199,108.036,256.251,469.749,268.515,12.28717,-30.443813,4.1410613,-6.365786
dense,59,238,9045,213.05,88.08,0.35,0.79,250.75,5.42,582.835,475.345,142.852,93.365,436.344,60.94,473.778,438.062,399.272,30.382,62.667,129.903,280.892,11.742,71.105,177.294,247.812,274.639,452.161,470.944,19.951,495.674,379.653,195.436,331.795,521.997,98.941,495.554,30.527,311.878,398.452,642.25,242.138,121.447,40.236,18.839,203.441,609.376,105.498,15.540207,-27.708767,4.433394,-5.133213
dense,60,13515,9116,473.57,186.84,0.17,0.63,363.844,3.21,820.692,484.928,275.65,183.299,88.069,40.96,260.0,257.688,558.581,59.765,112.0,323.258,267.974,33.226,97.395,177.294,283.071,161.709,355.484,600.991,14.537,396.739,282.976,235.664,229.248,557.405,79.353,188.931,25.606,441.119,376.968,406.0,104.345,171.043,31.181,108.036,344.269,624.336,172.377,10.278675,-29.265411,4.198083,-5.6528745
dense,61,11032,9088,201.33,91.81,0.3,0.78,283.736,1.0,663.341,554.403,296.776,47.182,124.729,60.94,547.778,202.188,332.894,30.382,1.0,291.032,483.276,22.484,97.395,316.86,189.047,166.052,291.032,544.834,17.244,751.457,242.694,195.436,159.781,666.157,1.0,179.04,20.685,493.514,570.323,409.375,161.759,121.447,43.254,215.071,269.454,584.443,118.038,13.14555,-31.029911,4.4956865,-5.623217
dense,62,9317,9143,269.76,101.83,0.33,0.81,147.08,1.0,659.681,549.612,130.779,129.825,321.78,20.98,576.556,354.813,336.213,118.529,25.667,168.574,534.948,11.742,193.789,177.294,271.318,135.648,194.355,521.189,17.244,447.413,109.762,222.255,242.48,567.522,1.0,188.931,45.291,545.909,602.548,574.75,92.862,64.766,43.254,108.036,75.815,619.349,42.799,14.491978,-27.862629,4.541613,-4.8677497
dense,63,10519,9140,198.06,84.6,0.35,0.77,604.17,3.21,623.088,552.007,245.468,59.336,175.138,100.9,490.222,458.875,329.575,206.676,13.333,349.039,590.927,11.742,88.632,507.846,271.318,257.265,269.548,420.698,19.951,775.587,379.653,202.141,182.937,701.565,392.765,307.624,30.527,395.71,570.323,564.625,334.0,213.553,58.344,125.875,278.256,616.025,176.556,11.372452,-33.113983,4.889391,-6.211467
dense,64,46,9191,255.55,107.86,0.28,0.79,217.764,5.42,542.582,575.964,112.671,166.285,514.248,60.94,724.556,42.625,429.143,30.382,75.0,84.787,405.767,54.71,211.316,147.912,165.541,118.274,538.097,482.766,30.78,447.413,311.173,349.644,305.331,436.008,1.0,188.931,45.291,360.78,441.419,588.25,58.414,114.362,40.236,18.839,269.454,727.394,118.038,17.661312,-28.640026,4.1819053,-5.035632
