class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,CD40,SMA,MAP2,CD8,CD31,Synaptophysin,AQP4,CD34,PCNA,IBA1,S100B,CD163,Claudin5,GFAP,PSD-95,Trem2,NeuN,HLA-DR,CD14,CD11b,CD3e,P2Rx7_Park7,DAPI_1,CD11c,CD4,GalMac3,ApoE,CD45,HLA-A,CD68,Vimentin,A-Beta,H2A.x,TMEM119,CD74,P2Ry12,CollagenIV,CD44,Neurofilament,ATG7,iNOS,UMAP_1,UMAP_2,TSNE_1,TSNE_2
diffuse,1000162,3114,2238,909.13,347.19,0.09,0.63,50.206,118.529,418.304,357.033,198.691,251.645,142.852,112.0,294.443,148.393,345.336,23.2,84.011,64.52,200.8,36.291,142.702,54.555,261.609,317.425,44.607,275.967,10.794,315.26,282.444,139.366,433.22,429.143,22.407,34.041,24.598,314.158,299.209,385.728,74.881,14.602,170.898,12.039,364.977,405.709,22.458,-16.527493,43.814545,-2.4875445,-0.89895195
diffuse,1000163,488,2222,255.69,103.08,0.3,0.73,50.206,147.912,541.598,367.573,198.691,120.952,263.577,85.882,339.754,252.115,298.574,12.1,35.35,324.376,271.1,60.723,128.532,44.256,229.033,208.937,31.393,187.535,4.265,328.234,353.439,131.064,559.624,417.634,18.839,30.154,71.795,381.448,239.567,372.796,58.82,2.511,109.735,42.395,109.419,424.533,12.921,-42.915894,3.6121235,2.3860157,-0.7698458
diffuse,1000164,1430,2228,267.91,119.15,0.24,0.69,65.082,206.676,509.984,320.727,163.107,99.468,314.885,98.941,331.123,104.721,455.864,12.1,35.35,208.884,282.2,14.573,114.362,40.136,218.174,190.855,31.393,191.68,20.588,303.727,267.231,131.064,429.143,447.558,15.271,41.815,87.528,321.922,261.933,337.233,71.669,59.943,184.49,25.837,477.267,502.517,58.222,-29.005676,44.75125,0.9906641,-1.1160371
diffuse,1000165,4469,2263,647.11,298.94,0.09,0.61,53.639,89.147,288.687,328.925,156.517,378.758,1.0,105.471,251.289,224.82,332.583,12.1,72.562,145.364,86.1,22.717,43.511,36.016,267.038,285.783,41.964,246.95,20.588,130.74,239.34,89.554,461.763,373.899,54.518,30.154,16.732,277.925,239.567,388.961,74.881,14.602,116.531,6.519,523.733,303.524,14.113,-10.285206,50.173866,-4.534809,-0.29683417
diffuse,1000166,5379,2254,314.6,149.38,0.18,0.73,51.351,89.147,383.528,358.204,171.015,163.919,37.218,190.353,367.803,121.098,332.583,23.2,81.149,99.168,121.25,28.147,163.957,31.897,256.179,227.018,44.607,282.876,46.706,194.169,208.914,100.623,482.151,433.747,40.246,18.492,24.598,350.391,321.575,482.718,68.457,25.182,225.265,3.76,546.965,370.751,23.65,-13.463354,49.398315,-3.521707,-0.6953297
diffuse,1000167,1219,2287,992.34,274.99,0.16,0.7,74.237,89.147,364.56,325.411,140.702,235.532,290.74,223.0,393.695,219.361,324.081,12.1,52.524,174.237,149.0,55.293,362.34,56.614,250.75,285.783,30.071,235.896,53.235,310.935,388.937,158.737,669.718,459.067,47.382,37.928,87.528,712.723,284.299,440.689,84.518,10.068,204.878,17.558,221.709,448.735,15.305,-27.036072,3.0831614,2.1065974,2.8355844
diffuse,1000168,4396,2262,452.68,191.16,0.16,0.63,66.227,118.529,288.687,342.979,186.83,249.855,4.018,164.235,300.916,175.689,451.613,23.2,112.636,191.561,121.25,28.147,50.596,44.256,250.75,294.824,45.929,249.714,23.853,207.143,254.553,133.831,531.082,433.747,97.332,35.984,103.26,438.386,261.933,388.961,94.154,19.136,204.878,9.279,585.686,385.541,31.995,-10.657236,45.260723,-4.088865,-0.19829246
diffuse,1000169,2782,2292,208.79,106.85,0.23,0.73,43.34,89.147,323.462,286.763,153.881,330.419,336.012,79.353,398.011,344.918,668.417,23.2,26.762,64.52,198.95,6.429,93.106,118.408,310.473,394.271,49.893,220.697,43.441,393.104,350.904,147.668,657.486,585.668,33.111,138.994,24.598,637.668,291.754,612.039,145.55,14.602,150.51,17.558,314.64,517.307,14.113,-36.891037,20.696838,4.2911463,0.0749564
diffuse,1000170,2902,2318,307.14,183.43,0.11,0.59,53.639,89.147,532.114,326.583,155.199,425.306,118.707,92.412,376.434,208.443,404.851,45.4,32.487,191.561,186.0,3.715,100.191,68.973,267.038,258.661,32.714,233.133,27.118,328.234,252.018,150.435,575.935,585.668,4.568,20.436,40.331,505.676,261.933,518.282,71.669,8.557,157.306,14.798,283.663,490.416,12.921,-22.063293,26.571707,-0.38759485,-0.2217613
diffuse,1000171,3345,2354,1363.73,445.21,0.09,0.65,50.206,89.147,367.722,344.15,185.512,153.177,40.236,92.412,322.492,153.852,345.336,23.2,43.937,122.266,182.3,9.144,114.362,54.555,223.603,254.14,39.321,242.805,43.441,266.247,234.269,114.46,506.616,482.085,4.568,24.323,16.732,508.264,291.754,337.233,65.244,16.113,130.122,9.279,384.337,408.398,16.498,1.2998543,22.26299,-2.0106165,3.1408322
