class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,PSD-95,NeuN,CD68,CD11c,E5,E9,CD8,H2A.x,CD3e,ATG7,CD163,ApoE,E7,Olig2,HLA-A,SMA,TMEM119,Vimentin,CD11b,Synaptophysin,a-Beta,Neurofilament,CD4,CD40,CD45,CD34,PCNA,Claudin-5,E2,E10,DAPI_1,CD31,HLA-DR,Gal3,AQP4,GFAP,E6,CD74,IBA1,CD14,P2Rx7,MAP2,CD44,E3,CollagenIV,S100B,E4,E1,E8,UMAP_1,UMAP_2,TSNE_1,TSNE_2
diffuse,1000558,24093,12850,1600.51,558.57,0.06,0.56,374.52,52.536,70.4,175.068,41.469,11.159,141.462,50.95,180.707,679.668,51.582,10.699,33.313,10.207,10.098,1.0,518.689,18.526,142.273,667.0,349.625,63.764,136.519,574.645,164.421,54.586,262.824,2.316,165.991,46.409,53.977,115.041,21.242,124.214,294.04,115.689,233.124,24.156,120.222,216.471,681.503,548.397,2.286,8.17,4.82,353.969,51.391,4.23,76.754,-5.57703,6.548789,-6.070292,0.7647784
diffuse,1000559,22148,12911,3559.48,803.29,0.07,0.64,313.74,108.036,46.658,178.312,88.875,251.597,140.029,13.487,142.501,540.315,32.614,30.097,69.664,28.622,13.738,1.0,392.765,3.921,113.682,623.483,317.399,131.759,106.537,467.33,177.211,4.828,196.733,2.316,136.816,59.081,31.273,148.113,28.386,108.51,136.42,52.308,226.616,35.733,83.222,153.788,770.265,493.658,2.286,27.289,6.73,324.825,58.95,2.077,108.318,-12.724726,13.04607,-4.787406,2.4929407
diffuse,1000560,23190,12805,935.0,217.56,0.25,0.79,303.794,583.75,52.137,199.935,48.406,14.546,145.762,100.9,184.952,522.217,38.937,8.544,40.044,10.207,8.279,1.0,347.992,18.526,120.409,587.534,273.455,48.073,150.91,551.23,212.737,1.0,417.885,2.316,175.045,52.745,118.307,158.377,28.386,120.59,58.72,28.163,235.293,27.464,70.889,114.612,728.495,566.644,2.286,12.95,8.641,128.911,55.17,4.23,83.066,-5.3363647,-0.0005502701,-7.64246,-0.8131375
diffuse,1000561,25191,12867,3925.25,911.46,0.06,0.56,386.676,76.321,46.658,121.01,73.844,1.0,141.462,13.487,95.806,435.348,32.614,33.33,38.698,33.226,31.934,2.321,389.966,56.5,108.636,655.648,601.572,42.843,114.932,525.865,107.579,20.138,237.405,12.846,178.063,20.008,35.057,152.675,14.098,110.926,154.18,109.653,214.684,22.502,87.333,102.859,744.159,502.781,4.857,2.195,20.101,119.196,74.067,18.224,76.754,-11.82943,13.390373,-5.234013,2.9599001
diffuse,1000562,21779,12809,458.58,114.48,0.44,0.82,249.645,8.929,39.353,173.987,66.906,166.936,137.162,1.0,115.616,549.364,26.291,22.553,42.737,5.604,6.459,1.0,350.79,1.0,106.955,483.472,226.581,147.45,110.134,406.844,157.316,1.0,117.931,3.632,129.773,101.322,46.409,117.322,24.814,106.094,7.66,25.145,232.039,24.156,29.778,67.6,801.592,594.014,2.286,8.17,6.73,345.874,56.43,2.077,103.583,3.4792995,-4.476475,-4.8435407,-2.4579635
diffuse,1000563,21590,12858,1894.79,478.18,0.1,0.74,270.642,52.536,32.048,221.558,55.344,109.366,147.195,1.0,80.241,567.462,32.614,34.408,26.581,1.0,6.459,1.0,420.748,1.0,118.727,485.364,595.713,184.063,113.732,445.867,202.789,1.0,166.229,2.316,143.858,123.499,46.409,118.462,20.051,102.47,5.44,7.036,233.124,30.772,50.333,71.518,714.571,607.699,1.0,1.0,6.73,409.019,45.092,1.0,100.427,-7.874611,3.7493725,-4.7492933,0.27647778
diffuse,1000564,20468,12847,1168.58,381.95,0.1,0.69,210.967,84.25,43.005,204.26,73.844,187.254,125.696,13.487,102.881,493.261,32.614,30.097,33.313,1.0,11.918,1.0,468.319,1.0,143.955,449.415,469.739,157.911,126.924,371.723,234.053,8.655,168.771,3.632,139.834,113.995,42.625,127.586,31.958,92.807,9.88,88.526,233.124,57.235,149.0,83.271,725.014,489.096,12.571,2.195,8.641,470.546,55.17,2.077,105.161,-1.2935715,-0.24609947,-3.9266124,-1.4761518
diffuse,1000565,21971,12829,293.78,122.48,0.25,0.75,290.533,12.893,33.874,158.851,101.594,254.983,150.062,1.0,124.106,402.772,32.614,34.408,76.396,5.604,19.197,1.0,306.017,3.921,85.091,561.045,270.525,53.304,88.547,562.938,124.632,4.828,102.679,3.632,165.991,66.474,16.136,148.113,22.433,107.302,36.52,61.363,239.632,37.387,25.667,145.953,691.946,534.712,1.0,29.679,6.73,140.245,66.508,3.153,122.521,3.5990906,0.24873161,-6.9244,-0.63672084
diffuse,1000566,23301,12866,282.77,143.11,0.17,0.68,339.157,24.786,57.616,154.526,50.719,14.546,155.795,13.487,142.501,547.554,38.937,18.243,42.737,10.207,19.197,1.0,457.126,15.605,135.545,578.074,343.765,37.613,130.522,664.398,167.263,1.0,168.771,3.632,174.039,42.185,23.705,159.517,20.051,143.542,214.12,58.344,233.124,50.619,116.111,192.965,899.056,580.329,2.286,20.12,8.641,307.015,85.405,10.689,73.597,0.3599968,3.236042,-7.165182,-0.63731104
diffuse,1000567,24740,13072,23376.88,3214.23,0.03,0.57,371.205,135.786,50.311,109.117,56.5,4.386,165.828,25.975,94.391,406.391,32.614,25.786,29.274,28.622,10.098,2.321,398.361,33.132,113.682,634.835,481.457,37.613,113.732,529.768,113.263,12.483,211.985,3.632,171.021,24.233,35.057,121.884,17.67,100.054,191.92,170.015,224.446,32.425,124.333,130.282,627.551,502.781,15.143,2.195,8.641,182.342,50.131,7.459,67.284,-18.051247,32.467525,-4.758302,5.9020004
diffuse,1000568,22281,12892,1179.24,364.42,0.11,0.67,288.323,147.679,44.832,155.607,100.437,234.664,140.029,25.975,145.331,408.201,32.614,25.786,80.435,5.604,19.197,2.321,384.37,3.921,112.0,519.42,250.018,110.838,105.337,535.621,133.158,4.828,156.061,3.632,144.864,66.474,65.33,137.849,22.433,119.382,32.08,16.091,224.446,39.041,99.667,145.953,711.091,511.904,1.0,38.044,4.82,357.207,71.547,3.153,116.209,1.1509781,-0.07828903,-4.8639913,-0.87948334
diffuse,1000569,21066,12877,236.43,105.51,0.27,0.72,243.014,36.679,30.221,211.828,69.219,119.525,138.595,13.487,73.166,516.788,32.614,23.631,30.62,1.0,10.098,1.0,334.0,1.0,103.591,462.659,299.821,157.911,114.932,360.016,195.684,8.655,133.183,1.0,161.967,135.115,27.489,151.534,20.051,97.638,3.22,16.091,241.801,39.041,33.889,87.188,799.852,708.055,1.0,1.0,8.641,470.546,47.612,1.0,117.787,1.8927345,-7.4504967,-4.9219165,-3.0388062
