cell,x,y,area µm²,PSD-95,NeuN,CD68,CD11c,E5,E9,CD8,H2A.x,CD3e,ATG7,CD163,ApoE,E7,Olig2,HLA-A,SMA,TMEM119,Vimentin,CD11b,Synaptophysin,a-Beta,CD4,CD40,CD45,CD34,PCNA,Claudin-5,E2,E10,DAPI_1,CD31,HLA-DR,Gal3,AQP4,GFAP,E6,CD74,IBA1,CD14,P2Rx7,MAP2,CD44,E3,CollagenIV,S100B,E4,E1,E8,None,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1741,5690,4831,96.79,311.559,160.445,501.113,213.033,50.95,146.851,82.736,63.209,55.797,254.965,10.036,2.019,89.407,126.573,27.203,1.0,405.357,3.636,223.687,172.019,1.0,16.06,251.269,461.71,312.363,15.614,421.269,4.453,77.432,262.508,293.358,110.35,122.374,44.347,10.924,5.45,179.907,346.292,395.582,19.312,532.253,134.653,1.0,1.0,10.137,506.439,80.581,2.171,215.738,12.486593,-45.407887,-2.8099124,13.496223
1742,6748,17451,112.0,5.343,5.233,383.439,130.462,61.284,10.41,86.773,88.824,88.465,64.228,10.036,135.559,46.309,249.355,90.528,7.062,19.615,105.117,173.17,1.0,4.24,78.812,280.346,238.516,136.905,11.439,499.352,37.829,95.733,91.305,373.331,91.45,64.28,99.791,194.515,163.421,77.846,255.779,303.209,142.406,2.221,1.0,211.316,65.8,1.0,721.547,114.446,27.937,175.28,22.095316,29.40815,-5.25694,-10.078817
1743,23576,5326,89.97,163.88,9.466,178.736,186.529,32.003,37.071,96.864,19.297,228.62,87.411,16.06,47.892,39.678,27.51,51.223,1.0,180.944,23.405,170.077,59.397,1.0,18.57,200.385,397.258,120.677,8.307,185.872,1.0,145.252,162.797,343.177,18.55,291.467,134.066,17.54,18.8,185.911,326.178,365.932,69.16,140.225,5.531,45.847,2.8,10.137,110.534,45.024,2.171,4.112,24.613903,5.110262,-1.9759948,-4.343229
1744,22217,1477,133.74,172.567,29.22,235.121,180.412,18.224,234.675,26.227,107.121,137.994,229.674,10.036,118.23,12.051,19.138,71.967,1.0,539.798,95.892,214.409,259.614,1.0,113.952,117.308,137.065,434.069,6.219,366.152,1.0,122.645,315.186,348.421,7.75,106.813,27.21,42.349,123.372,103.061,407.752,558.661,151.562,589.653,148.245,82.961,6.4,8.107,279.453,73.808,2.171,144.159,16.35722,-45.84527,-7.822362,16.652927
1745,14758,17537,32.12,174.739,8.055,167.704,89.687,97.455,123.327,118.055,33.934,107.434,61.066,6.02,8.136,49.624,5.186,50.131,8.274,458.099,4.954,236.059,199.132,6.4,1.0,350.962,527.355,166.317,3.088,293.81,49.339,161.4,298.254,191.098,198.1,209.514,102.815,131.664,12.125,211.126,700.523,607.699,110.87,10.77,37.245,8.732,105.4,2.015,125.05,102.593,34.964,161.276,25.990082,-39.816566,-7.5299497,13.0427065
1747,7048,1109,487.08,216.002,8.055,204.477,200.8,13.057,1.0,33.291,8.319,96.896,455.187,2.004,227.304,2.105,19.138,16.285,1.0,106.484,4.954,88.632,330.524,140.32,41.161,129.769,133.484,280.923,11.439,199.652,1.0,137.717,2.881,84.906,5.05,175.28,25.194,149.858,83.323,98.258,122.802,443.479,7.104,461.419,166.367,1.0,1.0,6.076,373.151,1.0,1.0,69.467,3.185978,-45.24823,2.557207,15.042198
1748,22469,8611,163.16,129.133,12.288,79.449,183.47,28.559,137.441,44.391,11.978,153.801,384.582,184.736,51.969,42.993,31.696,15.193,1.0,36.161,74.805,161.83,1.0,1.0,103.912,177.538,302.968,126.762,13.527,65.303,4.453,84.968,249.339,216.008,48.25,105.776,117.936,131.664,134.497,195.517,254.661,169.781,256.345,292.884,3.265,92.24,19.0,14.198,556.587,16.239,1.0,150.383,10.645081,-2.537445,4.8643956,1.5083641
1749,5148,11248,104.32,137.82,22.165,237.573,203.858,145.683,113.917,97.873,35.764,199.114,234.943,7.024,114.152,150.187,101.458,83.977,4.637,59.947,77.441,182.449,1.0,28.0,63.751,408.077,496.323,409.728,23.966,435.048,26.32,37.601,260.627,398.24,109.0,112.0,110.88,212.709,239.069,155.893,456.919,478.832,199.376,142.667,1.0,330.392,73.0,15.213,518.316,326.098,18.567,113.037,5.4565544,17.703568,-8.817367,-4.7812896
1750,8107,14321,119.67,5.343,1.0,124.802,51.969,121.569,93.529,84.755,4.659,194.899,204.383,81.322,77.454,35.258,9.372,68.692,3.425,2.034,157.835,175.232,1.0,1.0,234.435,234.654,311.323,135.89,2.044,52.672,10.207,139.87,241.814,45.575,102.25,356.822,179.429,173.013,174.546,178.707,106.04,267.856,182.081,25.425,1.0,246.884,105.4,1.0,369.192,134.764,17.396,85.028,8.843765,39.84822,-0.51774186,-15.632303
1751,24620,5796,155.77,218.174,10.877,110.093,767.58,100.9,38.639,59.527,19.297,217.028,491.016,27.105,124.346,47.414,35.881,35.938,1.0,380.537,252.727,153.582,140.735,9.64,71.281,306.308,403.226,420.884,5.176,209.986,1.0,87.121,213.593,12.799,25.3,592.308,139.106,168.051,223.494,195.517,268.07,515.325,152.579,458.977,7.796,432.457,1.0,15.213,305.847,34.864,1.0,22.785,-8.564413,-9.983032,-12.308305,4.689759
