cell,x,y,area µm²,ATG7,ApoE,TMEM119,E_9,IBA1,PSD95,HLA-DR,Neurofilament,CD163,CD14,CD11b,CD34,AQP4,E_8,CD3e,CD68,P2Rx7,Vimentin,Synaptophysin,Olig-2,DAPI_1,CD45,Gal3,SMA,E_7,PCNA,MAP2,E_1,GFAP,CD8,CD44,A-Beta,CD31,E_4,E_5,NeuN,E_3,CD40,S100B,HLA-A,E_10,E_6,H2A.x,CD74,Claudin5,E_2,CollagenIV,CD11c,CD4,UMAP_1,UMAP_2,TSNE_1,TSNE_2
255,21352,13358,104.75,415.03,19.557,37.848,120.446,86.088,17.879,6.097,1.0,9.066,63.043,19.44,17.678,130.87,3.073,25.515,16.106,278.311,167.712,216.273,38.121,299.626,57.712,205.528,2.502,67.473,10.405,22.255,5.073,510.863,9.169,6.192,18.034,7.167,30.205,34.48,111.862,23.044,221.558,571.71,6.269,56.558,30.549,157.47,8.292,4.064,5.132,5.107,170.679,33.088,32.659176,4.2339935,9.46342,4.281088
256,12827,819,232.95,447.22,99.972,53.202,171.12,39.868,52.691,14.252,136.08,9.066,95.642,24.863,41.027,146.854,7.218,15.301,13.085,428.331,115.535,409.682,53.407,140.645,131.873,163.389,2.502,8.597,119.083,69.017,5.073,247.641,22.007,2.038,6.01,44.167,8.049,11.8,19.685,6.01,179.753,352.92,25.237,38.738,14.638,85.253,8.292,27.558,10.298,68.764,114.454,20.253,11.919779,2.5334816,2.795103,11.247508
257,12520,13683,98.07,224.11,35.022,1.0,28.75,30.413,14.714,7.116,11.391,10.218,19.928,14.016,204.469,3.997,3.073,25.515,11.071,123.744,6.09,75.0,30.479,231.952,8.634,49.306,2.502,90.264,2.045,30.757,6.092,123.284,8.002,5.154,9.016,7.167,23.155,44.2,9.719,18.034,153.805,534.557,2.054,59.703,37.369,71.211,6.209,4.064,5.132,9.214,49.193,21.322,40.742153,33.81331,0.69368994,-5.5993586
258,11400,1611,216.6,631.48,124.715,39.895,282.12,48.271,42.141,17.31,33.657,10.218,120.88,29.202,151.1,230.77,16.545,14.279,13.085,557.894,167.712,169.182,64.325,172.871,107.88,270.278,5.507,84.567,209.996,9.502,16.275,265.258,23.174,6.192,38.074,59.583,36.247,47.44,20.93,29.056,74.519,473.667,55.797,78.572,72.601,19.054,10.375,87.825,70.217,53.363,104.414,22.392,36.035393,-21.224503,19.65759,4.7646875
259,20013,10572,224.71,466.09,39.661,18.401,19.098,55.625,36.867,14.252,32.172,10.218,66.198,12.932,51.033,28.972,6.182,21.429,12.078,136.246,151.168,290.273,21.744,115.939,67.527,118.167,5.507,63.675,28.169,103.026,5.073,202.044,11.504,2.038,17.032,26.694,10.064,22.6,10.965,10.018,136.506,273.455,3.108,52.365,15.775,52.154,9.334,5.086,2.033,10.24,143.571,20.253,23.890022,25.690456,-0.21544991,4.380735
260,11633,5476,24.45,200.8,33.475,36.825,130.098,1.0,25.263,9.155,318.661,13.675,119.828,27.033,17.678,67.933,4.109,26.537,19.127,452.198,48.087,1.0,349.285,503.723,24.993,22.583,10.014,151.04,129.532,1.0,35.624,15.508,6.835,252.308,10.018,26.694,14.092,65.8,5.983,33.064,148.039,249.718,37.883,20.917,64.645,41.12,9.334,23.472,21.662,18.454,7.024,65.176,-80.42148,14.519529,-12.791318,-10.371819
261,11675,7934,81.3,196.36,4.093,2.024,17.891,3.101,1.0,8.136,8.422,12.522,111.416,16.186,109.406,18.982,1.0,18.365,17.113,454.471,74.811,1.0,7.551,268.474,16.269,50.333,1.0,78.869,7.27,1.0,2.018,169.918,1.0,155.731,1.0,1.0,20.134,29.08,4.737,6.01,45.688,238.366,2.054,151.951,37.369,147.44,1.0,1.0,1.0,4.08,4.012,37.366,-30.018677,15.127056,-14.8539715,3.7117012
262,7715,12492,187.75,449.44,70.59,98.239,134.924,85.038,57.965,17.31,17.328,12.522,93.539,37.879,14.342,21.979,10.327,27.558,16.106,230.577,2.273,418.091,44.672,41.819,208.216,50.333,5.507,38.985,77.283,126.406,4.055,284.948,24.341,12.423,19.036,58.556,21.141,16.12,59.545,12.022,332.558,559.325,5.215,51.317,29.413,37.108,20.792,5.086,5.132,20.508,106.422,38.436,32.58674,11.932617,5.097384,3.4529364
263,25947,4288,116.83,35.41,1.0,283.504,192.837,329.798,229.916,111.094,103.423,160.01,412.167,108.384,72.715,904.096,100.485,219.595,235.644,16.911,297.518,149.0,221.544,231.952,406.707,292.889,98.647,202.319,281.054,1.0,176.156,708.798,53.518,362.385,349.698,315.5,158.101,157.6,306.181,159.317,401.753,370.465,156.962,125.744,179.433,397.19,120.797,196.101,352.251,292.589,303.21,202.084,-96.26957,69.72437,20.311106,-21.493324
264,10302,2238,95.08,225.22,10.279,15.33,125.272,44.069,16.824,28.523,69.282,4.457,51.476,22.694,164.442,60.94,3.073,12.236,6.035,464.7,83.72,115.364,11.918,141.719,35.9,86.306,4.005,76.97,78.328,26.506,7.11,261.113,11.504,16.577,20.038,13.333,13.085,12.88,32.141,8.014,24.065,618.151,3.108,111.068,40.778,31.09,4.125,3.043,48.522,6.134,16.06,12.766,14.587692,23.139122,-2.4727292,2.3464735
