cell,x,y,area µm²,E3,Vimentin,CD163,P2Ry12,a-Beta,PSD-95,CD11c,HLA-A,TMEM119,CD31,Gal3,HLA-DR,CD8,ATG7,MAP2,GFAP,CollagenIV,CD3e,CD4,NeuN,Neurofilament,CD74,Claudin-5,CD40,CD11b,E1,E10,Synaptophysin,CD34,ApoE,E2,PCNA,Olig2,E4,DAPI_1,H2A.x,E5,E6,E9,S100B,SMA,CD44,CD45,E8,CD68,AQP4,IBA1,CD14,E7,UMAP_1,UMAP_2,TSNE_1,TSNE_2
7538,4188,4034,196.14,6.385,37.638,2.013,1.0,1.0,38.162,162.09,41.517,128.367,13.403,62.397,31.811,4.534,285.476,18.106,3.312,44.278,2.37,126.974,5.43,108.036,93.654,4.36,29.785,195.021,2.313,83.998,3.689,109.477,29.866,1.0,285.483,135.309,11.557,245.022,174.664,1.0,4.465,60.328,262.407,30.929,359.291,375.351,28.129,31.621,40.823,380.573,137.737,13.646,-40.524246,2.9026852,0.2995899,16.99407
7539,10993,12039,130.33,5.039,1.0,1.0,1.0,1.0,43.627,124.823,11.129,386.424,8.893,2.041,23.516,21.027,256.584,14.685,2.156,1.0,1.0,134.298,6.538,128.423,194.623,2.12,82.275,454.059,4.938,32.69,1.0,24.966,41.161,1.0,342.821,154.496,10.238,289.702,102.448,1.0,11.394,56.5,330.232,1.0,109.541,488.424,16.958,177.069,2.138,609.948,186.718,15.226,-28.999348,23.53234,-11.027577,3.3494215
7540,926,14187,112.0,19.849,36.417,1.0,1.0,2.323,16.302,101.982,14.928,220.293,20.168,21.812,36.552,5.712,238.804,71.135,9.094,1.0,1.0,28.831,4.323,446.982,91.278,9.96,41.637,53.633,16.753,37.218,77.639,53.977,23.59,1.0,148.755,71.352,10.238,34.224,123.081,1.0,24.098,60.328,260.994,3.064,119.025,195.311,7.383,2.276,126.159,409.682,110.186,23.13,-48.797195,-26.23908,12.892336,1.4430273
7542,11672,3228,210.07,5.039,214.722,55.712,1.0,51.281,41.441,277.498,52.913,253.519,41.591,222.653,285.413,4.534,217.691,66.003,4.469,1.0,1.0,52.268,7.645,69.809,149.484,2.12,43.331,135.163,3.625,32.69,183.859,2.261,92.617,1.0,186.245,21.466,8.918,78.904,238.284,1.0,5.62,67.983,277.95,1.0,18.915,234.832,21.746,4.828,72.682,280.441,142.84,13.646,1.819561,-90.598366,27.210505,-6.2910347
7544,15950,2372,40.22,21.195,278.229,1.0,1.0,12.909,20.674,31.054,118.753,7.645,93.458,185.191,3.37,1.0,252.139,30.08,41.469,550.39,3.741,42.015,72.99,1.0,1.0,244.03,68.729,21.64,49.572,20.618,15.79,255.795,68.771,1.0,307.536,11.233,37.951,422.596,117.923,1.0,42.577,167.5,205.887,2.032,1.0,73.455,96.751,1.0,8.965,236.196,45.899,26.291,55.230286,-15.33275,-6.963459,-31.106535
7545,3371,9248,74.62,11.771,29.089,1.0,1.0,1.0,29.418,65.917,28.856,354.305,24.678,44.706,111.21,5.712,301.033,16.396,6.781,1.0,1.0,91.818,3.215,398.561,98.405,6.6,38.251,88.722,10.189,28.163,1.0,53.977,29.866,1.0,196.169,79.027,6.279,81.195,240.003,1.0,9.084,60.328,608.595,2.032,254.965,288.624,24.938,48.207,186.464,356.122,216.311,24.71,-36.942337,-20.271793,8.497211,-3.2869132
7547,17366,13453,112.85,3.693,270.901,1.0,1.0,403.246,23.953,148.866,26.323,294.498,15.658,174.784,179.943,9.246,286.587,96.795,4.469,2.202,1.0,56.663,8.753,64.712,167.302,2.12,56.876,148.58,4.938,32.69,179.825,3.523,67.516,1.0,206.093,36.816,4.959,105.253,260.637,1.0,5.62,25.879,316.102,2.032,389.851,344.612,13.767,200.034,315.036,272.29,228.556,8.903,-9.510784,39.054226,7.3004413,-12.433676
7548,12716,16708,150.23,9.078,4.664,1.0,1.0,1.0,6.465,80.343,9.863,200.357,12.275,4.122,5.74,1.0,176.575,30.08,5.625,1.0,1.0,112.326,3.215,95.293,151.86,2.12,17.932,240.43,6.251,37.218,9.067,11.091,19.825,1.0,218.222,29.141,11.557,125.875,119.642,1.0,4.465,66.069,258.168,1.0,103.218,335.83,29.725,17.586,38.548,339.822,197.943,13.646,-61.687325,19.66656,-3.3947036,14.298213
7549,23734,4680,75.75,5.039,214.722,1.0,1.0,7.616,10.837,80.343,108.624,23.151,73.163,306.944,1.0,1.0,289.921,26.659,7.938,373.671,1.0,39.085,38.656,1.0,1.0,200.352,45.024,78.402,12.815,49.29,33.269,422.295,43.671,1.0,238.07,17.629,15.517,355.003,164.348,1.0,7.929,138.793,297.733,1.0,2.054,93.215,52.067,1.0,170.534,230.374,63.246,46.84,53.77484,-14.095919,-7.1621704,-30.973236
7551,9230,10303,137.72,7.732,1.0,1.0,1.0,1.0,2.093,111.599,8.597,193.712,19.041,5.163,158.612,6.89,257.695,12.974,5.625,1.0,1.0,68.381,2.108,161.554,46.139,5.48,87.354,250.75,6.251,28.163,1.0,80.466,6.02,1.0,179.629,25.303,7.598,15.893,107.606,1.0,6.775,31.621,461.642,1.0,166.446,374.253,24.938,256.172,1.0,463.241,101.002,8.903,-38.782104,1.7658119,-1.2800285,2.8940253
7552,8347,1803,270.05,18.503,131.676,21.264,1.0,427.064,33.79,245.04,80.768,432.94,34.826,206.003,123.06,16.315,331.037,48.897,11.406,25.043,2.37,150.411,5.43,296.622,297.968,4.36,77.195,95.946,48.259,59.853,111.253,35.057,101.402,1.0,314.152,57.282,14.197,161.39,140.275,1.0,12.549,69.897,227.082,5.128,332.946,372.057,26.534,136.241,208.082,483.035,260.189,13.646,-13.453192,41.42745,7.359059,-13.282722
7553,888,2698,47.61,602.823,200.067,492.395,299.594,101.562,853.538,741.534,621.418,628.975,866.95,584.791,630.263,720.798,801.089,231.933,749.094,485.473,712.222,726.081,678.814,110.584,729.165,848.806,825.598,731.674,713.821,495.973,127.388,442.477,162.898,480.966,808.139,768.478,414.061,83.486,406.79,540.405,185.786,265.103,489.902,214.629,540.544,574.053,123.88,678.483,271.8,519.129,554.073,272.88,18.753536,10.881886,-15.4889765,-15.993528
7555,23528,19626,98.07,22.542,18.098,1.0,1.0,1.0,3.186,67.119,49.114,303.358,42.719,30.138,6.925,1.0,241.027,18.106,18.344,2.202,1.0,49.339,3.215,108.036,27.133,6.6,7.773,135.163,33.819,127.761,1.0,1.0,8.53,1.0,290.997,45.77,10.238,154.516,107.606,1.0,22.943,113.914,236.973,3.064,188.576,257.886,26.534,59.69,77.233,299.07,214.27,40.517,-65.68622,11.931232,1.001609,14.843728
