cell,x,y,area µm²,E3,Vimentin,CD163,P2Ry12,a-Beta,PSD-95,CD11c,HLA-A,TMEM119,CD31,Gal3,HLA-DR,CD8,ATG7,MAP2,GFAP,CollagenIV,CD3e,CD4,NeuN,Neurofilament,CD74,Claudin-5,CD40,CD11b,E1,E10,Synaptophysin,CD34,ApoE,E2,PCNA,Olig2,E4,DAPI_1,H2A.x,E5,E6,E9,S100B,SMA,CD44,CD45,E8,CD68,AQP4,IBA1,CD14,E7,UMAP_1,UMAP_2,TSNE_1,TSNE_2
2,4632,5496,118.25,11.771,14.434,1.0,1.0,1.0,26.139,128.43,31.388,549.232,19.041,7.244,24.701,2.178,205.467,16.396,7.938,1.0,1.0,102.072,3.215,187.038,179.181,4.36,72.115,206.373,11.502,53.817,11.756,161.193,24.845,1.0,221.53,111.005,22.115,133.894,265.795,1.0,6.775,115.828,444.686,2.032,243.373,401.698,29.725,155.379,2.138,500.5,263.25,23.13,-34.036762,40.54943,-17.99439,6.3304176
3,12713,12207,126.64,30.62,8.328,6.066,13.902,3.646,27.232,100.78,28.856,276.777,29.188,12.447,27.071,19.849,221.024,14.685,27.594,7.011,7.852,81.565,9.86,130.972,187.496,24.519,65.342,207.405,28.568,44.763,1.0,33.795,32.376,16.348,251.301,98.214,30.033,201.487,54.303,16.136,19.479,90.948,342.949,6.16,49.475,318.265,61.642,157.931,37.41,399.203,229.576,18.388,-59.699356,28.20045,-7.2678185,15.45664
4,6130,13914,75.19,11.771,20.54,14.171,1.0,1.0,4.279,127.227,30.122,98.463,3.255,33.259,132.541,9.246,268.808,26.659,7.938,1.0,1.0,53.733,3.215,113.133,126.914,4.36,34.864,182.636,16.753,31.181,6.378,28.75,31.121,1.0,112.368,49.607,4.959,7.874,193.578,1.0,4.465,48.845,390.992,2.032,95.842,308.385,8.979,55.862,142.089,437.626,118.349,10.484,-44.85974,-13.099655,11.250107,0.063576
5,3031,7549,230.53,17.156,91.374,1.0,1.0,1.0,40.348,237.827,164.335,476.134,30.316,87.372,236.826,10.425,415.491,23.238,9.094,1.0,1.0,153.34,5.43,164.102,230.259,5.48,148.31,199.149,11.502,34.199,1.0,50.193,71.281,1.0,952.586,95.656,7.598,266.789,141.995,1.0,12.549,94.776,361.318,2.032,170.661,515.869,40.896,188.552,62.442,895.21,693.871,23.13,-23.986061,29.300934,-14.733129,3.052583
7,5255,11144,253.27,17.156,1.0,1.0,1.0,1.0,3.186,98.375,4.798,420.757,4.383,2.041,14.036,4.534,282.142,18.106,4.469,1.0,1.0,71.311,4.323,125.875,96.03,2.12,46.717,145.483,3.625,31.181,3.689,48.932,11.04,1.0,222.632,25.303,7.598,66.302,150.592,1.0,10.239,54.586,403.709,1.0,111.649,363.275,47.28,104.345,1.0,491.185,228.556,19.968,-41.646545,27.801216,-8.791977,9.844227
9,12768,15251,112.28,9.078,201.289,2.013,1.0,1.0,16.302,129.632,221.312,194.819,171.258,181.028,215.495,9.246,295.477,16.396,3.312,122.419,1.0,310.075,28.688,41.776,37.824,194.752,92.434,147.548,4.938,44.763,1.0,269.67,58.731,1.0,275.56,50.886,3.639,120.147,191.859,1.0,5.62,50.759,588.813,2.032,183.307,350.101,12.171,133.69,39.686,239.689,277.536,10.484,28.238842,-2.00247,-10.503795,-19.79645
10,20098,15999,205.66,6.385,73.055,3.026,1.0,1.0,6.465,146.462,63.042,502.715,31.444,53.031,57.883,2.178,327.703,26.659,5.625,1.0,1.0,80.1,3.215,115.681,88.902,4.36,89.047,276.551,6.251,91.544,9.067,17.398,23.59,1.0,191.758,45.77,10.238,61.719,119.642,1.0,5.62,146.448,200.235,1.0,140.101,459.881,42.492,39.276,66.993,416.668,269.373,45.259,-48.66155,26.797592,-12.327359,16.610622
11,25959,13960,215.89,19.849,37.638,1.0,1.0,4.97,27.232,73.13,28.856,333.262,17.913,10.366,38.922,2.178,219.913,42.055,13.719,2.202,1.0,66.916,2.108,72.357,139.981,8.84,48.41,108.331,16.753,139.834,39.992,2.261,27.356,1.0,213.811,58.561,10.238,109.836,71.497,1.0,17.169,125.397,90.02,2.032,187.522,207.387,40.896,71.172,115.919,414.339,110.186,31.033,-67.62254,10.233601,2.5292892,14.91477
13,16774,9185,229.82,9.078,268.458,740.625,1.0,1.0,15.209,73.13,209.916,36.441,72.035,265.319,72.103,234.257,327.703,33.502,9.094,233.018,13.333,181.172,19.828,31.582,77.024,119.715,122.912,289.967,10.189,32.69,60.16,199.034,29.866,1.0,290.997,29.141,11.557,123.584,250.32,1.0,13.704,69.897,228.495,1.0,2.054,264.473,34.513,17.586,87.474,517.965,705.096,34.195,24.918259,-21.208866,-21.030592,-18.950323
14,5251,15310,102.33,3.693,8.328,1.0,1.0,1.0,21.767,128.43,9.863,493.855,15.658,29.097,36.552,15.137,304.367,303.779,2.156,1.0,1.0,56.663,54.162,199.781,230.259,2.12,56.876,122.779,2.313,38.727,424.533,9.83,44.926,1.0,225.94,11.233,4.959,124.729,143.714,1.0,9.084,46.931,253.929,1.0,42.098,229.343,15.363,16.31,110.23,350.301,175.493,10.484,6.790119,-105.58387,35.129578,-1.5832851
15,14516,20045,50.17,5.039,57.178,10.119,1.0,159.781,4.279,278.7,11.129,214.755,1.0,72.803,85.139,1.0,303.256,115.611,4.469,8.213,1.0,107.931,6.538,90.196,1.0,1.0,9.466,34.025,2.313,79.471,70.917,2.261,36.141,1.0,318.563,410.321,4.959,437.49,234.845,1.0,7.929,98.603,369.796,1.0,344.538,284.233,23.342,2.276,216.047,164.007,81.614,12.065,-61.460037,-9.175833,-0.16805983,20.564098
16,19330,18259,200.97,13.117,9.549,1.0,1.0,1.0,2.093,75.534,30.122,88.496,32.571,4.122,11.665,1.0,208.801,11.264,14.875,1.0,1.0,80.1,2.108,192.135,34.26,5.48,17.932,279.647,28.568,96.071,1.0,13.614,7.275,1.0,131.113,34.257,12.877,41.097,148.873,1.0,6.775,150.276,307.624,3.064,221.244,352.297,50.471,226.828,154.605,380.573,153.044,45.259,-53.197876,2.4324589,2.1785598,9.069623
17,3119,5585,56.57,22.542,386.922,1.0,1.0,1.0,40.348,91.162,297.281,47.517,294.16,283.009,3.37,54.013,204.356,30.08,11.406,557.603,2.37,75.705,46.409,18.839,1.0,354.906,124.605,20.608,20.691,53.817,17.135,597.625,28.611,1.0,380.311,59.84,20.795,216.381,124.8,1.0,11.394,90.948,366.97,2.032,150.639,95.411,23.342,3.552,48.788,395.71,353.048,26.291,49.22979,-4.7710304,-12.535894,-28.06368
19,6414,17355,207.22,6.385,90.153,1.0,1.0,102.885,21.767,112.801,30.122,61.915,76.545,162.297,1.0,1.0,273.253,141.271,5.625,214.986,1.0,17.113,37.549,146.263,8.127,81.637,6.08,31.961,3.625,31.181,315.624,137.227,31.121,1.0,134.421,17.629,6.279,70.884,193.578,1.0,6.775,56.5,211.539,2.032,1.0,122.856,12.171,1.0,168.259,144.213,77.532,10.484,-10.225614,-95.81754,25.896437,0.33473673
20,602,9680,152.22,11.771,202.51,13.158,1.0,1.0,13.023,97.173,8.597,311.111,29.188,189.353,232.085,3.356,309.923,31.791,7.938,1.0,1.0,40.55,4.323,248.202,233.823,7.72,33.171,102.138,8.876,40.236,2.345,101.909,33.631,1.0,166.397,50.886,8.918,65.156,255.478,1.0,10.239,73.724,460.229,2.032,268.665,301.798,23.342,221.724,262.697,297.906,189.779,18.388,-13.833178,35.655518,9.40684,-7.9633408
22,8316,241,320.36,33.313,98.702,13.158,1.0,183.599,34.883,231.816,57.977,461.736,32.571,86.331,407.473,3.356,368.819,52.318,18.344,10.617,2.37,106.466,6.538,250.75,198.187,6.6,105.98,219.789,24.629,83.998,15.79,38.841,58.731,1.0,299.818,270.896,24.754,321.78,174.664,1.0,7.929,102.431,471.533,2.032,321.354,400.6,47.28,200.034,231.976,412.01,339.782,18.388,-17.154852,40.21736,-17.999987,-5.231996
23,14395,18932,174.11,13.117,69.391,36.461,1.0,57.897,13.023,61.108,38.985,120.614,7.765,38.462,36.552,1.0,233.248,19.817,9.094,4.606,1.0,129.903,3.215,141.166,148.296,2.12,11.159,34.025,4.938,41.745,3.689,24.966,44.926,1.0,251.301,122.517,8.918,171.701,138.556,1.0,13.704,75.638,221.43,1.0,149.585,284.233,15.363,197.483,125.022,244.346,245.903,13.646,-62.762142,17.547108,-2.9377766,15.496414
24,17440,17079,213.05,10.425,52.293,1.0,1.0,1.0,7.558,157.282,76.97,260.164,14.53,69.681,91.064,1.0,299.922,9.553,7.938,201.762,1.0,260.271,3.215,39.227,97.218,2.12,38.251,238.366,7.564,147.379,1.0,8.568,41.161,1.0,267.841,39.374,4.959,153.37,190.139,1.0,7.929,89.034,458.816,2.032,298.171,451.099,39.3,160.483,553.977,673.986,251.005,24.71,-17.691538,10.985174,-5.677228,-8.402978
25,5526,12959,76.04,1.0,281.892,1.0,1.0,1.0,2.093,28.65,109.89,4.323,152.09,206.003,2.185,48.123,251.028,19.817,3.312,481.866,1.0,36.155,14.29,1.0,1.0,217.151,61.956,25.769,1.0,35.708,1.0,414.727,22.335,1.0,241.377,40.653,4.959,28.495,121.361,1.0,9.084,102.431,502.62,1.0,84.25,60.281,48.875,1.0,51.064,446.941,278.557,42.098,44.66037,-9.171658,-10.436032,-26.248941
26,16249,4185,91.25,3.693,16.877,23.29,1.0,8.939,69.859,115.206,6.065,242.443,25.806,46.787,11.665,3.356,306.59,103.637,3.312,1.0,2.37,80.1,10.968,85.099,163.738,2.12,65.342,145.483,2.313,26.654,237.641,1.0,34.886,1.0,279.97,15.07,7.598,251.896,111.045,1.0,5.62,66.069,195.996,1.0,3.108,286.429,16.958,22.69,38.548,207.087,112.227,8.903,-7.627331,-109.25272,32.829277,6.057878
28,22881,20353,132.18,6.385,8.328,1.0,1.0,1.0,9.744,46.682,8.597,277.885,55.122,1.0,35.367,1.0,242.138,16.396,5.625,1.0,1.0,61.057,2.108,21.388,46.139,1.0,2.693,278.615,7.564,139.834,1.0,1.0,9.785,1.0,234.762,40.653,7.598,165.972,138.556,1.0,7.929,90.948,152.192,1.0,143.263,319.363,12.171,379.931,22.618,251.332,163.248,12.065,-62.38231,11.621901,0.58265805,12.3149
29,14641,12575,148.1,13.117,35.196,1.0,1.0,1.0,3.186,157.282,16.194,306.681,26.933,23.894,38.922,5.712,295.477,21.527,12.562,1.0,2.37,167.988,3.215,148.811,201.75,4.36,107.673,403.49,4.938,56.835,6.378,40.102,18.57,1.0,198.374,44.49,15.517,19.33,178.103,1.0,13.704,64.155,454.577,2.032,117.972,513.674,16.958,156.655,276.351,488.857,220.392,24.71,-21.95476,7.2010956,-4.9449267,-6.6012917
30,9291,6527,327.61,10.425,33.974,1.0,1.0,1.0,18.488,180.123,26.323,391.961,13.403,35.341,16.406,8.068,322.147,38.634,22.969,19.032,2.37,140.157,10.968,181.941,221.944,11.08,85.661,237.334,14.127,53.817,3.689,48.932,26.101,1.0,358.258,57.282,23.435,154.516,197.017,1.0,14.859,144.534,376.861,2.032,215.975,465.37,42.492,115.828,221.736,582.003,263.25,32.614,-25.52087,35.944695,-18.254412,1.6358368
31,12049,17394,49.75,19.849,10.77,1.0,1.0,1.0,2.093,152.473,8.597,355.412,13.403,12.447,16.406,1.0,296.588,77.978,7.938,1.0,2.37,75.705,4.323,319.559,10.503,3.24,26.398,176.444,11.502,53.817,83.017,26.227,12.295,1.0,106.854,36.816,24.754,20.476,183.262,1.0,13.704,110.086,310.45,2.032,223.351,429.143,15.363,1.0,206.944,269.962,83.655,19.968,-41.43659,-20.95949,9.950749,-3.0976148
32,2559,11534,103.61,22.542,1.0,1.0,1.0,1.0,10.837,87.556,7.331,55.269,5.51,1.0,2.185,4.534,241.027,43.765,17.188,1.0,2.37,25.902,3.215,220.168,27.133,5.48,38.251,137.227,4.938,26.654,13.101,56.5,14.805,1.0,126.702,44.49,32.672,115.564,155.75,1.0,11.394,50.759,361.318,1.0,115.864,237.027,26.534,44.379,39.686,315.371,99.982,13.646,-52.664024,-13.509771,6.971391,5.599984
33,6128,9365,64.24,21.195,4.664,1.0,1.0,1.0,4.279,153.675,16.194,135.012,22.423,2.041,24.701,2.178,207.69,11.264,5.625,1.0,1.0,90.353,4.323,141.166,177.993,12.2,67.036,231.142,14.127,52.308,2.345,139.75,8.53,1.0,229.248,29.141,15.517,18.185,68.059,1.0,9.084,113.914,464.468,15.448,166.446,367.666,47.28,376.103,22.618,509.815,272.434,21.549,-33.215088,11.155094,-5.4200296,2.8549721
34,18467,16371,211.91,7.732,229.378,1.0,1.0,1.0,5.372,88.758,388.445,178.206,150.963,221.612,59.068,4.534,279.92,11.264,4.469,207.773,1.0,279.314,4.323,18.839,115.036,142.114,141.537,353.952,6.251,96.071,22.513,69.114,65.006,1.0,281.073,73.91,7.598,44.534,119.642,1.0,7.929,69.897,556.314,2.032,199.114,432.436,21.746,239.586,126.159,517.965,493.867,32.614,24.672077,0.018192291,-11.143028,-17.619444
35,23698,16013,51.73,6.385,114.578,1.0,1.0,159.781,1.0,130.834,52.913,378.671,63.015,25.975,138.466,43.41,219.913,26.659,7.938,17.83,1.0,36.155,2.108,44.324,14.067,3.24,11.159,135.163,11.502,97.58,33.269,1.0,59.986,1.0,160.884,24.024,8.918,25.058,81.814,1.0,7.929,35.448,229.908,2.032,270.772,224.952,16.958,41.828,177.361,207.087,165.289,16.807,-67.45792,9.375256,3.2391942,15.214037
36,2151,3371,143.83,14.464,302.654,1.0,1.0,146.55,49.092,169.303,47.848,475.027,17.913,128.997,61.438,4.534,318.813,21.527,12.562,3.404,1.0,71.311,6.538,115.681,226.696,5.48,28.092,87.69,20.691,82.489,10.412,66.591,23.59,1.0,382.517,148.1,20.795,305.741,257.198,1.0,10.239,64.155,488.489,2.032,288.687,366.568,32.917,115.828,54.477,327.014,232.637,8.903,-44.359085,45.548668,-23.502676,0.16786647
37,9318,14930,189.17,6.385,7.106,1.0,1.0,1.0,11.93,68.321,8.597,420.757,11.148,14.528,24.701,9.246,243.249,57.45,7.938,1.0,1.0,99.142,4.323,41.776,295.592,4.36,56.876,165.092,7.564,32.69,42.681,36.318,19.825,1.0,242.48,31.699,10.238,127.021,69.778,1.0,7.929,69.897,245.451,2.032,82.142,286.429,44.088,154.103,24.894,314.206,134.676,19.968,-61.00781,32.01116,-8.315113,15.229249
38,18466,18657,158.9,6.385,1.0,14.171,1.0,1.0,22.86,107.993,7.331,66.345,13.403,3.081,6.925,1.0,288.81,9.553,5.625,1.0,1.0,112.326,2.108,54.518,15.254,2.12,34.864,282.743,11.502,109.653,2.345,14.875,6.02,1.0,147.652,77.748,6.279,192.322,131.678,1.0,22.943,121.569,487.076,2.032,224.405,339.123,23.342,90.31,23.756,318.864,143.86,34.195,-45.75077,-4.7846527,2.4861248,3.4268444
39,5719,10339,83.71,6.385,264.795,1.0,1.0,1.0,27.232,13.022,284.62,24.258,253.569,256.994,1.0,89.355,184.354,19.817,5.625,154.877,1.0,24.437,39.764,1.0,1.0,317.947,95.82,14.416,6.251,35.708,26.546,267.148,185.489,1.0,273.354,48.328,8.918,115.564,35.389,1.0,5.62,37.362,157.844,1.0,61.066,65.77,15.363,3.552,8.965,321.192,234.678,12.065,46.253593,-11.388756,-8.870429,-27.317495
40,8068,18344,326.33,10.425,3.443,1.0,1.0,2.323,46.906,121.217,3.532,125.044,46.102,53.031,50.772,3.356,257.695,163.509,5.625,3.404,1.0,15.648,13.183,202.329,55.642,2.12,11.159,44.345,4.938,25.145,478.315,2.261,26.101,1.0,87.007,15.07,7.598,49.117,57.742,1.0,10.239,66.069,106.976,1.0,1.0,205.191,20.15,27.793,158.018,401.531,52.021,16.807,-12.467834,-99.613464,27.670555,2.7298155
42,13213,15958,145.11,2.346,1.0,1.0,1.0,1.0,1.0,111.599,9.863,33.119,3.255,1.0,2.185,1.0,223.247,11.264,3.312,1.0,1.0,84.494,2.108,72.357,42.576,2.12,31.478,392.137,3.625,49.29,1.0,90.557,12.295,1.0,73.775,9.954,3.639,35.369,131.678,1.0,4.465,73.724,533.706,1.0,99.003,305.091,20.15,76.276,1.0,381.738,93.859,12.065,-42.87261,-6.7819366,2.1115642,3.2582684
43,19433,16703,197.42,5.039,25.425,1.0,1.0,1.0,3.186,110.397,16.194,296.713,19.041,7.244,19.961,1.0,254.362,19.817,4.469,1.0,1.0,71.311,2.108,59.615,192.247,2.12,17.932,209.469,6.251,90.035,2.345,18.659,26.101,1.0,214.914,38.095,7.598,96.088,112.764,1.0,10.239,102.431,292.081,1.0,156.962,383.035,32.917,96.69,55.615,524.951,226.515,21.549,-47.284035,19.715004,-6.584078,8.267966
44,17076,7282,154.49,3.693,132.897,2.013,1.0,45.988,16.302,69.523,16.194,236.906,5.51,28.056,6.925,1.0,158.795,103.637,2.156,1.0,1.0,135.762,3.215,29.033,246.889,1.0,45.024,58.793,2.313,44.763,103.186,37.58,167.918,1.0,225.94,4.837,6.279,135.04,253.759,1.0,9.084,54.586,232.734,1.0,108.487,167.866,21.746,86.483,158.018,422.49,211.208,16.807,-2.5156822,-93.983215,17.559357,3.5362184
45,8587,9444,114.13,9.078,1.0,1.0,1.0,1.0,4.279,146.462,3.532,117.292,7.765,2.041,11.665,3.356,249.917,14.685,4.469,1.0,1.0,96.213,3.215,143.714,75.836,3.24,75.502,292.031,4.938,46.272,1.0,61.545,11.04,1.0,149.858,30.42,3.639,17.039,128.239,1.0,7.929,92.862,604.356,1.0,158.016,332.536,47.28,15.034,1.0,385.231,142.84,16.807,-38.50153,-8.632328,3.7219465,-0.050977446
46,6499,680,86.56,26.581,5.885,1.0,1.0,2.323,6.465,152.473,19.992,192.604,10.02,7.244,21.146,1.0,242.138,26.659,9.094,2.202,1.0,84.494,4.323,339.946,87.715,11.08,55.183,339.504,15.44,90.035,1.0,59.023,12.295,1.0,223.735,56.003,26.074,39.952,138.556,1.0,5.62,62.241,439.034,2.032,257.073,458.784,13.767,1.0,128.435,403.86,162.228,10.484,-26.826178,-9.394962,1.7552788,-4.6836705
47,14287,19293,164.44,15.81,60.842,1.0,1.0,1.0,5.372,144.058,80.768,332.154,38.209,21.812,24.701,1.0,259.918,33.502,14.875,1.0,1.0,138.692,3.215,209.974,248.077,4.36,23.012,121.747,22.004,61.363,9.067,12.352,31.121,1.0,195.066,84.143,20.795,75.467,145.434,1.0,29.873,125.397,246.864,2.032,169.608,402.796,32.917,254.897,180.774,317.699,266.312,32.614,-54.702908,29.230247,-10.101319,13.5574045
48,10324,11495,75.19,2.346,1.0,2.013,1.0,1.0,3.186,140.451,8.597,173.776,11.148,1.0,42.477,10.425,276.586,14.685,2.156,1.0,1.0,172.383,3.215,230.362,154.235,4.36,87.354,259.006,3.625,43.254,1.0,38.841,16.06,1.0,236.967,38.095,7.598,19.33,129.959,1.0,7.929,48.845,447.512,2.032,149.585,419.263,13.767,8.655,1.0,623.92,171.412,12.065,-29.851637,6.1747856,-4.767049,0.6580485
49,3960,2060,47.76,7.732,4.664,1.0,1.0,1.0,4.279,156.079,30.122,192.604,7.765,2.041,98.174,1.0,296.588,18.106,7.938,1.0,2.37,93.283,3.215,187.038,52.078,3.24,29.785,380.785,16.753,80.98,7.723,71.636,14.805,1.0,150.96,35.536,14.197,44.534,95.57,1.0,6.775,56.5,383.926,2.032,212.813,349.003,20.15,35.448,10.103,340.986,142.84,27.872,-44.115356,-2.541771,1.1637933,4.85135
50,26144,10098,81.01,23.888,118.242,1.0,1.0,2.323,17.395,37.065,183.327,24.258,59.632,241.384,1.0,2.178,213.246,55.74,21.812,353.235,1.0,24.437,27.581,3.548,1.0,199.232,23.012,15.448,11.502,62.872,35.958,197.773,47.436,1.0,278.868,9.954,16.836,185.448,61.181,1.0,9.084,150.276,132.41,2.032,2.054,38.325,44.088,1.0,96.576,238.524,39.776,15.226,49.22914,-16.999392,-6.2617455,-29.339365
51,18567,2985,77.46,5.039,33.974,1.0,1.0,343.703,16.302,127.227,35.186,389.746,20.168,68.641,104.1,2.178,303.256,201.142,12.562,2.202,1.0,55.198,5.43,146.263,75.836,4.36,61.956,127.939,11.502,31.181,232.262,2.261,569.526,10.767,120.086,16.35,26.074,43.389,219.37,1.0,9.084,66.069,303.385,6.16,70.551,268.864,28.129,4.828,286.591,330.507,120.39,13.646,15.764534,-85.78792,31.380085,-10.937224
53,492,8663,436.48,6.385,35.196,1.0,1.0,1.0,28.325,128.43,8.597,96.248,6.638,30.138,6.925,6.89,226.581,163.509,6.781,2.202,1.0,55.198,7.645,281.332,107.908,5.48,60.263,208.437,7.564,41.745,155.623,35.057,23.59,1.0,203.887,82.864,10.238,49.117,179.823,1.0,11.394,50.759,460.229,2.032,181.199,283.135,34.513,64.793,104.541,321.192,125.492,19.968,-43.70543,-21.94241,11.83503,-1.1168736
54,10155,7134,118.82,6.385,119.463,1.0,1.0,2.323,8.651,188.538,21.259,497.177,13.403,47.828,54.327,6.89,298.811,28.37,5.625,1.0,1.0,146.016,4.323,222.717,246.889,3.24,60.263,249.718,8.876,50.799,5.034,62.807,41.161,1.0,281.073,52.165,8.918,26.204,212.492,1.0,6.775,46.931,478.598,1.0,458.348,453.295,29.725,166.862,196.704,669.329,348.966,12.065,-23.81414,40.569004,-20.155748,3.0111506
55,14071,4788,292.08,5.039,11.991,82.055,1.0,364.874,68.766,169.303,19.992,194.819,59.632,78.006,749.954,13.959,267.696,103.637,6.781,1.0,1.0,87.424,5.43,13.742,350.234,2.12,85.661,231.142,14.127,31.181,284.7,1.0,361.192,1.0,177.424,29.141,6.279,88.069,171.225,1.0,7.929,54.586,253.929,4.096,18.915,354.492,10.575,23.966,140.951,436.462,368.354,10.484,6.6964216,-86.93863,26.371454,-7.2739973
56,3134,19336,78.74,22.542,626.291,13.158,4.686,10.262,7.558,47.884,150.407,5.43,165.621,300.7,1.0,1.0,212.135,35.212,36.844,294.329,1.0,18.578,27.581,3.548,1.0,317.947,21.319,8.224,94.205,76.453,42.681,682.136,53.711,1.0,123.394,18.908,41.91,132.749,312.22,1.0,69.14,286.155,153.605,23.705,1.0,39.423,52.067,1.0,15.792,322.357,87.736,100.584,51.223026,-10.908599,-9.903931,-30.306805
57,3461,1099,79.17,21.195,1.0,1.0,1.0,1.0,6.465,124.823,19.992,153.84,16.786,33.259,187.053,1.0,247.694,19.817,4.469,1.0,1.0,63.987,2.108,255.847,34.26,4.36,17.932,210.501,4.938,118.707,1.0,90.557,14.805,1.0,176.321,40.653,19.476,77.758,203.895,1.0,5.62,98.603,526.641,1.0,132.725,335.83,47.28,36.724,2.138,371.259,105.084,24.71,-39.55612,-11.421043,5.51309,-0.14754446
59,4527,14075,87.84,15.81,66.949,10.119,1.0,1.0,9.744,98.375,19.992,110.646,11.148,32.219,98.174,8.068,248.805,134.428,11.406,1.0,1.0,30.296,3.215,357.786,71.084,11.08,31.478,143.419,8.876,25.145,38.647,35.057,31.121,1.0,125.599,34.257,18.156,10.165,231.406,1.0,7.929,92.862,422.078,2.032,116.918,239.223,20.15,7.379,144.364,371.259,95.9,16.807,-45.57928,-23.100023,11.4100895,0.48200622
60,8841,9688,42.64,9.078,30.311,2.013,1.0,1.0,4.279,217.39,28.856,341.014,16.786,69.681,119.505,10.425,283.254,18.106,9.094,1.0,1.0,109.396,3.215,225.265,201.75,5.48,55.183,176.444,7.564,43.254,1.0,35.057,12.295,1.0,283.278,61.119,8.918,112.127,141.995,1.0,12.549,83.293,443.273,2.032,99.003,418.165,48.875,101.793,1.0,524.951,272.434,26.291,-31.546516,30.387459,-13.41531,-0.8521283
61,16495,17689,233.38,11.771,19.319,1.0,1.0,1.0,5.372,52.693,47.848,355.412,25.806,1.0,34.181,1.0,235.471,11.264,3.312,1.0,1.0,147.481,2.108,44.324,131.666,3.24,29.785,200.181,10.189,50.799,2.345,9.83,3.51,1.0,200.579,31.699,8.918,99.525,90.411,1.0,7.929,54.586,170.562,2.032,197.006,428.045,20.15,136.241,1.0,429.476,311.21,10.484,-52.625633,23.752552,-10.177259,17.708843
62,14386,10923,56.28,124.865,402.798,1.0,4.686,2.323,2.093,3.404,241.57,1.0,217.488,197.678,1.0,1.0,233.248,26.659,29.906,300.339,1.0,63.987,34.226,1.0,1.0,275.389,39.944,27.833,67.95,29.672,1.0,195.25,18.57,1.0,295.407,44.49,111.853,133.894,104.167,1.0,80.689,52.672,362.731,7.192,94.788,51.499,53.663,1.0,64.718,473.72,187.739,35.775,44.34424,-10.70924,-8.9328785,-26.861763
63,7272,3247,119.81,25.235,463.862,1.0,1.0,1.0,40.348,70.726,368.186,89.603,298.67,392.275,1.0,43.41,292.143,28.37,33.375,412.141,3.741,78.635,32.011,1.0,1.0,362.746,78.888,20.608,12.815,71.926,5.034,641.773,38.651,1.0,325.179,107.168,31.353,211.798,195.298,1.0,13.704,127.31,683.485,2.032,325.57,150.301,42.492,1.0,77.233,246.675,322.435,24.71,47.107327,-0.85139656,-13.76439,-27.042276
65,25673,10456,94.37,10.425,129.233,1.0,1.0,1.0,8.651,26.245,146.608,35.334,21.296,220.572,1.0,1.0,235.471,76.267,7.938,365.256,1.0,30.296,48.624,1.0,1.0,176.833,17.932,20.608,2.313,28.163,37.303,153.625,31.121,1.0,292.099,18.908,4.959,187.74,7.878,1.0,11.394,25.879,156.431,1.0,1.0,40.521,10.575,1.0,104.541,384.066,120.39,8.903,47.658512,-16.693829,-6.4467382,-27.952908
66,16383,13342,156.91,6.385,8.328,1.0,1.0,4.97,3.186,138.047,11.129,501.608,6.638,12.447,54.327,3.356,269.919,21.527,5.625,1.0,2.37,144.551,3.215,459.724,148.296,3.24,82.275,360.145,3.625,49.29,2.345,28.75,37.396,1.0,133.318,43.211,3.639,18.185,104.167,1.0,6.775,100.517,337.297,1.0,150.639,443.414,40.896,27.793,235.39,472.556,259.169,13.646,-30.879686,43.57422,-20.693424,6.0355206
67,11551,15554,81.58,3.693,244.033,1.0,2.843,1.0,3.186,33.458,130.148,36.441,78.8,141.484,2.185,42.232,245.472,23.238,4.469,146.462,1.0,206.073,10.968,6.097,1.0,130.915,82.275,34.025,18.066,73.435,1.0,289.852,18.57,1.0,259.02,35.536,27.394,41.097,66.339,1.0,17.169,96.69,340.123,2.032,110.595,97.607,24.938,1.0,18.067,361.944,167.33,21.549,35.57498,-9.632839,-8.719686,-22.66889
68,5114,10732,110.01,11.771,49.851,1.0,1.0,1.0,30.511,104.386,6.065,520.436,22.423,19.731,80.399,9.246,286.587,16.396,4.469,1.0,1.0,93.283,6.538,156.457,270.647,2.12,58.569,196.053,6.251,28.163,6.378,42.625,24.845,1.0,306.434,29.141,7.598,235.857,148.873,1.0,5.62,31.621,296.32,1.0,80.035,369.862,23.342,85.207,109.092,386.395,234.678,12.065,-50.64859,46.599014,-17.739813,14.620989
70,5915,10152,198.84,23.888,11.991,1.0,1.0,1.0,9.744,141.653,21.259,261.272,24.678,14.528,34.181,11.603,281.031,16.396,5.625,25.043,1.0,88.889,5.43,146.263,173.241,9.96,67.036,142.387,8.876,35.708,1.0,48.932,7.275,1.0,295.407,38.095,6.279,93.797,140.275,1.0,7.929,110.086,604.356,2.032,185.415,363.275,47.28,277.862,46.513,549.402,189.779,19.968,-28.87809,15.814402,-11.164408,-2.8508456
71,16564,18035,163.16,11.771,1.0,2.013,1.0,1.0,6.465,106.791,28.856,144.98,19.041,2.041,21.146,2.178,212.135,7.842,10.25,1.0,1.0,83.029,2.108,39.227,93.654,2.12,19.625,239.398,11.502,50.799,1.0,33.795,26.101,1.0,259.02,67.515,16.836,162.536,92.131,1.0,10.239,87.121,205.887,2.032,148.532,417.067,26.534,351.862,5.551,509.815,214.27,13.646,-45.3171,12.437641,-0.916698,10.428677
