cell,x,y,area µm²,CD40,SMA,MAP2,CD8,CD31,Synaptophysin,AQP4,CD34,PCNA,IBA1,S100B,CD163,Claudin5,GFAP,PSD-95,Trem2,NeuN,HLA-DR,CD14,CD11b,CD3e,P2Rx7(Park7),DAPI_1,CD11c,CD4,GalMac3,ApoE,CD45,HLA-A,CD68,Vimentin,A-Beta,H2A.x,TMEM119,CD74,P2Ry12,CollagenIV,CD44,Neurofilament,ATG7,iNOS,UMAP_1,UMAP_2,TSNE_1,TSNE_2
5480,4089,5458,283.97,173.077,3.842,96.93,265.856,153.55,253.023,263.624,103.153,294.889,411.163,250.444,3.033,119.178,115.415,106.045,35.862,63.438,130.389,188.837,139.0,100.9,270.393,131.304,270.972,250.483,141.737,90.745,255.001,103.517,124.659,70.106,5.832,82.358,378.31,234.979,84.787,257.697,15.242,43.393,353.298,50.151,8.16972,13.815051,-8.710148,1.3558052
5482,15989,3081,145.54,382.197,5.263,407.877,375.625,246.7,177.676,192.818,29.543,223.372,331.378,381.28,7.098,41.968,197.385,425.468,63.097,180.508,168.503,118.529,264.0,129.443,358.788,38.444,225.801,442.394,94.44,69.489,382.533,60.984,185.794,44.646,10.664,152.364,626.718,121.431,166.426,31.433,21.346,168.729,573.793,154.598,-13.638906,10.559757,-8.160669,10.956473
5483,16876,7846,355.75,186.221,10.947,29.118,203.418,207.55,99.731,1.0,25.036,6.587,272.944,42.574,13.195,202.691,130.785,260.397,142.625,30.268,293.88,14.642,178.0,348.611,1.0,57.915,291.981,161.991,47.143,44.691,95.586,239.844,159.395,95.566,77.103,135.335,205.097,105.373,409.194,80.391,19.312,47.079,344.676,277.476,-32.63839,37.37768,0.838804,-6.0317383
5484,6745,12189,190.59,220.876,1.0,207.747,256.792,48.25,234.836,237.876,16.023,217.785,352.729,299.355,5.065,1.0,64.185,288.266,14.073,28.316,95.283,160.504,156.0,78.473,281.618,188.219,222.65,278.204,90.979,97.83,321.955,23.903,163.563,20.398,56.567,120.199,585.093,127.165,129.903,139.934,25.415,65.511,501.116,78.413,-7.324357,31.334873,-2.3041046,9.434839
5485,3874,15179,85.99,55.969,1.0,139.934,294.053,40.15,211.453,37.046,7.009,180.909,231.366,170.965,13.195,1.0,86.385,18.15,5.358,4.902,136.407,163.652,221.0,88.667,329.323,59.412,256.265,248.351,81.751,81.298,244.373,24.993,294.17,9.487,2.208,95.602,560.923,225.804,123.458,11.585,10.156,139.238,278.158,64.897,9.589926,67.821594,8.7898655,2.3492525
5486,13096,17957,83.29,119.303,2.421,53.927,154.073,87.4,94.534,221.14,1.0,285.95,484.206,48.688,13.195,4.151,137.615,296.841,148.072,1.0,144.431,206.676,312.0,29.543,266.184,373.94,27.262,273.939,30.993,49.415,310.265,48.987,173.289,19.186,1.0,131.551,520.641,371.467,162.129,14.232,13.208,12.059,118.022,35.406,-22.480797,34.588367,3.251969,-1.9411854
5487,529,18705,78.46,122.888,1.0,70.467,59.409,1.0,480.364,79.53,28.041,151.856,222.376,136.727,3.033,1.0,82.969,5.288,30.414,1.0,61.181,198.282,151.0,17.31,319.501,147.78,13.606,237.689,9.075,77.755,145.536,23.903,66.303,3.425,2.208,55.869,94.992,339.352,48.265,6.293,81.368,107.904,9.623,2.229,-71.846466,47.169846,18.461102,-8.568497
5488,9563,8169,165.44,173.077,2.421,116.778,271.898,218.35,419.307,13.874,116.674,196.554,279.686,157.514,11.163,101.845,91.508,198.227,8.626,22.463,61.181,212.973,159.0,58.086,278.812,39.942,240.508,236.623,85.211,88.383,375.094,91.521,294.17,68.893,17.912,76.682,483.044,98.491,43.968,60.543,7.104,120.806,407.498,55.066,1.8773527,52.939297,4.098896,6.7647524
5491,1188,10153,319.79,189.806,2.421,126.702,259.814,134.65,99.731,129.737,41.561,243.487,399.926,172.187,4.049,46.696,47.108,172.502,9.715,18.561,92.274,163.652,139.0,77.454,224.091,74.39,198.489,255.814,90.979,70.67,256.064,41.353,132.996,32.522,11.872,99.386,436.048,167.309,61.155,52.604,11.173,155.827,455.539,93.159,-3.0775814,44.710495,1.994446,8.5666065
5492,14603,4903,140.99,382.197,1.0,24.156,420.943,418.15,293.295,223.715,203.805,831.265,296.542,350.711,61.977,346.08,178.6,249.678,101.227,10.756,76.226,745.003,615.0,118.23,271.796,237.645,187.984,534.084,464.739,187.574,777.882,456.876,330.295,270.148,3.416,48.301,26.512,68.67,121.31,191.538,262.449,6.53,669.874,243.07,30.244411,-17.02687,-19.678871,1.6475765
5493,12246,12011,116.4,690.501,2.421,1.0,374.618,98.2,777.856,2.287,13.018,439.04,970.783,3.446,936.991,26.211,12.954,99.614,158.966,20.512,682.045,874.076,526.0,330.262,137.1,429.357,46.17,963.75,255.941,4.543,429.295,224.575,540.099,338.041,2.208,114.523,13.085,468.959,235.174,31.433,130.199,1.0,488.798,469.166,-45.717724,-68.928635,-22.209389,-15.234346
