cell,x,y,area µm²,ATG7,ApoE,TMEM119,E_9,IBA1,PSD95,HLA-DR,Neurofilament,CD163,CD14,CD11b,CD34,AQP4,E_8,CD3e,CD68,P2Rx7,Vimentin,Synaptophysin,Olig-2,DAPI_1,CD45,Gal3,SMA,E_7,PCNA,MAP2,E_1,GFAP,CD8,CD44,A-Beta,CD31,E_4,E_5,NeuN,E_3,CD40,S100B,HLA-A,E_10,E_6,H2A.x,CD74,Claudin5,E_2,CollagenIV,CD11c,CD4,UMAP_1,UMAP_2,TSNE_1,TSNE_2
2632,13555,5893,48.04,88.824,20.329,213.419,74.098,243.857,8.007,56.729,244.609,9.073,100.9,80.079,69.546,58.928,4.033,21.243,67.669,213.921,43.401,1.0,51.875,59.207,197.359,14.671,3.151,97.16,38.111,1.0,22.553,124.945,5.115,322.543,3.44,18.839,30.132,63.929,2.179,21.758,131.033,364.892,22.155,44.546,52.79,23.0,69.931,8.956,10.186,8.992,20.498,66.857,17.911123,22.597027,-0.40886334,15.813887
2634,14009,15654,235.93,152.253,46.779,97.745,46.077,157.955,32.031,10.288,21.471,2.009,49.436,13.012,1.0,22.342,12.122,7.073,13.501,49.339,2.034,340.435,2.156,24.012,121.447,3.103,3.151,70.449,1.0,246.743,15.01,33.226,1.0,1.0,18.077,29.543,39.843,48.197,23.41,36.03,1.0,343.086,20.98,12.527,32.347,15.0,17.983,6.683,11.334,7.993,38.85,10.119,31.164124,-42.908722,-5.3293476,-28.648104
2635,12319,6832,81.58,93.703,18.294,278.617,82.626,255.522,27.026,54.665,332.635,12.1,145.3,92.091,21.31,90.432,6.056,23.267,20.792,293.334,43.401,1.0,83.094,80.866,216.59,29.393,8.527,202.225,59.175,14.356,34.408,89.001,9.231,334.739,19.297,40.246,72.617,133.413,4.538,54.194,229.807,521.625,51.538,76.565,66.419,26.0,66.934,31.686,43.486,16.984,23.939,61.791,19.810005,21.31879,0.40260217,16.619379
2636,3340,2597,61.4,7.099,2.017,207.109,54.605,284.156,8.007,49.505,520.971,8.064,102.918,69.068,26.388,12.179,2.011,11.122,19.751,244.995,3.068,1.0,66.906,434.171,154.848,5.206,2.075,59.765,224.672,1.0,11.777,80.325,5.115,165.098,16.857,3.379,31.346,19.354,2.179,13.974,48.512,296.748,59.765,125.235,41.887,50.0,138.862,5.546,30.855,5.995,10.176,43.554,59.572006,42.405563,15.01313,19.025835
2637,11540,4981,114.56,124.198,21.346,26.238,138.667,372.178,20.019,58.793,420.662,13.109,133.191,136.135,44.159,85.351,5.045,23.267,176.007,311.749,64.084,2.609,77.312,63.268,200.395,25.186,6.377,91.818,77.229,6.342,19.32,86.522,9.231,430.093,8.319,23.596,47.126,57.374,3.359,33.435,264.816,314.465,83.271,62.477,37.798,24.0,23.977,19.184,23.966,11.989,57.201,68.883,24.252174,19.76268,-1.586235,20.569878
2638,22543,859,87.55,182.747,47.796,471.056,99.682,502.621,25.024,38.153,217.996,3.018,153.373,153.152,1.0,31.488,7.067,11.122,112.463,232.335,3.068,187.609,5.625,338.061,229.748,2.052,3.151,11.684,162.485,174.623,8.544,30.747,5.115,1.0,10.758,22.407,39.843,52.13,42.281,20.461,77.269,469.835,16.279,4.842,44.613,33.0,115.885,4.41,17.076,7.993,130.606,55.712,-31.815506,13.803325,-12.523538,3.3383923
2639,4895,8212,58.27,4.659,83.402,6.258,41.204,254.462,46.045,26.801,1.0,14.118,8.064,26.025,484.633,4.049,73.802,39.462,26.001,2.151,236.789,2.609,41.469,370.549,9.097,199.748,26.808,170.171,210.63,1.0,120.621,3.479,8.202,3.218,54.67,272.157,207.355,316.957,38.743,147.606,237.309,146.829,304.226,35.581,300.836,40.0,50.95,415.829,53.821,305.695,60.642,49.633,52.784584,-84.36243,30.157534,-8.703112
2640,10392,8932,123.08,94.923,37.623,265.998,72.879,301.124,24.023,99.042,154.535,11.091,133.191,71.07,22.579,68.074,7.067,27.316,233.301,276.07,40.298,17.087,50.719,29.427,204.444,31.496,6.377,88.257,32.093,9.013,22.553,43.141,11.288,161.771,16.857,46.193,36.202,67.862,5.718,45.112,318.579,497.093,73.868,66.319,73.233,22.0,82.918,48.734,20.521,74.926,37.703,140.819,10.470089,27.438873,0.5644201,11.954907
2642,15428,14206,187.18,171.769,75.264,202.903,68.006,238.554,42.041,30.929,68.555,9.073,124.109,65.064,25.118,37.586,11.111,25.292,42.668,66.603,18.581,287.348,41.469,34.841,176.103,40.96,4.226,77.572,10.027,65.107,11.777,36.944,16.433,9.87,18.077,47.382,38.629,45.575,10.436,17.866,334.834,520.262,33.908,49.669,44.613,21.0,39.961,39.642,11.334,36.964,96.197,44.567,-44.063057,43.35553,-14.670286,-10.164122
2643,11006,362,93.38,338.879,50.848,475.262,241.004,356.271,77.076,53.633,310.117,5.036,121.082,145.144,3.539,68.074,16.167,19.219,23.918,342.824,36.161,346.87,38.0,13.183,402.827,54.631,9.603,52.642,157.47,302.837,24.709,3.479,30.836,2.109,43.692,111.604,45.913,36.398,24.589,51.599,158.539,367.618,65.641,39.423,48.701,27.0,76.924,51.007,43.486,60.94,201.718,70.91,-40.770767,-0.6819191,-21.153526,8.422915
2644,20263,10715,34.25,26.615,5.069,3.103,5.873,248.099,48.047,10.288,1.0,10.082,5.036,9.008,360.234,5.065,72.79,31.365,16.626,1.0,261.609,10.652,11.406,103.878,5.049,121.932,27.884,469.337,39.114,3.671,122.777,4.718,6.144,1.0,77.846,257.886,100.536,366.776,8.077,151.499,196.049,78.685,192.573,54.792,37.798,26.0,47.953,435.15,33.152,214.786,48.025,18.224,61.29781,-90.717064,33.68789,-13.564318
2645,8486,15728,69.36,46.132,201.41,4.155,26.584,162.197,27.026,4.096,1.0,4.027,85.764,308.308,199.023,8.114,22.234,12.134,80.17,1.0,493.261,105.565,20.656,339.415,346.146,76.714,2.075,43.738,152.455,54.422,10.699,5.958,4.087,2.109,9.538,115.171,13.139,42.953,8.077,32.138,24.756,141.378,180.82,18.931,20.08,17.0,1.0,287.403,4.445,158.842,74.405,7.079,-73.454765,-70.74347,21.059965,-18.732872
