class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,ATG7,P2Rx7_Park7,GalMac3,CD31,CD44,Trem2,TMEM119,CD74,AQP4,S100B,CD3e,SMA,CD8,CD14,Neurofilament,GFAP,HLA-A,P2Ry12,CD68,H2A.x,PSD-95,Synaptophysin,CD40,CollagenIV,DAPI_1,CD11c,IBA1,PCNA,CD45,ApoE,MAP2,Claudin5,CD4,CD11b,Vimentin,A-Beta,iNOS,CD34,NeuN,CD163,HLA-DR,UMAP_1,UMAP_2,TSNE_1,TSNE_2
diffuse,1001588,17310,15365,362.93,160.61,0.18,0.76,509.984,544.206,149.305,96.837,4.445,25.243,139.354,13.121,149.9,341.424,29.303,2.05,164.985,99.262,121.569,99.578,21.881,53.773,10.741,21.492,164.123,480.264,87.666,11.528,143.117,159.932,18.989,113.067,191.513,500.5,149.787,5.292,121.261,45.715,24.368,369.862,36.035,1.0,38.661,2.384,22.032,-34.71444,37.460007,-12.623006,-3.1518247
diffuse,1001589,16738,15404,522.25,139.08,0.34,0.82,442.014,431.819,115.319,88.504,1.0,27.263,184.116,22.212,82.314,258.704,36.641,2.05,113.677,100.522,169.797,31.054,22.98,37.818,42.129,18.418,132.714,531.386,102.891,13.868,26.079,141.355,62.163,95.99,224.852,201.779,338.049,6.365,81.968,91.521,14.632,316.923,17.016,1.0,24.786,12.069,33.599,-30.387764,19.155922,-4.8206596,5.629323
diffuse,1001590,19892,15533,803.6,340.18,0.09,0.64,301.332,161.256,113.259,15.584,621.069,319.185,49.831,38.374,465.651,527.543,39.786,2.05,51.302,610.73,1.0,890.603,37.267,62.364,24.811,38.911,59.765,18.041,113.431,6.849,126.397,121.747,143.714,104.529,259.383,213.206,1.0,6.365,114.117,60.984,137.316,182.015,36.035,1.0,2.982,6.535,34.651,-71.85504,-21.246017,-4.9242435,21.929474
diffuse,1001591,17846,15440,302.1,113.47,0.29,0.78,479.951,379.787,121.498,57.252,1.0,21.202,121.043,16.152,101.322,330.288,29.303,2.05,166.997,77.846,59.562,43.076,19.683,83.227,7.494,20.468,178.307,446.183,127.485,10.358,193.276,133.099,11.794,107.731,160.554,957.559,137.641,5.292,104.591,43.534,16.579,310.092,74.073,1.0,12.893,3.767,19.928,-40.5577,47.43093,-12.725065,-1.8828512
diffuse,1001592,23158,15460,300.03,112.49,0.3,0.76,263.396,402.681,70.003,53.086,21.669,73.728,129.181,19.182,248.11,183.938,51.317,3.101,82.489,178.628,94.01,237.827,28.475,73.409,11.823,88.092,181.347,627.239,92.351,10.358,260.155,141.355,45.373,109.865,202.229,160.971,316.793,8.511,108.163,57.712,45.789,410.846,28.027,10.976,6.946,5.151,33.599,-41.15467,1.4204216,-6.544112,13.228743
diffuse,1001593,17178,15482,1081.1,239.66,0.24,0.82,472.047,377.706,132.827,63.503,15.928,30.293,140.372,23.222,158.348,330.288,32.448,2.05,109.653,132.016,97.455,122.419,33.97,48.864,44.294,17.394,100.292,326.9,109.918,11.528,172.377,153.74,75.355,97.058,211.754,733.926,204.444,6.365,135.549,69.709,34.105,397.185,38.037,3.85,24.786,14.837,90.384,-39.367447,44.399193,-13.151421,-1.4001042
diffuse,1001594,19742,15526,1197.86,482.56,0.06,0.58,113.229,100.9,48.375,41.627,92.862,50.495,25.415,16.152,150.956,85.311,26.158,2.05,39.23,162.251,125.014,220.996,22.98,51.318,7.494,20.468,87.121,390.802,79.468,44.282,151.477,34.025,35.779,35.154,67.679,90.779,140.678,13.876,42.675,44.624,63.316,199.092,13.012,20.951,4.964,3.767,18.877,-52.600758,-13.844208,-1.6012621,16.409492
diffuse,1001595,1200,15496,223.92,83.2,0.41,0.77,233.362,639.944,60.734,44.752,1.0,17.162,78.316,18.172,72.81,70.994,45.027,2.05,87.52,84.145,207.69,70.726,15.287,23.091,7.494,8.172,111.437,186.316,111.089,12.698,109.678,100.074,14.192,39.423,154.601,448.265,31.365,9.584,90.303,53.349,8.789,137.615,22.021,1.0,10.911,2.384,15.722,28.834892,45.162674,-6.295244,-9.684121
diffuse,1001596,17618,15505,337.98,127.99,0.26,0.73,457.821,433.9,99.87,80.17,1.0,29.283,154.614,26.253,86.538,172.803,27.207,3.101,117.701,67.768,107.79,55.097,16.386,30.455,7.494,15.345,149.938,527.126,101.72,11.528,72.059,103.17,48.971,91.721,171.271,123.426,259.1,9.584,56.963,71.89,16.579,352.785,13.012,1.0,24.786,6.535,28.341,-31.49237,16.635338,-4.5959196,6.4016643
diffuse,1001597,776,15524,367.97,131.21,0.27,0.74,219.136,504.662,61.764,44.752,1.0,13.121,123.077,51.506,51.689,51.904,29.303,2.05,58.344,120.678,111.234,21.437,70.238,39.045,63.776,8.172,115.49,228.917,156.764,11.528,76.238,119.683,69.359,52.231,174.843,458.059,234.809,7.438,152.219,117.695,12.684,146.154,15.014,1.0,18.839,2.384,57.785,27.941742,45.52676,-6.3399463,-9.318841
