class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,ATG7,P2Rx7_Park7,GalMac3,CD31,CD44,Trem2,TMEM119,CD74,AQP4,S100B,CD3e,SMA,CD8,CD14,Neurofilament,GFAP,HLA-A,P2Ry12,CD68,H2A.x,PSD-95,Synaptophysin,CD40,CollagenIV,DAPI_1,CD11c,IBA1,PCNA,CD45,ApoE,MAP2,Claudin5,CD4,CD11b,Vimentin,A-Beta,iNOS,CD34,NeuN,CD163,HLA-DR,UMAP_1,UMAP_2,TSNE_1,TSNE_2
dense,1,454,32,364.42,228.79,0.09,0.31,445.208,973.55,119.15,129.835,322.417,355.143,191.925,96.725,227.189,100.097,168.926,13.646,263.842,244.963,309.149,288.19,120.834,130.5,40.091,39.624,191.188,393.131,123.375,20.611,23.705,206.515,49.319,151.218,399.616,128.672,191.286,76.617,112.247,97.418,34.509,71.256,211.589,2.502,9.965,21.571,202.99,21.832542,18.063429,0.061721914,-9.386494
dense,2,3051,140,240.13,85.85,0.41,0.84,169.687,1.0,34.757,33.737,71.737,82.4,5.128,28.495,219.335,57.244,18.113,5.215,38.261,136.337,75.552,149.0,10.218,184.767,22.717,21.878,99.162,269.423,125.728,6.768,21.64,32.871,13.08,5.202,62.515,1.0,42.975,15.91,69.973,50.548,24.038,168.928,68.43,1.0,6.123,7.429,35.071,-49.277832,-32.12091,0.93481034,17.46115
dense,3,201,187,504.34,212.28,0.14,0.62,797.576,955.238,64.295,97.098,378.262,236.743,187.796,53.954,213.052,126.879,252.354,8.025,49.339,472.898,393.642,270.571,42.481,162.567,36.834,52.15,162.558,348.783,170.442,22.918,40.217,158.158,61.399,133.36,442.676,82.605,191.286,47.861,192.345,148.306,95.245,165.501,81.916,25.036,11.246,21.571,98.345,33.6997,-3.713498,8.254961,-15.780645
dense,4,13249,218,233.09,127.24,0.18,0.58,115.332,1.0,45.306,26.345,194.595,77.114,116.587,99.78,313.58,357.212,32.018,5.215,15.099,216.471,249.507,256.476,28.654,72.533,31.404,20.834,54.171,232.077,63.364,9.075,54.665,68.04,121.798,5.202,61.284,115.51,79.353,20.171,96.673,55.905,51.264,343.71,121.336,1.0,3.562,15.143,55.756,-57.35415,-22.791924,-3.3447359,19.91356
dense,5,1825,220,428.8,154.62,0.23,0.71,287.767,1.0,61.13,46.409,548.278,236.743,55.697,50.899,252.321,552.727,36.297,8.025,20.134,569.059,1.0,311.095,39.024,142.833,33.576,38.58,83.824,148.049,152.792,13.689,23.705,83.426,73.479,29.363,243.368,22.059,28.983,38.276,178.996,105.453,84.774,136.37,67.393,1.0,8.685,15.143,60.624,-69.47207,-21.967258,-4.4418716,21.272675
dense,6,2542,265,335.28,137.67,0.22,0.76,345.871,1.0,34.757,52.745,136.268,109.886,54.665,55.991,200.486,38.496,27.74,6.62,26.176,239.62,100.403,184.238,24.045,151.467,43.349,34.404,63.374,281.093,138.671,12.536,46.409,49.356,45.695,22.009,162.169,28.64,104.538,23.366,168.983,106.792,51.264,234.043,63.243,1.0,8.685,11.286,64.274,-44.190735,-33.927673,3.4392128,16.754988
dense,7,13044,362,212.98,122.7,0.18,0.68,66.6,1.0,36.867,41.129,80.424,69.714,34.025,25.44,301.014,97.418,22.392,3.81,15.099,155.925,184.896,170.143,15.979,50.333,22.717,20.834,64.396,325.442,66.894,9.075,40.217,36.168,20.328,4.151,56.363,91.818,112.933,20.171,57.736,25.105,21.943,220.334,114.075,1.0,2.281,11.286,19.252,-53.52066,-25.337135,-1.8506432,18.32591
dense,8,1241,363,274.17,111.06,0.28,0.72,342.122,1.0,19.988,85.482,264.091,174.371,41.249,26.459,175.354,30.461,61.967,6.62,4.021,332.219,25.851,180.714,55.156,115.7,25.975,44.843,66.441,344.114,104.548,35.607,46.409,75.733,27.576,44.069,291.35,1.0,177.294,62.772,115.585,90.723,70.113,225.475,41.458,31.045,11.246,12.571,72.792,-43.730328,-33.38143,1.3953494,16.027264
dense,9,3284,374,191.09,60.11,0.66,0.91,235.287,1.0,24.208,39.017,190.872,79.229,44.345,30.532,235.042,75.992,20.253,6.62,11.071,284.139,30.821,129.619,19.436,104.6,39.005,33.361,58.261,285.762,125.728,10.229,27.833,38.366,13.08,12.555,80.969,108.929,104.538,22.301,185.67,53.227,57.547,400.257,42.495,1.0,7.404,7.429,26.553,-47.599457,-31.937668,-1.9045243,19.407026
dense,10,2773,390,211.91,86.57,0.36,0.82,293.39,1.0,17.879,34.793,178.462,94.029,135.163,58.028,148.651,65.279,24.531,6.62,4.021,198.663,15.91,149.0,24.045,137.9,63.98,30.229,53.148,215.738,82.191,11.382,50.537,62.545,90.391,14.656,122.799,128.672,138.118,27.626,251.306,96.079,36.604,318.007,53.907,1.0,8.685,12.571,67.924,-45.4933,-34.829998,3.5350516,17.674385
dense,11,13736,410,327.47,153.37,0.17,0.71,44.109,1.0,25.263,26.345,34.507,80.286,15.448,32.569,253.892,86.705,17.044,3.81,22.148,93.599,60.642,134.905,14.827,62.667,17.288,15.614,63.374,246.082,77.484,6.768,25.769,25.178,5.832,2.05,26.836,98.399,90.546,15.91,29.924,17.07,17.755,199.772,129.636,1.0,2.281,11.286,14.385,-54.02051,-28.412987,-0.26242754,18.555696
dense,12,13643,411,227.69,91.59,0.34,0.74,130.326,1.0,25.263,43.241,53.122,95.086,58.793,33.587,263.316,75.992,38.436,5.215,16.106,113.187,90.463,150.762,21.74,60.2,20.546,22.922,79.734,383.794,73.954,11.382,52.601,46.059,17.912,7.303,62.515,123.407,188.487,22.301,72.198,19.748,21.943,249.465,132.748,1.0,3.562,13.857,15.602,-49.9886,-25.251904,-1.6724616,17.351202
dense,13,1282,448,234.94,105.16,0.27,0.68,90.966,1.0,2.055,12.616,229.343,89.8,31.961,28.495,66.972,19.748,41.645,3.81,1.0,228.936,10.94,194.81,20.588,82.4,28.147,37.536,8.158,47.682,76.307,15.997,58.793,37.267,57.775,6.252,127.72,91.818,23.387,21.236,106.685,94.74,68.019,177.496,26.935,62.592,12.527,16.429,59.407,-54.87924,-33.909138,-0.160194,21.069096
dense,14,3277,455,273.95,114.85,0.26,0.77,216.544,1.0,23.153,43.241,60.568,78.171,36.089,33.587,150.222,75.992,13.835,5.215,16.106,120.31,5.97,92.619,14.827,144.067,25.975,26.053,64.396,278.759,144.555,9.075,23.705,27.376,11.872,5.202,83.43,110.245,126.924,21.236,128.934,50.548,24.038,270.027,58.056,1.0,7.404,7.429,18.035,-46.096863,-33.993107,1.6176366,17.552366
dense,15,1414,471,480.61,156.35,0.25,0.73,70.349,1.0,2.055,18.952,242.994,121.514,41.249,53.954,142.368,14.391,44.853,5.215,3.014,289.481,5.97,196.571,22.893,100.9,56.379,36.492,11.225,36.012,96.311,52.911,102.138,31.772,84.351,15.707,133.872,198.431,51.37,27.626,181.22,116.166,65.925,242.611,24.86,26.538,8.685,17.714,65.491,-55.543266,-33.437157,-0.30074772,21.315899
dense,16,2148,468,419.78,150.32,0.23,0.72,209.047,1.0,7.329,42.185,59.327,107.771,37.121,37.661,79.538,17.07,15.974,6.62,6.035,91.818,10.94,85.571,20.588,107.067,24.889,32.317,28.608,159.72,84.544,18.304,40.217,25.178,26.368,6.252,66.206,77.34,115.731,39.341,116.697,73.314,28.226,230.616,40.421,20.529,8.685,10.0,44.805,-47.755898,-37.666744,1.9421167,18.33049
dense,17,13660,470,197.99,94.29,0.28,0.75,175.31,1.0,22.098,49.577,39.471,99.314,50.537,34.606,228.759,27.783,38.436,5.215,11.071,132.775,40.761,171.905,17.131,58.967,22.717,23.966,74.621,334.778,52.774,10.229,54.665,59.248,15.496,6.252,58.824,115.51,185.689,22.301,78.873,35.818,30.321,290.59,128.598,1.0,2.281,13.857,20.469,-48.903946,-27.273743,-0.6038217,17.530834
dense,18,2557,522,239.91,107.22,0.26,0.69,109.709,1.0,10.494,15.784,59.327,73.943,51.569,33.587,131.373,116.166,15.974,3.81,4.021,195.102,5.97,129.619,17.131,126.8,23.803,26.053,13.27,87.362,85.721,9.075,64.986,27.376,44.487,4.151,61.284,236.601,37.378,18.041,184.558,88.044,32.415,206.626,43.533,10.014,7.404,7.429,28.987,-53.77567,-35.55197,2.274166,19.747417
dense,19,3550,513,211.63,77.91,0.44,0.84,156.567,1.0,28.428,36.905,36.989,67.6,18.544,36.642,197.344,3.678,11.696,5.215,23.155,102.503,10.94,52.095,14.827,123.1,31.404,25.009,71.554,232.077,110.431,7.921,34.025,29.574,8.248,5.202,53.903,91.818,118.529,22.301,100.01,29.122,17.755,258.033,59.093,1.0,7.404,8.714,11.951,-48.599297,-34.3957,1.4229844,18.04975
dense,20,16898,532,384.89,138.37,0.25,0.77,132.201,1.0,42.141,32.681,239.271,105.657,85.626,55.991,494.217,132.236,33.088,5.215,90.628,277.016,165.015,342.81,22.893,38.0,30.318,45.887,100.184,316.105,90.428,7.921,40.217,117.495,27.576,16.757,144.945,40.486,154.908,14.845,57.736,29.122,57.547,420.82,127.561,26.538,8.685,17.714,55.756,-55.845787,-22.2858,-4.0265846,19.315578
dense,21,13279,537,295.13,102.11,0.36,0.81,38.486,1.0,26.318,18.952,89.111,68.657,29.897,20.349,283.736,175.088,34.157,3.81,7.042,189.759,35.791,191.286,25.197,65.133,24.889,14.571,53.148,150.383,72.777,6.768,48.473,36.168,25.16,2.05,30.527,140.518,56.966,14.845,69.973,17.07,38.698,470.513,131.71,1.0,2.281,13.857,7.084,-57.402836,-27.002304,-1.3988881,19.622196
dense,22,1420,551,191.09,68.27,0.52,0.83,83.469,1.0,1.0,29.513,79.183,106.714,14.416,21.367,66.972,1.0,29.879,5.215,2.007,38.396,5.97,59.143,17.131,189.7,30.318,30.229,54.171,52.35,103.371,6.768,38.153,13.089,10.664,3.101,57.594,111.561,62.563,32.951,86.66,63.94,11.472,215.194,35.234,1.0,8.685,10.0,61.84,-50.71946,-38.574356,2.2955399,19.23944
dense,23,1769,612,417.65,163.06,0.2,0.65,180.932,1.0,3.11,27.401,44.435,100.371,60.857,34.606,52.835,59.922,14.905,5.215,3.014,168.39,55.672,112.0,20.588,66.367,34.662,35.448,6.113,36.012,69.247,7.921,36.089,25.178,45.695,6.252,63.745,90.502,51.37,30.821,150.071,78.67,47.075,268.314,35.234,55.081,8.685,13.857,47.239,-50.265057,-38.23157,2.6883297,18.81227
dense,24,14003,622,408.98,143.35,0.25,0.69,57.229,1.0,22.098,25.289,51.881,85.571,50.537,42.752,231.901,92.062,29.879,5.215,16.106,116.749,100.403,129.619,17.131,76.233,17.288,21.878,50.081,204.068,83.367,6.768,106.267,35.069,25.16,11.505,32.988,148.415,62.563,20.171,44.386,18.409,17.755,347.137,131.71,1.0,4.842,13.857,14.385,-55.012177,-28.610214,-0.27983186,18.843592
dense,25,13142,623,213.55,100.6,0.27,0.7,29.114,1.0,31.592,17.896,56.845,78.171,19.576,17.294,266.458,70.635,24.531,3.81,10.064,173.733,10.94,237.095,14.827,44.167,12.945,12.483,27.585,150.383,62.187,6.768,50.537,24.079,9.456,2.05,30.527,129.988,65.361,15.91,27.699,27.783,26.132,263.173,121.336,1.0,1.0,11.286,10.734,-56.240402,-28.379025,-0.90657884,19.3984
dense,26,14241,628,464.34,188.45,0.16,0.7,98.463,1.0,19.988,28.457,32.025,96.143,68.082,40.716,203.627,73.314,23.461,5.215,8.049,155.925,169.985,147.238,20.588,95.967,25.975,26.053,48.036,166.722,56.304,6.768,50.537,48.257,37.239,4.151,34.218,137.885,65.361,24.431,57.736,21.087,32.415,290.59,114.075,1.0,3.562,15.143,24.119,-54.603413,-29.361408,-0.12437311,18.805012
dense,27,14082,621,242.9,136.23,0.16,0.58,72.223,1.0,26.318,22.121,43.194,87.686,47.441,35.624,183.208,156.34,18.113,3.81,13.085,114.968,15.91,131.381,14.827,61.433,15.116,34.404,36.788,194.731,73.954,6.768,69.114,24.079,26.368,9.404,34.218,126.04,68.16,19.106,46.611,15.731,26.132,194.631,125.486,2.502,3.562,12.571,16.819,-54.25388,-29.798866,0.36553314,18.568933
dense,28,16278,632,326.4,142.04,0.2,0.7,59.103,1.0,24.208,20.008,41.953,86.629,55.697,51.917,260.175,27.783,23.461,5.215,62.43,129.214,55.672,106.714,21.74,35.533,22.717,25.009,48.036,141.047,70.424,5.614,44.345,77.931,17.912,6.252,41.6,129.988,121.328,19.106,49.949,25.105,17.755,292.304,145.196,1.0,8.685,15.143,35.071,-54.92337,-28.98388,-0.11037233,18.85311
dense,29,2143,659,203.17,64.63,0.61,0.87,190.304,1.0,6.275,54.857,38.23,114.114,26.801,32.569,30.844,3.678,9.557,6.62,3.014,49.08,1.0,48.571,19.436,109.533,22.717,29.185,16.338,124.708,81.014,6.768,15.448,11.99,16.704,4.151,56.363,83.921,163.303,41.471,88.885,55.905,17.755,150.079,47.682,1.0,7.404,8.714,44.805,-48.007507,-38.63003,2.5711844,18.405304
dense,30,681,691,397.89,137.89,0.26,0.73,197.801,3.035,9.439,68.586,125.099,153.229,60.857,52.936,117.236,6.357,81.219,6.62,10.064,212.909,70.582,124.333,27.502,158.867,35.748,37.536,67.464,164.388,119.845,13.689,27.833,61.446,40.863,19.909,180.623,115.51,115.731,42.536,135.609,71.975,24.038,331.715,62.206,16.023,8.685,15.143,70.358,-46.89915,-35.170982,3.1528811,18.542925
dense,31,12878,721,239.49,102.33,0.29,0.69,17.869,1.0,38.977,22.121,97.798,62.314,10.288,15.257,239.755,228.654,20.253,3.81,12.078,209.348,25.851,237.095,17.131,49.1,14.03,12.483,36.788,222.741,78.661,5.614,36.089,20.782,10.664,2.05,23.145,122.091,42.975,12.715,25.474,1.0,42.887,285.449,125.486,4.005,2.281,11.286,10.734,-57.204304,-25.796017,-1.7651792,19.21391
dense,32,467,728,223.0,76.79,0.48,0.86,240.91,27.45,23.153,68.586,143.714,140.543,54.665,30.532,90.533,3.678,94.055,6.62,22.148,277.016,115.313,119.048,22.893,145.3,24.889,37.536,88.937,285.762,145.731,11.382,11.32,81.228,16.704,12.555,169.55,119.458,115.731,34.016,128.934,78.67,26.132,400.257,77.766,1.0,7.404,13.857,60.624,-46.429234,-33.28452,3.6241343,17.549498
dense,33,4456,776,274.59,112.75,0.27,0.67,75.972,1.0,264.728,124.555,60.568,138.429,12.352,50.899,205.198,132.236,52.34,866.519,83.579,296.604,1.0,140.19,141.574,130.5,46.607,15.614,21.45,1.0,253.986,473.968,240.43,107.604,28.784,90.29,37.909,437.98,1.0,106.438,205.695,299.629,715.17,213.48,107.85,107.66,18.931,64.0,33.854,-6.2240486,60.20285,2.2308187,22.607843
dense,34,13855,822,245.6,99.88,0.31,0.77,36.612,1.0,25.263,21.064,22.097,76.057,15.448,26.459,230.33,54.566,21.322,3.81,15.099,123.872,105.373,152.524,13.675,54.033,14.03,18.746,33.721,178.393,64.541,4.461,29.897,9.792,13.08,1.0,13.303,137.885,48.571,16.975,41.049,10.374,21.943,379.695,125.486,1.0,2.281,11.286,1.0,-55.59417,-29.152252,-0.5394763,19.011164
dense,35,3275,825,308.35,109.83,0.32,0.72,269.024,1.0,41.087,40.073,7.205,91.914,43.313,28.495,167.5,108.131,14.905,5.215,16.106,127.433,25.851,75.0,24.045,93.5,22.717,31.273,32.698,213.404,95.134,9.075,17.512,19.683,20.328,8.353,36.679,108.929,146.513,28.691,84.435,34.479,26.132,263.173,59.093,1.0,7.404,8.714,16.819,-45.201447,-34.243374,1.8448857,17.307095
dense,36,17228,843,269.69,109.7,0.28,0.77,72.223,1.0,49.526,18.952,205.764,102.486,62.921,42.752,478.509,191.158,35.227,5.215,82.572,378.519,50.701,272.333,26.349,50.333,19.46,53.194,67.464,171.39,95.134,3.307,114.523,80.129,4.624,12.555,78.509,115.51,93.345,11.65,81.098,14.391,82.679,347.137,145.196,8.511,9.965,12.571,30.203,-58.029587,-23.55478,-3.2962484,20.236752
dense,37,2871,841,224.49,88.04,0.36,0.77,297.139,1.0,25.263,40.073,18.374,86.629,122.779,49.881,121.948,25.105,24.531,5.215,16.106,88.257,30.821,89.095,22.893,108.3,35.748,32.317,25.54,248.416,92.781,10.229,56.729,33.97,91.599,12.555,88.351,98.399,152.109,29.756,168.983,75.992,32.415,182.636,53.907,1.0,9.965,10.0,31.42,-44.279976,-36.010696,2.7945976,16.984062
dense,38,12838,858,323.56,138.51,0.21,0.63,70.349,1.0,36.867,45.353,59.327,86.629,23.705,20.349,214.623,92.062,13.835,5.215,19.127,205.786,473.164,157.81,19.436,52.8,23.803,16.658,42.923,325.442,57.481,6.768,79.434,40.564,19.12,4.151,45.291,101.032,107.336,21.236,49.949,15.731,30.321,239.184,118.224,11.516,2.281,13.857,8.301,-52.324974,-25.306267,-1.8428936,18.187317
dense,39,554,861,226.62,75.55,0.5,0.84,169.687,1.0,10.494,54.857,108.966,120.457,47.441,29.514,95.245,22.426,55.549,5.215,10.064,138.118,1.0,69.714,17.131,121.867,21.632,37.536,40.878,211.07,104.548,10.229,17.512,54.851,15.496,8.353,105.575,119.458,146.513,24.431,100.01,57.244,13.566,331.715,57.019,1.0,7.404,12.571,58.19,-47.60539,-35.776054,1.9331626,18.217373
dense,40,12705,877,189.81,94.33,0.27,0.75,19.743,1.0,44.251,28.457,68.014,75.0,3.064,16.275,250.75,161.697,13.835,3.81,23.155,207.567,50.701,207.143,15.979,34.3,12.945,10.395,38.833,276.425,72.777,4.461,25.769,17.485,7.04,1.0,13.303,87.87,42.975,14.845,28.812,13.052,47.075,213.48,129.636,1.0,1.0,11.286,1.0,-55.594868,-26.448807,-1.4310819,18.934443
dense,41,14994,903,493.69,225.21,0.12,0.65,179.058,1.0,38.977,44.297,5.964,109.886,64.986,49.881,150.222,121.523,35.227,6.62,21.141,41.957,65.612,101.429,18.284,66.367,24.889,28.141,52.126,320.773,72.777,7.921,54.665,42.762,32.407,5.202,50.212,81.289,135.319,27.626,37.712,29.122,13.566,244.324,136.897,1.0,6.123,15.143,20.469,-48.06302,-29.720066,0.7677872,17.20074
dense,42,17070,902,269.48,122.17,0.23,0.69,87.218,1.0,68.514,37.961,123.858,112.0,131.035,47.844,542.91,349.177,36.297,5.215,71.494,417.695,60.642,277.619,87.419,51.567,24.889,43.799,64.396,134.044,121.021,32.147,58.793,93.317,20.328,10.454,67.436,237.917,62.563,43.601,120.035,19.748,84.774,360.846,146.234,64.095,8.685,15.143,38.721,-58.22554,-22.84842,-3.772162,20.258472
dense,43,15280,916,212.55,76.18,0.46,0.84,254.03,1.0,43.196,39.017,5.964,103.543,67.05,41.734,217.764,169.732,29.879,6.62,28.191,70.449,85.493,147.238,19.436,46.633,20.546,30.229,63.374,327.776,63.364,5.614,62.921,58.149,29.992,10.454,60.054,131.304,70.958,16.975,58.849,9.035,21.943,455.091,123.411,19.027,7.404,13.857,19.252,-46.787262,-27.482063,0.41108167,16.0077
dense,44,922,926,328.25,122.2,0.28,0.73,165.938,1.0,6.275,37.961,38.23,121.514,46.409,28.495,35.557,11.713,33.088,5.215,5.028,52.642,40.761,89.095,18.284,135.433,21.632,31.273,16.338,106.035,121.021,9.075,31.961,25.178,52.943,4.151,68.666,115.51,107.336,30.821,94.448,74.653,17.755,158.647,47.682,1.0,8.685,11.286,61.84,-48.956947,-38.70221,2.2412376,18.717094
dense,45,14389,973,367.47,143.04,0.23,0.71,85.343,1.0,28.428,32.681,12.169,95.086,30.929,33.587,198.915,59.922,22.392,5.215,8.049,90.037,75.552,157.81,18.284,73.767,14.03,25.009,33.721,225.075,69.247,5.614,48.473,21.881,20.328,2.05,20.685,110.245,65.361,23.366,41.049,15.731,30.321,294.017,124.449,2.502,2.281,13.857,15.602,-53.880833,-29.370888,0.3546307,18.50329
dense,46,2016,977,207.15,68.77,0.55,0.86,282.144,1.0,37.922,28.457,43.194,81.343,113.491,50.899,126.66,159.019,17.044,5.215,11.071,136.337,45.731,80.286,25.197,115.7,48.778,30.229,31.676,187.729,118.668,9.075,27.833,17.485,87.975,8.353,101.884,133.937,42.975,22.301,127.822,74.653,44.981,251.178,54.944,1.0,16.369,21.571,36.287,-44.780735,-34.834442,2.6299071,17.301464
dense,47,15174,994,243.47,99.88,0.31,0.78,177.184,3.035,59.02,34.793,3.482,87.686,53.633,51.917,162.788,231.332,21.322,5.215,28.191,31.273,60.642,101.429,15.979,70.067,22.717,23.966,71.554,306.769,66.894,5.614,31.961,33.97,27.576,3.101,34.218,72.075,76.555,16.975,13.237,23.765,11.472,86.678,140.009,1.0,4.842,12.571,13.168,-46.54933,-30.681152,1.122779,16.311136
dense,48,831,1016,300.25,132.74,0.21,0.63,231.538,1.0,16.824,37.961,64.291,109.886,100.074,51.917,98.387,51.887,42.714,5.215,8.049,177.294,1.0,103.19,27.502,163.8,27.061,31.273,32.698,120.04,132.788,11.382,21.64,50.455,145.958,18.858,132.642,132.621,126.924,26.561,155.634,130.897,19.849,216.907,53.907,1.0,8.685,22.857,50.889,-46.15605,-36.55723,3.0216053,18.29911
dense,49,16294,1040,328.96,139.52,0.21,0.71,319.63,11.173,82.228,35.849,3.482,110.943,79.434,49.881,217.764,335.786,25.601,5.215,33.226,41.957,65.612,82.048,19.436,38.0,22.717,33.361,43.946,271.757,49.244,6.768,60.857,62.545,17.912,10.454,44.06,106.296,104.538,24.431,45.499,14.391,13.566,285.449,140.009,1.0,8.685,15.143,24.119,-42.489136,-26.355732,1.631393,14.601931
dense,50,1186,1041,213.83,97.53,0.28,0.69,195.927,5.069,18.933,23.177,33.266,77.114,73.242,21.367,99.958,73.314,11.696,3.81,3.014,91.818,10.94,101.429,19.436,97.2,24.889,31.273,18.383,148.049,109.254,9.075,31.961,20.782,46.903,5.202,80.969,111.561,163.303,16.975,122.259,71.975,32.415,141.511,37.308,1.0,8.685,11.286,44.805,-46.870903,-37.753716,2.327408,18.03259
dense,51,3785,1040,191.59,62.59,0.61,0.88,248.407,1.0,23.153,37.961,2.241,90.857,52.601,26.459,107.811,30.461,11.696,5.215,7.042,45.519,30.821,59.143,18.284,60.2,23.803,23.966,1.0,190.063,45.714,4.461,31.961,1.0,28.784,7.303,28.067,47.067,121.328,31.886,59.961,21.087,15.66,156.933,43.533,1.0,4.842,10.0,15.602,-46.99246,-37.11117,2.292973,17.656103
dense,52,3576,1036,237.71,86.48,0.4,0.8,207.173,1.0,29.483,41.129,3.482,76.057,27.833,31.55,114.094,25.105,1.0,3.81,18.12,40.176,80.522,67.952,27.502,70.067,23.803,26.053,9.18,162.054,76.307,10.229,34.025,10.891,14.288,8.353,32.988,85.237,93.345,31.886,47.724,18.409,42.887,108.954,58.056,7.009,6.123,10.0,14.385,-47.920288,-37.040215,2.166519,17.93019
dense,53,3442,1069,258.46,93.94,0.37,0.8,396.477,1.0,44.251,53.801,2.241,97.2,90.786,37.661,82.679,38.496,8.487,5.215,32.219,29.492,1.0,36.238,14.827,89.8,22.717,28.141,27.585,302.1,62.187,6.768,17.512,29.574,27.576,14.656,63.745,77.34,182.891,29.756,47.724,34.479,26.132,179.209,70.505,1.0,6.123,8.714,19.252,-35.01985,-32.232292,3.9677796,14.518832
dense,54,17362,1085,201.18,89.05,0.32,0.78,57.229,1.0,33.702,20.008,70.496,87.686,90.786,48.862,376.41,81.349,29.879,5.215,53.367,271.674,100.403,177.19,26.349,54.033,19.46,28.141,61.329,157.386,84.544,3.307,54.665,46.059,36.031,3.101,60.054,169.474,98.941,10.585,72.198,30.461,36.604,391.69,147.271,2.502,7.404,13.857,14.385,-57.068024,-26.379887,-1.5575927,19.581343
dense,55,641,1143,2081.62,209.88,0.59,0.94,107.835,15.242,213.037,157.292,48.158,212.429,18.544,46.826,51.264,124.201,234.171,43.152,7.042,234.278,1.0,159.571,216.471,220.533,72.667,26.053,21.45,1.0,312.82,581.251,401.426,157.059,116.966,61.927,80.969,719.648,1.0,163.95,438.202,282.22,239.755,643.581,244.785,248.872,16.369,237.571,112.946,-4.694565,57.444313,2.4294205,23.171104
dense,56,1353,1111,218.95,72.8,0.52,0.85,340.248,5.069,41.087,22.121,30.784,99.314,57.761,23.404,156.505,234.011,19.183,5.215,3.014,63.326,35.791,103.19,22.893,108.3,24.889,32.317,17.36,178.393,123.375,11.382,40.217,35.069,25.16,8.353,74.818,131.304,166.101,22.301,164.533,69.296,32.415,374.554,44.57,1.0,7.404,11.286,65.491,-41.156025,-31.867676,3.0875921,15.767972
dense,57,3771,1135,308.06,89.75,0.48,0.85,272.773,1.0,40.032,41.129,4.723,90.857,58.793,28.495,125.09,121.523,22.392,5.215,12.078,31.273,55.672,43.286,13.675,71.3,24.889,23.966,9.18,241.414,50.42,5.614,46.409,10.891,17.912,9.404,40.369,52.332,135.319,29.756,47.724,27.783,19.849,90.105,54.944,1.0,4.842,10.0,32.637,-45.480354,-35.480484,2.412538,16.858784
dense,58,83,1168,396.61,107.82,0.43,0.81,239.036,37.623,19.988,63.305,92.834,117.286,83.562,29.514,77.967,14.391,104.751,6.62,11.071,277.016,15.91,133.143,18.284,109.533,44.435,47.975,69.509,208.736,98.664,13.689,48.473,71.337,56.567,18.858,175.702,72.075,191.286,22.301,135.609,114.827,42.887,12.995,46.645,17.525,6.123,20.286,77.659,-45.20861,-36.5828,3.5722284,17.456268
dense,59,13557,1178,220.66,94.12,0.31,0.7,32.863,1.0,16.824,20.008,23.338,79.229,23.705,18.312,184.778,51.887,38.436,3.81,8.049,114.968,10.94,138.429,14.827,56.5,20.546,9.351,13.27,87.362,59.834,6.768,56.729,5.396,11.872,2.05,15.764,129.988,51.37,16.975,22.137,34.479,19.849,264.887,116.15,20.529,2.281,13.857,14.385,-55.168396,-30.766026,0.47249448,19.223793
dense,60,16314,1192,207.58,80.83,0.4,0.78,269.024,1.0,46.361,47.465,2.241,120.457,102.138,55.991,132.943,49.209,35.227,6.62,29.198,24.15,85.493,53.857,15.979,73.767,19.46,35.448,51.103,393.131,70.424,5.614,50.537,57.05,21.536,10.454,58.824,95.767,124.126,23.366,28.812,18.409,24.038,323.148,145.196,1.0,8.685,15.143,21.686,-40.532787,-28.550049,2.2742577,15.40845
dense,61,17719,1212,410.04,168.56,0.18,0.66,68.475,1.0,24.208,25.289,127.581,101.429,52.601,37.661,429.816,75.992,25.601,5.215,22.148,250.305,45.731,221.238,18.284,58.967,17.288,29.185,68.486,213.404,84.544,2.154,54.665,48.257,19.12,4.151,93.272,78.656,157.706,13.78,26.587,7.696,36.604,225.475,137.935,1.0,4.842,12.571,22.903,-55.84152,-25.181274,-2.1254714,19.34351
dense,62,15404,1254,476.84,151.92,0.26,0.75,336.499,3.035,41.087,42.185,7.205,98.257,71.178,27.477,139.226,113.488,33.088,5.215,30.205,33.053,25.851,108.476,14.827,79.933,14.03,19.79,59.284,521.507,129.258,6.768,21.64,61.446,19.12,14.656,57.594,95.767,68.16,16.975,34.374,25.105,17.755,300.871,98.514,1.0,4.842,10.0,15.602,-34.57875,-24.116856,2.0606089,13.011069
dense,63,3577,1246,367.55,129.26,0.28,0.72,285.893,7.104,42.141,31.625,10.928,100.371,64.986,24.422,147.08,41.174,59.828,3.81,25.169,40.176,40.761,71.476,17.131,77.467,16.202,28.141,18.383,311.437,126.905,5.614,46.409,75.733,17.912,24.11,76.048,70.759,135.319,20.171,66.636,31.8,15.66,254.605,86.065,1.0,20.212,6.143,39.938,-40.70186,-31.268944,2.4097118,16.36258
dense,64,5337,1246,461.28,199.98,0.14,0.66,42.235,1.0,19.988,21.064,123.858,51.743,3.064,17.294,159.646,14.391,91.915,3.81,41.282,161.267,15.91,164.857,9.066,89.8,9.687,22.922,82.801,404.801,181.032,4.461,50.537,43.861,5.832,5.202,47.751,73.391,48.571,8.455,46.611,53.227,38.698,201.485,79.841,1.0,6.123,4.857,33.854,-52.81153,-28.92347,-1.3684615,18.104961
