cell,x,y,area µm²,CD40,SMA,MAP2,CD8,CD31,Synaptophysin,AQP4,CD34,PCNA,IBA1,S100B,CD163,Claudin5,GFAP,PSD-95,Trem2,NeuN,HLA-DR,CD14,CD11b,CD3e,P2Rx7(Park7),DAPI_1,CD11c,CD4,GalMac3,ApoE,CD45,HLA-A,CD68,Vimentin,A-Beta,H2A.x,TMEM119,CD74,P2Ry12,CollagenIV,CD44,Neurofilament,ATG7,iNOS,UMAP_1,UMAP_2,TSNE_1,TSNE_2
5259,7075,12775,356.74,188.755,1.0,207.885,241.759,78.047,67.184,190.244,2.309,199.786,264.625,102.989,5.036,1.0,40.857,254.913,12.997,7.696,139.694,81.748,163.162,60.004,193.49,95.538,197.085,160.029,37.0,55.448,315.981,2.087,154.793,3.342,5.583,86.073,526.022,233.841,141.616,14.907,8.092,73.535,382.167,72.007,-6.6019516,-24.942402,1.0778044,8.622572
5261,9416,2949,206.51,180.489,6.6,145.536,324.676,145.953,239.511,309.969,52.063,217.027,141.885,326.627,5.036,47.465,172.0,336.081,36.99,14.391,151.755,98.312,233.232,116.974,328.721,17.932,198.117,208.058,94.0,66.101,284.795,24.915,89.07,63.072,14.748,59.336,165.069,69.744,185.689,33.45,31.396,207.064,470.917,80.577,-21.634329,-19.95821,12.882612,11.533099
5262,14741,1497,107.17,208.83,4.36,152.621,432.568,128.976,369.381,326.705,33.733,156.175,317.99,434.76,10.082,41.27,84.571,396.438,28.265,13.052,188.941,213.223,275.275,275.674,306.791,17.932,110.395,332.933,61.0,75.57,223.462,68.397,185.026,6.856,13.22,79.996,541.821,227.189,315.811,32.291,99.279,190.579,484.571,271.562,9.186558,-59.888912,-11.683583,13.335705
5264,9169,7783,180.08,54.138,2.12,144.119,341.659,127.671,192.059,12.586,23.258,232.241,63.971,685.432,5.036,10.293,438.143,190.394,72.98,18.409,46.226,52.762,40.039,51.866,361.615,190.076,509.788,104.529,190.0,63.733,240.095,4.261,41.749,57.216,66.683,282.956,111.595,13.196,26.185,19.543,4.04,157.609,691.653,58.54,-68.27992,-44.33429,17.7299,10.660663
5265,15140,6194,152.93,160.415,3.24,189.464,304.696,159.012,130.87,136.174,14.093,148.061,247.548,195.148,10.082,39.721,73.0,240.344,19.54,9.035,92.458,166.637,204.203,82.385,228.821,8.055,179.54,209.125,44.0,73.203,307.665,37.96,99.586,13.883,7.11,66.628,522.376,93.028,66.061,29.973,8.092,190.579,401.51,120.978,-15.915968,-41.61413,-0.40443635,15.095391
5266,10474,3400,113.13,472.16,2.12,43.511,399.601,125.059,404.346,210.841,130.621,180.516,428.99,224.638,10.082,214.74,119.286,232.019,67.527,6.357,209.041,210.117,247.246,147.493,429.839,29.22,159.932,363.885,100.0,144.222,364.84,232.542,121.932,169.647,8.638,49.613,517.515,157.336,162.603,148.184,45.58,47.158,353.722,270.338,14.214764,-59.633522,-16.351383,-5.602147
5267,8219,15307,74.76,271.415,53.638,2.417,136.864,140.729,88.413,1.0,476.278,303.236,465.279,185.317,606.455,309.219,178.429,1.0,3.181,10.374,330.65,805.376,494.494,161.735,106.991,109.648,116.587,757.721,379.0,77.937,214.106,563.005,370.367,439.014,1.0,5.861,1.0,219.427,66.061,133.118,67.87,1.0,352.584,127.099,-10.990498,73.775856,-14.801329,-24.982534
5268,2297,9679,247.59,206.468,3.24,91.689,259.741,93.718,170.83,215.991,24.567,227.17,340.404,245.528,5.036,16.488,83.286,186.231,33.718,25.105,107.533,126.263,122.121,73.229,210.546,173.144,210.501,184.577,96.0,70.835,194.355,27.089,236.291,25.594,13.22,61.766,303.617,210.557,122.727,65.9,14.171,104.856,399.235,97.717,-3.8948374,-2.5639687,1.2667782,-3.4348931
5269,11308,5057,87.27,187.574,3.24,222.055,324.676,164.235,139.611,140.036,19.33,170.374,280.635,232.011,12.1,18.037,67.857,281.969,10.816,7.696,116.578,157.32,184.183,62.039,287.299,8.055,136.195,259.288,50.0,74.386,382.512,65.136,139.02,13.883,5.583,72.704,511.438,142.922,84.95,21.861,13.158,65.292,333.241,146.688,-14.3265,-41.436905,-0.6950729,15.317576
5270,9842,6630,102.48,302.117,5.48,42.094,265.735,119.835,237.014,20.311,66.465,168.345,371.356,348.745,117.045,101.674,148.857,130.038,50.078,7.696,168.84,270.161,195.194,70.177,269.024,150.568,189.861,341.471,216.0,145.405,224.502,139.055,185.026,147.395,7.11,69.058,218.544,287.062,51.37,84.443,9.105,61.995,365.1,133.221,-5.480484,0.8934307,-8.573536,-1.0464737
