cell,x,y,area µm²,SMA,NeuN,HLA-A,CD4,CD44,S100B,GalMac3,P2Ry12,CD11b,Claudin5,CD34,iNOS,ApoE,CD11c,CD40,PCNA,CollagenIV,CD8,Neurofilament,CD3e,DAPI_1,CD68,ATG7,Vimentin,AQP4,CD14,CD45,TMEM119,CD31,GFAP,P2Rx7(Park7),HLA-DR,Synaptophysin,A-Beta,PSD-95,H2A.x,CD163,MAP2,Trem2,CD74,IBA1,UMAP_1,UMAP_2,TSNE_1,TSNE_2
2763,12931,3666,177.52,10.872,41.282,51.969,150.276,10.317,431.39,211.533,98.902,143.869,39.067,55.467,177.823,122.036,287.218,109.411,195.221,25.778,213.787,25.71,224.933,115.742,54.345,590.858,25.458,56.083,98.102,173.394,202.112,81.919,290.005,504.815,39.057,93.121,155.09,160.187,288.081,21.362,163.628,120.094,92.434,31.273,22.243803,18.183802,3.780217,17.421844
2765,1870,4745,290.65,6.923,10.399,46.872,99.125,63.114,416.782,163.028,84.916,121.14,26.721,245.436,128.872,44.356,176.709,109.411,150.798,47.177,129.871,76.896,130.359,58.371,38.584,327.735,66.847,86.128,58.603,82.777,82.975,33.967,399.235,248.053,41.171,13.283,105.45,48.96,55.682,16.271,15.784,98.125,55.183,41.364,0.94986534,-7.8423786,-6.705951,1.3694688
2766,12819,10480,16.34,10.872,17.113,93.764,80.335,148.003,625.796,411.746,167.833,167.68,37.009,3.657,230.77,40.743,175.604,197.558,71.25,10.01,168.832,1.0,104.27,15.966,32.522,430.382,34.864,237.605,47.082,70.621,73.138,56.944,995.449,437.928,26.371,54.225,205.764,159.166,25.186,14.999,1.0,167.5,94.692,41.364,11.441299,-12.404676,-9.919241,5.027795
2769,10996,10649,272.46,8.897,19.798,46.872,124.179,26.881,115.621,186.764,121.879,104.905,37.009,54.138,178.822,57.002,155.712,149.938,119.806,32.536,149.851,2.765,127.098,72.09,31.309,262.677,36.746,13.519,79.998,82.777,69.859,61.939,264.973,50.626,41.171,165.794,96.143,123.451,135.602,20.089,142.507,117.781,76.631,24.065,-41.41958,13.791672,7.3008585,-11.681116
2771,9010,2560,233.09,12.846,5.028,49.931,114.784,176.99,623.549,72.21,46.954,87.587,41.125,131.189,126.874,120.23,186.655,33.422,173.526,25.778,148.852,205.742,160.797,38.416,55.557,447.731,55.559,431.647,93.165,238.594,169.322,50.95,505.051,525.313,41.171,2.024,160.261,76.512,25.186,14.999,3.112,170.969,76.631,101.909,17.72644,-21.028465,-16.644207,2.218428
2773,7317,11890,160.46,12.846,10.399,65.221,138.793,224.61,160.57,78.402,138.862,99.493,45.24,11.628,201.799,76.873,115.929,181.347,136.335,14.515,177.823,1.0,119.489,124.472,28.885,102.201,125.169,64.846,205.079,63.99,21.767,43.957,278.626,19.34,34.829,64.461,136.475,134.676,287.029,22.634,3.112,161.719,99.207,13.974,-63.570473,24.268852,6.2109494,-19.852781
2774,4262,342,190.17,1.0,14.427,10.174,68.853,1.0,136.972,44.345,2.998,21.564,9.231,12.956,1.0,116.617,124.77,6.066,159.063,24.652,17.983,92.781,52.091,115.742,19.186,479.537,4.763,27.289,104.685,133.611,155.113,33.967,250.181,251.289,26.371,224.137,16.512,3.041,149.273,9.908,229.101,10.25,2.129,35.597,-13.359888,11.909458,-2.4550872,-4.6494603
2776,13896,10647,69.22,8.897,17.113,80.512,125.223,80.713,497.691,176.444,127.873,96.246,41.125,4.985,186.814,53.389,147.977,203.637,87.78,12.263,175.825,4.53,132.533,15.966,30.097,242.437,17.932,159.989,68.478,108.194,67.673,61.939,660.932,339.754,40.114,42.966,176.807,151.003,18.877,14.999,3.112,121.25,77.759,28.39,9.866877,-10.202398,-8.822983,5.0710983
2777,20155,13899,188.18,1.0,11.742,5.078,125.223,5.141,505.557,45.377,121.879,109.234,2.029,30.226,1.999,19.065,14.261,108.398,12.364,6.631,1.0,1.0,20.567,95.787,8.274,411.588,14.169,36.053,5.937,58.465,27.232,2.998,250.181,123.987,20.029,36.825,17.547,54.062,84.075,3.545,106.603,16.031,8.902,31.273,64.3828,-79.94585,-13.415433,-24.486454
2778,4065,12921,198.84,14.82,13.085,57.066,127.31,50.691,96.517,93.882,125.875,95.164,53.471,4.985,212.788,42.55,121.455,146.899,105.342,12.263,144.856,6.295,111.879,118.236,30.097,123.887,59.322,84.876,287.369,48.519,34.883,59.941,226.287,4.237,47.514,55.249,162.329,131.615,93.539,28.997,3.112,175.594,100.336,31.273,-61.021797,17.705757,8.098361,-19.35619
2781,3989,9533,123.51,10.872,17.113,31.582,120.003,4.106,38.083,214.629,107.893,98.411,44.211,11.628,124.876,93.132,204.336,179.32,115.673,17.894,178.822,131.611,114.053,53.382,26.46,275.689,34.864,41.06,73.415,93.827,63.301,108.892,287.729,214.609,50.686,167.841,133.373,124.472,42.012,17.544,64.362,105.062,68.729,39.922,-32.252052,-2.7950935,8.286904,-4.5248985
2783,9387,5484,198.27,8.897,42.625,58.086,158.627,6.176,388.688,200.181,82.918,141.704,34.952,44.839,169.831,163.586,233.069,146.899,190.056,76.46,217.783,99.841,171.667,129.461,50.708,509.897,23.576,56.083,185.329,159.028,112.486,84.916,476.606,361.33,60.2,102.333,120.963,96.92,151.376,23.907,70.698,76.156,85.661,67.312,12.37129,11.335832,-0.49086848,4.6528506
2785,11335,6152,450.83,4.949,23.827,46.872,138.793,6.176,118.992,125.875,114.886,137.375,23.634,42.182,159.841,145.521,229.753,142.846,182.824,33.662,195.805,29.24,156.448,77.079,38.584,368.216,29.22,2.252,177.1,172.289,195.554,84.916,360.549,234.028,40.114,192.407,60.981,103.043,128.241,22.634,112.939,46.094,77.759,34.156,-5.0177546,21.931797,6.9752917,3.6187148
